.tracker_row,district_panel_id,state_01,district_01,state_07,district_07,state_08,district_08,state_17,district_17,state_18,district_18,state_20,district_20,state_std,district_std,district_code_0708,district_code_1718,.matched_2001,.matched_2007,.matched_2017,EMIE,emie_2007,wavg_ling_degrees,npeople_0708,consumption_0708,gini_cons_0708,consumption_1718,gini_cons_1718,consumption_pct_change,log_consumption_difference,dependency_ratio,pct_fem_head,pct_pucca,pct_head_secondary_plus,region
4,2001__28__22,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,28,22,28522,28312,TRUE,TRUE,TRUE,20.1005925653421,20.1005925653421,4.47736587907619,3652707.89,606.912006192717,0.253405092511869,2227.33084964593,0.267423981907359,266.994033223767,1.30017540368844,47.1126089533163,22.850947164023,89.0929461603484,32.7591745320365,South
5,2001__28__23,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,28,23,28523,28313,TRUE,TRUE,TRUE,29.1638158009793,29.1638158009793,5,3426466.75,761.910424750536,0.323416622589367,2399.97629878376,0.225412285046479,214.99454802309,1.14738514482455,46.823578495509,23.122402836683,75.2816601293464,26.5328911072369,South
6,2001__28__14,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,28,14,28114,28104,TRUE,TRUE,TRUE,21.7548239214101,21.7548239214101,4.94566390810188,4895301.445,903.787088621418,0.264783468965307,2391.44952802132,0.300001137196731,164.603196718498,0.97306114694442,44.97127009241,26.0616784141675,80.8645589114546,26.0277151502739,South
7,2001__28__17,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,28,17,28217,28207,TRUE,TRUE,TRUE,36.4885295537476,36.4885295537476,4.42840527597123,4343684.99,809.101753267495,0.30981456174975,3103.33272384022,0.281415658725042,283.552836377829,1.34430719945656,45.2535756414479,25.4142287606358,83.4027907761259,34.4104740691649,South
8,2001__28__16,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,28,16,28216,28206,TRUE,TRUE,TRUE,40.0653685516147,40.0653685516147,4.6477042925439,4138259.625,1032.08202340694,0.293388040442827,3213.47121484224,0.264957252316351,211.358122897486,1.13577358427056,45.8508181210042,24.8438627143893,64.0879814655779,32.3001353157209,South
9,2001__28__21,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,28,21,28521,28311,TRUE,TRUE,TRUE,16.9674521129777,16.9674521129777,4.22565769075857,3924220.93,711.981404443549,0.288687283593878,2047.56966382035,0.237416402950499,187.587519988761,1.05635704527596,55.4507200800659,19.9747455350328,65.984566481833,29.2198864265004,South
10,2001__28__18,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,28,18,28218,28208,TRUE,TRUE,TRUE,24.6676759162704,24.6676759162704,4.699991152704,3011333.64,1039.1424497934,0.303657855966417,2630.88126123628,0.192145408895512,153.178114488475,0.928923064876623,50.4416052255195,25.809404998378,79.6906588200162,29.4062776137931,South
12,2001__28__11,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,28,11,28111,28101,TRUE,TRUE,TRUE,4.65608281577149,4.65608281577149,4.89057705184391,2471498.2,640.314070320185,0.276711824729705,1905.47926184279,0.208378165870838,197.585099276355,1.09053004608141,50.1258376157698,21.6352223117137,73.4514255434071,20.560229141127,South
13,2001__28__13,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,28,13,28113,28103,TRUE,TRUE,TRUE,33.7561362352574,33.7561362352574,4.87622900292385,3601749.885,1193.04322408483,0.451571733897364,2751.89152261349,0.32407424697425,130.661510585623,0.835781127759137,50.232238484638,23.4470702287535,75.3803003864258,37.492262739556,South
14,2001__28__12,Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,28,12,28112,28102,TRUE,TRUE,TRUE,18.048052477315,18.048052477315,5,2058706.465,750.86957676872,0.288763068468954,2370.6964149131,0.312967289374399,215.72679041214,1.14970706632429,44.5326610195201,24.1323886355989,78.8853783660738,22.0515766016218,South
