state,n_rows,mean_EMIE,mean_wavg_ling_degrees,mean_npeople_0708,mean_consumption_0708,mean_dependency_ratio
Andhra Pradesh,11,23.644,4.73744,3.56536e+06,858.69,47.598
Arunachal Pradesh,13,95.0157,4.64729,76279.8,906.331,61.0798
Assam,20,4.86271,3.07233,1.14755e+06,801.401,57.151
Bihar,34,3.50846,0.737019,1.98169e+06,602.665,84.8703
Chandigarh,1,58.3319,0.289864,837516,2923.14,36.783
Chhattisgarh,13,3.36952,0.591175,1.62649e+06,588.203,57.6972
Goa,2,62.2874,2,698016,1427.58,35.721
Gujarat,16,4.43579,1.27061,1.82436e+06,994.49,49.8058
Haryana,19,20.1701,0.126072,1.14201e+06,1056.35,53.1687
Himachal Pradesh,11,16.3984,0.711727,564285,1133.87,54.6767
Jammu and Kashmir,8,74.5374,3.6644,789480,959.896,51.2147
Jharkhand,14,5.85633,1.02389,1.45403e+06,671.741,71.0617
Karnataka,16,14.0909,4.34573,1.43098e+06,831.971,50.7501
Kerala,14,43.4498,4.9984,2.12985e+06,1206.29,48.0393
Lakshadweep,1,32.4513,5,57165.4,1535.94,47.3128
Madhya Pradesh,42,6.24754,0.573043,1.31487e+06,653.244,63.8122
Maharashtra,29,11.483,1.9522,2.84102e+06,889.465,52.3245
Manipur,8,63.6689,4.9857,227266,870.904,49.6512
Meghalaya,6,63.7426,4.85968,344809,941.6,64.6292
Mizoram,7,49.8826,4.70968,81444.7,1150.98,62.8539
Nagaland,8,99.7003,4.7431,118572,1235.28,41.5966
Odisha,23,7.07565,3.11402,1.2445e+06,619.2,52.6754
Puducherry,4,53.7704,4.97028,207734,1333.57,44.4357
Punjab,15,30.8111,0.932473,1.50336e+06,1237.25,49.576
Rajasthan,27,5.38824,0.369378,1.86162e+06,818.178,68.8614
Tamil Nadu,27,22.696,4.98566,2.16928e+06,976.786,45.8385
Telangana,8,28.7588,4.01688,2.92332e+06,991.441,46.7537
Tripura,4,3.23891,3.58325,883490,789.775,50.5184
Uttar Pradesh,62,5.68862,0.017948,2.51811e+06,700.163,76.9319
Uttarakhand,11,14.6636,0.0624887,589312,924.281,66.6122
West Bengal,8,4.75719,2.72338,4.48607e+06,787.75,54.2856
