"row_index","n_neighbors","district_panel_id","state_code_2001","district_code_2001","state_std","district_std"
100,3,"2001__08__25","08","25","rajasthan","rajsamand"
101,4,"2001__08__27","08","27","rajasthan","dungarpur"
102,5,"2001__08__28","08","28","rajasthan","banswara"
103,6,"2001__08__29","08","29","rajasthan","chittaurgarh"
104,4,"2001__08__31","08","31","rajasthan","baran"
105,6,"2001__08__32","08","32","rajasthan","jhalawar"
106,7,"2001__09__01","09","01","uttar pradesh","saharanpur"
107,7,"2001__09__02","09","02","uttar pradesh","muzaffarnagar"
108,7,"2001__09__03","09","03","uttar pradesh","bijnor"
109,4,"2001__09__04","09","04","uttar pradesh","moradabad"
110,3,"2001__09__05","09","05","uttar pradesh","rampur"
111,5,"2001__09__06","09","06","uttar pradesh","j phule nagar"
112,4,"2001__09__07","09","07","uttar pradesh","meerut"
113,5,"2001__09__08","09","08","uttar pradesh","baghpat"
114,6,"2001__09__10","09","10","uttar pradesh","g buddha nagar"
115,4,"2001__09__11","09","11","uttar pradesh","bulandshahr"
116,7,"2001__09__12","09","12","uttar pradesh","aligarh"
117,4,"2001__09__13","09","13","uttar pradesh","hathras"
118,6,"2001__09__14","09","14","uttar pradesh","mathura"
119,9,"2001__09__15","09","15","uttar pradesh","agra"
120,4,"2001__09__16","09","16","uttar pradesh","firozabad"
121,7,"2001__09__17","09","17","uttar pradesh","etah"
122,5,"2001__09__18","09","18","uttar pradesh","mainpuri"
123,9,"2001__09__19","09","19","uttar pradesh","budaun"
124,4,"2001__09__20","09","20","uttar pradesh","bareilly"
125,3,"2001__09__21","09","21","uttar pradesh","pilibhit"
126,6,"2001__09__22","09","22","uttar pradesh","shahjahanpur"
127,5,"2001__09__23","09","23","uttar pradesh","kheri"
128,5,"2001__09__24","09","24","uttar pradesh","sitapur"
129,8,"2001__09__25","09","25","uttar pradesh","hardoi"
130,6,"2001__09__26","09","26","uttar pradesh","unnao"
131,5,"2001__09__27","09","27","uttar pradesh","lucknow"
132,6,"2001__09__28","09","28","uttar pradesh","rai bareli"
133,6,"2001__09__29","09","29","uttar pradesh","farrukhabad"
134,6,"2001__09__30","09","30","uttar pradesh","kannauj"
135,7,"2001__09__31","09","31","uttar pradesh","etawah"
136,4,"2001__09__32","09","32","uttar pradesh","auraiya"
137,8,"2001__09__33","09","33","uttar pradesh","kanpur dehat"
138,3,"2001__09__34","09","34","uttar pradesh","kanpur nagar"
139,6,"2001__09__35","09","35","uttar pradesh","jalaun"
140,9,"2001__09__36","09","36","uttar pradesh","jhansi"
141,6,"2001__09__37","09","37","uttar pradesh","lalitpur"
142,6,"2001__09__38","09","38","uttar pradesh","hamirpur"
143,4,"2001__09__39","09","39","uttar pradesh","mahoba"
144,7,"2001__09__40","09","40","uttar pradesh","banda"
145,5,"2001__09__41","09","41","uttar pradesh","chitrakoot"
146,8,"2001__09__42","09","42","uttar pradesh","fatepur"
147,4,"2001__09__43","09","43","uttar pradesh","pratapgarh"
148,3,"2001__09__44","09","44","uttar pradesh","kaushambi"
149,7,"2001__09__46","09","46","uttar pradesh","barabanki"
150,5,"2001__09__47","09","47","uttar pradesh","faizabad"
151,6,"2001__09__48","09","48","uttar pradesh","ambedkar nag"
152,7,"2001__09__49","09","49","uttar pradesh","sultanpur"
153,5,"2001__09__50","09","50","uttar pradesh","bahraich"
154,3,"2001__09__51","09","51","uttar pradesh","shrawasti"
155,3,"2001__09__52","09","52","uttar pradesh","balrampur"
156,7,"2001__09__53","09","53","uttar pradesh","gonda"
157,6,"2001__09__54","09","54","uttar pradesh","sidhartha nagar"
158,5,"2001__09__55","09","55","uttar pradesh","basti"
159,4,"2001__09__56","09","56","uttar pradesh","s kabir nagar"
160,4,"2001__09__57","09","57","uttar pradesh","maharajganj"
161,8,"2001__09__58","09","58","uttar pradesh","gorakhpur"
162,5,"2001__09__59","09","59","uttar pradesh","kushinagar"
163,6,"2001__09__60","09","60","uttar pradesh","deoria"
164,6,"2001__09__61","09","61","uttar pradesh","azamgarh"
165,5,"2001__09__62","09","62","uttar pradesh","mau"
166,7,"2001__09__63","09","63","uttar pradesh","ballia"
167,6,"2001__09__64","09","64","uttar pradesh","jaunpur"
168,8,"2001__09__65","09","65","uttar pradesh","ghazipur"
169,5,"2001__09__66","09","66","uttar pradesh","chandauli"
170,5,"2001__09__67","09","67","uttar pradesh","varanashi"
171,3,"2001__09__68","09","68","uttar pradesh","s r nagar bhadohi"
172,6,"2001__09__69","09","69","uttar pradesh","mirzapur"
173,7,"2001__09__70","09","70","uttar pradesh","sonbhadra"
174,4,"2001__10__01","10","01","bihar","champaran w"
175,5,"2001__10__02","10","02","bihar","champaran e"
176,2,"2001__10__03","10","03","bihar","sheohar"
177,5,"2001__10__04","10","04","bihar","sitamari"
178,4,"2001__10__05","10","05","bihar","madhubani"
179,4,"2001__10__06","10","06","bihar","supaul"
180,4,"2001__10__07","10","07","bihar","araria"
181,4,"2001__10__08","10","08","bihar","kishanganj"
182,6,"2001__10__09","10","09","bihar","purnea"
183,5,"2001__10__10","10","10","bihar","katihar"
184,6,"2001__10__11","10","11","bihar","madhepura"
185,6,"2001__10__12","10","12","bihar","saharsa"
186,5,"2001__10__13","10","13","bihar","darbhanga"
187,7,"2001__10__14","10","14","bihar","muzaffarpur"
188,7,"2001__10__15","10","15","bihar","gopalganj"
189,4,"2001__10__16","10","16","bihar","siwan"
190,7,"2001__10__17","10","17","bihar","saran"
