"state_std","district_std","emie_2007","n","district_panel_id_2007","district_panel_id_2017","district_panel_id"
"08","06",1,1561,"2007__08__06","2017__08__06","2007__08__06"
"08","07",1,1482,"2007__08__07","2017__08__07","2007__08__07"
"08","08",1,858,"2007__08__08","2017__08__08","2007__08__08"
"08","09",1,749,"2007__08__09","2017__08__09","2007__08__09"
"08","10",1,774,"2007__08__10","2017__08__10","2007__08__10"
"08","11",1,1037,"2007__08__11","2017__08__11","2007__08__11"
"08","12",1,2608,"2007__08__12","2017__08__12","2007__08__12"
"08","13",1,1684,"2007__08__13","2017__08__13","2007__08__13"
"08","14",1,1839,"2007__08__14","2017__08__14","2007__08__14"
"08","15",1,1531,"2007__08__15","2017__08__15","2007__08__15"
"08","16",1,797,"2007__08__16","2017__08__16","2007__08__16"
"08","17",1,1319,"2007__08__17","2017__08__17","2007__08__17"
"08","18",1,933,"2007__08__18","2017__08__18","2007__08__18"
"08","19",1,702,"2007__08__19","2017__08__19","2007__08__19"
"08","20",1,999,"2007__08__20","2017__08__20","2007__08__20"
"08","21",1,1244,"2007__08__21","2017__08__21","2007__08__21"
"08","22",1,797,"2007__08__22","2017__08__22","2007__08__22"
"08","23",1,729,"2007__08__23","2017__08__23","2007__08__23"
"08","24",1,973,"2007__08__24","2017__08__24","2007__08__24"
"08","25",1,740,"2007__08__25","2017__08__25","2007__08__25"
"08","26",1,1426,"2007__08__26","2017__08__26","2007__08__26"
"08","27",1,712,"2007__08__27","2017__08__27","2007__08__27"
"08","28",1,1019,"2007__08__28","2017__08__28","2007__08__28"
"08","29",1,924,"2007__08__29","2017__08__29","2007__08__29"
"08","30",1,962,"2007__08__30","2017__08__30","2007__08__30"
"08","31",1,717,"2007__08__31","2017__08__31","2007__08__31"
"08","32",1,714,"2007__08__32","2017__08__32","2007__08__32"
"09","01",1,1409,"2007__09__01","2017__09__01","2007__09__01"
"09","02",1,1758,"2007__09__02","2017__09__02","2007__09__02"
"09","03",1,1309,"2007__09__03","2017__09__03","2007__09__03"
"09","04",1,1935,"2007__09__04","2017__09__04","2007__09__04"
"09","05",1,1084,"2007__09__05","2017__09__05","2007__09__05"
"09","06",1,780,"2007__09__06","2017__09__06","2007__09__06"
"09","07",1,1589,"2007__09__07","2017__09__07","2007__09__07"
"09","08",1,804,"2007__09__08","2017__09__08","2007__09__08"
"09","09",1,1705,"2007__09__09","2017__09__09","2007__09__09"
"09","10",1,735,"2007__09__10","2017__09__10","2007__09__10"
"09","11",1,1368,"2007__09__11","2017__09__11","2007__09__11"
"09","12",1,1375,"2007__09__12","2017__09__12","2007__09__12"
"09","13",1,862,"2007__09__13","2017__09__13","2007__09__13"
"09","14",1,1097,"2007__09__14","2017__09__14","2007__09__14"
"09","15",1,1618,"2007__09__15","2017__09__15","2007__09__15"
"09","16",1,1096,"2007__09__16","2017__09__16","2007__09__16"
"09","17",1,1363,"2007__09__17","2017__09__17","2007__09__17"
"09","18",1,802,"2007__09__18","2017__09__18","2007__09__18"
"09","19",1,1381,"2007__09__19","2017__09__19","2007__09__19"
"09","20",1,1608,"2007__09__20","2017__09__20","2007__09__20"
"09","21",1,784,"2007__09__21","2017__09__21","2007__09__21"
"09","22",1,1047,"2007__09__22","2017__09__22","2007__09__22"
"09","23",1,1541,"2007__09__23","2017__09__23","2007__09__23"
"09","24",1,1571,"2007__09__24","2017__09__24","2007__09__24"
"09","25",1,1543,"2007__09__25","2017__09__25","2007__09__25"
"09","26",1,1230,"2007__09__26","2017__09__26","2007__09__26"
"09","27",1,1671,"2007__09__27","2017__09__27","2007__09__27"
"09","28",1,1301,"2007__09__28","2017__09__28","2007__09__28"
"09","29",1,764,"2007__09__29","2017__09__29","2007__09__29"
"09","30",1,843,"2007__09__30","2017__09__30","2007__09__30"
"09","31",1,810,"2007__09__31","2017__09__31","2007__09__31"
"09","32",1,746,"2007__09__32","2017__09__32","2007__09__32"
"09","33",1,1066,"2007__09__33","2017__09__33","2007__09__33"
"09","34",1,1625,"2007__09__34","2017__09__34","2007__09__34"
"09","35",1,783,"2007__09__35","2017__09__35","2007__09__35"
"09","36",1,685,"2007__09__36","2017__09__36","2007__09__36"
"09","37",1,751,"2007__09__37","2017__09__37","2007__09__37"
"09","38",1,755,"2007__09__38","2017__09__38","2007__09__38"
"09","39",1,770,"2007__09__39","2017__09__39","2007__09__39"
"09","40",1,682,"2007__09__40","2017__09__40","2007__09__40"
"09","41",1,737,"2007__09__41","2017__09__41","2007__09__41"
"09","42",1,1278,"2007__09__42","2017__09__42","2007__09__42"
"09","43",1,1232,"2007__09__43","2017__09__43","2007__09__43"
"09","44",1,877,"2007__09__44","2017__09__44","2007__09__44"
"09","45",1,1813,"2007__09__45","2017__09__45","2007__09__45"
"09","46",1,1322,"2007__09__46","2017__09__46","2007__09__46"
"09","47",1,1071,"2007__09__47","2017__09__47","2007__09__47"
"09","48",1,1200,"2007__09__48","2017__09__48","2007__09__48"
"09","49",1,1648,"2007__09__49","2017__09__49","2007__09__49"
"09","50",1,1269,"2007__09__50","2017__09__50","2007__09__50"
"09","51",1,817,"2007__09__51","2017__09__51","2007__09__51"
"09","52",1,1039,"2007__09__52","2017__09__52","2007__09__52"
"09","53",1,1180,"2007__09__53","2017__09__53","2007__09__53"
"09","54",1,1086,"2007__09__54","2017__09__54","2007__09__54"
"09","55",1,1124,"2007__09__55","2017__09__55","2007__09__55"
"09","56",1,864,"2007__09__56","2017__09__56","2007__09__56"
"09","57",1,1132,"2007__09__57","2017__09__57","2007__09__57"
"09","58",1,1524,"2007__09__58","2017__09__58","2007__09__58"
"09","59",1,1593,"2007__09__59","2017__09__59","2007__09__59"
"09","60",1,1517,"2007__09__60","2017__09__60","2007__09__60"
"09","61",1,1728,"2007__09__61","2017__09__61","2007__09__61"
"09","62",1,1114,"2007__09__62","2017__09__62","2007__09__62"
"09","63",1,1411,"2007__09__63","2017__09__63","2007__09__63"
"09","64",1,1773,"2007__09__64","2017__09__64","2007__09__64"
"09","65",1,1853,"2007__09__65","2017__09__65","2007__09__65"
"09","66",1,1184,"2007__09__66","2017__09__66","2007__09__66"
"09","67",1,1649,"2007__09__67","2017__09__67","2007__09__67"
"09","68",1,904,"2007__09__68","2017__09__68","2007__09__68"
"09","69",1,1043,"2007__09__69","2017__09__69","2007__09__69"
"09","70",1,644,"2007__09__70","2017__09__70","2007__09__70"
"10","01",1,2036,"2007__10__01","2017__10__01","2007__10__01"
"10","02",1,2438,"2007__10__02","2017__10__02","2007__10__02"
"10","03",1,684,"2007__10__03","2017__10__03","2007__10__03"
"10","04",1,1599,"2007__10__04","2017__10__04","2007__10__04"
"10","05",1,2041,"2007__10__05","2017__10__05","2007__10__05"
"10","06",1,1071,"2007__10__06","2017__10__06","2007__10__06"
"10","07",1,1489,"2007__10__07","2017__10__07","2007__10__07"
"10","08",1,910,"2007__10__08","2017__10__08","2007__10__08"
"10","09",1,1479,"2007__10__09","2017__10__09","2007__10__09"
"10","10",1,1431,"2007__10__10","2017__10__10","2007__10__10"
"10","11",1,1345,"2007__10__11","2017__10__11","2007__10__11"
"10","12",1,908,"2007__10__12","2017__10__12","2007__10__12"
"10","13",1,2028,"2007__10__13","2017__10__13","2007__10__13"
"10","14",1,1996,"2007__10__14","2017__10__14","2007__10__14"
"10","15",1,1564,"2007__10__15","2017__10__15","2007__10__15"
"10","16",1,1774,"2007__10__16","2017__10__16","2007__10__16"
"10","17",1,2219,"2007__10__17","2017__10__17","2007__10__17"
"10","18",1,1775,"2007__10__18","2017__10__18","2007__10__18"
"10","19",1,1855,"2007__10__19","2017__10__19","2007__10__19"
"10","20",1,1377,"2007__10__20","2017__10__20","2007__10__20"
"10","21",1,946,"2007__10__21","2017__10__21","2007__10__21"
"10","22",1,1601,"2007__10__22","2017__10__22","2007__10__22"
"10","23",1,1236,"2007__10__23","2017__10__23","2007__10__23"
"10","24",1,658,"2007__10__24","2017__10__24","2007__10__24"
"10","25",1,847,"2007__10__25","2017__10__25","2007__10__25"
"10","26",1,842,"2007__10__26","2017__10__26","2007__10__26"
"10","27",1,1534,"2007__10__27","2017__10__27","2007__10__27"
"10","28",1,3276,"2007__10__28","2017__10__28","2007__10__28"
"10","29",1,1634,"2007__10__29","2017__10__29","2007__10__29"
"10","30",1,1101,"2007__10__30","2017__10__30","2007__10__30"
"10","31",1,1018,"2007__10__31","2017__10__31","2007__10__31"
"10","32",1,1505,"2007__10__32","2017__10__32","2007__10__32"
"10","33",1,1021,"2007__10__33","2017__10__33","2007__10__33"
"10","34",1,1604,"2007__10__34","2017__10__34","2007__10__34"
"10","35",1,2103,"2007__10__35","2017__10__35","2007__10__35"
"10","36",1,1315,"2007__10__36","2017__10__36","2007__10__36"
"10","37",1,1029,"2007__10__37","2017__10__37","2007__10__37"
"11","01",1,844,"2007__11__01","2017__11__01","2007__11__01"
"11","02",1,2102,"2007__11__02","2017__11__02","2007__11__02"
"11","03",1,2013,"2007__11__03","2017__11__03","2007__11__03"
"11","04",1,3010,"2007__11__04","2017__11__04","2007__11__04"
"12","01",1,415,"2007__12__01","2017__12__01","2007__12__01"
