"district_2001","round_id","outcome_id","estimate","std_error","relative_se","cv","n_households","n_fsu","n_sample_person_equiv","sum_person_weight","kish_effective_n","status","reason","uncertainty_requested","sample_support_ok","analysis_eligible","precision_ok","preferred_eligible","support_reason"
"pc2001__24__09","nss_2011_12_type2","mean_log_real_mpce",7.43747319889222,0.0623237358093637,0.00837969215386841,NA,216,27,976,3137559.755,86.1540955500766,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__10","nss_2011_12_type2","mean_log_real_mpce",7.22052198721336,0.0511780320659082,0.00708785765856514,NA,128,16,584,1557586.655,32.6930740973708,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__11","nss_2011_12_type2","mean_log_real_mpce",7.15202832864485,0.0853746254545495,0.0119371207063893,NA,64,8,302,403589.885,31.5637503088022,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__12","nss_2011_12_type2","mean_log_real_mpce",7.3768840744197,0.0435174054492809,0.00589915810120741,NA,160,20,762,2258570.795,52.8051139875558,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__13","nss_2011_12_type2","mean_log_real_mpce",7.32523452757474,0.0540344085593398,0.00737647489045374,NA,96,12,450,1020400.49,30.9312827902532,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__14","nss_2011_12_type2","mean_log_real_mpce",7.189045067888,0.0579715074639119,0.00806386758136471,NA,160,20,743,2977743.385,52.509082806547,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__15","nss_2011_12_type2","mean_log_real_mpce",7.12484348149672,0.0538281952613557,0.00755500038718717,NA,128,16,550,1688493.49,26.9020050988248,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__16","nss_2011_12_type2","mean_log_real_mpce",6.96166409829454,0.102666514848917,0.0147474100156697,NA,96,12,490,2214582.24,22.4416375288676,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__17","nss_2011_12_type2","mean_log_real_mpce",6.92758981545621,0.0650313780213027,0.00938730204207682,NA,128,16,621,2166909.825,22.0524986959205,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__24__18","nss_2011_12_type2","mean_log_real_mpce",6.75447389668207,0.110335146292277,0.0163351206888927,NA,96,12,543,2025259.08,14.3313968216721,"estimated",NA,TRUE,FALSE,FALSE,NA,FALSE,"low_kish_effective_n"
