"target_unit_2001","n_source_districts","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","n_rural_people","n_urban_people","preferred_eligible","support_reason"
"pc2001__07__08",1,111,5,424334.22,43.4501281646996,54,57,FALSE,"low_kish_effective_n"
"pc2001__07__09",1,169,6,942336.350000002,91.0082579170127,20,149,FALSE,"low_kish_effective_n"
"pc2001__08__01",1,777,20,2119358.52999999,252.538894437489,450,327,TRUE,
"pc2001__08__02",1,495,12,1753450.995,183.718968718048,335,160,TRUE,
"pc2001__08__03",1,801,16,1893515.515,213.571925766636,380,421,TRUE,
"pc2001__08__04",1,867,20,2326246.39,426.535622517647,537,330,TRUE,
"pc2001__08__05",1,670,16,1711658.83,349.554284151585,507,163,TRUE,
"pc2001__08__06",1,693,16,3576480.19000001,256.048501102673,547,146,TRUE,
"pc2001__08__07",1,756,16,2737992.47499999,273.169050314306,602,154,TRUE,
"pc2001__08__08",1,553,12,1243481.075,231.50244765541,373,180,TRUE,
"pc2001__08__09",1,549,12,1292194.97999999,266.409710295606,380,169,TRUE,
"pc2001__08__10",1,498,12,1097423.445,138.589348080617,330,168,TRUE,
"pc2001__08__11",1,479,12,1569577.05,157.530878254334,328,151,TRUE,
"pc2001__08__12",1,1869,48,4876182.89999998,588.87983814036,555,1314,TRUE,
"pc2001__08__13",1,883,20,2158377.30000001,275.218642617058,511,372,TRUE,
"pc2001__08__14",1,789,20,2477839.19499999,237.341061464833,486,303,TRUE,
"pc2001__08__15",1,910,20,3134264.25499999,360.914973891207,530,380,TRUE,
"pc2001__08__16",1,496,12,574940.830000001,260.737235698203,339,157,TRUE,
"pc2001__08__17",1,707,16,2026318.875,242.765955626719,532,175,TRUE,
"pc2001__08__18",1,662,16,1460686.895,228.877291582453,520,142,TRUE,
"pc2001__08__19",1,506,12,964344.080000001,204.552419396885,334,172,TRUE,
"pc2001__08__20",1,587,16,1710817.48,288.0821784844,455,132,TRUE,
"pc2001__08__21",1,851,20,2194903.935,373.930809681918,557,294,TRUE,
"pc2001__08__22",1,472,12,1324822.775,226.39232145634,334,138,TRUE,
"pc2001__08__23",1,405,12,907884.730000002,138.393824671297,275,130,TRUE,
"pc2001__08__24",1,569,16,2253236.24,304.022432025894,456,113,TRUE,
"pc2001__08__25",1,508,12,1071820.735,259.000102271853,342,166,TRUE,
"pc2001__08__26",1,747,20,2893194.87499999,281.36777927224,463,284,TRUE,
"pc2001__08__27",1,429,12,1214834.21,183.849564034069,312,117,TRUE,
"pc2001__08__28",1,646,16,1794886.71,227.528794842343,538,108,TRUE,
"pc2001__08__29",1,602,16,2054731.13,316.363780174719,467,135,TRUE,
"pc2001__08__30",1,616,16,1924723.89,303.803024334692,324,292,TRUE,
