"source_district_code","target_unit_2001","lineage_status","n_sample_people","n_fsu","sum_person_weight","kish_effective_n"
"08209","pc2001__08__09","resolved_reviewed_primary",357,10,911078.792500001,179.417642071841
"08210","pc2001__08__10","resolved_reviewed_primary",263,7,764683.449999999,124.707551669308
"08211","pc2001__08__11","resolved_reviewed_deterministic",447,12,1588113.51625,217.900840346355
"08212","pc2001__08__12","resolved_reviewed_primary",2312,63,6440890.95875001,1152.28521618178
"08221","pc2001__08__21","resolved_reviewed_primary",1134,29,2927098.8825,423.646075816741
"08222","pc2001__08__22","resolved_reviewed_primary",474,12,1260249.16,235.978187840883
"08224",,"unresolved_source_district",742,18,2682020.05625001,313.18026627049
"08325","pc2001__08__25","resolved_reviewed_primary",362,9,1104501.01875,137.432718575407
"08326","pc2001__08__27","resolved_reviewed_deterministic",267,7,975545.192499999,98.5676035466118
"08327","pc2001__08__28","resolved_reviewed_primary",572,15,1897921.01375001,204.242408170388
"08332",,"unresolved_source_district",884,25,2778254.43249999,264.56874760234
"08423","pc2001__08__23","resolved_reviewed_deterministic",424,11,877453.96125,194.443839404345
"08428","pc2001__08__29","resolved_reviewed_deterministic",595,15,1660693.78875,201.903304612586
"08429",,"unresolved_source_district",485,13,1169424.8875,222.27554093109
"08430","pc2001__08__31","resolved_reviewed_primary",380,10,1060300.6,182.548060059538
"08431","pc2001__08__32","resolved_reviewed_deterministic",353,8,959508.79125,141.822084897336
"08433",,"unresolved_source_district",316,7,1270442.79,106.659904173036
"08501","pc2001__08__01","resolved_reviewed_primary",786,20,2518777.13375,393.19320111089
"08502","pc2001__08__02","resolved_reviewed_deterministic",586,14,1927400.1275,306.592606868465
"08504","pc2001__08__04","resolved_reviewed_deterministic",532,12,1574512.995,309.982514181532
"08505","pc2001__08__05","resolved_reviewed_deterministic",468,13,1399462.22499999,184.987984174883
"08513","pc2001__08__13","resolved_reviewed_primary",798,21,1940189.07749999,378.351094172012
"08514","pc2001__08__14","resolved_reviewed_primary",1027,24,3169051.15125,467.515412840618
"09101","pc2001__09__01","resolved_reviewed_deterministic",883,22,3782579.55999999,345.28003305729
"09102","pc2001__09__02","resolved_reviewed_primary",953,21,4723820.4,329.187036999053
"09103","pc2001__09__03","resolved_reviewed_deterministic",808,19,3658235.41749999,315.053355328122
"09104","pc2001__09__04","resolved_reviewed_primary",620,16,2111235.2725,181.013305888256
"09105","pc2001__09__05","resolved_reviewed_deterministic",513,11,2062776.56875,174.226299531535
"09106",,"unresolved_source_district",383,9,1660677.4625,159.029616530761
"09107",,"unresolved_source_district",908,23,2686916.57625001,382.43349443252
"09108",,"unresolved_source_district",209,5,886742.958750001,76.1603991109717
"09109",,"unresolved_source_district",1804,46,5269428.99374996,809.936170983386
"09110",,"unresolved_source_district",806,28,2300533.96624999,255.574298184026
"09223","pc2001__09__24","resolved_reviewed_deterministic",841,21,4345732.30500001,264.703509694656
"09224","pc2001__09__25","resolved_reviewed_deterministic",1152,29,4349443.39375,386.022202941281
"09225","pc2001__09__26","resolved_reviewed_deterministic",679,18,3025611.61999999,233.867083556675
"09226","pc2001__09__27","resolved_reviewed_deterministic",1072,31,4572487.3975,390.057716439922
"09227","pc2001__09__28","resolved_reviewed_deterministic",638,19,2741506.53499999,258.631207591253
"09232","pc2001__09__33","resolved_reviewed_deterministic",319,9,1291120.35625,194.572214152777
"09233","pc2001__09__34","resolved_reviewed_deterministic",1227,35,3249202.68874998,727.318065867966
"09241","pc2001__09__42","resolved_reviewed_deterministic",400,11,1553138.11625,172.922084375649
"09245","pc2001__09__46","resolved_reviewed_primary",768,19,3387465.04874999,270.252786738219
"09342","pc2001__09__43","resolved_reviewed_deterministic",616,17,2770591.01124999,344.571762988148
"09343","pc2001__09__44","resolved_reviewed_deterministic",412,11,2019203.36125,169.109473642264
"09344",,"unresolved_source_district",1071,30,4351465.74499998,553.741412146854
"09346","pc2001__09__47","resolved_reviewed_primary",834,21,3307334.72624999,324.334518497065
"09347","pc2001__09__48","resolved_reviewed_deterministic",323,9,1499253.31750001,170.078396980192
"09348","pc2001__09__49","resolved_reviewed_primary",653,16,2383890.97124999,265.494248841353
"09349","pc2001__09__50","resolved_reviewed_deterministic",536,13,2211300.99875,154.573120351899
"09350","pc2001__09__51","resolved_reviewed_primary",238,6,1263571.59125,79.9870569157208
"09351","pc2001__09__52","resolved_reviewed_deterministic",664,15,2755487.31875,200.558601223712
"09352","pc2001__09__53","resolved_reviewed_deterministic",710,18,2658112.69125,297.243263269738
"09353","pc2001__09__54","resolved_reviewed_deterministic",803,19,2997987.7775,311.258656882997
"09354","pc2001__09__55","resolved_reviewed_deterministic",464,12,2037534.04375,291.521677166366
"09355","pc2001__09__56","resolved_reviewed_primary",251,6,1000125.42,137.937256905089
"09356","pc2001__09__57","resolved_reviewed_primary",690,16,2907832.665,344.09916202167
"09357","pc2001__09__58","resolved_reviewed_primary",755,18,3862890.3275,373.155533389732
"09358","pc2001__09__59","resolved_reviewed_primary",556,13,2577321.39375,261.111284839249
"09359","pc2001__09__60","resolved_reviewed_deterministic",651,15,2745537.80125001,292.510955561704
"09360","pc2001__09__61","resolved_reviewed_deterministic",877,23,2993973.04500001,398.030609243743
"09361","pc2001__09__62","resolved_reviewed_deterministic",670,16,2074586.44625,371.833230008098
"09362","pc2001__09__63","resolved_reviewed_deterministic",471,12,1915062.10375,248.202586055035
"09363","pc2001__09__64","resolved_reviewed_deterministic",877,23,3620384.59000001,515.874118633804
"09364","pc2001__09__65","resolved_reviewed_deterministic",545,14,2333632.415,223.493353944596
"09365","pc2001__09__66","resolved_reviewed_deterministic",461,11,1721491.7025,187.436552499486
"09366","pc2001__09__67","resolved_reviewed_deterministic",1075,26,3562578.55625,479.308621251434
"09367","pc2001__09__68","resolved_reviewed_primary",424,11,1822291.9,217.647078600755
"09368","pc2001__09__69","resolved_reviewed_deterministic",388,11,2017848.84375,194.764145168111
"09369","pc2001__09__70","resolved_reviewed_deterministic",201,6,901728.02375,63.4655854250245
"09434","pc2001__09__35","resolved_reviewed_deterministic",404,10,1432461.945,269.433482123195
"09435","pc2001__09__36","resolved_reviewed_deterministic",501,13,1146396.66375,210.93813591693
"09436","pc2001__09__37","resolved_reviewed_deterministic",364,9,1320386.15,95.1074871045824
"09437","pc2001__09__38","resolved_reviewed_deterministic",268,7,1107418.98,129.589805981626
"09438","pc2001__09__39","resolved_reviewed_deterministic",234,6,692326.336250002,92.7417237642396
"09439","pc2001__09__40","resolved_reviewed_deterministic",628,16,2339803.34625001,214.801368997769
"09440","pc2001__09__41","resolved_reviewed_deterministic",115,3,275141.0525,61.0169048392218
"09511","pc2001__09__11","resolved_reviewed_deterministic",873,20,3359119.16125,356.359183529745
"09512","pc2001__09__12","resolved_reviewed_deterministic",954,23,3254577.31625001,461.054455143875
"09513","pc2001__09__13","resolved_reviewed_primary",670,16,2140730.91,297.40261945437
"09514","pc2001__09__14","resolved_reviewed_deterministic",436,11,2212919.29125,238.862029542831
"09515","pc2001__09__15","resolved_reviewed_deterministic",1263,31,4046167.26500001,560.998588251429
"09516","pc2001__09__16","resolved_reviewed_deterministic",697,17,2509344.39125,341.112411002018
"09517","pc2001__09__18","resolved_reviewed_deterministic",405,11,1878243.7925,224.564219857565
"09518","pc2001__09__19","resolved_reviewed_primary",781,16,3095902.91875,233.541167302127
"09519","pc2001__09__20","resolved_reviewed_deterministic",1296,30,4484256.33750003,423.813256091357
"09520","pc2001__09__21","resolved_reviewed_deterministic",450,12,2256260.90875001,197.04828475023
"09521","pc2001__09__22","resolved_reviewed_deterministic",539,13,2260261.80500001,179.359293379667
"09522","pc2001__09__23","resolved_reviewed_primary",622,16,3074964.91750001,202.570662566875
"09528","pc2001__09__29","resolved_reviewed_deterministic",445,11,1765483.45875,166.099270057179
"09529","pc2001__09__30","resolved_reviewed_deterministic",386,10,1904307.32375,183.838181088884
"09530","pc2001__09__31","resolved_reviewed_deterministic",474,13,2030057.54875,246.354558595419
"09531","pc2001__09__32","resolved_reviewed_deterministic",145,4,744682.326250001,73.7166454975857
"09570","pc2001__09__17","resolved_reviewed_deterministic",465,11,1858957.00875,226.233372088946
"09571","pc2001__09__17","resolved_reviewed_primary",319,7,1371595.8825,139.321659830219
"10101","pc2001__10__01","resolved_reviewed_deterministic",764,17,3312741.38,287.707801388002
"10102","pc2001__10__02","resolved_reviewed_deterministic",996,24,4924378.97499998,279.1154265231
"10103","pc2001__10__03","resolved_reviewed_deterministic",69,2,325223.925,28.990792132369
