"target_unit_2001","n_source_districts","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","n_rural_people","n_urban_people","preferred_eligible","support_reason"
"pc2001__27__31",1,822,26,2288449.54,278.078508967382,477,345,TRUE,
"pc2001__27__32",1,659,21,2079336.72625,400.44394028604,533,126,TRUE,
"pc2001__27__33",1,82,3,327263.03625,56.2409813186399,82,0,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__27__34",1,1005,31,3018423.32750001,499.594196975194,590,415,TRUE,
"pc2001__27__35",1,605,18,2460856.07499999,257.257979117159,491,114,TRUE,
"pc2001__28__01",3,2341,77,7421858.56124999,1026.43093499187,1371,970,TRUE,
"pc2001__28__02",1,2933,100,6802289.68874999,2066.40926883964,0,2933,TRUE,
"pc2001__28__09",1,1055,39,3389947.2,510.057006983181,623,432,TRUE,
"pc2001__28__10",1,617,23,1948523.9275,300.793653593113,378,239,TRUE,
"pc2001__28__11",1,707,24,1984246.8425,405.777946115557,524,183,TRUE,
"pc2001__28__12",1,633,20,1867815.72,327.284715688936,449,184,TRUE,
"pc2001__28__13",1,1495,53,5764675.56000001,342.565767765258,662,833,TRUE,
"pc2001__28__14",1,1571,56,5072136.63375,496.12925442354,697,874,TRUE,
"pc2001__28__15",1,865,31,3315331.86749999,321.740861895062,645,220,TRUE,
"pc2001__28__16",1,1633,60,4995374.45625001,673.776884728091,642,991,TRUE,
"pc2001__28__17",1,1214,41,3955467.71,357.114164001155,732,482,TRUE,
"pc2001__28__18",1,1022,38,2938286.66,328.74558753237,581,441,TRUE,
"pc2001__28__19",1,858,29,2992170.94999999,347.014676686208,568,290,TRUE,
"pc2001__28__20",1,792,26,2319331.73375,343.579662492396,419,373,TRUE,
"pc2001__28__21",1,1699,49,5064769.39000002,609.069400921004,1033,666,TRUE,
"pc2001__28__22",1,985,33,3411157.35749999,394.169989555645,540,445,TRUE,
"pc2001__28__23",1,1091,36,3141814.31874999,495.264340590477,616,475,TRUE,
"pc2001__29__02",1,548,15,1766124.51625,276.127133235274,222,326,TRUE,
"pc2001__29__04",1,509,13,1524816.5,188.558252485151,364,145,TRUE,
"pc2001__29__05",1,193,5,564116.745,115.738582618376,82,111,TRUE,
"pc2001__29__06",1,742,17,2665665.8125,388.955039746597,582,160,TRUE,
