"specification_id","sequence","adjustment_id","adjustment","construction_id","construction","fixed_effect","excluded_instruments","included_language_controls","n_excluded_instruments","joint_excluded_f","joint_excluded_p","partial_r_squared","n","n_states","n_regions"
"region_main__nonzero_mean",16,"region_main","Six-region FE + main controls","nonzero_mean","Mean distance among speakers above zero","region","ling_distance_nonzero_mean","",1,3.25127348952258,0.072302729938437,0.0406106761718337,339,35,6
"region_main__glottolog_mean",27,"region_main","Six-region FE + main controls","glottolog_mean","Glottolog edge-distance mean among non-Hindi/Urdu speakers","region","ling_distance_glottolog_nonhindi_mean","",1,0.7545240071252,0.385694626622147,0.00481249640494243,339,35,6
"region_main__dyen_noncognate",29,"region_main","Six-region FE + main controls","dyen_noncognate","Dyen/Shastry noncognate percentage among non-Hindi/Urdu speakers","region","ling_distance_dyen_noncognate_pct","",1,0.0692063024744726,0.792664175622487,0.000664631462231327,339,35,6
"state_main__nonzero_mean",46,"state_main","State FE + main controls","nonzero_mean","Mean distance among speakers above zero","state","ling_distance_nonzero_mean","",1,0.704054411074045,0.402108752601107,0.0040145975785436,339,35,6
"state_main__glottolog_mean",57,"state_main","State FE + main controls","glottolog_mean","Glottolog edge-distance mean among non-Hindi/Urdu speakers","state","ling_distance_glottolog_nonhindi_mean","",1,3.92779629013314,0.0484283905500859,0.020882741874818,339,35,6
"state_main__dyen_noncognate",59,"state_main","State FE + main controls","dyen_noncognate","Dyen/Shastry noncognate percentage among non-Hindi/Urdu speakers","state","ling_distance_dyen_noncognate_pct","",1,0.164687822496151,0.685172913637136,0.00108805938690769,339,35,6
