"target_unit_2001","n_source_districts","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","n_rural_people","n_urban_people","preferred_eligible","support_reason"
"pc2001__01__01",1,654,13,394330.75,323.827228177098,459,195,TRUE,
"pc2001__01__02",1,1160,22,846783.889999999,706.940315937077,831,329,TRUE,
"pc2001__01__03",1,1561,27,802022.8,767.624988037471,440,1121,TRUE,
"pc2001__01__04",1,875,15,395749.054999998,538.081437629575,653,222,TRUE,
"pc2001__01__05",1,1064,16,583608.915000003,426.311527259936,815,249,TRUE,
"pc2001__01__06",1,1394,23,1073355.32999999,712.46465428593,1025,369,TRUE,
"pc2001__01__09",1,531,12,603597.544999998,248.796433850323,372,159,TRUE,
"pc2001__01__10",1,849,19,1026571.7,370.568728134843,532,317,TRUE,
"pc2001__01__12",1,103,2,668279.509999999,38.9225300772858,64,39,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__01__13",1,2050,44,1351596.05,825.603179172974,804,1246,TRUE,
"pc2001__01__14",1,908,20,545298.875000001,391.9743066349,599,309,TRUE,
"pc2001__02__01",1,630,16,434993.355000003,365.070904622162,524,106,TRUE,
"pc2001__02__02",1,1498,36,1333625.62000001,876.046404283562,1179,319,TRUE,
"pc2001__02__03",1,394,8,30960.8499999999,230.457481115018,394,0,TRUE,
"pc2001__02__04",1,748,16,406707.005000001,331.761451072008,623,125,TRUE,
"pc2001__02__05",1,1309,32,914990.725000004,652.959494599678,1021,288,TRUE,
"pc2001__02__06",1,634,16,403170.93,426.511573499321,481,153,TRUE,
"pc2001__02__07",1,699,16,450564.005000001,392.761888544881,505,194,TRUE,
"pc2001__02__08",1,693,16,341386.730000001,434.756788634149,556,137,TRUE,
"pc2001__02__09",1,827,20,490071.08,471.66761565562,548,279,TRUE,
"pc2001__02__10",1,681,16,436956.590000001,301.058891661711,532,149,TRUE,
"pc2001__02__11",1,923,24,905847.410000001,386.114564611116,672,251,TRUE,
"pc2001__02__12",1,283,8,75846.5249999999,183.927447146234,283,0,TRUE,
"pc2001__03__01",1,1106,24,2168695.26499999,532.486998277598,781,325,TRUE,
"pc2001__03__02",1,1575,32,3349355.62499999,759.832813928132,854,721,TRUE,
"pc2001__03__03",1,548,12,728252.999999998,300.277324634255,391,157,TRUE,
"pc2001__03__04",1,1175,28,1958568.285,559.994879909519,576,599,TRUE,
"pc2001__03__05",1,704,16,1229274.11,402.865441266185,556,148,TRUE,
"pc2001__03__06",1,486,12,474545.31,237.569145939089,334,152,TRUE,
"pc2001__03__07",1,729,16,1042312.45,388.848911026673,401,328,TRUE,
"pc2001__03__08",1,561,12,430467.63,252.533405818271,399,162,TRUE,
"pc2001__03__09",1,1489,36,3094177.94499998,631.562747002869,528,961,TRUE,
"pc2001__03__10",1,625,12,885259.570000004,249.4837250238,419,206,TRUE,
"pc2001__03__11",1,934,20,1673037.935,495.458492119785,560,374,TRUE,
"pc2001__03__12",1,560,12,719664.765,263.955807529011,389,171,TRUE,
"pc2001__03__13",1,553,12,502620.299999999,289.578744682301,403,150,TRUE,
"pc2001__03__14",1,683,16,1147439.85,296.251865720878,351,332,TRUE,
"pc2001__03__15",1,530,12,693662.614999998,249.35129559564,373,157,TRUE,
"pc2001__03__16",1,1207,24,1910886.04000001,521.746671124451,641,566,TRUE,
"pc2001__03__17",1,1119,24,1849940.105,526.602051136868,587,532,TRUE,
"pc2001__04__01",1,1471,43,857409.950000002,744.212156542088,293,1178,TRUE,
"pc2001__05__01",1,472,12,281268.165,276.610181408391,345,127,TRUE,
"pc2001__05__02",1,419,12,340223.42,263.046581523923,287,132,TRUE,
"pc2001__05__03",1,313,8,221011.125,123.426978252205,173,140,TRUE,
"pc2001__05__04",1,462,11,532458.34,314.791184419615,368,94,TRUE,
"pc2001__05__05",1,701,16,1367195.515,336.633524917909,375,326,TRUE,
"pc2001__05__06",1,425,11,535012.604999999,305.980279150881,288,137,TRUE,
"pc2001__05__07",1,463,12,432749.21,287.766605989705,327,136,TRUE,
"pc2001__05__08",1,294,8,231442.315,132.184189151689,170,124,TRUE,
"pc2001__05__09",1,487,12,615359.889999999,298.951206824837,343,144,TRUE,
"pc2001__05__10",1,364,8,226744.255,152.579283443198,187,177,TRUE,
"pc2001__05__11",1,598,12,994733.519999998,326.053047009842,385,213,TRUE,
"pc2001__05__12",1,944,20,1306196.82,469.110325372222,558,386,TRUE,
"pc2001__05__13",1,1314,24,1521367.64500001,619.285332097325,1010,304,TRUE,
"pc2001__06__01",1,281,7,409042.04,160.985551158443,138,143,TRUE,
"pc2001__06__02",1,611,12,1044825.165,326.078510876867,417,194,TRUE,
"pc2001__06__03",1,750,16,994415.059999999,398.047958971625,425,325,TRUE,
"pc2001__06__04",1,610,12,711549.384999997,265.079971895003,447,163,TRUE,
"pc2001__06__05",1,604,12,993178.384999999,252.30281783771,411,193,TRUE,
"pc2001__06__06",1,577,12,1401734.985,323.981661736082,388,189,TRUE,
"pc2001__06__07",1,532,12,893701.225000001,220.328776326017,197,335,TRUE,
"pc2001__06__08",1,586,12,1173106.58,236.988854789856,386,200,TRUE,
"pc2001__06__09",1,601,12,1237161.205,266.462042626687,429,172,TRUE,
"pc2001__06__10",1,551,12,824730.719999999,276.357472214048,387,164,TRUE,
"pc2001__06__11",1,619,12,1054579.585,241.761096523625,431,188,TRUE,
"pc2001__06__12",1,730,16,1722327.09,280.212548397412,393,337,TRUE,
"pc2001__06__13",1,601,12,1486265.105,260.793218082791,417,184,TRUE,
"pc2001__06__14",1,555,12,847942.925000003,297.170981778256,395,160,TRUE,
"pc2001__06__15",1,580,12,771338.350000002,236.152142169718,380,200,TRUE,
"pc2001__06__16",1,622,12,941313.580000002,323.819111842596,390,232,TRUE,
"pc2001__06__17",1,603,12,700409.230000001,269.625692939659,438,165,TRUE,
"pc2001__06__18",1,694,12,1956414.98,429.398421179097,512,182,TRUE,
"pc2001__06__19",1,988,20,2662352.49999999,301.455931091464,428,560,TRUE,
"pc2001__07__01",1,4543,119,10172540.65,2616.03564169107,143,4400,TRUE,
"pc2001__07__02",1,56,1,55865.6,54.5915946411412,56,0,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__07__03",1,618,14,940986.719999996,391.910345422523,118,500,TRUE,
"pc2001__07__04",1,106,3,445345.875,71.9773585340467,0,106,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__07__07",1,312,7,698547.255,241.872956747561,89,223,TRUE,
"pc2001__07__08",1,348,8,487154.05,178.145796299902,202,146,TRUE,
"pc2001__07__09",1,181,5,359873.83,141.751335851494,121,60,TRUE,
"pc2001__08__01",1,785,16,1795872.81499999,463.170515847943,588,197,TRUE,
"pc2001__08__02",1,835,16,1544698.09,399.881337562936,664,171,TRUE,
"pc2001__08__03",1,839,16,1726813.83000001,518.244223456585,469,370,TRUE,
"pc2001__08__04",1,1020,20,1994519.41999999,544.975750462047,595,425,TRUE,
"pc2001__08__05",1,785,16,1814882.615,491.678500363762,605,180,TRUE,
"pc2001__08__06",1,1334,24,3201463.77999998,717.404680959229,1139,195,TRUE,
"pc2001__08__07",1,1177,20,2364300.43999999,570.696770548834,964,213,TRUE,
"pc2001__08__08",1,719,12,1055666.19,291.431230261364,477,242,TRUE,
"pc2001__08__09",1,668,12,1310960.48,314.477902921572,445,223,TRUE,
"pc2001__08__10",1,639,12,1268952.73000001,311.049143941093,423,216,TRUE,
"pc2001__08__11",1,865,16,1419092.37999999,391.909782173154,680,185,TRUE,
"pc2001__08__12",1,2235,40,6224857.90499999,1111.5079629779,1187,1048,TRUE,
"pc2001__08__13",1,1261,24,2197221.17499999,769.486503038037,885,376,TRUE,
"pc2001__08__14",1,1485,28,2450195.53999997,792.928385839443,1049,436,TRUE,
"pc2001__08__15",1,1266,24,3144613.17500003,719.301917574527,849,417,TRUE,
"pc2001__08__16",1,655,12,574884.445,364.738951936235,465,190,TRUE,
"pc2001__08__17",1,1101,20,2094637.65,600.359938327553,901,200,TRUE,
"pc2001__08__18",1,773,16,1417223.38000001,421.927806358257,618,155,TRUE,
"pc2001__08__19",1,603,12,819792.524999997,273.280388494151,418,185,TRUE,
"pc2001__08__20",1,756,16,1837126.14999999,409.053645693841,565,191,TRUE,
"pc2001__08__21",1,934,20,2228028.69499999,523.387061031048,594,340,TRUE,
"pc2001__08__22",1,615,12,1199497.48,300.565264628833,375,240,TRUE,
"pc2001__08__23",1,563,12,874337.079999998,258.495634598206,359,204,TRUE,
"pc2001__08__24",1,755,16,2049574.38999999,386.784705227224,571,184,TRUE,
"pc2001__08__25",1,498,12,818805.214999998,231.823178312417,343,155,TRUE,
"pc2001__08__26",1,1043,24,2729683.66999998,523.868338530354,728,315,TRUE,
"pc2001__08__27",1,552,12,1077332.245,240.902615573231,369,183,TRUE,
"pc2001__08__28",1,788,16,1496858.43,364.190195944104,597,191,TRUE,
"pc2001__08__29",1,677,16,1803399.185,352.743900429641,520,157,TRUE,
"pc2001__08__30",1,744,16,1262299.69,424.922652603879,356,388,TRUE,
"pc2001__08__31",1,558,12,974094.505000001,318.773182524739,399,159,TRUE,
"pc2001__08__32",1,560,12,1312777.29,329.903275489333,369,191,TRUE,
"pc2001__09__01",1,1127,20,3281227.73000002,599.825964241278,927,200,TRUE,
"pc2001__09__02",1,1342,24,3510798.86499999,741.32711212092,1104,238,TRUE,
"pc2001__09__03",1,1096,20,3035634.27000002,486.368262121426,906,190,TRUE,
"pc2001__09__04",1,1582,28,3816747.14999997,728.661679541383,1136,446,TRUE,
"pc2001__09__05",1,915,16,1789420.41000001,390.568204361132,677,238,TRUE,
"pc2001__09__06",1,642,12,1615892.74,325.7921572599,423,219,TRUE,
"pc2001__09__07",1,1257,24,3186473.56499999,388.764142994099,693,564,TRUE,
"pc2001__09__08",1,678,12,1079107.945,283.774508492283,443,235,TRUE,
"pc2001__09__09",1,1314,27,4421101.90000003,688.086746549571,620,694,TRUE,
"pc2001__09__10",1,587,11,1300190.135,290.544508258182,462,125,TRUE,
"pc2001__09__11",1,1096,20,2551390.73999999,610.073966298426,882,214,TRUE,
"pc2001__09__12",1,1149,20,3367131.91500001,561.596845853627,891,258,TRUE,
"pc2001__09__13",1,690,12,1176123.02,320.537598226028,456,234,TRUE,
"pc2001__09__14",1,885,16,2236445.53000001,452.46542661222,683,202,TRUE,
"pc2001__09__15",1,1270,24,4436582.215,463.37892773387,669,601,TRUE,
"pc2001__09__16",1,933,16,1907914.34000001,450.792752697407,690,243,TRUE,
"pc2001__09__17",1,1071,20,2532749.47999999,567.520167281801,877,194,TRUE,
"pc2001__09__18",1,751,12,2035066.78999999,301.895629407051,511,240,TRUE,
"pc2001__09__19",1,1088,20,2906743.23999997,556.531564933208,899,189,TRUE,
"pc2001__09__20",1,1363,24,3696734.64,701.796452547826,913,450,TRUE,
"pc2001__09__21",1,666,12,1742519.10499999,293.074012853839,444,222,TRUE,
"pc2001__09__22",1,816,16,2765033.51499999,415.522046534926,625,191,TRUE,
"pc2001__09__23",1,1186,24,3148773.28500001,578.491931936715,1015,171,TRUE,
"pc2001__09__24",1,1127,24,3706092.42500002,614.361169554543,928,199,TRUE,
"pc2001__09__25",1,1236,24,3302989.67499999,651.554030590437,1033,203,TRUE,
"pc2001__09__26",1,1052,20,3072575.64,537.610632564844,840,212,TRUE,
"pc2001__09__27",1,1480,28,4856797.56499999,632.89603721483,467,1013,TRUE,
"pc2001__09__28",1,1088,20,2950064.945,587.587496830974,844,244,TRUE,
"pc2001__09__29",1,627,12,1578088.325,330.15120201017,448,179,TRUE,
"pc2001__09__30",1,741,12,1820266.65,350.777030677268,464,277,TRUE,
"pc2001__09__31",1,670,12,1417693.495,283.076977895997,469,201,TRUE,
"pc2001__09__32",1,570,12,1095214.525,230.791443213762,378,192,TRUE,
"pc2001__09__33",1,859,16,1597528.26,353.662024723104,640,219,TRUE,
"pc2001__09__34",1,1423,28,4108239.77499999,657.768802362726,423,1000,TRUE,
"pc2001__09__35",1,652,12,1508961.89999999,340.976269008241,451,201,TRUE,
"pc2001__09__36",1,559,12,1632477.63,306.122219472538,408,151,TRUE,
"pc2001__09__37",1,598,12,988451.049999998,252.025942427248,419,179,TRUE,
"pc2001__09__38",1,631,12,1158690.875,292.815208406449,420,211,TRUE,
"pc2001__09__39",1,640,12,776748.230000001,384.285074432635,423,217,TRUE,
"pc2001__09__40",1,578,12,1418050.165,307.520849690196,398,180,TRUE,
"pc2001__09__41",1,656,12,832016.1,363.198344073143,455,201,TRUE,
"pc2001__09__42",1,1059,20,2502453.94999999,598.774015014857,852,207,TRUE,
"pc2001__09__43",1,1056,20,2676687.38000002,589.195282453056,826,230,TRUE,
"pc2001__09__44",1,659,12,1415367.01,312.944043476915,448,211,TRUE,
"pc2001__09__45",1,1506,28,4930202.21499998,726.082382367308,1167,339,TRUE,
"pc2001__09__46",1,1122,20,3247859.62500002,542.764895504524,902,220,TRUE,
"pc2001__09__47",1,884,16,1746840.57,505.371922548506,682,202,TRUE,
"pc2001__09__48",1,1043,16,2129463.73499999,530.546069077351,826,217,TRUE,
"pc2001__09__49",1,1451,24,3648494.235,833.602722511666,1280,171,TRUE,
"pc2001__09__50",1,1050,20,2422734.87000001,446.794031842959,854,196,TRUE,
"pc2001__09__51",1,662,12,1316120.53,268.582554224509,461,201,TRUE,
"pc2001__09__52",1,911,16,1742870.27499999,472.979356120254,707,204,TRUE,
"pc2001__09__53",1,1049,20,2342373.37999999,488.587631434124,824,225,TRUE,
"pc2001__09__54",1,1009,16,2166161.79,483.235087201603,801,208,TRUE,
"pc2001__09__55",1,1010,16,2039887.18,514.892085194189,812,198,TRUE,
"pc2001__09__56",1,770,12,1703918.27499999,395.618402343288,521,249,TRUE,
"pc2001__09__57",1,948,16,2224193.84,432.708046648264,723,225,TRUE,
"pc2001__09__58",1,1317,24,3462650.03000002,644.02891481648,1093,224,TRUE,
"pc2001__09__59",1,1438,24,3067291.48,828.985425725226,1226,212,TRUE,
"pc2001__09__60",1,1234,20,2897191.13000001,687.515378656996,978,256,TRUE,
"pc2001__09__61",1,1559,24,3982296.055,929.152029719239,1298,261,TRUE,
"pc2001__09__62",1,968,16,1673874.15,630.741374067996,722,246,TRUE,
"pc2001__09__63",1,1167,20,2291613.49500001,652.86352773501,900,267,TRUE,
"pc2001__09__64",1,1511,24,4143124.05999998,959.069818916845,1271,240,TRUE,
"pc2001__09__65",1,1368,24,2862445.50500002,803.106894919114,1176,192,TRUE,
