"target_unit_2001","outcome_id","estimate","std_error","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","preferred_eligible","support_reason","status","analysis_eligible"
"pc2001__01__01","labor_force_participation_age15plus",0.640374421185124,0.0304988829550102,414,13,243487.825000001,199.699193258028,TRUE,,"estimated",TRUE
"pc2001__01__02","labor_force_participation_age15plus",0.623867930283103,0.039034990847537,794,22,583024.494999999,485.09059382507,TRUE,,"estimated",TRUE
"pc2001__01__03","labor_force_participation_age15plus",0.537801089459116,0.0165765890593897,1207,27,611795.329999998,577.685606810981,TRUE,,"estimated",TRUE
"pc2001__01__04","labor_force_participation_age15plus",0.551501244658881,0.0295631976028537,614,15,273876.244999999,372.512303551594,TRUE,,"estimated",TRUE
"pc2001__01__05","labor_force_participation_age15plus",0.484811538150795,0.0332558236278099,781,16,431596.370000001,310.266043940291,TRUE,,"estimated",TRUE
"pc2001__01__06","labor_force_participation_age15plus",0.398827444475374,0.01414346937867,1022,23,767723.984999997,514.559449914683,TRUE,,"estimated",TRUE
"pc2001__01__09","labor_force_participation_age15plus",0.794065947999338,0.0474957439371532,362,12,412164.739999999,173.124481974371,TRUE,,"estimated",TRUE
"pc2001__01__10","labor_force_participation_age15plus",0.745017232152344,0.0429594209114873,593,19,734457.005,259.039496293394,TRUE,,"estimated",TRUE
"pc2001__01__12","labor_force_participation_age15plus",0.702133729519976,0.0045203588953201,69,2,445305.27,24.383595601789,FALSE,"too_few_psus;low_kish_effective_n","estimated",FALSE
"pc2001__01__13","labor_force_participation_age15plus",0.56380299003939,0.0320922389655147,1501,44,982494.08,605.386566282356,TRUE,,"estimated",TRUE
"pc2001__01__14","labor_force_participation_age15plus",0.559672825720765,0.0414708612087324,636,20,366938.380000001,272.586538161279,TRUE,,"estimated",TRUE
"pc2001__02__01","labor_force_participation_age15plus",0.664196222947549,0.0666499345487568,440,16,295201.355000002,246.737099968602,TRUE,,"estimated",TRUE
"pc2001__02__02","labor_force_participation_age15plus",0.674846202892863,0.0307710115768348,1117,36,989213.990000002,649.300633521928,TRUE,,"estimated",TRUE
"pc2001__02__03","labor_force_participation_age15plus",0.796736566349219,0.0363040679022196,293,8,23703.255,177.775126643026,TRUE,,"estimated",TRUE
"pc2001__02__04","labor_force_participation_age15plus",0.742885004467391,0.0403469638444985,522,16,280247.365,227.251191143889,TRUE,,"estimated",TRUE
"pc2001__02__05","labor_force_participation_age15plus",0.674890308652445,0.0336922151117477,1004,32,700810.745,498.38360370891,TRUE,,"estimated",TRUE
"pc2001__02__06","labor_force_participation_age15plus",0.839620750555812,0.0307091188548593,479,16,300387.520000001,323.865344316979,TRUE,,"estimated",TRUE
"pc2001__02__07","labor_force_participation_age15plus",0.773385661329942,0.0253414074958752,519,16,324076.36,287.077238428504,TRUE,,"estimated",TRUE
"pc2001__02__08","labor_force_participation_age15plus",0.855545579314719,0.0321900491255925,517,16,255752.09,326.230643371555,TRUE,,"estimated",TRUE
"pc2001__02__09","labor_force_participation_age15plus",0.60589047229218,0.0281047061552835,593,20,340783.539999999,325.081662055065,TRUE,,"estimated",TRUE
"pc2001__02__10","labor_force_participation_age15plus",0.560851698848269,0.0341853155998329,495,16,310555.545,229.111431719386,TRUE,,"estimated",TRUE
"pc2001__02__11","labor_force_participation_age15plus",0.670006077811313,0.0318886120599019,698,24,678467.920000002,309.377631135464,TRUE,,"estimated",TRUE
