"target_unit_2001","outcome_id","estimate","std_error","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","preferred_eligible","support_reason","status","analysis_eligible"
"pc2001__01__01","labor_force_participation_age15plus",0.412272436475914,0.0228689169751738,931,35,564442.461250001,376.252694027898,TRUE,,"estimated",TRUE
"pc2001__01__02","labor_force_participation_age15plus",0.420288855810878,0.0274158265724599,1089,36,705666.001249999,514.93895375195,TRUE,,"estimated",TRUE
"pc2001__01__03","labor_force_participation_age15plus",0.410492769024737,0.0153060676381588,2575,90,672212.833749995,895.435993071753,TRUE,,"estimated",TRUE
"pc2001__01__04","labor_force_participation_age15plus",0.486237736612615,0.0469297450236056,593,19,368112.505000001,273.728843595879,TRUE,,"estimated",TRUE
"pc2001__01__05","labor_force_participation_age15plus",0.603324748633555,0.0181509663090709,642,20,323216.991249999,438.958969416756,TRUE,,"estimated",TRUE
"pc2001__01__06","labor_force_participation_age15plus",0.595447819010692,0.0267713739631537,1000,31,709606.0125,622.508336707552,TRUE,,"estimated",TRUE
"pc2001__01__07","labor_force_participation_age15plus",0.612959265909097,0.0606190141669042,282,11,93492.2362500001,124.13803067175,TRUE,,"estimated",TRUE
"pc2001__01__08","labor_force_participation_age15plus",0.574872109188025,0.0840557810615474,133,5,70784.5025,48.914615497102,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__01__09","labor_force_participation_age15plus",0.788327379983795,0.038269074551629,505,19,530528.02125,213.987776671399,TRUE,,"estimated",TRUE
"pc2001__01__10","labor_force_participation_age15plus",0.822742815702492,0.0656816558704207,206,7,182982.4,90.6541527942435,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__01__11","labor_force_participation_age15plus",0.589926715081819,0.0617757111778521,374,14,349899.415,160.756684727708,TRUE,,"estimated",TRUE
"pc2001__01__12","labor_force_participation_age15plus",0.502426039687812,0.0472061665190131,565,24,577084.79875,233.908845677285,TRUE,,"estimated",TRUE
"pc2001__01__13","labor_force_participation_age15plus",0.464249397513515,0.020297658973451,1598,60,1253775.53125,835.440328951676,TRUE,,"estimated",TRUE
"pc2001__01__14","labor_force_participation_age15plus",0.540402691970774,0.0557734839202663,552,21,390206.87375,200.440017907577,TRUE,,"estimated",TRUE
"pc2001__02__01","labor_force_participation_age15plus",0.60296911262474,0.0588479298739433,560,21,476361.940000001,278.745735824454,TRUE,,"estimated",TRUE
"pc2001__02__02","labor_force_participation_age15plus",0.543043094557989,0.0299690911444919,1028,48,1019619.60625,541.0573059406,TRUE,,"estimated",TRUE
"pc2001__02__03","labor_force_participation_age15plus",0.549549552181574,0,26,1,17114.21875,20.2759144641562,FALSE,"too_few_psus;low_kish_effective_n","estimated",FALSE
"pc2001__02__04","labor_force_participation_age15plus",0.717986078695175,0.0377955153706061,586,23,465889.8775,280.773575658145,TRUE,,"estimated",TRUE
"pc2001__02__05","labor_force_participation_age15plus",0.728928611789697,0.0251059094658006,858,42,879437.563750001,420.200921557908,TRUE,,"estimated",TRUE
"pc2001__02__06","labor_force_participation_age15plus",0.64760273057298,0.044486427992821,323,15,344549.84625,195.673907176541,TRUE,,"estimated",TRUE
"pc2001__02__07","labor_force_participation_age15plus",0.722552518317208,0.0425971963077737,380,16,348314.36625,162.067567507597,TRUE,,"estimated",TRUE
"pc2001__02__08","labor_force_participation_age15plus",0.736213772955372,0.0601732673856662,221,10,215793.24625,99.7702659345848,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__02__09","labor_force_participation_age15plus",0.606533646354426,0.0330386848131765,571,25,431871.323749999,317.896548927177,TRUE,,"estimated",TRUE
"pc2001__02__10","labor_force_participation_age15plus",0.575067176396422,0.0326528802575444,565,19,393976.737500001,241.760125704825,TRUE,,"estimated",TRUE
"pc2001__02__11","labor_force_participation_age15plus",0.491057247942728,0.0407883491798493,665,30,644053.274999998,298.026880413999,TRUE,,"estimated",TRUE
"pc2001__02__12","labor_force_participation_age15plus",0.650457349938791,0.109391822597803,86,5,91889.56625,47.2925310951946,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__03__01","labor_force_participation_age15plus",0.423139094745398,0.0204973488200638,520,21,1128640.63125,295.863557872832,TRUE,,"estimated",TRUE
"pc2001__03__02","labor_force_participation_age15plus",0.435653065736385,0.0171427168417518,1154,42,2122579.90125,593.037669372217,TRUE,,"estimated",TRUE
"pc2001__03__03","labor_force_participation_age15plus",0.508378681290129,0.0357853979654265,125,5,346333.36375,89.7801312371789,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__03__04","labor_force_participation_age15plus",0.459468998418048,0.0150370761453087,819,36,1501764.59375,488.939643901357,TRUE,,"estimated",TRUE
"pc2001__03__06","labor_force_participation_age15plus",0.431475296204073,0.0317273907835467,226,9,575974.945000001,144.436717682335,TRUE,,"estimated",TRUE
"pc2001__03__07","labor_force_participation_age15plus",0.397687514434587,0.0522940222899531,204,8,399956.22625,121.619386476851,TRUE,,"estimated",TRUE
"pc2001__03__08","labor_force_participation_age15plus",0.499110869349751,0.0637687688636246,269,10,358094.1675,167.636941318126,TRUE,,"estimated",TRUE
"pc2001__03__09","labor_force_participation_age15plus",0.515426524183259,0.0132358930774367,1550,61,2106833.1475,813.720826838304,TRUE,,"estimated",TRUE
"pc2001__03__10","labor_force_participation_age15plus",0.41364918321438,0.0308904723687478,297,11,511391.992500001,117.537479354043,TRUE,,"estimated",TRUE
"pc2001__03__11","labor_force_participation_age15plus",0.487706720246602,0.0289341919405242,702,24,1079356.13125,359.395220231051,TRUE,,"estimated",TRUE
"pc2001__03__12","labor_force_participation_age15plus",0.517836983006151,0.0228026479248117,399,14,664513.61875,177.806171572056,TRUE,,"estimated",TRUE
"pc2001__03__13","labor_force_participation_age15plus",0.433265502821661,0.0239625703083956,308,11,429784.4625,149.582629534609,TRUE,,"estimated",TRUE
"pc2001__03__14","labor_force_participation_age15plus",0.440652632623087,0.0227681502104334,706,27,832036.096250002,319.971943873267,TRUE,,"estimated",TRUE
"pc2001__03__15","labor_force_participation_age15plus",0.47826936259359,0.0414388617863954,331,12,509977.102499999,131.401755118263,TRUE,,"estimated",TRUE
"pc2001__03__16","labor_force_participation_age15plus",0.474454485654554,0.0182738858284705,1195,42,1912424.15749999,537.70760681073,TRUE,,"estimated",TRUE
"pc2001__03__17","labor_force_participation_age15plus",0.475183709961228,0.0253395703399293,772,28,1046588.42375,408.03421429687,TRUE,,"estimated",TRUE
"pc2001__04__01","labor_force_participation_age15plus",0.515411502025351,0.0176603359279971,1033,48,648947.535000002,658.344738758488,TRUE,,"estimated",TRUE
"pc2001__05__01","labor_force_participation_age15plus",0.388103729502575,0.0385039907354416,121,5,183258.085,90.7207655398819,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__05__02","labor_force_participation_age15plus",0.30178093707471,0.0293978345489601,160,7,207694.5925,96.2343618420773,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__05__03","labor_force_participation_age15plus",0.470669267882295,0.0559211277251765,39,2,52157.665,22.7708038260975,FALSE,"too_few_psus;low_kish_effective_n","estimated",FALSE
"pc2001__05__04","labor_force_participation_age15plus",0.257779144408672,0.0192541000201395,240,11,392298.88625,145.771355526362,TRUE,,"estimated",TRUE
"pc2001__05__05","labor_force_participation_age15plus",0.350120378377775,0.0240872419027558,817,35,910686.28375,349.001476386997,TRUE,,"estimated",TRUE
"pc2001__05__06","labor_force_participation_age15plus",0.313626490934897,0.0272304217783834,298,12,382512.51,189.681189651774,TRUE,,"estimated",TRUE
"pc2001__05__07","labor_force_participation_age15plus",0.544194008424423,0.0554560289334372,270,12,370980.59125,137.30266083776,TRUE,,"estimated",TRUE
"pc2001__05__08","labor_force_participation_age15plus",0.648599095863706,0.0353598056270213,238,10,417655.228750001,151.063090825688,TRUE,,"estimated",TRUE
"pc2001__05__09","labor_force_participation_age15plus",0.505196356614644,0.0419726436937396,196,9,282452.82875,145.974363231209,TRUE,,"estimated",TRUE
"pc2001__05__10","labor_force_participation_age15plus",0.397653818669715,0.0523371381639677,102,4,147840.555,44.8577435306102,FALSE,"too_few_psus;low_kish_effective_n","estimated",FALSE
"pc2001__05__11","labor_force_participation_age15plus",0.432599992737882,0.0237638841597667,630,23,685922.46875,267.737077177137,TRUE,,"estimated",TRUE
"pc2001__05__13","labor_force_participation_age15plus",0.422329527202294,0.020018651147788,1144,46,1298006.96125,359.25023385308,TRUE,,"estimated",TRUE
"pc2001__06__01","labor_force_participation_age15plus",0.501235238433872,0.0665514171120211,95,4,98065.58125,41.5538620595124,FALSE,"too_few_psus;low_kish_effective_n","estimated",FALSE
"pc2001__06__02","labor_force_participation_age15plus",0.387547375322712,0.0175636979202692,371,14,802774.214999999,232.944398276078,TRUE,,"estimated",TRUE
"pc2001__06__03","labor_force_participation_age15plus",0.40418866154069,0.022641490247565,334,13,760363.95375,176.020126165548,TRUE,,"estimated",TRUE
"pc2001__06__04","labor_force_participation_age15plus",0.380614305809793,0.0222635383160188,427,17,835898.451250001,243.509619309759,TRUE,,"estimated",TRUE
"pc2001__06__05","labor_force_participation_age15plus",0.434479523996364,0.0438702208841698,304,11,667166.961249999,136.628035975861,TRUE,,"estimated",TRUE
"pc2001__06__06","labor_force_participation_age15plus",0.463589469446717,0.0389167260424521,375,14,1083174.995,156.562963433409,TRUE,,"estimated",TRUE
"pc2001__06__07","labor_force_participation_age15plus",0.539691687460935,0.0322436608671213,588,22,1346410.695,243.726828997525,TRUE,,"estimated",TRUE
"pc2001__06__08","labor_force_participation_age15plus",0.432070190787269,0.0305427549091677,350,13,835885.766249999,141.768232415319,TRUE,,"estimated",TRUE
"pc2001__06__09","labor_force_participation_age15plus",0.465765519504731,0.0444434564654951,342,12,877520.4725,135.45979376018,TRUE,,"estimated",TRUE
"pc2001__06__10","labor_force_participation_age15plus",0.498238366385457,0.0447899574901049,541,19,1122975.06625,259.070206856627,TRUE,,"estimated",TRUE
"pc2001__06__11","labor_force_participation_age15plus",0.537577964538426,0.0371371151979174,610,21,1176883.81125,260.228328186101,TRUE,,"estimated",TRUE
"pc2001__06__12","labor_force_participation_age15plus",0.444152595500984,0.0250741401376235,512,20,845577.747499998,218.874775022861,TRUE,,"estimated",TRUE
