"target_unit_2001","outcome_id","estimate","std_error","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","preferred_eligible","support_reason","status","analysis_eligible"
"pc2001__06__16","regular_salaried_share_employed_age15plus",0.115125960078885,0.0370284505282039,177,12,328957.995,67.4471444180957,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__06__17","regular_salaried_share_employed_age15plus",0.322605846868564,0.0847326406141702,141,12,295090.095,70.9586590714249,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__06__18","regular_salaried_share_employed_age15plus",0.647996727848302,0.118241140442587,194,16,601402.434999999,33.0885003973382,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__06__19","regular_salaried_share_employed_age15plus",0.527252941309829,0.0706657872808526,357,28,711702.905000001,164.238936722093,TRUE,,"estimated",TRUE
"pc2001__07__01","regular_salaried_share_employed_age15plus",0.543553021163172,0.0379938495119924,965,98,2978603.93,513.616644562409,TRUE,,"estimated",TRUE
"pc2001__07__02","regular_salaried_share_employed_age15plus",0.350674361860148,0,9,1,30671.96,6.56385638349917,FALSE,"too_few_psus;low_kish_effective_n","estimated",FALSE
"pc2001__07__03","regular_salaried_share_employed_age15plus",0.594092591298485,0.0777841596676241,113,12,346942.645,53.7421341125883,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__07__04","regular_salaried_share_employed_age15plus",0.802340728249059,0.130059351445545,15,2,22723.27,7.51116019075266,FALSE,"too_few_psus;low_kish_effective_n","estimated",FALSE
"pc2001__07__07","regular_salaried_share_employed_age15plus",0.596185720060337,0.320338645792931,21,2,71272.43,15.8601174570021,FALSE,"too_few_psus;low_kish_effective_n","estimated",FALSE
"pc2001__07__08","regular_salaried_share_employed_age15plus",0.458594799063212,0.224409821280421,41,5,121961.49,13.5430567124814,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__07__09","regular_salaried_share_employed_age15plus",0.59190112293523,0.0584870272661257,53,6,305149.835,28.5938473442857,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__01","regular_salaried_share_employed_age15plus",0.123310417252283,0.0336645756026253,308,20,923937.065,101.87820196094,TRUE,,"estimated",TRUE
"pc2001__08__02","regular_salaried_share_employed_age15plus",0.102331378239887,0.034283948273143,183,12,680743.25,64.7376706082159,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__03","regular_salaried_share_employed_age15plus",0.218302108694101,0.0791287404416788,284,16,746093.755000001,81.8411029179259,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__04","regular_salaried_share_employed_age15plus",0.07161265429303,0.0289361856236645,274,20,774156.405000001,131.291531727384,TRUE,,"estimated",TRUE
"pc2001__08__05","regular_salaried_share_employed_age15plus",0.0851534390367375,0.0275166824334244,248,16,620222.22,131.894519165677,TRUE,,"estimated",TRUE
"pc2001__08__06","regular_salaried_share_employed_age15plus",0.071272589880938,0.023157451038134,257,16,1380630.34,92.750913598658,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__07","regular_salaried_share_employed_age15plus",0.0582801589017269,0.0216217734342612,266,16,1001499.5,100.417012482467,TRUE,,"estimated",TRUE
"pc2001__08__08","regular_salaried_share_employed_age15plus",0.128292078206676,0.0213297430764782,172,12,381579.445,84.0105177470593,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__09","regular_salaried_share_employed_age15plus",0.131771053790395,0.0673265307326905,166,12,439298.035,79.0028627534846,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__10","regular_salaried_share_employed_age15plus",0.123072158060673,0.0712922296012166,171,12,444489.565,45.8106081067092,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__11","regular_salaried_share_employed_age15plus",0.0656716423767147,0.0220632954682032,177,12,611622.59,64.6645104443808,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__12","regular_salaried_share_employed_age15plus",0.229499321625688,0.0328635964629909,695,48,1938395.185,206.239751882199,TRUE,,"estimated",TRUE
"pc2001__08__13","regular_salaried_share_employed_age15plus",0.0630420858895586,0.0206481487302695,332,20,829582.560000001,96.932944062301,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__14","regular_salaried_share_employed_age15plus",0.0962374498972225,0.0306265855980386,327,20,1151626.525,101.462848868304,TRUE,,"estimated",TRUE
"pc2001__08__15","regular_salaried_share_employed_age15plus",0.131133122716004,0.0529971420898492,333,20,1132784.28,130.274152174066,TRUE,,"estimated",TRUE
"pc2001__08__16","regular_salaried_share_employed_age15plus",0.0964071388865127,0.0159924907310625,176,12,216437.395,97.7068009283448,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__17","regular_salaried_share_employed_age15plus",0.0359679168564313,0.0111989744528763,288,16,857608.604999999,105.544234216514,TRUE,,"estimated",TRUE
"pc2001__08__18","regular_salaried_share_employed_age15plus",0.0239983819532322,0.00743836487262198,260,16,660969.769999999,86.8958582830371,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__19","regular_salaried_share_employed_age15plus",0.144573488817438,0.0479415328680331,173,12,361413.15,67.4977759972039,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__20","regular_salaried_share_employed_age15plus",0.138874014317097,0.0245732982827485,211,16,629812.715,102.822874424092,TRUE,,"estimated",TRUE
"pc2001__08__21","regular_salaried_share_employed_age15plus",0.214314248400425,0.041212100785636,360,20,894355.514999999,156.069906486054,TRUE,,"estimated",TRUE
"pc2001__08__22","regular_salaried_share_employed_age15plus",0.0953975072889021,0.0184338486967416,195,11,593345.535,94.710394686442,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__23","regular_salaried_share_employed_age15plus",0.0853692745229854,0.0425239854820661,159,12,414939.335,56.2851013865349,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__24","regular_salaried_share_employed_age15plus",0.156951819792034,0.0465933754082905,280,16,1126288.725,149.738491741285,TRUE,,"estimated",TRUE
"pc2001__08__25","regular_salaried_share_employed_age15plus",0.0731159225327297,0.0182303186962326,219,12,521207.47,113.569593013172,TRUE,,"estimated",TRUE
"pc2001__08__26","regular_salaried_share_employed_age15plus",0.136333814598497,0.0368726883638057,319,20,1251008.2,116.386717545019,TRUE,,"estimated",TRUE
"pc2001__08__27","regular_salaried_share_employed_age15plus",0.0299045157803906,0.0107308018475751,178,12,573655,80.6752622866392,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__28","regular_salaried_share_employed_age15plus",0.078749977864246,0.0272057196029561,264,16,749353.29,107.452231680127,TRUE,,"estimated",TRUE
"pc2001__08__29","regular_salaried_share_employed_age15plus",0.0929407906463236,0.0291046599094498,265,16,926862.085,130.924522571513,TRUE,,"estimated",TRUE
"pc2001__08__30","regular_salaried_share_employed_age15plus",0.192549289419631,0.0473861568283972,191,16,672342.315,98.5007662070435,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__31","regular_salaried_share_employed_age15plus",0.0453058216674802,0.0181245089082086,175,12,433103.06,61.9519060599454,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__08__32","regular_salaried_share_employed_age15plus",0.122126352676567,0.0444851333696637,184,12,505491.31,75.0574359457979,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__01","regular_salaried_share_employed_age15plus",0.0877699137317526,0.026935449084427,289,20,944820.4,107.324994419222,TRUE,,"estimated",TRUE
"pc2001__09__02","regular_salaried_share_employed_age15plus",0.0860936015832386,0.0251328012375486,320,24,988164.375000001,116.758676115289,TRUE,,"estimated",TRUE
"pc2001__09__03","regular_salaried_share_employed_age15plus",0.0595345370997054,0.0270751314885581,234,20,618998.85,68.6051933192746,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__04","regular_salaried_share_employed_age15plus",0.0718341978655593,0.0266835472321112,340,24,1168606.91,120.797907121989,TRUE,,"estimated",TRUE
"pc2001__09__05","regular_salaried_share_employed_age15plus",0.0828304219360123,0.0286396017971833,157,12,513775.06,56.9916658395038,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__06","regular_salaried_share_employed_age15plus",0.0388807632604492,0.0326845158060248,154,12,407828.285,53.2103723574659,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__07","regular_salaried_share_employed_age15plus",0.212688272502725,0.0499407118388714,225,20,746022.045,90.3057931549993,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__08","regular_salaried_share_employed_age15plus",0.0573760737138737,0.0304125077674981,160,12,351660.26,68.9974895543387,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__09","regular_salaried_share_employed_age15plus",0.368126908439873,0.0464614174036815,328,20,1570567.885,133.834033752532,TRUE,,"estimated",TRUE
"pc2001__09__10","regular_salaried_share_employed_age15plus",0.254264298739757,0.0850522893369445,149,12,566516.36,56.057290629038,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__11","regular_salaried_share_employed_age15plus",0.0962289635727792,0.0229836746516594,251,20,828566.909999997,98.3299614749216,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__12","regular_salaried_share_employed_age15plus",0.214623816503576,0.0503463885377119,191,16,1032191.015,80.902998260554,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__13","regular_salaried_share_employed_age15plus",0.109147149460204,0.0421773164096301,181,12,473068.47,93.1244752474115,FALSE,"low_kish_effective_n","estimated",FALSE
