"source_district_code","target_unit_2001","lineage_status","n_sample_people","n_fsu","sum_person_weight","kish_effective_n"
"01113","pc2001__01__13","resolved_reviewed_deterministic",2050,44,1351596.05,825.603179172974
"01114","pc2001__01__14","resolved_reviewed_deterministic",908,20,545298.875000001,391.9743066349
"01209","pc2001__01__09","resolved_reviewed_deterministic",531,12,603597.544999998,248.796433850323
"01210","pc2001__01__10","resolved_reviewed_deterministic",849,19,1026571.7,370.568728134843
"01212","pc2001__01__12","resolved_reviewed_deterministic",103,2,668279.509999999,38.9225300772858
"01301","pc2001__01__01","resolved_reviewed_deterministic",654,13,394330.75,323.827228177098
"01302","pc2001__01__02","resolved_reviewed_deterministic",1160,22,846783.889999999,706.940315937077
"01303","pc2001__01__03","resolved_reviewed_deterministic",1561,27,802022.8,767.624988037471
"01304","pc2001__01__04","resolved_reviewed_deterministic",875,15,395749.054999998,538.081437629575
"01305","pc2001__01__05","resolved_reviewed_deterministic",1064,16,583608.915000003,426.311527259936
"01306","pc2001__01__06","resolved_reviewed_deterministic",1394,23,1073355.32999999,712.46465428593
"02102","pc2001__02__02","resolved_reviewed_deterministic",1498,36,1333625.62000001,876.046404283562
"02104","pc2001__02__04","resolved_reviewed_deterministic",748,16,406707.005000001,331.761451072008
"02105","pc2001__02__05","resolved_reviewed_deterministic",1309,32,914990.725000004,652.959494599678
"02106","pc2001__02__06","resolved_reviewed_deterministic",634,16,403170.93,426.511573499321
"02107","pc2001__02__07","resolved_reviewed_deterministic",699,16,450564.005000001,392.761888544881
"02201","pc2001__02__01","resolved_reviewed_deterministic",630,16,434993.355000003,365.070904622162
"02203","pc2001__02__03","resolved_reviewed_deterministic",394,8,30960.8499999999,230.457481115018
"02208","pc2001__02__08","resolved_reviewed_deterministic",693,16,341386.730000001,434.756788634149
"02209","pc2001__02__09","resolved_reviewed_deterministic",827,20,490071.08,471.66761565562
"02210","pc2001__02__10","resolved_reviewed_deterministic",681,16,436956.590000001,301.058891661711
"02211","pc2001__02__11","resolved_reviewed_deterministic",923,24,905847.410000001,386.114564611116
"02212","pc2001__02__12","resolved_reviewed_deterministic",283,8,75846.5249999999,183.927447146234
"03101","pc2001__03__01","resolved_reviewed_deterministic",1106,24,2168695.26499999,532.486998277598
"03102","pc2001__03__02","resolved_reviewed_deterministic",1575,32,3349355.62499999,759.832813928132
"03103","pc2001__03__03","resolved_reviewed_deterministic",548,12,728252.999999998,300.277324634255
"03104","pc2001__03__04","resolved_reviewed_deterministic",1175,28,1958568.285,559.994879909519
"03105","pc2001__03__05","resolved_reviewed_deterministic",704,16,1229274.11,402.865441266185
"03106","pc2001__03__06","resolved_reviewed_deterministic",486,12,474545.31,237.569145939089
"03107","pc2001__03__07","resolved_reviewed_deterministic",729,16,1042312.45,388.848911026673
"03208","pc2001__03__08","resolved_reviewed_deterministic",561,12,430467.63,252.533405818271
"03209","pc2001__03__09","resolved_reviewed_deterministic",1489,36,3094177.94499998,631.562747002869
"03210","pc2001__03__10","resolved_reviewed_deterministic",625,12,885259.570000004,249.4837250238
"03211","pc2001__03__11","resolved_reviewed_deterministic",934,20,1673037.935,495.458492119785
"03212","pc2001__03__12","resolved_reviewed_deterministic",560,12,719664.765,263.955807529011
"03213","pc2001__03__13","resolved_reviewed_deterministic",553,12,502620.299999999,289.578744682301
"03214","pc2001__03__14","resolved_reviewed_deterministic",683,16,1147439.85,296.251865720878
"03215","pc2001__03__15","resolved_reviewed_deterministic",530,12,693662.614999998,249.35129559564
"03216","pc2001__03__16","resolved_reviewed_deterministic",1207,24,1910886.04000001,521.746671124451
"03217","pc2001__03__17","resolved_reviewed_deterministic",1119,24,1849940.105,526.602051136868
"04101","pc2001__04__01","resolved_reviewed_deterministic",1471,43,857409.950000002,744.212156542088
"05101","pc2001__05__01","resolved_reviewed_deterministic",472,12,281268.165,276.610181408391
"05102","pc2001__05__02","resolved_reviewed_deterministic",419,12,340223.42,263.046581523923
"05103","pc2001__05__03","resolved_reviewed_deterministic",313,8,221011.125,123.426978252205
"05104","pc2001__05__04","resolved_reviewed_deterministic",462,11,532458.34,314.791184419615
"05105","pc2001__05__05","resolved_reviewed_deterministic",701,16,1367195.515,336.633524917909
"05106","pc2001__05__06","resolved_reviewed_deterministic",425,11,535012.604999999,305.980279150881
"05107","pc2001__05__07","resolved_reviewed_deterministic",463,12,432749.21,287.766605989705
"05108","pc2001__05__08","resolved_reviewed_deterministic",294,8,231442.315,132.184189151689
"05109","pc2001__05__09","resolved_reviewed_deterministic",487,12,615359.889999999,298.951206824837
"05110","pc2001__05__10","resolved_reviewed_deterministic",364,8,226744.255,152.579283443198
"05111","pc2001__05__11","resolved_reviewed_deterministic",598,12,994733.519999998,326.053047009842
"05112","pc2001__05__12","resolved_reviewed_deterministic",944,20,1306196.82,469.110325372222
"05113","pc2001__05__13","resolved_reviewed_deterministic",1314,24,1521367.64500001,619.285332097325
"06101","pc2001__06__01","resolved_reviewed_deterministic",281,7,409042.04,160.985551158443
"06102","pc2001__06__02","resolved_reviewed_deterministic",611,12,1044825.165,326.078510876867
"06103","pc2001__06__03","resolved_reviewed_deterministic",750,16,994415.059999999,398.047958971625
"06104","pc2001__06__04","resolved_reviewed_deterministic",610,12,711549.384999997,265.079971895003
"06105","pc2001__06__05","resolved_reviewed_deterministic",604,12,993178.384999999,252.30281783771
"06106","pc2001__06__06","resolved_reviewed_deterministic",577,12,1401734.985,323.981661736082
"06107","pc2001__06__07","resolved_reviewed_deterministic",532,12,893701.225000001,220.328776326017
"06108","pc2001__06__08","resolved_reviewed_deterministic",586,12,1173106.58,236.988854789856
