"target_unit_2001","state_code_2001","district_code_2001","in_iv_panel","in_iv_design_support","all_mechanism_outcomes_complete","in_common_analysis","exclusion_reason"
"pc2001__08__25","08","25",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__08__28","08","28",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__08__29","08","29",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__08__31","08","31",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__08__32","08","32",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__01","09","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__02","09","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__03","09","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__04","09","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__05","09","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__11","09","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__12","09","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__13","09","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__14","09","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__15","09","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__16","09","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__17","09","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__18","09","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__19","09","19",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__20","09","20",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__21","09","21",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__22","09","22",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__23","09","23",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__24","09","24",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__25","09","25",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__26","09","26",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__27","09","27",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__28","09","28",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__29","09","29",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__30","09","30",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__31","09","31",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__33","09","33",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__34","09","34",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__35","09","35",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__36","09","36",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__40","09","40",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__42","09","42",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__43","09","43",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__44","09","44",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__46","09","46",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__47","09","47",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__48","09","48",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__49","09","49",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__52","09","52",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__53","09","53",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__54","09","54",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__55","09","55",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__57","09","57",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__58","09","58",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__59","09","59",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__60","09","60",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__61","09","61",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__62","09","62",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__63","09","63",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__64","09","64",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__65","09","65",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__66","09","66",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__67","09","67",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__68","09","68",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__69","09","69",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__01","10","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__02","10","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__04","10","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__05","10","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__10","10","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__13","10","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__14","10","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__15","10","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__16","10","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__17","10","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__18","10","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__19","10","19",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__20","10","20",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__22","10","22",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__23","10","23",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__27","10","27",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__28","10","28",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__29","10","29",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__30","10","30",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__31","10","31",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__32","10","32",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__34","10","34",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__35","10","35",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__36","10","36",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__11__02","11","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__11__03","11","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__11__04","11","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__01","12","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__02","12","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__03","12","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__04","12","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__05","12","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__06","12","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__07","12","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__08","12","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__11","12","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__12","12","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__13","12","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__13__01","13","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__13__02","13","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__13__03","13","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__13__05","13","05",TRUE,TRUE,TRUE,TRUE,"included"
