"outcome_id","source_id","variable","construct_id","label","unit","mechanism_family","tier","denominator","wave_id","temporal_role"
"labor_force_participation_age15plus","district_outcomes","labor_force_participation_age15plus","plfs_2017_18__labor_force_participation_age15plus","Labor-force participation rate, age 15+","share","labor_supply","core","age15plus","plfs_2017_18","long_run_post"
"employment_rate_age15plus","district_outcomes","employment_rate_age15plus","plfs_2017_18__employment_rate_age15plus","Employment rate, age 15+","share","employment","core","age15plus","plfs_2017_18","long_run_post"
