"specification_id","specification","sequence","instrument","fixed_effect","control_blocks","n_controls","estimate","std.error","statistic","p.value","excluded_instrument_f","partial_r_squared","residual_instrument_sd","residual_correlation","instrument_variance_remaining","n","n_states","n_regions","status","reason","standardized_estimate","standardized_std_error","outcome_variable","residual_outcome_sd","measure_id","source","stage","source_side","paper_role","interpretation"
"unadjusted","Unadjusted",1,"ling_distance_nonzero_mean","none","",0,1.77927757010777,0.565933788434495,3.14396773345106,0.00175331134758192,9.88453310898141,0.0620938877720633,1.36153631988237,0.249186451822853,1,573,35,6,"estimated",NA,0.249186451822854,0.0792585907201177,"enrollment_rate_0708",9.72184088313104,"nss_enrollment","nss_64_education","schooling_access","household_realized","schooling_access","Realized enrollment among age-eligible children"
"region_main","Six-region FE + main controls",2,"ling_distance_nonzero_mean","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,2.32228256741972,0.782543655598184,2.96760768655717,0.00313045144340802,8.8066953813132,0.0312988307903299,0.587321283874573,0.176914755716786,0.186077137759928,573,35,6,"estimated",NA,0.176914755716785,0.059615277490412,"enrollment_rate_0708",7.70950943854528,"nss_enrollment","nss_64_education","schooling_access","household_realized","schooling_access","Realized enrollment among age-eligible children"
"state_main","State FE + main controls",3,"ling_distance_nonzero_mean","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,1.70881215351807,0.973754296829095,1.75486994931123,0.0798626295566166,3.0795685389956,0.014295944658107,0.491810884011868,0.119565649992408,0.130478155733602,573,35,6,"estimated",NA,0.119565649992409,0.0681336243972592,"enrollment_rate_0708",7.02887841018975,"nss_enrollment","nss_64_education","schooling_access","household_realized","schooling_access","Realized enrollment among age-eligible children"
"unadjusted","Unadjusted",1,"ling_distance_nonzero_mean","none","",0,6.77561214229554,2.06303914311894,3.28428675960653,0.00108500237881947,10.7865395193268,0.13252418474399,1.36153631988237,0.364038713249003,1,573,35,6,"estimated",NA,0.364038713249004,0.110842548137489,"emi_share_enrolled_0708",25.3413763026387,"nss_emi_enrolled","nss_64_education","formal_english_exposure","household_realized","formal_english_exposure","English-medium choice conditional on enrollment and observed medium"
"region_main","Six-region FE + main controls",2,"ling_distance_nonzero_mean","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,4.70054937202725,2.78392682801168,1.68846010057831,0.091883671675769,2.85089751124492,0.0305574846694946,0.587321283874573,0.174806992621847,0.186077137759928,573,35,6,"estimated",NA,0.174806992621847,0.10353042548176,"emi_share_enrolled_0708",15.7930335090601,"nss_emi_enrolled","nss_64_education","formal_english_exposure","household_realized","formal_english_exposure","English-medium choice conditional on enrollment and observed medium"
"state_main","State FE + main controls",3,"ling_distance_nonzero_mean","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,0.530146472875825,1.00454322603172,0.527748790831114,0.597895826931778,0.278518786223703,0.00108105631244316,0.491810884011868,0.0328794208045573,0.130478155733602,573,35,6,"estimated",NA,0.0328794208045585,0.0623012716955334,"emi_share_enrolled_0708",7.92993912607747,"nss_emi_enrolled","nss_64_education","formal_english_exposure","household_realized","formal_english_exposure","English-medium choice conditional on enrollment and observed medium"
"unadjusted","Unadjusted",1,"ling_distance_nonzero_mean","none","",0,5.62175335368272,1.64135558301184,3.42506731135429,0.000658788597301679,11.7310860873077,0.141724044020812,1.36153631988237,0.37646253999676,1,573,35,6,"estimated",NA,0.376462539996759,0.109913909939453,"emi_exposure_all_children_0708",20.3319601799569,"nss_emie_all_children","nss_64_education","formal_english_exposure","household_realized","combined_exposure","Combined enrollment and English-medium exposure"
"region_main","Six-region FE + main controls",2,"ling_distance_nonzero_mean","region","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,4.05042744578999,2.25107243436139,1.79933234664617,0.0725082136782081,3.23759689368722,0.0359681718430883,0.587321283874573,0.189652766505233,0.186077137759928,573,35,6,"estimated",NA,0.189652766505232,0.105401743518217,"emi_exposure_all_children_0708",12.543461883202,"nss_emie_all_children","nss_64_education","formal_english_exposure","household_realized","combined_exposure","Combined enrollment and English-medium exposure"
"state_main","State FE + main controls",3,"ling_distance_nonzero_mean","state","basic_scale_geography;social_composition;human_capital;demography;economic_structure;basic_development",10,0.839457291252968,0.966217383858436,0.868807894865986,0.385347702294227,0.754827158181466,0.00392351013785708,0.491810884011868,0.0626379289077878,0.130478155733602,573,35,6,"estimated",NA,0.0626379289077879,0.072096408513242,"emi_exposure_all_children_0708",6.59112201984059,"nss_emie_all_children","nss_64_education","formal_english_exposure","household_realized","combined_exposure","Combined enrollment and English-medium exposure"
"unadjusted","Unadjusted",1,"ling_distance_nonzero_mean","none","",0,-1.51892558023927,1.78504641609638,-0.850916573677072,0.395172384539215,0.724059015358327,0.0113671967957895,1.36153631988237,-0.106617056776997,1,573,35,6,"estimated",NA,-0.106617056776997,0.12529672129463,"private_share_enrolled_0708",19.3971997278053,"nss_private_enrollment","nss_64_education","institution_choice","household_realized","institution_choice_context","Realized private-school enrollment conditional on enrollment"
