"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","households_no_literate","households_1_literate","households_2_literates","households_3_literates","households_4_plus_literates","households_age15_plus","households_with_matriculate","households_with_female_matriculate","households_with_graduate","households_with_female_graduate","households_no_workers","households_1_worker","households_2_workers","households_3_workers","households_4_plus_workers","workers_total","main_workers","marginal_workers_3_6_months","marginal_workers_lt3_months","census_year","no_literate_share_households","two_plus_literate_share_households","four_plus_literate_share_households","matriculate_access_share_households_age15_plus","female_matriculate_access_share_households_age15_plus","graduate_access_share_households_age15_plus","female_graduate_access_share_households_age15_plus","workerless_share_households","two_plus_worker_share_households","four_plus_worker_share_households","workers_per_household","marginal_worker_share_workers","short_marginal_share_marginal_workers"
"pc2001__27__24",1,"Raigarh",TRUE,609977,39444,62781,133294,119865,254593,609164,352457,230761,127696,76463,39973,271545,182398,64883,51178,1067443,854481,177249,35713,2011,0.0646647332604344,0.832411713884294,0.417381311098615,0.578591315310819,0.378815885377337,0.209624994254421,0.125521206111983,0.0655319790746208,0.489295498026975,0.0839015241558288,1.74997253994823,0.199506671550612,0.167696584367164
"pc2001__27__25",1,"Pune",TRUE,2144764,78537,179408,512258,439562,934999,2140830,1534426,1058206,680375,435796,109201,906995,660766,243860,223942,4015995,3721752,252330,41913,2011,0.0366180148491862,0.879732688538226,0.435944933801574,0.716743506023365,0.494297071696492,0.317808980629008,0.203564038246848,0.0509151589638767,0.52619682165497,0.10441335270454,1.8724647560291,0.0732677705027023,0.142443490584313
"pc2001__27__27",1,"Bid",TRUE,535178,39781,50713,116561,101759,226364,534146,297189,149866,91718,28869,19939,123476,219745,69178,102840,1254153,1153516,85538,15099,2011,0.0743322782326628,0.830908594897399,0.422969554054913,0.55638158855444,0.280571229588914,0.171709607485594,0.0540470208519768,0.0372567631703844,0.73202373789655,0.192160365336393,2.34343153119149,0.0802430006546251,0.150034281626042
"pc2001__27__31",1,"Satara",TRUE,652480,40093,62780,116477,125441,307689,650908,411663,260528,132193,68644,38081,207232,224580,94446,88141,1351922,1181944,143013,26965,2011,0.0614470941638058,0.842335397253556,0.471568477194703,0.632444216386955,0.400253184781874,0.203090144843818,0.10545883596453,0.0583634747425208,0.624029855321236,0.135086132908288,2.07197461991172,0.125730626471054,0.158638176705221
"pc2001__27__32",1,"Ratnagiri",TRUE,396555,33502,53675,81712,76183,151483,396239,181414,109712,45866,25972,51035,131019,127025,48024,39452,711602,552785,119590,39227,2011,0.0844826064480337,0.780164163861255,0.381997453064518,0.457839839087016,0.276883396132132,0.1157533710715,0.0655462990770722,0.12869589338175,0.540911096821374,0.0994868303261843,1.79445978489743,0.223182340690442,0.246994969052431
"pc2001__27__33",1,"Sindhudurg",TRUE,209551,13107,25457,42392,41957,86638,209312,119038,74002,29096,15797,30217,79784,60765,21829,16956,346349,225807,93324,27218,2011,0.0625480193365816,0.815968427733583,0.413445891453632,0.568710824033022,0.35354876930133,0.13900779697294,0.07547106711512,0.144198786930151,0.475063349733478,0.0809158629641472,1.65281482789393,0.348036229352474,0.225796817706691
"pc2001__27__34",1,"Kolhapur",TRUE,839157,43503,72215,158820,178633,385986,837481,570348,358301,183848,87608,35908,290693,289222,122418,100916,1701438,1506133,166840,28465,2011,0.0518413121740032,0.862102085783709,0.459968754357051,0.681027987500612,0.427831795587004,0.219524980268209,0.104608940381931,0.0427905624334898,0.610798694404027,0.120258783517268,2.02755622606973,0.114788196807642,0.145746396661632
"pc2001__27__35",1,"Sangli",TRUE,597192,34847,54542,107739,117708,282356,595968,381124,240370,126688,62851,30737,204359,201593,86579,73924,1212830,1073016,118428,21386,2011,0.0583514179694303,0.85031782073437,0.472806065720907,0.639504134450172,0.40332702426976,0.212575171821306,0.105460360287801,0.0514692092325416,0.606330962236601,0.123785985076826,2.03088788865223,0.115279140522579,0.1529603616233
"pc2001__28__01",1,"Adilabad",TRUE,648072,105910,115142,167238,118699,141083,647407,301430,166055,83215,32562,33606,185078,272551,81128,75709,1320613,1064445,223134,33034,2011,0.16342319989137,0.658908269451542,0.2176964905134,0.465595830752525,0.256492438296157,0.128535836035137,0.0502960270741589,0.0518553494056216,0.662562184448641,0.116821896332506,2.03775660729055,0.193976585116154,0.128954436151276
"pc2001__28__02",1,"Nizamabad",TRUE,591744,88373,104401,155387,110365,133218,591185,292401,167239,77811,33353,29411,136659,269058,81890,74726,1258038,1053974,172805,31259,2011,0.149343297101449,0.674227368591824,0.225127757949384,0.494601520674577,0.282887759330836,0.131618698038685,0.0564171959708044,0.0497022361020982,0.71935499134761,0.126280959333766,2.12598353341986,0.16220813679714,0.15318233495374
"pc2001__28__03",1,"Karimnagar",TRUE,973581,157027,154710,267143,187565,207136,973093,530669,309807,154555,65897,71467,259124,441707,112147,89136,1872393,1586729,246718,38946,2011,0.161288069508341,0.679803734871572,0.212756822493455,0.545342531494934,0.318373475094364,0.158828601171728,0.0677191183165432,0.0734063216106313,0.66043811454825,0.0915547858883853,1.92320207563623,0.152566261463272,0.136334994959113
"pc2001__28__04",1,"Medak",TRUE,667450,87663,113742,177402,128718,159925,666758,345253,194122,90502,38112,29593,173858,278022,92359,93618,1439863,1193631,206399,39833,2011,0.13134017529403,0.698247059704847,0.239605962993483,0.517808560227249,0.291143113393465,0.135734404386599,0.0571601690568392,0.0443374035508278,0.695181661547681,0.140262191924489,2.1572597198292,0.171010714213783,0.161770200461354
"pc2001__28__05",1,"Hyderabad",TRUE,842875,42050,74615,195970,156640,373600,840591,613714,476108,313969,203137,58272,434813,206967,80354,62469,1394328,1080930,290754,22644,2011,0.0498887735429334,0.861586830787483,0.443244846507489,0.730098228508276,0.566396737533474,0.373509828204204,0.24165973701836,0.0691348064659647,0.414996292451431,0.0741141924959217,1.65425240990657,0.224766339053652,0.072253173281259
"pc2001__28__06",1,"Rangareddy",TRUE,1227868,82596,140438,342468,257724,404642,1226153,843824,594335,400741,241870,55597,548337,395954,130861,97119,2180143,1823367,319243,37533,2011,0.0672678170617689,0.818356696322406,0.329548453091049,0.688188178799872,0.484715202752022,0.326827891788382,0.197259232738492,0.0452792971231435,0.508144197910525,0.0790956356872237,1.77555160652448,0.163647980889327,0.105200461914479
"pc2001__28__07",1,"Mahbubnagar",TRUE,867267,150755,174168,215899,150431,176014,865762,396372,206507,104247,42601,28018,164302,380395,139220,155332,2078164,1812464,238231,27469,2011,0.173827667834704,0.625348364459849,0.202952493292146,0.457830211998217,0.238526292445268,0.120410690235885,0.0492063638736743,0.0323060833630243,0.778245915041158,0.179105165998476,2.39622169412649,0.12785323968657,0.103383515242755
"pc2001__28__08",1,"Nalgonda",TRUE,874267,134747,148800,238395,166215,186110,873674,451264,246875,135992,51050,56595,214234,407167,110804,85467,1738654,1490824,215834,31996,2011,0.154125684716454,0.675674593688198,0.212875471680848,0.516513024308838,0.282571073420979,0.155655313080165,0.0584314057646216,0.0647342287882306,0.690221637097134,0.0977584650913279,1.98869910450698,0.142541299188913,0.129104628172538
"pc2001__28__09",1,"Warangal",TRUE,884160,140646,142424,234695,166760,199635,883697,489018,282222,154974,65399,56366,243245,404979,100640,78930,1701557,1439156,232735,29666,2011,0.159073018458198,0.679843014838943,0.225790580890337,0.553377458563286,0.319365121755534,0.175370064626224,0.0740061355871979,0.0637509048136084,0.661134862468332,0.0892711726384365,1.92448991132827,0.154212289097574,0.113055971585474
"pc2001__28__10",1,"Khammam",TRUE,752371,125282,137811,212509,135862,140907,751989,354612,204188,114662,50044,45417,229934,333563,86040,57417,1406235,1213083,168794,24358,2011,0.166516253284616,0.650314804797101,0.187283933059621,0.471565408536561,0.271530567601388,0.152478294230368,0.0665488457942869,0.0603651655898486,0.634022310801453,0.0763147436570522,1.86907124277783,0.13735399844265,0.126107935719019
"pc2001__28__11",1,"Srikakulam",TRUE,680169,112598,126808,185874,126290,128599,679768,322639,166230,89216,30836,52301,210044,266777,86670,64377,1289024,935239,294431,59354,2011,0.165544151527047,0.648019830365689,0.189069187216706,0.474631050593732,0.244539313412811,0.131244777630015,0.0453625354532723,0.0768941248425024,0.61429438860048,0.0946485358785831,1.89515252826871,0.274459591132516,0.167768560001131
"pc2001__28__12",1,"Vizianagaram",TRUE,586017,106171,117841,155679,103982,102344,585560,254921,133344,79361,30465,36718,172508,234304,81539,60948,1156755,952177,177298,27280,2011,0.181173924988524,0.617738051967776,0.174643397717131,0.435345652025412,0.227720472709885,0.1355300908532,0.0520271193387526,0.0626568853804582,0.642969401911549,0.104003808763227,1.97392737753342,0.176855081672437,0.133347671792666
"pc2001__28__13",1,"Visakhapatnam",TRUE,1093529,160273,187221,293337,205966,246732,1092845,601936,369364,218793,114905,66583,476554,357116,118391,74885,1877645,1471038,343678,62929,2011,0.146564928776466,0.682226991693865,0.225629132835069,0.550797231080345,0.337983886095466,0.200204969597701,0.105142998320896,0.0608881886077095,0.503317241700952,0.0684801226122032,1.71705094240756,0.216551584564707,0.154766150115468
"pc2001__28__14",1,"East Godavari",TRUE,1426836,204887,240851,392877,269362,318859,1426461,654190,395346,202546,90124,134049,732696,391901,116059,52131,2090548,1745915,286860,57773,2011,0.143595339618569,0.687603901219201,0.223472774726738,0.458610505299479,0.277151636112028,0.141991964729495,0.0631801360149349,0.0939484285510038,0.392540558270187,0.0365360840348856,1.46516348059623,0.164852947648176,0.167636297162489
"pc2001__28__15",1,"West Godavari",TRUE,1090043,132860,171866,306355,211792,267170,1089743,509509,309142,149290,67101,92655,467933,362869,107913,58673,1771034,1532416,198666,39952,2011,0.121885099945598,0.720445890666699,0.245100422643877,0.467549688321008,0.283683400581605,0.136995603550562,0.061575068617096,0.0850012338962775,0.485719370703725,0.05382631694346,1.62473773970385,0.134733720527105,0.16743078895976
"pc2001__28__16",1,"Krishna",TRUE,1240288,155569,203497,347835,235744,297643,1239304,612260,377080,213245,107172,97527,520570,433628,121273,67290,2044361,1741183,265440,37738,2011,0.125429738899352,0.710497884362342,0.239978940375139,0.494035361783711,0.304267556628559,0.172068354495749,0.0864775712819453,0.0786325434092727,0.501650423127532,0.0542535282128022,1.64829539590805,0.148299639838561,0.124474731016103
"pc2001__28__17",1,"Guntur",TRUE,1293871,205773,227028,341761,234188,285121,1293469,617029,357588,219273,98857,89514,435854,512194,150955,105354,2376763,2102243,242843,31677,2011,0.159036720043961,0.665499110807801,0.220362771868293,0.477034238934215,0.276456567571391,0.169523196922385,0.0764278077016148,0.0691830947598331,0.593956429968675,0.0814254280372618,1.83693969491549,0.115501629737588,0.115390499781437
"pc2001__28__18",1,"Prakasam",TRUE,859237,144681,158832,222990,156721,176013,858876,395943,201257,128589,49181,53122,251305,356180,106659,91971,1698492,1461811,210171,26510,2011,0.168383111993548,0.646764513166914,0.204848022140574,0.461001355259665,0.234326026108542,0.14971777066771,0.0572620494693064,0.0618246188187892,0.645700778714138,0.107037988354785,1.97674448376874,0.13934772727808,0.11200730096628
"pc2001__28__19",1,"Sri Potti Sriramulu Nellore",TRUE,775198,121745,129754,205039,143801,174859,774905,365600,214850,123597,55253,57774,313985,276882,80184,46373,1312145,1074701,202881,34563,2011,0.157050198787923,0.675568048421178,0.22556688742747,0.471799769003942,0.277259793135933,0.159499551557933,0.0713029339080274,0.0745280560579362,0.520433489250488,0.0598208457710159,1.69265787579431,0.180958659294514,0.145562743215242
"pc2001__28__20",1,"Y.S.R.",TRUE,705274,93004,121150,183941,135460,171719,704783,375180,199981,124883,48860,39919,246789,273445,83871,61250,1318043,1078603,204701,34739,2011,0.131869316038873,0.696353473968982,0.24347842115263,0.53233406594654,0.283748331046577,0.177193547517463,0.0693263032734898,0.0566006970340605,0.593479980830145,0.0868456798350712,1.86883821039766,0.18166326895253,0.145084363514868
"pc2001__28__21",1,"Kurnool",TRUE,885385,138210,158581,214780,161328,212486,884200,412919,214733,134399,54295,30753,225463,351891,128004,149274,2025576,1754868,243523,27185,2011,0.156101582927201,0.66478876420992,0.239992771506181,0.466997285681972,0.2428556887582,0.152000678579507,0.0614057905451255,0.0347340422528053,0.710616285570684,0.168597841616924,2.2877911868848,0.133644948399863,0.10042185676079
"pc2001__28__22",1,"Anantapur",TRUE,966236,125074,172977,258441,193996,215748,965275,473499,261003,139055,56238,44078,264712,396233,138064,123149,2033288,1677234,316787,39267,2011,0.12944456633783,0.691533952367745,0.223287064443883,0.490532749734532,0.270392375229857,0.144057392970915,0.0582611172981793,0.0456182547534971,0.680419690427597,0.127452299438232,2.10433889857136,0.175112428736116,0.110283833351121
"pc2001__28__23",1,"Chittoor",TRUE,1038262,116311,152603,272885,213970,282493,1037558,558753,328124,181655,82069,67764,369026,379849,127616,94007,1931303,1668257,225432,37614,2011,0.11202471052586,0.740996010640859,0.272082576459506,0.538527002827794,0.316246417067769,0.175079369056959,0.0790982287255267,0.0652667631098894,0.579306571944268,0.0905426568631039,1.86013067992472,0.136201310721311,0.142994001049246
"pc2001__29__02",1,"Bagalkot",TRUE,360511,32392,48150,76753,69989,133227,359688,186690,99140,50534,18488,14721,109986,121451,53275,61078,816813,675451,126642,14720,2011,0.0898502403532763,0.776589341240628,0.369550443675782,0.519033162073797,0.275627766286337,0.14049398367474,0.0514001023108917,0.0408337054902624,0.65408267708891,0.169420627942005,2.26570895201533,0.173065316051532,0.104129822724636
"pc2001__29__05",1,"Bidar",TRUE,319254,28745,34612,61239,59130,135528,318418,180758,106326,48782,18321,13512,100754,107316,45541,52131,700600,550050,132772,17778,2011,0.0900380261484586,0.801546730816215,0.424514649777293,0.567675194241532,0.333919564848721,0.153201138126613,0.0575375763932943,0.0423236670488075,0.642084359162297,0.163290044917213,2.19449090692677,0.214887239508992,0.11808701428097
"pc2001__29__06",1,"Raichur",TRUE,362720,51511,60722,76977,63637,109873,361757,153784,80017,41244,15903,11104,93882,124677,55605,77452,901030,724282,156540,20208,2011,0.142013123070137,0.690579510366123,0.302914093515659,0.425103038780176,0.221189914777046,0.114010233388711,0.0439604485884171,0.0306131451257168,0.710559108954566,0.213531098367887,2.48409241288046,0.196162169961045,0.114332269672075
"pc2001__29__07",1,"Koppal",TRUE,264157,23342,36473,56860,50082,97400,263555,116153,61370,27993,10275,7944,66765,92462,41737,55249,653846,507372,128792,17682,2011,0.0883641167941792,0.773562691883993,0.368720117203027,0.440716359014247,0.232854622374836,0.106213124395288,0.0389861698696667,0.0300730247542181,0.717179556097321,0.209152133011807,2.47521738965842,0.224019111533909,0.120717670030176
"pc2001__29__08",1,"Gadag",TRUE,218714,14947,25827,46272,44703,86965,218322,120345,68776,31535,12339,8863,63156,75325,34345,37025,495049,422898,64965,7186,2011,0.0683403897327103,0.813573891017493,0.397619722560056,0.551227086596861,0.315020932384276,0.144442612288271,0.0565174375463765,0.0405232403961338,0.670716094991633,0.169285002331812,2.26345364265662,0.145745168660072,0.0995966791867057
"pc2001__29__09",1,"Dharwad",TRUE,382074,18911,37157,79508,78241,168257,381571,242039,164263,83702,44996,17415,141506,117605,55257,50291,783423,689767,79687,13969,2011,0.0494956474400247,0.853253558211237,0.440378041949989,0.634322314850971,0.430491310922476,0.219361534288507,0.117923007775748,0.0455801755680837,0.584057015133194,0.131626334165633,2.05044834246769,0.119547166728574,0.149152216622534
"pc2001__29__11",1,"Haveri",TRUE,329901,18480,35388,71824,68034,136175,329476,169793,101022,40729,15397,10274,103379,111505,53114,51629,729208,601288,115996,11924,2011,0.0560168050415125,0.836714650758864,0.412775347755842,0.515342543918222,0.30661413881436,0.12361750173002,0.0467317801600117,0.0311426761361742,0.655493617782304,0.156498464690922,2.21038432741944,0.175423198867813,0.0932145090681676
"pc2001__29__13",1,"Chitradurga",TRUE,356378,23370,41411,81380,78862,131355,355883,209234,125955,49863,18324,11534,89939,125178,58559,71168,855245,666403,163312,25530,2011,0.0655764385006931,0.818223908322062,0.368583358119749,0.587929178971741,0.353922497000419,0.140110654344265,0.0514888320037765,0.0323645118385534,0.71526581326569,0.199698073393981,2.39982546621845,0.220804564773837,0.135192383050381
"pc2001__29__16",1,"Udupi",TRUE,252543,6337,21248,47940,54008,123010,252173,166180,119728,53226,31948,22586,85545,72810,35492,36110,511579,458058,47422,6099,2011,0.0250927564810745,0.890771076608736,0.487085367640362,0.65899204117808,0.474785167325606,0.211069384906394,0.126690803535668,0.089434274559184,0.571831331694009,0.142985550975477,2.02571047306795,0.104619227919833,0.11395526989406
"pc2001__29__20",1,"Bangalore",TRUE,2381952,65440,205768,667050,551736,891958,2379209,1921634,1444675,912673,594651,100593,1082686,753056,273815,171802,4194329,3809890,346241,38198,2011,0.0274732656241604,0.886140442796496,0.374465144553711,0.807677677749202,0.607208109922247,0.383603542185659,0.249936428451641,0.0422313295985813,0.50323138333602,0.0721265583857273,1.76087889260573,0.0916568538138043,0.0993603666641522
"pc2001__29__22",1,"Mandya",TRUE,427997,39490,62189,110192,93536,122590,427650,242215,151531,52775,22116,19471,141850,148092,68302,50282,870272,713915,137043,19314,2011,0.0922670018715085,0.762430577784424,0.286427241312439,0.566386063369578,0.354334151759617,0.123406991698819,0.0517151876534549,0.0454933095325434,0.623079133732246,0.117482131884102,2.03336004691622,0.179664518679218,0.123525010073102
"pc2001__29__23",1,"Hassan",TRUE,432829,31717,51539,107366,100729,141478,432448,235687,149832,56014,27372,19893,130678,159052,66521,56685,901933,750987,134662,16284,2011,0.0732783616624579,0.807646899814938,0.326868116507905,0.545006567263579,0.34647402693503,0.129527712002368,0.0632954713630309,0.0459604139279022,0.652123586913076,0.1309639603631,2.08380907933618,0.16735832927723,0.107879639076226
"pc2001__29__24",1,"Dakshina Kannada",TRUE,438585,8087,29638,83299,94926,222635,437973,289894,210308,96526,61427,22799,126299,146206,65346,77935,993728,910775,69337,13616,2011,0.0184388430976892,0.913984746400356,0.507621099672811,0.661899249497115,0.480184851577609,0.220392581277841,0.140252937966496,0.0519830819567473,0.660047653248515,0.177696455647138,2.26575920289112,0.083476565015779,0.164141140163707
"pc2001__29__25",1,"Kodagu",TRUE,142353,10378,18217,34551,30878,48329,142241,79836,56969,23434,13988,5203,47919,56336,20110,12785,278224,258107,16627,3490,2011,0.0729032756598035,0.799126116063588,0.339501099379711,0.561272769454658,0.40051040136107,0.164748560541616,0.0983401410282549,0.0365499848967005,0.626829079822694,0.0898119463586999,1.95446530807219,0.0723050491690149,0.173485112094249
"pc2001__30__01",1,"North Goa",TRUE,191139,5215,15766,40319,42547,87292,190916,139540,101721,53843,35361,18549,87046,49665,20352,15527,321915,264006,46763,11146,2011,0.0272838091650579,0.890231716185603,0.456693819680965,0.730897358000377,0.532805003247502,0.282024555301808,0.185217582601773,0.0970445591951407,0.447548642610875,0.0812340757249959,1.68419317878612,0.179889101160244,0.192474399488853
"pc2001__31__01",1,"Lakshadweep",TRUE,11541,138,1050,1542,1893,6918,11512,8119,4779,1789,741,1712,5145,2627,1104,953,18618,10680,5353,2585,2011,0.0119573693787367,0.897062646217832,0.599428125812321,0.705264072272411,0.415132036136206,0.155403057678944,0.064367616400278,0.14834069837969,0.405857378043497,0.0825751667966381,1.61320509487913,0.426361585562359,0.32564877802973
"pc2001__32__01",1,"Kasaragod",TRUE,273065,5585,16068,46446,59770,145196,272706,192268,144858,44981,27886,35307,104783,79488,31045,22442,461644,371465,71601,18578,2011,0.0204530056946148,0.920703861717906,0.531726878215809,0.705037659604116,0.531187432619744,0.164943198902848,0.102256642684796,0.129298884880889,0.486971966381631,0.0821855602146009,1.69060113892297,0.195343164862968,0.206012486277293
"pc2001__32__02",1,"Kannur",TRUE,553390,6840,28942,87534,124878,305196,552402,435128,354973,129515,90729,92484,226786,152549,54850,26721,815382,686249,104877,24256,2011,0.0123601799815682,0.935340356710457,0.551502556967058,0.787701709986568,0.642599049243124,0.23445787669125,0.164244517579589,0.167122644066571,0.423065107790166,0.0482860189016787,1.4734310341712,0.158371168360351,0.187837345992117
"pc2001__32__03",1,"Wayanad",TRUE,190411,5950,13193,35963,45108,90197,190134,122629,93544,28365,17576,10675,74206,69654,23646,12230,338331,261903,58370,18058,2011,0.0312481946946342,0.89946484184212,0.473696372583517,0.644960922296906,0.4919898597831,0.149184259522232,0.0924400685832097,0.0560629375403732,0.554222182541975,0.0642294825403995,1.77684587550089,0.225897124413666,0.236274663735804
"pc2001__32__04",1,"Kozhikode",TRUE,696825,7491,31697,108533,168639,380465,695499,529318,422094,148704,100937,117569,320093,180768,57421,20974,945532,751193,143591,50748,2011,0.0107501883543214,0.943762063645822,0.545997919133211,0.761062201383467,0.606893755418771,0.213809078086381,0.145128893068142,0.168720984465253,0.371919778997596,0.0300993793276648,1.35691457683062,0.205534027404678,0.261131322071226
"pc2001__32__05",1,"Malappuram",TRUE,793367,9989,31750,102586,158709,490333,792126,564054,435190,113080,67069,151381,367095,176298,67148,31445,1060604,850466,169936,40202,2011,0.0125906421618242,0.947390047733269,0.618040578950221,0.712076109103855,0.549394919495131,0.142755066744432,0.0846696106427513,0.190808289228062,0.346486556662932,0.0396348726377578,1.33683906691355,0.19813049922497,0.191312375676936
"pc2001__32__06",1,"Palakkad",TRUE,636623,21448,44073,113225,142965,314912,635825,422721,324096,106786,72004,74815,254098,192525,75414,39771,1039728,873257,141041,25430,2011,0.0336902688090126,0.897080375669745,0.494660104960078,0.664838595525498,0.509725160224905,0.167948728030512,0.113244996657885,0.117518531375712,0.483347287169958,0.0624718239837392,1.63319264305562,0.160110144191558,0.152759339464531
"pc2001__32__07",1,"Thrissur",TRUE,757755,9027,41610,138299,191778,377041,757296,592157,492843,193044,145665,117367,323840,220714,69691,26143,1088208,922750,134085,31373,2011,0.0119128214264505,0.933174970801908,0.497576393425316,0.781935993323615,0.650793084870381,0.254912213982379,0.192348830576155,0.154887793548047,0.417744521646179,0.0345005971587122,1.43609477997506,0.152046299972064,0.18961307401274
"pc2001__32__08",1,"Ernakulam",TRUE,811941,6961,35411,147182,208632,413755,811637,663853,549488,252213,186773,69832,383242,260047,73460,25360,1235070,1048459,151237,35374,2011,0.00857328303411208,0.947813942146043,0.509587519290195,0.817918601542315,0.677012013991476,0.310746060122937,0.23011888319532,0.086006249222542,0.441986548283681,0.0312337965443302,1.52113269313903,0.1510934602897,0.189560100958679
"pc2001__32__09",1,"Idukki",TRUE,279082,8065,20060,56504,64135,130318,278996,193555,149506,49919,31665,11127,99272,114920,36169,17594,513379,413340,80128,19911,2011,0.028898316623788,0.899223167384496,0.466952365254656,0.693755466028187,0.535871482028416,0.178923712167916,0.113496250842306,0.0398700023648963,0.60442092288288,0.0630424033079883,1.83952745071341,0.194863833542081,0.199032377372825
"pc2001__32__10",1,"Kottayam",TRUE,485783,2526,22056,86815,118487,255899,485621,395534,326629,130873,90114,50435,222429,153067,44341,15511,729209,598706,105126,25377,2011,0.00519985260908677,0.949397158813709,0.526776358991566,0.814491136091726,0.672600649477679,0.269496170882231,0.18556446282183,0.103822076935586,0.438300640409401,0.0319298946237312,1.50110028551843,0.178965152651709,0.194455299878164
"pc2001__32__11",1,"Alappuzha",TRUE,535289,4832,29692,96646,140712,263407,535060,417490,335529,117606,86047,81241,209584,168719,54212,21533,802003,594294,165734,41975,2011,0.00902689948794016,0.935503998774494,0.492083715525632,0.780267633536426,0.627086681867454,0.219799648637536,0.160817478413636,0.151770352090179,0.45669535521933,0.0402268681030247,1.49826168667766,0.258987809272534,0.202085610156517
"pc2001__32__12",1,"Pathanamthitta",TRUE,322247,2838,24056,70905,83559,140889,322143,254685,212382,71748,51676,72664,144056,78191,20645,6691,391257,291929,80126,19202,2011,0.00880690898596418,0.916542279679873,0.437208104342321,0.790596101731219,0.659278643335413,0.22272096553394,0.160413232632713,0.22549162598876,0.32747240470819,0.0207635757664152,1.21415249792861,0.253868940364006,0.193319104381443
"pc2001__32__13",1,"Kollam",TRUE,668787,9961,42921,129576,177443,308886,668543,499136,402483,146409,107876,113974,299923,181612,53236,20042,909120,692709,176474,39937,2011,0.0148941292220094,0.920928486947264,0.461860054097942,0.746602686738175,0.602030086322047,0.218997132570381,0.161359852694591,0.170418982426393,0.381122838811161,0.0299676877690505,1.35935656644044,0.238044482576558,0.184542375387573
"pc2001__32__14",1,"Thiruvananthapuram",TRUE,836711,20207,59725,164857,203706,388216,836326,631246,522290,234080,175362,117262,367937,243289,75419,32804,1223652,914120,239950,69582,2011,0.0241505131401404,0.904468807031341,0.463978601930655,0.7547846174817,0.624505276650493,0.279890855958083,0.209681392184387,0.140146358778599,0.420111603648094,0.0392058906838801,1.46245477829262,0.252957540215682,0.224797436129382
"pc2001__33__02",1,"Chennai",TRUE,1145851,23754,78820,294644,267059,481574,1144883,907851,705143,477378,328410,68668,606703,311532,107090,51858,1785407,1592574,171401,21432,2011,0.0207304440106087,0.910482252928173,0.420276283740207,0.792963997194473,0.615908350460265,0.41696662453718,0.286850272036531,0.0599275123903544,0.410594396653666,0.0452571931254587,1.55814935798808,0.108005065511673,0.111142802321179
"pc2001__33__05",2,"Dharmapuri;Krishnagiri",TRUE,822981,91836,112764,219323,176478,222580,822563,456592,286345,107917,53979,40406,257977,326386,114703,83509,1625803,1392623,197086,36094,2011,0.111589453462474,0.751391587412103,0.270455818542591,0.555084534558447,0.348113153642943,0.131196029969741,0.0656229370881015,0.0490971237489079,0.637436344216938,0.10147135839102,1.9755049023003,0.143424510841719,0.154790290762501
"pc2001__33__06",1,"Tiruvannamalai",TRUE,588045,56049,73359,142964,123013,192660,587789,334276,200019,67403,31894,32408,157937,229517,90283,77900,1236580,968922,229006,38652,2011,0.0953141341223886,0.779935209040124,0.327627987654006,0.568700673200757,0.340290478385951,0.114672101723578,0.054260967796267,0.055111428547135,0.676308785892236,0.132472854968582,2.10286627724069,0.216450209448641,0.144408162655329
"pc2001__33__08",1,"Salem",TRUE,915266,115716,125873,237978,190631,245068,915049,493352,311093,142223,72655,47021,328971,348651,120197,70426,1691965,1558999,112892,20074,2011,0.126428819599985,0.736045040458184,0.267756040320519,0.539153640952561,0.33997414346117,0.155426649283262,0.079400119556439,0.0513741360435108,0.589199205476878,0.0769459370281426,1.8486046679326,0.0785867319950472,0.150970924898094
"pc2001__33__09",1,"Namakkal",TRUE,474578,65201,69814,124141,100046,115376,474480,253682,159044,80410,41830,28732,143531,200103,67463,34749,894705,836163,51856,6686,2011,0.137387320946188,0.715505143516977,0.24311282866041,0.534652672399258,0.335196425560614,0.169469735289159,0.0881596695329624,0.0605422080248136,0.637018572289487,0.0732208404097957,1.88526438225118,0.0654316227136319,0.114208602370947
"pc2001__33__11",1,"The Nilgiris",TRUE,196961,13088,22835,47812,44595,68631,196899,128759,90399,34363,18405,10861,74493,77695,22883,11029,346184,315259,26711,4214,2011,0.0664497032407431,0.817613639248379,0.348449693086449,0.653934250554853,0.459113555680831,0.174520947287696,0.0934743193210732,0.0551428963094217,0.566645173409964,0.055995857047842,1.75762714446007,0.0893311071568877,0.13626515763945
"pc2001__33__13",1,"Dindigul",TRUE,559772,54892,73225,146284,121116,164255,559599,291735,184827,75183,41651,27834,177050,218493,81199,55196,1101426,959919,122588,18919,2011,0.0980613535510887,0.771126458629585,0.293431968730126,0.521328665705264,0.330284721738245,0.134351562458117,0.0744300829701268,0.0497238161251367,0.633986694582794,0.0986044318043775,1.96763325068063,0.12847617543076,0.133696566247606
"pc2001__33__14",1,"Karur",TRUE,286771,33632,39706,73287,62635,77511,286698,153557,95546,43695,23116,15415,98210,108897,40687,23562,542202,507452,29690,5060,2011,0.117278246405669,0.74426284387194,0.270288836737327,0.535605410571403,0.333263573516383,0.152407760082038,0.0806283964310878,0.053753691970248,0.603777927335749,0.082163119701783,1.89071419355514,0.0640905050147362,0.145611510791367
