"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","households_no_literate","households_1_literate","households_2_literates","households_3_literates","households_4_plus_literates","households_age15_plus","households_with_matriculate","households_with_female_matriculate","households_with_graduate","households_with_female_graduate","households_no_workers","households_1_worker","households_2_workers","households_3_workers","households_4_plus_workers","workers_total","main_workers","marginal_workers_3_6_months","marginal_workers_lt3_months","census_year","no_literate_share_households","two_plus_literate_share_households","four_plus_literate_share_households","matriculate_access_share_households_age15_plus","female_matriculate_access_share_households_age15_plus","graduate_access_share_households_age15_plus","female_graduate_access_share_households_age15_plus","workerless_share_households","two_plus_worker_share_households","four_plus_worker_share_households","workers_per_household","marginal_worker_share_workers","short_marginal_share_marginal_workers"
"pc2001__23__45",1,"Balaghat",TRUE,391305,33232,50026,91404,72691,143952,390855,145884,88641,42311,20447,12893,79374,176102,61944,60992,891820,529654,299125,63041,2011,0.0849260806787544,0.787229910172372,0.367876720205466,0.373243274360057,0.226787427562651,0.10825242097453,0.0523135178007189,0.0329487228632397,0.764206948543975,0.155868184664137,2.27909175706929,0.406097643022135,0.174066588249587
"pc2001__24__01",1,"Kachchh",TRUE,444472,55809,63872,94832,76418,153541,443906,165385,90501,51710,27313,24079,220006,115895,48223,36269,767241,678682,75230,13329,2011,0.125562465127162,0.730734444464443,0.345445832358394,0.37256761566638,0.203874243646177,0.116488625970363,0.0615287921316675,0.0541743911877464,0.45084279774654,0.0816001907881711,1.72618522651596,0.115425270547325,0.150509829605122
"pc2001__24__03",1,"Patan",TRUE,267351,22499,34013,48609,50766,111464,266749,107906,50225,25216,10554,12958,93537,86947,36304,37605,554344,445819,97640,10885,2011,0.0841552864960296,0.788622447643734,0.416920078847657,0.404522603646124,0.188285616815808,0.0945308136112975,0.0395652842184975,0.0484681186904107,0.601665974692446,0.140657786954229,2.07346896028068,0.195771939445543,0.100299470168164
"pc2001__24__04",1,"Mahesana",TRUE,423859,19231,37952,71267,76939,218470,423022,238850,134074,72438,34011,21364,165612,136317,56133,44433,810823,697707,103246,9870,2011,0.0453712201463222,0.86508956988055,0.515430839029017,0.564627844414711,0.31694332682461,0.171239320886384,0.0804000737550293,0.0504035540120653,0.55887217211384,0.104829672131534,1.91295454384595,0.139507636068538,0.0872555606633898
"pc2001__24__07",1,"Ahmadabad",TRUE,1507594,57585,118321,259702,294189,777797,1504730,968497,677328,438014,284805,67616,737208,421016,178730,103024,2588146,2327117,231981,29048,2011,0.0381966232288003,0.883320045051917,0.515919405357145,0.643635070743588,0.450132581924996,0.291091425039708,0.189273158639756,0.0448502713595305,0.46615335428504,0.0683367007297721,1.71673938739475,0.100855593154327,0.111282654417708
"pc2001__24__08",1,"Surendranagar",TRUE,342730,31853,40785,58063,62166,149863,342112,126600,61711,33981,14950,18406,118669,108060,45592,52003,721170,584180,120647,16343,2011,0.0929390482303854,0.788060572462288,0.437262568202375,0.37005425123936,0.180382447853335,0.0993271209428491,0.0436991394630998,0.0537040819303825,0.600049601727307,0.151731683832755,2.10419280483179,0.189955211669925,0.11930067888167
"pc2001__24__09",1,"Rajkot",TRUE,785783,44615,65015,135194,151490,389469,784418,424281,286466,145709,90957,32842,342689,225345,105343,79564,1477453,1323381,135151,18921,2011,0.0567777617993772,0.860483110477066,0.495644471819828,0.540886364157885,0.365195597245346,0.185754278968611,0.115954758814816,0.0417952539059766,0.522093249663075,0.101254417568209,1.88023029258714,0.104282166674676,0.122806220468352
"pc2001__24__11",1,"Porbandar",TRUE,124430,10819,12665,22925,25029,52992,124189,49449,27244,13940,7028,7889,51671,36056,16152,12662,230580,194891,31136,4553,2011,0.0869484850920196,0.811267379249377,0.425878003696858,0.398175361747015,0.219375306991763,0.112248266754705,0.0565911634685842,0.0634011090573013,0.521337298079241,0.101760025717271,1.85309009081411,0.154779252320236,0.127574322620415
"pc2001__24__13",1,"Amreli",TRUE,294462,23987,32536,48759,50893,138287,293933,123235,75606,27490,13797,10983,95753,92388,44442,50896,656403,528524,108995,18884,2011,0.0814604261330834,0.808046539112008,0.46962596192378,0.419262212817207,0.257221883898712,0.0935247148159615,0.0469392684727472,0.0372985308800456,0.63752198925498,0.172844034204753,2.22916029912179,0.194817817712594,0.147670845095755
"pc2001__24__14",1,"Bhavnagar",TRUE,538203,37487,55510,86218,91400,267588,536992,204426,106932,56446,27023,23033,199974,153659,77248,84289,1149569,991245,141302,17022,2011,0.0696521572715128,0.827208321023852,0.497187864058729,0.380687235564031,0.19913145819677,0.105115160002384,0.0503229098385078,0.0427961196797491,0.58564519335641,0.156611910375825,2.13593941319539,0.137724660285724,0.107513706071095
