"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","workers_excl_cultivators_aglab_total","occupation_division_1","occupation_division_2","occupation_division_3","occupation_division_4","occupation_division_5","occupation_division_6","occupation_division_7","occupation_division_8","occupation_division_9","occupation_division_x","census_year","manager_professional_technical_share","clerical_service_sales_share","skilled_agriculture_fishery_share","craft_machine_operator_share","elementary_occupation_share","occupation_not_classified_share"
"pc2001__01__01",1,"Kupwara",TRUE,136259,5578,1506,12401,1403,16354,3618,7236,3457,11850,72856,2011,0.142999728458304,0.130317997343295,0.0265523745220499,0.0784755502388833,0.0869667324727174,0.534687616964751
"pc2001__01__06",2,"Anantnag;Kulgam",TRUE,231630,11480,4653,22049,4355,41291,8692,33858,11600,20882,72770,2011,0.164840478349091,0.197064283555671,0.037525363726633,0.196252644303415,0.0901523982213012,0.314164831843889
"pc2001__01__07",1,"Leh(Ladakh)",TRUE,56588,1530,1186,5036,734,3730,238,1340,2620,2876,37298,2011,0.136990174595321,0.0788859828938998,0.00420583869371598,0.0699795009542659,0.0508234961475931,0.659115006715205
"pc2001__01__08",1,"Kargil",TRUE,38714,1343,632,4582,544,3154,649,1130,1793,7764,17123,2011,0.169370253655009,0.0955210001549827,0.0167639613576484,0.0755024022317508,0.200547605517384,0.442294777083226
"pc2001__01__11",1,"Punch",TRUE,77128,2532,1714,8092,744,9494,3086,3464,2242,9432,36328,2011,0.159967845659164,0.132740379628669,0.0400114096048128,0.0739809148428586,0.122290218856965,0.47100923140753
"pc2001__02__01",1,"Chamba",TRUE,89802,2752,4264,8828,2634,11710,4506,7402,3686,27386,16634,2011,0.176432596155988,0.15972918197813,0.0501770561902853,0.123471637602726,0.304959800449879,0.185229727622993
"pc2001__02__02",1,"Kangra",TRUE,317338,10978,17820,29060,11446,49492,8380,35284,23210,89910,41758,2011,0.182322949032262,0.192028688653738,0.0264071746844059,0.184327121239814,0.28332566537887,0.13158840101091
"pc2001__02__04",1,"Kullu",TRUE,59124,3184,4094,7266,2002,11622,1100,6586,3554,12036,7680,2011,0.245991475542927,0.230430958663149,0.0186049658345173,0.171503957783641,0.203572153440227,0.129896488735539
"pc2001__02__06",1,"Hamirpur",TRUE,85852,3297,6408,8728,3616,13675,2234,9519,7582,20731,10062,2011,0.214706704561338,0.201404743046172,0.0260215254158319,0.199191632111075,0.241473698923729,0.117201695941853
"pc2001__02__09",1,"Solan",TRUE,148478,6820,7958,12778,5074,16978,2682,13182,14876,42484,25646,2011,0.185589784345156,0.148520319508614,0.018063282102399,0.188970756610407,0.286129931707054,0.17272592572637
