"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","workers_total","main_workers_total","marginal_workers_total","industry_agriculture","industry_mining","industry_manufacturing","industry_utilities","industry_construction","industry_trade","industry_transport","industry_accommodation_food","industry_information_communication","industry_finance_realestate_professional","industry_administrative_public","industry_education_health","industry_other_services","census_year","main_worker_share_among_workers","marginal_worker_share_among_workers","agriculture_share_among_workers","mining_share_among_workers","manufacturing_share_among_workers","utilities_share_among_workers","construction_share_among_workers","trade_share_among_workers","transport_share_among_workers","accommodation_food_share_among_workers","information_communication_share_among_workers","finance_realestate_professional_share_among_workers","administrative_public_share_among_workers","education_health_share_among_workers","other_services_share_among_workers"
"pc2001__28__12",1,"Vizianagaram",TRUE,1157875,953227,204648,784619,4098,80962,2794,48266,56096,10630,31146,4620,8868,23794,33642,68340,2011,0.823255532764763,0.176744467235237,0.677637050631545,0.00353924214617295,0.0699229191406672,0.00241304113138292,0.0416849832667602,0.0484473712620101,0.00918061103314261,0.0268992766922163,0.00399006801252294,0.00765885782144014,0.0205497139155781,0.0290549498002807,0.0590219151462809
"pc2001__28__13",1,"Visakhapatnam",TRUE,1889031,1481851,407180,936625,7297,183618,11742,163545,110999,19861,88018,19030,29699,79469,62551,176577,2011,0.784450334589533,0.215549665410467,0.495822990729109,0.00386282702613139,0.0972022163744269,0.00621588528721869,0.0865761334779577,0.0587597556630886,0.0105138560457716,0.0465942591730893,0.0100739479659148,0.0157218171644616,0.0420686584815178,0.0331127440470802,0.0934749085642321
"pc2001__28__14",1,"East Godavari",TRUE,2093662,1747684,345978,1338626,7346,166096,8094,94853,121205,18524,60459,12986,26587,45969,67355,125562,2011,0.834749830679451,0.165250169320549,0.639370633846342,0.00350868478293058,0.0793327671801848,0.00386595353022599,0.0453048295283575,0.0578913883902941,0.00884765544772747,0.0288771540009801,0.00620252934809917,0.0126988023854853,0.0219562661021693,0.0321709043771153,0.0599724310800884
"pc2001__28__15",1,"West Godavari",TRUE,1773999,1535130,238869,1238699,4661,120870,6025,60674,91817,13583,41839,10085,19099,28655,53053,84939,2011,0.865349980467858,0.134650019532142,0.698252366545866,0.00262739719695445,0.0681341984972934,0.00339628150861415,0.0342018231126399,0.0517570753985769,0.00765671232058192,0.0235845679732627,0.00568489610197075,0.0107660714577629,0.0161527712247865,0.0299058793156028,0.0478799593460876
"pc2001__28__16",1,"Krishna",TRUE,2049107,1745275,303832,1186347,3386,156353,12275,106205,144981,22849,96130,18489,31737,51433,70704,148218,2011,0.851724678115882,0.148275321884118,0.578958053434984,0.00165242713045244,0.0763029944263525,0.00599041436098749,0.0518298946809513,0.0707532598346499,0.011150711017043,0.046913118739041,0.00902295487741733,0.0154882102301149,0.025100202185635,0.034504786719288,0.072332972363083
"pc2001__28__17",1,"Guntur",TRUE,2381051,2105308,275743,1557393,10560,164820,9292,103029,147297,24716,70815,17704,27241,47288,74997,125899,2011,0.884192736736844,0.115807263263156,0.654077968090562,0.00443501630162479,0.0692215328441096,0.00390247835934636,0.0432703877405398,0.061862177668601,0.0103802900483862,0.0297410681249583,0.00743537202689065,0.0114407461242955,0.0198601373931092,0.0314974353762267,0.0528753899013503
"pc2001__28__18",1,"Prakasam",TRUE,1700347,1463444,236903,1197693,14728,97024,4308,105022,70952,14196,37260,9068,12422,29148,45904,62622,2011,0.860673733067427,0.139326266932573,0.70438151741968,0.0086617613934097,0.0570612939594095,0.0025336004944873,0.0617650397242445,0.0417279531766163,0.00834888408071999,0.0219131741932676,0.00533302908171097,0.0073055676282547,0.017142383289999,0.0269968424092259,0.0368289531489749
"pc2001__28__19",1,"Sri Potti Sriramulu Nellore",TRUE,1315182,1077381,237801,817630,4366,99169,5615,85864,72977,13926,45105,11622,14965,31701,43502,68740,2011,0.81918776260624,0.18081223739376,0.621685819909336,0.00331969263569605,0.0754032521734634,0.00426937108324171,0.0652867816013297,0.0554881377634426,0.0105886485672705,0.0342956336081242,0.00883679977371953,0.011378653296654,0.0241038882831426,0.0330767908928194,0.0522665304117605
"pc2001__28__20",1,"Y.S.R.",TRUE,1320403,1079819,240584,797927,6693,108912,6295,79453,73369,10118,50732,9206,12026,29311,43126,93235,2011,0.817795021671414,0.182204978328586,0.6043056551674,0.00506890699278932,0.082483908321929,0.00476748386666798,0.0601732955771836,0.0555656114080322,0.00766281203541646,0.0384216031014774,0.00697211381676655,0.00910782541390772,0.0221985257531223,0.0326612405455001,0.0706110179998076
"pc2001__28__21",1,"Kurnool",TRUE,2028114,1757002,271112,1358286,24544,130149,5224,91887,97703,16085,51636,9304,16430,36436,52534,137896,2011,0.866323096236208,0.133676903763792,0.669728624722279,0.0121018838191541,0.0641724281771143,0.00257579209058268,0.0453066247755304,0.0481743136727028,0.0079310137398588,0.0254601072720764,0.00458751332518783,0.00810112252072615,0.0179654595353121,0.0259028831712616,0.0679922331782138
