"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","workers_total","main_workers_total","marginal_workers_total","industry_agriculture","industry_mining","industry_manufacturing","industry_utilities","industry_construction","industry_trade","industry_transport","industry_accommodation_food","industry_information_communication","industry_finance_realestate_professional","industry_administrative_public","industry_education_health","industry_other_services","census_year","main_worker_share_among_workers","marginal_worker_share_among_workers","agriculture_share_among_workers","mining_share_among_workers","manufacturing_share_among_workers","utilities_share_among_workers","construction_share_among_workers","trade_share_among_workers","transport_share_among_workers","accommodation_food_share_among_workers","information_communication_share_among_workers","finance_realestate_professional_share_among_workers","administrative_public_share_among_workers","education_health_share_among_workers","other_services_share_among_workers"
"pc2001__33__02",1,"Chennai",TRUE,1817203,1618471,198732,45001,987,281939,10105,164934,262605,46245,152345,130675,90844,237274,93817,300432,2011,0.890638525250068,0.109361474749932,0.0247638816356786,0.000543142400711423,0.155149974989035,0.00556074362633124,0.0907625620252663,0.144510547253114,0.0254484501731507,0.0838348825089987,0.0719099627284348,0.0499911127155304,0.130570992894024,0.0516271434726885,0.165326603577036
"pc2001__33__05",2,"Dharmapuri;Krishnagiri",TRUE,1629167,1395379,233788,997741,11426,151592,4070,120110,96178,15942,54998,7840,12388,24812,49072,82998,2011,0.856498443683183,0.143501556316817,0.61242401791836,0.00701340009956008,0.0930487789158509,0.00249820920752753,0.0737247930997866,0.0590350774352783,0.00978536884186827,0.0337583562642749,0.00481227523022502,0.00760388591224841,0.0152298690066764,0.0301209145532656,0.0509450535150786
"pc2001__33__06",1,"Tiruvannamalai",TRUE,1238364,970623,267741,834200,2420,108272,3350,64682,54718,11752,34142,5274,8980,23164,33560,53850,2011,0.783794587051949,0.216205412948051,0.67363069339871,0.00195419117480805,0.0874314821813296,0.0027051819981847,0.0522318155243531,0.044185715993036,0.00948993995303481,0.0275702459050812,0.00425884473385854,0.00725150278916377,0.0187053241211792,0.02710027100271,0.0434847912245511
"pc2001__33__08",1,"Salem",TRUE,1693328,1559965,133363,747045,18933,374472,9701,118768,117327,21599,73348,13880,22777,39973,55602,79903,2011,0.921242074778188,0.0787579252218117,0.44116969659747,0.0111809407273724,0.221145578411271,0.00572895505182694,0.070138803586783,0.0692878166545406,0.0127553551349768,0.0433158844594786,0.00819687621063373,0.0134510266174067,0.0236061767123676,0.0328359301919061,0.0471869596439674
"pc2001__33__09",1,"Namakkal",TRUE,897769,838877,58892,429101,2506,195428,2562,52304,50776,10582,45468,6980,11258,17674,33514,39616,2011,0.934401833879316,0.0655981661206836,0.47796370781348,0.00279136392546412,0.217681831295133,0.00285374077296053,0.0582599755616423,0.0565579787228118,0.0117869964322671,0.050645544677974,0.00777482849151619,0.0125399740913308,0.0196865786187761,0.0373303154820449,0.0441271641145996
"pc2001__33__11",1,"The Nilgiris",TRUE,349777,318308,31469,213879,148,18778,1352,21564,19440,5424,13794,1988,3572,15636,14530,19672,2011,0.910031248481175,0.0899687515188249,0.611472452448274,0.000423126735034036,0.0536856339896563,0.00386531990382444,0.0616507088802294,0.0555782684396058,0.0155070230461122,0.0394365552909425,0.00568362127870043,0.010212220929335,0.0447027677634607,0.0415407531084091,0.0562415481864159
"pc2001__33__13",1,"Dindigul",TRUE,1103782,962030,141752,659498,2090,115558,2483,58656,73029,18775,32448,6053,12634,23925,34023,64610,2011,0.871576090206218,0.128423909793782,0.597489359311893,0.00189348983766722,0.104692774479019,0.00224953840522857,0.0531409281905304,0.0661625212224878,0.017009699379044,0.0293971092117828,0.00548387272124387,0.0114461007698984,0.0216754757732958,0.0308240214100248,0.0585351092878847
"pc2001__33__14",1,"Karur",TRUE,543199,508567,34632,296971,2070,91718,1436,28252,37312,6532,17486,3488,10534,10036,16456,20908,2011,0.936244359801841,0.0637556401981594,0.54670756021274,0.00381075811995236,0.168847880795068,0.00264359838659497,0.0520104050265188,0.0686893753486291,0.0120250589562941,0.0321907809108632,0.0064212194794173,0.0193925246548687,0.0184757335709381,0.0302946065806454,0.0384904979574705
"pc2001__33__15",1,"Tiruchirappalli",TRUE,1214584,1083124,131460,568083,3165,141168,4204,79823,106803,26107,65735,16334,22956,45250,56053,78903,2011,0.891765411037853,0.108234588962147,0.467718165231882,0.00260583047364365,0.116227449068982,0.00346126739690297,0.0657204442014715,0.0879338110826423,0.0214946022671137,0.0541214111168927,0.0134482258946273,0.0189002983737642,0.0372555541650475,0.0461499575163183,0.0649629832107125
"pc2001__33__16",1,"Perambalur",TRUE,299724,254579,45145,238398,1368,6942,420,5362,5604,2030,4638,534,1302,3786,6714,22626,2011,0.849378094513619,0.150621905486381,0.795391760419586,0.00456419906313809,0.0231613084037314,0.00140128918605117,0.0178897919419199,0.0186972014253113,0.00677289773258064,0.0154742362973936,0.00178163910797934,0.00434399647675862,0.0126316210914041,0.0224006085598751,0.0754894502942707
"pc2001__33__17",1,"Ariyalur",TRUE,360261,272684,87577,277287,136,21246,520,7044,8690,2700,5838,666,1782,4798,9202,20352,2011,0.756906798126914,0.243093201873086,0.7696836460233,0.000377504087314475,0.0589739105814951,0.00144339798090829,0.0195524911106115,0.0241214008732558,0.00749456643933148,0.0162049181010434,0.00184865972170177,0.00494641384995878,0.0133181221392268,0.0255425927313809,0.056492376360472
"pc2001__33__18",1,"Cuddalore",TRUE,1170345,837526,332819,730221,29169,62380,4669,52192,56676,12235,33657,6201,10180,19502,39783,113480,2011,0.71562317094532,0.28437682905468,0.623936531535573,0.0249234200171744,0.0533005224955035,0.00398942192259547,0.0445953970837659,0.0484267459595248,0.0104541823137622,0.0287581866885406,0.00529843764018302,0.00869828982052301,0.0166634624832848,0.0339925406610871,0.0969628613784824
"pc2001__33__20",1,"Thiruvarur",TRUE,540143,412576,127567,371783,506,22296,1436,20160,29768,7468,18672,2500,5062,10276,16024,34192,2011,0.76382735682958,0.23617264317042,0.688304763738491,0.000936788961441692,0.0412779578741185,0.00265855523444717,0.0373234495309575,0.0551113316288464,0.0138259683083924,0.0345686234941488,0.00462840395969216,0.00937159233758468,0.0190245916359186,0.0296662180200428,0.0633017552759177
"pc2001__33__21",1,"Thanjavur",TRUE,973829,834510,139319,560725,410,75324,2928,44900,80375,19139,36265,7713,15784,21213,41459,67594,2011,0.856936895491919,0.143063104508081,0.575794107589731,0.000421018474496036,0.077348281885218,0.00300668803249852,0.0461066573289561,0.0825350241161436,0.0196533477643406,0.0372395975063384,0.00792028169216567,0.0162081843937693,0.0217830851206937,0.0425731827661735,0.0694105433294757
"pc2001__33__22",1,"Pudukkottai",TRUE,761817,640426,121391,527495,4440,41500,1830,32914,46410,10280,16124,2328,5764,11168,20938,40626,2011,0.840655958058169,0.159344041941831,0.692416945276884,0.00582817133248536,0.054475024841924,0.0024021516978487,0.0432046016300503,0.0609201422388841,0.013494054346385,0.0211651879650887,0.00305585199595178,0.00756612152262289,0.0146596886128821,0.0274842908467519,0.053327767692241
"pc2001__33__23",1,"Sivaganga",TRUE,619692,461002,158690,355540,668,42498,1348,52784,38514,14374,18550,3220,7890,11728,20900,51678,2011,0.743921173744376,0.256078826255624,0.573736630455129,0.00107795485499248,0.068579229681842,0.00217527416845788,0.0851777980028788,0.0621502294688329,0.0231953938408112,0.029934225389387,0.00519612969023321,0.0127321314459441,0.0189255307475326,0.0337264318403336,0.0833930404136248
"pc2001__33__24",1,"Madurai",TRUE,1353981,1173621,180360,484698,6748,190482,5361,104535,152998,32465,68294,19372,31871,43638,63410,150109,2011,0.866792813193095,0.133207186806905,0.357979912568936,0.00498382178184184,0.140682919479668,0.00395943517671223,0.0772056624132835,0.11299863144313,0.0239774413378031,0.0504394079385161,0.0143074385829639,0.023538735033948,0.032229403514525,0.0468322672179299,0.110864923510744
"pc2001__33__25",1,"Theni",TRUE,590804,530368,60436,367052,1272,50242,1744,20564,39748,8688,18906,3054,6682,12594,19586,40672,2011,0.897705499624241,0.102294500375759,0.621275414519875,0.00215299828707998,0.0850400471222267,0.00295190960115368,0.0348068056411263,0.0672778112538168,0.0147053845268482,0.0320004603895708,0.00516922701945146,0.0113100114420349,0.0213167141725513,0.0331514343166262,0.0688417817076391
"pc2001__33__26",1,"Virudhunagar",TRUE,947563,851601,95962,292631,2606,323557,2902,65719,70172,17221,30383,7852,11736,20626,33441,68717,2011,0.898727578008006,0.101272421991994,0.308824848585266,0.00275021291460304,0.341462256335463,0.00306259319960784,0.0693558106426697,0.0740552343221506,0.0181739894867149,0.0320643587814214,0.00828652026303264,0.0123854561649199,0.0217674181030707,0.0352915848339372,0.0725197163671439
"pc2001__33__27",1,"Ramanathapuram",TRUE,604427,487407,117020,378507,1500,39252,1258,25858,48266,11984,15326,2202,4052,10236,17086,48900,2011,0.806395147801141,0.193604852198859,0.626224506846981,0.00248168926934105,0.0649408448001165,0.00208131006722069,0.0427810140844138,0.0798541428493433,0.0198270428025221,0.0253562464946139,0.00364311984739265,0.00670386994624661,0.0169350475739833,0.0282680952373074,0.0809030701805181
"pc2001__33__30",1,"Kanniyakumari",TRUE,680223,553534,126689,161197,2510,84429,4048,154837,56870,10689,33411,5822,11000,19366,45399,90645,2011,0.813753724881399,0.186246275118601,0.236976697347782,0.00368996637867288,0.124119590193216,0.00595098960193936,0.227626822380308,0.0836049354402894,0.0157139643910894,0.0491177158079042,0.00855895787116872,0.0161711673965744,0.0284700752547326,0.0667413480579163,0.133257769878408
"pc2001__34__01",1,"Yanam",TRUE,16729,15435,1294,6677,12,1652,80,1904,1428,300,686,146,202,864,1394,1384,2011,0.922649291649232,0.0773507083507681,0.399127264032518,0.000717317233546536,0.0987506724849064,0.00478211489031024,0.113814334389384,0.0853607507920378,0.0179329308386634,0.0410066351844103,0.00872735967481619,0.0120748400980334,0.0516468408153506,0.0833283519636559,0.0827305876023672
"pc2001__34__03",1,"Mahe",TRUE,11549,10124,1425,929,20,1194,86,992,2324,570,986,150,324,916,1648,1410,2011,0.876612693739718,0.123387306260282,0.08043986492337,0.00173175166681098,0.103385574508615,0.00744653216728721,0.0858948826738246,0.201229543683436,0.0493549225041129,0.0853753571737813,0.0129881375010823,0.0280543770023379,0.0793142263399429,0.142696337345225,0.122088492510174
"pc2001__34__04",1,"Karaikal",TRUE,68573,58494,10079,19071,358,5892,424,6936,8572,2204,3934,866,1596,4022,5126,9572,2011,0.853017951671941,0.146982048328059,0.27811237659137,0.00522071369197789,0.0859230309305412,0.00618319163519169,0.101147682032287,0.125005468624677,0.0321409301036851,0.0573695186151984,0.0126288772548962,0.0232744666268065,0.0586528225394835,0.0747524535896052,0.13958846776428
"pc2001__35__01",2,"North  & Middle Andaman;South Andaman",TRUE,133931,115004,18927,31985,850,5920,2392,18731,11432,2960,10065,1052,1750,25745,10383,10666,2011,0.858680962585212,0.141319037414788,0.238817002785016,0.0063465515825313,0.0442018651395121,0.0178599428063704,0.139855597285169,0.0853573855194092,0.0221009325697561,0.0751506372684442,0.00785479089979168,0.0130664297287409,0.192225847637963,0.0775249942134383,0.0796380225638575
"pc2001__35__02",1,"Nicobars",TRUE,17125,9651,7474,3110,4,4538,228,1872,701,117,720,37,94,3337,1050,1317,2011,0.56356204379562,0.43643795620438,0.181605839416058,0.000233576642335766,0.264992700729927,0.0133138686131387,0.109313868613139,0.0409343065693431,0.00683211678832117,0.042043795620438,0.00216058394160584,0.00548905109489051,0.194861313868613,0.0613138686131387,0.0769051094890511
