"state_transition","n_rows"
"Andhra Pradesh -> Telangana",33
"Orissa -> Odisha",30
"Uttaranchal -> Uttarakhand",13
"Pondicherry -> Puducherry",4
"Daman and Diu -> Dadra and Nagar Haveli and Daman and Diu",2
"Jammu and Kashmir -> Ladakh",2
"Dadra and Nagar Haveli -> Dadra and Nagar Haveli and Daman and Diu",1
