"legacy_event","first_reflected","legacy_chunk","current_detection_status"
"Ladakh split from Jammu and Kashmir","2019 data","Chunk 6 district tracker source QA","must be detected from raw/pre-correction tracker columns or carried as this reference row"
"Dadra and Nagar Haveli and Daman and Diu merger","2019 data","Chunk 6 district tracker source QA","must be detected from raw/pre-correction tracker columns or carried as this reference row"
