survey_id,survey_family,survey_label,survey_start,survey_end,schedule_variant,analysis_role,raw_path,price_timing,price_group_months,district_identity_source,mpce_contract,legacy_wave,household_adapter,household_id_field,mpce_field,mpce_scale,household_size_field,weight_field,state_field,district_field,sector_field,subround_field
nss_2000_01,nss_schedule_1_0,NSS 56 Household Consumer Expenditure,2000-07-01,2001-06-30,schedule_1_0,optional_pretrend,data/raw/hces/2000-2001,quarterly_subround,3,round_56_region_composition,schedule_1_0_summary,,legacy_schedule_pending,,,,,,,,,,
nss_2001_02,nss_schedule_1_0,NSS 57 Household Consumer Expenditure,2001-07-01,2002-06-30,schedule_1_0,optional_pretrend,data/raw/hces/2001-2002,quarterly_subround,3,round_57_region_composition,schedule_1_0_summary,,legacy_schedule_pending,,,,,,,,,,
nss_2004_05,nss_schedule_1_0,NSS 61 Household Consumer Expenditure,2004-07-01,2005-06-30,schedule_1_0,core_baseline,data/raw/hces/2004-05,quarterly_subround,3,District_code_list_nss61_round.xls,schedule_1_0_summary,,split_household_mpce,HHID,B3_q29,1,B3_q1,Wgt_Combined,State,District,Sector,SubRound
nss_2007_08_consumption,nss_schedule_1_0,NSS 64 Household Consumer Expenditure,2007-07-01,2008-06-30,schedule_1_0,treatment_period,data/raw/nss_2007_consumption_64,quarterly_subround,3,nss_64_metadata,schedule_1_0_summary,,legacy_schedule_pending,,,,,,,,,,
nss_2007_08_education,nss_social_consumption_education,NSS 64 Participation and Expenditure in Education household consumption question,2007-07-01,2008-06-30,education_block_3,legacy_current,data/raw/nss_2007_education_64,quarterly_subround,3,nss_64_metadata,single_household_consumption_question,2007,legacy_current,,,,,,,,,,
nss_2009_10_type1,nss_schedule_1_0,NSS 66 Household Consumer Expenditure Type 1,2009-07-01,2010-06-30,type_1,design_sensitivity,data/raw/hces/2009-10/type1,quarterly_subround,3,District code_66.xls,schedule_1_0_summary,,direct_mpce,HH_ID,MPCE_MRP,1,HH_Size,Multiplier,State,District,Sector,Sub_Round
nss_2009_10_type2,nss_schedule_1_0,NSS 66 Household Consumer Expenditure Type 2,2009-07-01,2010-06-30,type_2,early_post,data/raw/hces/2009-10/type2,quarterly_subround,3,District code_66.xls,schedule_1_0_summary,,direct_mpce,HH_ID,MPCE,1,HH_Size,Multiplier,State,District,Sector,Sub_Round
nss_2011_12_type2,nss_schedule_1_0,NSS 68 Household Consumer Expenditure Type 2,2011-07-01,2012-06-30,type_2,medium_post,data/raw/hces/2011-12,quarterly_subround,3,DDI_and_State_and_District_Codes_from_NSS_68th_Round.pdf,schedule_1_0_summary,,split_household_mpce,HHID,MPCE,0.01,hh_size,Combined_Multiplier,State_code,District_Code,Sector,Sub_Round
nss_2017_18_education,nss_social_consumption_education,NSS 75 Household Social Consumption on Education UMPCE,2017-07-01,2018-06-30,education_block_3,legacy_current,data/raw/nss_2017_education_75,quarterly_subround,3,nss_75_district_list,single_shot_umpce_classification,2017,legacy_current,,,,,,,,,,
hces_2022_23,hces_three_visit,HCES 2022-23,2022-08-01,2023-07-31,fdq_csq_dgq,long_post_1,data/raw/hces/2022-23,three_visit_panel,3,HCES2022_Vol_I_1.pdf_Appendix_I,three_questionnaire_official_mpce,,three_questionnaire,,,,,,,,,,
hces_2023_24,hces_three_visit,HCES 2023-24,2023-08-01,2024-07-31,fdq_csq_dgq,long_post_2,data/raw/hces/2023-24,three_visit_panel,3,HCES2022_Vol_I_1.pdf_Appendix_I_continuity_validation,three_questionnaire_official_mpce,,three_questionnaire,,,,,,,,,,
