mother_tongue_code,mother_tongue,asjp_list_name,asjp_iso639P3code,match_basis,source_note
006008,Awadhi,AWADHI,awa,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
006016,Bagheli/Baghel Khandi,BAGHELI,bfy,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
006017,Bagri Rajasthani,BAGRI,bgq,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
006038,Bhadrawahi,BHADRAWAHI,bhd,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
006064,Chambeali,CHAMBEALI,cdh,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
006074,Churahi,CHURAHI,cdj,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
006084,Dhundhari,DHUNDARI,dhd,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
006095,Garhwali,GARHWALI,gbm,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
006127,Jaunsari,JAUNSARI,jns,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
006162,Kumauni,KUMAUNI,kfy,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
006188,Mandeali,MANDEALI,mjl,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
006210,Nimadi,NIMADI,noe,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
006227,Pangwali,PANGWALI,pgg,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
014009,Nepali,NEPALI,npi,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
030006,Bhilali,BHILALI,bhi,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
030007,Bhili/Bhilodi,BHILI,bhb,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
030055,Wagdi,WAGDI,wbr,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
045001,Halabi,HALABI,hlb,direct,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
053006,Khandeshi,KHANDESI,khn,spelling_alias,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
108005,Shina,SHINA_2,scl,documented_variant,"ASJP v21 raw/lists.txt review index; evidence only, never an automatic degree rule."
