source_row_id,wave,source_code,raw_state,raw_district,terminal_unit,target_unit_2001,review_status,reviewed_panel,evidence_basis,evidence_source_ids,notes
nss_2017_18__andaman and nicobar islands__35102__north and middle andaman,nss_2017_18,35102,Andaman & Nicobar Islands,North & Middle Andaman,pc2011__35__639,pc2001__35__01,accepted_dominant_parent,dominant_parent,iss_2001_2011_continuity_and_shrug_min_99pct_single_parent,alluvial|shrug_pc_keys,India State Stories links the 2011 district to the same Census-2001 district; SHRUG allocation is single-target with at least 99 percent mapped population.
nss_2017_18__andhra pradesh__28313__chittoor,nss_2017_18,28313,Andhra Pradesh,Chittoor,pc2011__28__554,pc2001__28__23,accepted_dominant_parent,dominant_parent,iss_2001_2011_continuity_and_shrug_min_99pct_single_parent,alluvial|shrug_pc_keys,India State Stories links the 2011 district to the same Census-2001 district; SHRUG allocation is single-target with at least 99 percent mapped population.
nss_2017_18__andhra pradesh__28104__east godavari,nss_2017_18,28104,Andhra Pradesh,East Godavari,pc2011__28__545,pc2001__28__14,accepted_dominant_parent,dominant_parent,iss_2001_2011_continuity_and_shrug_min_99pct_single_parent,alluvial|shrug_pc_keys,India State Stories links the 2011 district to the same Census-2001 district; SHRUG allocation is single-target with at least 99 percent mapped population.
nss_2017_18__andhra pradesh__28206__krishna,nss_2017_18,28206,Andhra Pradesh,Krishna,pc2011__28__547,pc2001__28__16,accepted_dominant_parent,dominant_parent,iss_2001_2011_continuity_and_shrug_min_99pct_single_parent,alluvial|shrug_pc_keys,India State Stories links the 2011 district to the same Census-2001 district; SHRUG allocation is single-target with at least 99 percent mapped population.
nss_2017_18__andhra pradesh__28311__kurnool,nss_2017_18,28311,Andhra Pradesh,Kurnool,pc2011__28__552,pc2001__28__21,accepted_dominant_parent,dominant_parent,iss_2001_2011_continuity_and_shrug_min_99pct_single_parent,alluvial|shrug_pc_keys,India State Stories links the 2011 district to the same Census-2001 district; SHRUG allocation is single-target with at least 99 percent mapped population.
nss_2017_18__andhra pradesh__28208__prakasam,nss_2017_18,28208,Andhra Pradesh,Prakasam,pc2011__28__549,pc2001__28__18,accepted_dominant_parent,dominant_parent,iss_2001_2011_continuity_and_shrug_min_99pct_single_parent,alluvial|shrug_pc_keys,India State Stories links the 2011 district to the same Census-2001 district; SHRUG allocation is single-target with at least 99 percent mapped population.
nss_2017_18__andhra pradesh__28209__sri potti sriramulu nellore,nss_2017_18,28209,Andhra Pradesh,Sri Potti Sriramulu Nellore,pc2011__28__550,pc2001__28__19,accepted_dominant_parent,dominant_parent,iss_2001_2011_continuity_and_shrug_min_99pct_single_parent,alluvial|shrug_pc_keys,India State Stories links the 2011 district to the same Census-2001 district; SHRUG allocation is single-target with at least 99 percent mapped population.
nss_2017_18__andhra pradesh__28101__srikakulam,nss_2017_18,28101,Andhra Pradesh,Srikakulam,pc2011__28__542,pc2001__28__11,accepted_dominant_parent,dominant_parent,iss_2001_2011_continuity_and_shrug_min_99pct_single_parent,alluvial|shrug_pc_keys,India State Stories links the 2011 district to the same Census-2001 district; SHRUG allocation is single-target with at least 99 percent mapped population.
nss_2017_18__andhra pradesh__28103__visakhapatnam,nss_2017_18,28103,Andhra Pradesh,Visakhapatnam,pc2011__28__544,pc2001__28__13,accepted_dominant_parent,dominant_parent,iss_2001_2011_continuity_and_shrug_min_99pct_single_parent,alluvial|shrug_pc_keys,India State Stories links the 2011 district to the same Census-2001 district; SHRUG allocation is single-target with at least 99 percent mapped population.
nss_2017_18__andhra pradesh__28102__vizianagaram,nss_2017_18,28102,Andhra Pradesh,Vizianagaram,pc2011__28__543,pc2001__28__12,accepted_dominant_parent,dominant_parent,iss_2001_2011_continuity_and_shrug_min_99pct_single_parent,alluvial|shrug_pc_keys,India State Stories links the 2011 district to the same Census-2001 district; SHRUG allocation is single-target with at least 99 percent mapped population.
nss_2017_18__andhra pradesh__28105__west godavari,nss_2017_18,28105,Andhra Pradesh,West Godavari,pc2011__28__546,pc2001__28__15,accepted_dominant_parent,dominant_parent,iss_2001_2011_continuity_and_shrug_min_99pct_single_parent,alluvial|shrug_pc_keys,India State Stories links the 2011 district to the same Census-2001 district; SHRUG allocation is single-target with at least 99 percent mapped population.
nss_2017_18__andhra pradesh__28310__y s r cuddapah,nss_2017_18,28310,Andhra Pradesh,Y.S.R. (Cuddapah),pc2011__28__551,pc2001__28__20,accepted_dominant_parent,dominant_parent,iss_2001_2011_continuity_and_shrug_min_99pct_single_parent,alluvial|shrug_pc_keys,India State Stories links the 2011 district to the same Census-2001 district; SHRUG allocation is single-target with at least 99 percent mapped population.
nss_2017_18__arunachal pradesh__12116__anjaw,nss_2017_18,12116,Arunachal Pradesh,Anjaw,pc2011__12__260,pc2001__12__11,accepted_dominant_parent,dominant_parent,iss_2001_2011_continuity_and_shrug_min_99pct_single_parent,alluvial|shrug_pc_keys,India State Stories links the 2011 district to the same Census-2001 district; SHRUG allocation is single-target with at least 99 percent mapped population.
