state_code,state_name,centre,weight,source_page,note
ANP,Andhra Pradesh,Guntur,0.81,39,
ANP,Andhra Pradesh,Vijaywada,1.18,39,
ANP,Andhra Pradesh,Visakhapatnam,1.98,39,
ASM,Assam,D.D.Tinsukia,0.44,39,
ASM,Assam,Guwahati,0.5,39,
ASM,Assam,Labac-Silchar,0.33,39,
ASM,Assam,Mariani-Jorhat,0.46,39,
ASM,Assam,Rangapara-Tezpur,0.46,39,
BIH,Bihar,Monger-Jamalpur,1.06,39,
CHD,Chandigarh,Chandigarh,0.16,39,
CHHT,Chhattisgarh,Bhillai,0.97,39,
DEL,Delhi,Delhi,1.99,39,
GOA,Goa,Goa,0.36,39,
GUJ,Gujarat,Ahmedabad,1.37,39,
GUJ,Gujarat,Bhavnagar,1.66,39,
GUJ,Gujarat,Rajkot,1.81,39,
GUJ,Gujarat,Surat,1.18,39,
GUJ,Gujarat,Vadodra,2.0,39,
HAR,Haryana,Faridabad,1.34,39,
HAR,Haryana,Yamunanagar,1.67,39,
HP,Himachal Pradesh,Himachal Pradesh,0.57,39,
JNK,Jammu and Kashmir,Srinagar,0.45,39,
JHK,Jharkhand,Bokaro,0.91,39,
JHK,Jharkhand,Giridih,0.55,39,
JHK,Jharkhand,Jamshedpur,1.02,39,
JHK,Jharkhand,Jharia,0.84,39,
JHK,Jharkhand,Kodarma,0.43,39,
JHK,Jharkhand,Ranchi-Hatia,0.71,39,
KAR,Karnataka,Belgaum,0.96,39,
KAR,Karnataka,Bengaluru,1.95,39,
KAR,Karnataka,Hubli-Dharwar,1.18,39,
KAR,Karnataka,Mercara,0.63,39,
KAR,Karnataka,Mysore,0.92,39,
KER,Kerala,Ernakulam,3.08,39,
KER,Kerala,Mundakayam,1.83,39,
KER,Kerala,Quilon,1.75,39,
MP,Madhya Pradesh,Bhopal,1.35,39,
MP,Madhya Pradesh,Chhindwara,1.21,39,
MP,Madhya Pradesh,Indore,1.05,39,
MP,Madhya Pradesh,Jabalpur,1.55,39,
MAH,Maharashtra,Mumbai,9.57,39,
MAH,Maharashtra,Nagpur,1.06,39,
MAH,Maharashtra,Nasik,1.5,39,
MAH,Maharashtra,Pune,1.81,39,
MAH,Maharashtra,Solapur,0.95,39,
OD,Odisha,Angul-Talcher,0.88,39,
OD,Odisha,Rourkela,0.71,39,
PY,Puducherry,Puducherry,0.59,39,
PUN,Punjab,Amritsar,1.07,39,
PUN,Punjab,Jalandhar,0.96,39,
PUN,Punjab,Ludhiana,0.57,39,
RAJA,Rajasthan,Ajmer,1.56,39,
RAJA,Rajasthan,Bhilwara,0.73,39,
RAJA,Rajasthan,Jaipur,1.09,39,
TN,Tamil Nadu,Chennai,2.31,39,
TN,Tamil Nadu,Coimbatore,1.26,39,
TN,Tamil Nadu,Coonoor,1.18,39,
TN,Tamil Nadu,Madurai,1.17,39,
TN,Tamil Nadu,Salem,1.12,39,
TN,Tamil Nadu,Tiruchirapally,1.37,39,
ANP,Telangana (2014 successor),Godavarikhani,1.17,39,Assigned to undivided Andhra Pradesh for 2007-08
ANP,Telangana (2014 successor),Hyderabad,1.51,39,Assigned to undivided Andhra Pradesh for 2007-08
ANP,Telangana (2014 successor),Warrangal,0.98,39,Assigned to undivided Andhra Pradesh for 2007-08
TRI,Tripura,Tripura,0.26,39,
UP,Uttar Pradesh,Agra,1.91,39,
UP,Uttar Pradesh,Ghaziabad,1.82,39,
UP,Uttar Pradesh,Kanpur,2.09,39,
UP,Uttar Pradesh,Lucknow,2.75,39,
UP,Uttar Pradesh,Varanasi,2.64,39,
WB,West Bengal,Asansol,1.08,39,
WB,West Bengal,Darjeeling,0.53,39,
WB,West Bengal,Durgapur,1.14,39,
WB,West Bengal,Haldia,1.74,39,
WB,West Bengal,Howrah,0.79,39,
WB,West Bengal,Jalpaiguri,0.48,39,
WB,West Bengal,Kolkata,1.51,39,
WB,West Bengal,Raniganj,0.99,39,
WB,West Bengal,Siliguri,0.48,39,
