table	state_code	relative_path	url
C02T	09	data/raw/census_1991/education/C02T/1991-C02T-0900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35552/download/39210/1991-C02T-0900.xlsx
C02T	11	data/raw/census_1991/education/C02T/1991-C02T-1100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35553/download/39211/1991-C02T-1100.xlsx
C02T	12	data/raw/census_1991/education/C02T/1991-C02T-1200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35554/download/39212/1991-C02T-1200.xlsx
C02T	13	data/raw/census_1991/education/C02T/1991-C02T-1300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35555/download/39213/1991-C02T-1300.xlsx
C02T	14	data/raw/census_1991/education/C02T/1991-C02T-1400.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35556/download/39214/1991-C02T-1400.xlsx
C02T	15	data/raw/census_1991/education/C02T/1991-C02T-1500.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35557/download/39215/1991-C02T-1500.xlsx
C02T	16	data/raw/census_1991/education/C02T/1991-C02T-1600.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35558/download/39216/1991-C02T-1600.xlsx
C02T	17	data/raw/census_1991/education/C02T/1991-C02T-1700.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35559/download/39217/1991-C02T-1700.xlsx
C02T	18	data/raw/census_1991/education/C02T/1991-C02T-1800.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35560/download/39218/1991-C02T-1800.xlsx
C02T	19	data/raw/census_1991/education/C02T/1991-C02T-1900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35561/download/39219/1991-C02T-1900.xlsx
C02T	20	data/raw/census_1991/education/C02T/1991-C02T-2000.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35562/download/39220/1991-C02T-2000.xlsx
C02T	21	data/raw/census_1991/education/C02T/1991-C02T-2100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35563/download/39221/1991-C02T-2100.xlsx
C02T	22	data/raw/census_1991/education/C02T/1991-C02T-2200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35564/download/39222/1991-C02T-2200.xlsx
C02T	23	data/raw/census_1991/education/C02T/1991-C02T-2300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35565/download/39223/1991-C02T-2300.xlsx
C02T	24	data/raw/census_1991/education/C02T/1991-C02T-2400.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35566/download/39224/1991-C02T-2400.xlsx
C02T	25	data/raw/census_1991/education/C02T/1991-C02T-2500.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35567/download/39225/1991-C02T-2500.xlsx
C02T	26	data/raw/census_1991/education/C02T/1991-C02T-2600.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35568/download/39226/1991-C02T-2600.xlsx
C02T	27	data/raw/census_1991/education/C02T/1991-C02T-2700.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35569/download/39227/1991-C02T-2700.xlsx
C02T	28	data/raw/census_1991/education/C02T/1991-C02T-2800.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35570/download/39228/1991-C02T-2800.xlsx
C02T	29	data/raw/census_1991/education/C02T/1991-C02T-2900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35571/download/39229/1991-C02T-2900.xlsx
C02T	30	data/raw/census_1991/education/C02T/1991-C02T-3000.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35572/download/39230/1991-C02T-3000.xlsx
C02T	31	data/raw/census_1991/education/C02T/1991-C02T-3100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35573/download/39231/1991-C02T-3100.xlsx
C02T	32	data/raw/census_1991/education/C02T/1991-C02T-3200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35574/download/39232/1991-C02T-3200.xlsx
C02T	33	data/raw/census_1991/education/C02T/1991-C02T-3300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35575/download/39233/1991-C02T-3300.xlsx
C02U	02	data/raw/census_1991/education/C02U/1991-C02U-0200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35577/download/39235/1991-C02U-0200.xlsx
C02U	03	data/raw/census_1991/education/C02U/1991-C02U-0300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35578/download/39236/1991-C02U-0300.xlsx
C02U	04	data/raw/census_1991/education/C02U/1991-C02U-0400.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35579/download/39237/1991-C02U-0400.xlsx
C02U	05	data/raw/census_1991/education/C02U/1991-C02U-0500.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35580/download/39238/1991-C02U-0500.xlsx
C02U	06	data/raw/census_1991/education/C02U/1991-C02U-0600.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35581/download/39239/1991-C02U-0600.xlsx
C02U	07	data/raw/census_1991/education/C02U/1991-C02U-0700.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35582/download/39240/1991-C02U-0700.xlsx
C02U	08	data/raw/census_1991/education/C02U/1991-C02U-0800.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35583/download/39241/1991-C02U-0800.xlsx
C02U	09	data/raw/census_1991/education/C02U/1991-C02U-0900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35584/download/39242/1991-C02U-0900.xlsx
C02U	11	data/raw/census_1991/education/C02U/1991-C02U-1100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35585/download/39243/1991-C02U-1100.xlsx
C02U	12	data/raw/census_1991/education/C02U/1991-C02U-1200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35586/download/39244/1991-C02U-1200.xlsx
C02U	13	data/raw/census_1991/education/C02U/1991-C02U-1300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35587/download/39245/1991-C02U-1300.xlsx
C02U	14	data/raw/census_1991/education/C02U/1991-C02U-1400.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35588/download/39246/1991-C02U-1400.xlsx
C02U	15	data/raw/census_1991/education/C02U/1991-C02U-1500.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35589/download/39247/1991-C02U-1500.xlsx
C02U	16	data/raw/census_1991/education/C02U/1991-C02U-1600.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35590/download/39248/1991-C02U-1600.xlsx
C02U	17	data/raw/census_1991/education/C02U/1991-C02U-1700.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35591/download/39249/1991-C02U-1700.xlsx
C02U	18	data/raw/census_1991/education/C02U/1991-C02U-1800.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35592/download/39250/1991-C02U-1800.xlsx
C02U	19	data/raw/census_1991/education/C02U/1991-C02U-1900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35593/download/39251/1991-C02U-1900.xlsx
C02U	20	data/raw/census_1991/education/C02U/1991-C02U-2000.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35594/download/39252/1991-C02U-2000.xlsx
C02U	21	data/raw/census_1991/education/C02U/1991-C02U-2100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35595/download/39253/1991-C02U-2100.xlsx
C02U	22	data/raw/census_1991/education/C02U/1991-C02U-2200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35596/download/39254/1991-C02U-2200.xlsx
C02U	23	data/raw/census_1991/education/C02U/1991-C02U-2300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35597/download/39255/1991-C02U-2300.xlsx
C02U	24	data/raw/census_1991/education/C02U/1991-C02U-2400.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35598/download/39256/1991-C02U-2400.xlsx
C02U	25	data/raw/census_1991/education/C02U/1991-C02U-2500.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35599/download/39257/1991-C02U-2500.xlsx
C02U	26	data/raw/census_1991/education/C02U/1991-C02U-2600.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35600/download/39258/1991-C02U-2600.xlsx
C02U	27	data/raw/census_1991/education/C02U/1991-C02U-2700.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35601/download/39259/1991-C02U-2700.xlsx
C02U	28	data/raw/census_1991/education/C02U/1991-C02U-2800.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35602/download/39260/1991-C02U-2800.xlsx
C02U	29	data/raw/census_1991/education/C02U/1991-C02U-2900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35603/download/39261/1991-C02U-2900.xlsx
C02U	30	data/raw/census_1991/education/C02U/1991-C02U-3000.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35604/download/39262/1991-C02U-3000.xlsx
C02U	31	data/raw/census_1991/education/C02U/1991-C02U-3100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35605/download/39263/1991-C02U-3100.xlsx
C02U	32	data/raw/census_1991/education/C02U/1991-C02U-3200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35606/download/39264/1991-C02U-3200.xlsx
C02U	33	data/raw/census_1991/education/C02U/1991-C02U-3300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35607/download/39265/1991-C02U-3300.xlsx
C06T	02	data/raw/census_1991/age/C06T/1991-C06T-0200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35705/download/39363/1991-C06T-0200.xlsx
C06T	03	data/raw/census_1991/age/C06T/1991-C06T-0300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35706/download/39364/1991-C06T-0300.xlsx
C06T	04	data/raw/census_1991/age/C06T/1991-C06T-0400.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35707/download/39365/1991-C06T-0400.xlsx
C06T	05	data/raw/census_1991/age/C06T/1991-C06T-0500.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35708/download/39366/1991-C06T-0500.xlsx
C06T	06	data/raw/census_1991/age/C06T/1991-C06T-0600.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35709/download/39367/1991-C06T-0600.xlsx
C06T	07	data/raw/census_1991/age/C06T/1991-C06T-0700.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35710/download/39368/1991-C06T-0700.xlsx
C06T	08	data/raw/census_1991/age/C06T/1991-C06T-0800.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35711/download/39369/1991-C06T-0800.xlsx
C06T	09	data/raw/census_1991/age/C06T/1991-C06T-0900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35712/download/39370/1991-C06T-0900.xlsx
C06T	11	data/raw/census_1991/age/C06T/1991-C06T-1100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35713/download/39371/1991-C06T-1100.xlsx
C06T	12	data/raw/census_1991/age/C06T/1991-C06T-1200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35714/download/39372/1991-C06T-1200.xlsx
C06T	13	data/raw/census_1991/age/C06T/1991-C06T-1300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35715/download/39373/1991-C06T-1300.xlsx
C06T	14	data/raw/census_1991/age/C06T/1991-C06T-1400.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35716/download/39374/1991-C06T-1400.xlsx
C06T	15	data/raw/census_1991/age/C06T/1991-C06T-1500.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35717/download/39375/1991-C06T-1500.xlsx
C06T	16	data/raw/census_1991/age/C06T/1991-C06T-1600.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35718/download/39376/1991-C06T-1600.xlsx
C06T	17	data/raw/census_1991/age/C06T/1991-C06T-1700.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35719/download/39377/1991-C06T-1700.xlsx
C06T	18	data/raw/census_1991/age/C06T/1991-C06T-1800.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35720/download/39378/1991-C06T-1800.xlsx
C06T	19	data/raw/census_1991/age/C06T/1991-C06T-1900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35721/download/39379/1991-C06T-1900.xlsx
C06T	20	data/raw/census_1991/age/C06T/1991-C06T-2000.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35722/download/39380/1991-C06T-2000.xlsx
C06T	21	data/raw/census_1991/age/C06T/1991-C06T-2100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35723/download/39381/1991-C06T-2100.xlsx
C06T	22	data/raw/census_1991/age/C06T/1991-C06T-2200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35724/download/39382/1991-C06T-2200.xlsx
C06T	23	data/raw/census_1991/age/C06T/1991-C06T-2300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35725/download/39383/1991-C06T-2300.xlsx
C06T	24	data/raw/census_1991/age/C06T/1991-C06T-2400.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35726/download/39384/1991-C06T-2400.xlsx
C06T	25	data/raw/census_1991/age/C06T/1991-C06T-2500.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35727/download/39385/1991-C06T-2500.xlsx
C06T	26	data/raw/census_1991/age/C06T/1991-C06T-2600.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35728/download/39386/1991-C06T-2600.xlsx
C06T	27	data/raw/census_1991/age/C06T/1991-C06T-2700.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35729/download/39387/1991-C06T-2700.xlsx
C06T	28	data/raw/census_1991/age/C06T/1991-C06T-2800.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35730/download/39388/1991-C06T-2800.xlsx
C06T	29	data/raw/census_1991/age/C06T/1991-C06T-2900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35731/download/39389/1991-C06T-2900.xlsx
C06T	30	data/raw/census_1991/age/C06T/1991-C06T-3000.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35732/download/39390/1991-C06T-3000.xlsx
C06T	31	data/raw/census_1991/age/C06T/1991-C06T-3100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35733/download/39391/1991-C06T-3100.xlsx
C06T	32	data/raw/census_1991/age/C06T/1991-C06T-3200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35734/download/39392/1991-C06T-3200.xlsx
C06T	33	data/raw/census_1991/age/C06T/1991-C06T-3300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35735/download/39393/1991-C06T-3300.xlsx
C09T	01	data/raw/census_1991/religion/C09T/1991-C09T-0100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35737/download/39400/1991-C09T-0100.xlsx
ST16T	02	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-0200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46146/download/50394/1991-ST16T-0200.xlsx
