source_wave,state,source_name,reference_name,label,case_type,evidence
nss_2017_18,Chhattisgarh,Balodabazar,Baloda Bazar,match,spacing,manual review of NSS and tracker rosters
nss_2017_18,Chhattisgarh,Gariyaband,Gariaband,match,typo,manual review of NSS and tracker rosters
nss_2017_18,Chhattisgarh,Sukama,Sukma,match,typo,manual review of NSS and tracker rosters
nss_2017_18,Gujarat,Panch Mahals,Panchmahal,match,spacing,manual review of NSS and tracker rosters
nss_2017_18,Gujarat,Dohad,Dahod,match,transliteration,manual review of NSS and tracker rosters
nss_2017_18,Gujarat,The Dangs,Dang,match,prefix,manual review of NSS and tracker rosters
nss_2017_18,Gujarat,Mahesana,Mehsana,match,transliteration,manual review of NSS and tracker rosters
nss_2017_18,Gujarat,Sabar Kantha,Sabarkantha,match,spacing,manual review of NSS and tracker rosters
nss_2017_18,Gujarat,Ahmadabad,Ahmedabad,match,transliteration,manual review of NSS and tracker rosters
nss_2017_18,Gujarat,Banas Kantha,Banaskantha,match,spacing,manual review of NSS and tracker rosters
nss_2017_18,Gujarat,Kachchh,Kutch,match,transliteration,manual review of NSS and tracker rosters
nss_2017_18,Himachal Pradesh,Lahul & Spiti,Lahaul and Spiti,match,punctuation,manual review of NSS and tracker rosters
nss_2017_18,Jammu and Kashmir,Badgam,Budgam,match,transliteration,manual review of NSS and tracker rosters
nss_2017_18,Jammu and Kashmir,Baramula,Baramulla,match,typo,manual review of NSS and tracker rosters
nss_2017_18,Jammu and Kashmir,Bandipore,Bandipora,match,transliteration,manual review of NSS and tracker rosters
nss_2017_18,Jammu and Kashmir,Shupiyan,Shopiyan,match,transliteration,manual review of NSS and tracker rosters
nss_2017_18,Jharkhand,Kodarma,Koderma,match,transliteration,manual review of NSS and tracker rosters
nss_2017_18,Karnataka,Chikmagalur,Chikkamagaluru,match,official_rename,manual review; requires official alias evidence before production
nss_2017_18,Karnataka,Bagalkot,Bagalkote,match,transliteration,manual review of NSS and tracker rosters
nss_2017_18,Maharashtra,Raigarh,Raigad,match,transliteration,manual review of NSS and tracker rosters
nss_2017_18,Maharashtra,Bid,Beed,match,transliteration,manual review of NSS and tracker rosters
nss_2017_18,Odisha,Baleshwar,Balasore,match,regional_english,manual review; requires official alias evidence before production
nss_2017_18,Odisha,Debagarh,Deogarh,match,regional_english,manual review; requires state-constrained evidence before production
nss_2017_18,Punjab,Firozpur,Ferozepur,match,transliteration,manual review of NSS and tracker rosters
nss_2017_18,Punjab,Bhatinda,Bathinda,match,transliteration,manual review of NSS and tracker rosters
nss_2017_18,West Bengal,Koch Bihar,Cooch Behar,match,regional_english,manual review; requires official alias evidence before production
nss_2017_18,West Bengal,Haora,Howrah,match,regional_english,manual review of NSS and tracker rosters
nss_2017_18,Uttar Pradesh,Farrukhabad,Firozabad,nonmatch,hard_negative,known implausible current attachment
