state_code_1991,district_code_1991,ipum1993,district_name_helms_lim,linguistic_distance_1991_helms_lim,source_row_count,source_years
10,01,10001,Anantnag,,2,2001;2011
10,02,10002,Pulwama,,2,2001;2011
10,03,10003,Srinagar,,2,2001;2011
10,04,10004,Badgam,,2,2001;2011
10,05,10005,Barmula,,2,2001;2011
10,06,10006,Kupwara,,2,2001;2011
10,07,10007,Kargil,,2,2001;2011
10,08,10008,Ladakh,,2,2001;2011
10,09,10009,Doda,,2,2001;2011
10,10,10010,Udhampur,,2,2001;2011
10,11,10011,Kathua,,2,2001;2011
10,12,10012,Jammu,,2,2001;2011
10,13,10013,Rajouri,,2,2001;2011
10,14,10014,Poonch,,2,2001;2011
11,01,11001,Bangalore (Urban),4.8501616,3,1991;2001;2011
11,02,11002,Bangalore (Rural),4.9682536,3,1991;2001;2011
11,03,11003,Belgaum,4.3002825,3,1991;2001;2011
11,04,11004,Bellary,4.9658184,3,1991;2001;2011
11,05,11005,Bidar,4.228167,3,1991;2001;2011
11,06,11006,Bijapur,4.9035583,3,1991;2001;2011
11,07,11007,Chikmagalur,4.9097877,3,1991;2001;2011
11,08,11008,Chitradurga,4.9601393,3,1991;2001;2011
11,09,11009,Dakshin Kannad,4.5698495,3,1991;2001;2011
11,10,11010,Dharwad,4.900046,3,1991;2001;2011
11,11,11011,Gulbarga,4.8921556,3,1991;2001;2011
11,12,11012,Hassan,4.970309,3,1991;2001;2011
11,13,11013,Kodagu,4.9380693,3,1991;2001;2011
11,14,11014,Kolar,4.9706674,3,1991;2001;2011
11,15,11015,Mandya,4.9796367,3,1991;2001;2011
11,16,11016,Mysore,4.9602103,3,1991;2001;2011
11,17,11017,Raichur,4.96701,3,1991;2001;2011
11,18,11018,Shimoga,4.8778105,3,1991;2001;2011
11,19,11019,Tumkur,4.9758053,3,1991;2001;2011
11,20,11020,Uttar Kannad,4.0224752,3,1991;2001;2011
12,01,12001,Kasargad,4.8817644,3,1991;2001;2011
12,02,12002,Kannur,4.994555,3,1991;2001;2011
12,03,12003,Wayanad,4.9977584,3,1991;2001;2011
12,04,12004,Kozhikode,4.9946837,3,1991;2001;2011
12,05,12005,Malapuram,4.999272,3,1991;2001;2011
12,06,12006,Palakkad,4.9990945,3,1991;2001;2011
12,07,12007,Trichur,4.9964314,3,1991;2001;2011
12,08,12008,Ernakulam,4.9626245,3,1991;2001;2011
12,09,12009,Idukki,4.9990025,3,1991;2001;2011
12,10,12010,Kottayam,4.996818,3,1991;2001;2011
12,11,12011,Alappuzm,4.984003,3,1991;2001;2011
12,12,12012,Pathanamthitta,4.9988728,3,1991;2001;2011
12,13,12013,Kollam,4.9974246,3,1991;2001;2011
12,14,12014,Thiruvananthapuram,4.996511,3,1991;2001;2011
13,01,13001,Morena,1.4623569,3,1991;2001;2011
13,02,13002,Bhind,1.2924478,3,1991;2001;2011
13,03,13003,Gwalior,2.4509757,3,1991;2001;2011
13,04,13004,Datia,3.680382,3,1991;2001;2011
13,05,13005,Shivpuri,1.5310118,3,1991;2001;2011
13,06,13006,Guna,1.7922438,3,1991;2001;2011
13,07,13007,Tikamgarh,3.264259,3,1991;2001;2011
13,08,13008,Chhatarpur,2.6104023,3,1991;2001;2011
13,09,13009,Panna,3.006149,3,1991;2001;2011
13,10,13010,Sagar,2.9483333,3,1991;2001;2011
13,11,13011,Damoh,2.7248938,3,1991;2001;2011
13,12,13012,Satna,3.4352942,3,1991;2001;2011
13,13,13013,Rewa,3.6787355,3,1991;2001;2011
13,14,13014,Shadol,3.8472168,3,1991;2001;2011
13,15,13015,Sidhi,4.5243692,3,1991;2001;2011
13,16,13016,Mandsaur,2.3987465,3,1991;2001;2011
13,17,13017,Ratlam,1.160675,3,1991;2001;2011
13,18,13018,Ujjain,2.404721,3,1991;2001;2011
13,19,13019,Shajapur,2.08418,3,1991;2001;2011
13,20,13020,Dewas,2.2264082,3,1991;2001;2011
13,21,13021,Jhabua,1.0048178,3,1991;2001;2011
13,22,13022,Dhar,1.0389838,3,1991;2001;2011
13,23,13023,Indore,2.4202235,3,1991;2001;2011
13,24,13024,Khargone (W. Nimar),1.057878,3,1991;2001;2011
13,25,13025,Khandwa (E. Nimar),2.796182,3,1991;2001;2011
13,26,13026,Rajgarh,2.2520988,3,1991;2001;2011
13,27,13027,Vidisha,2.7292147,3,1991;2001;2011
13,28,13028,Bhopal,3.105899,3,1991;2001;2011
13,29,13029,Sehore,2.0539162,3,1991;2001;2011
13,30,13030,Raisen,2.8052502,3,1991;2001;2011
