table	state_code	relative_path	url
C13	01	data/raw/census_2011/age/C13/DDW-0100C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1451/download/4528/DDW-0100C-13.xls
C13	02	data/raw/census_2011/age/C13/DDW-0200C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1450/download/4527/DDW-0200C-13.xls
C13	03	data/raw/census_2011/age/C13/DDW-0300C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1464/download/4541/DDW-0300C-13.xls
C13	04	data/raw/census_2011/age/C13/DDW-0400C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1442/download/4519/DDW-0400C-13.xls
C13	05	data/raw/census_2011/age/C13/DDW-0500C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1470/download/4547/DDW-0500C-13.xls
C13	06	data/raw/census_2011/age/C13/DDW-0600C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1449/download/4526/DDW-0600C-13.xls
C13	07	data/raw/census_2011/age/C13/DDW-0700C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1446/download/4523/DDW-0700C-13.xls
C13	08	data/raw/census_2011/age/C13/DDW-0800C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1465/download/4542/DDW-0800C-13.xls
C13	09	data/raw/census_2011/age/C13/DDW-0900C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1469/download/4546/DDW-0900C-13.xls
C13	10	data/raw/census_2011/age/C13/DDW-1000C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1441/download/4518/DDW-1000C-13.xls
C13	11	data/raw/census_2011/age/C13/DDW-1100C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1466/download/4543/DDW-1100C-13.xls
C13	12	data/raw/census_2011/age/C13/DDW-1200C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1439/download/4516/DDW-1200C-13.xls
C13	13	data/raw/census_2011/age/C13/DDW-1300C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1461/download/4538/DDW-1300C-13.xls
C13	14	data/raw/census_2011/age/C13/DDW-1400C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1458/download/4535/DDW-1400C-13.xls
C13	15	data/raw/census_2011/age/C13/DDW-1500C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1460/download/4537/DDW-1500C-13.xls
C13	16	data/raw/census_2011/age/C13/DDW-1600C-13.xls	https://censusindia.gov.in/nada/index.php/catalog/1468/download/4545/DDW-1600C-13.xls
