table	state_code	relative_path	url
B01	01	data/raw/census_2001/workers/B01/PC01_B01_01.xls	https://censusindia.gov.in/nada/index.php/catalog/25582/download/28713/PC01_B01_01.xls
B01	02	data/raw/census_2001/workers/B01/PC01_B01_02.xls	https://censusindia.gov.in/nada/index.php/catalog/25583/download/28714/PC01_B01_02.xls
B01	03	data/raw/census_2001/workers/B01/PC01_B01_03.xls	https://censusindia.gov.in/nada/index.php/catalog/25584/download/28715/PC01_B01_03.xls
B01	04	data/raw/census_2001/workers/B01/PC01_B01_04.xls	https://censusindia.gov.in/nada/index.php/catalog/25585/download/28716/PC01_B01_04.xls
B01	05	data/raw/census_2001/workers/B01/PC01_B01_05.xls	https://censusindia.gov.in/nada/index.php/catalog/25586/download/28717/PC01_B01_05.xls
B01	06	data/raw/census_2001/workers/B01/PC01_B01_06.xls	https://censusindia.gov.in/nada/index.php/catalog/25587/download/28718/PC01_B01_06.xls
B01	07	data/raw/census_2001/workers/B01/PC01_B01_07.xls	https://censusindia.gov.in/nada/index.php/catalog/25588/download/28719/PC01_B01_07.xls
B01	08	data/raw/census_2001/workers/B01/PC01_B01_08.xls	https://censusindia.gov.in/nada/index.php/catalog/25589/download/28720/PC01_B01_08.xls
B01	09	data/raw/census_2001/workers/B01/PC01_B01_09.xls	https://censusindia.gov.in/nada/index.php/catalog/25590/download/28721/PC01_B01_09.xls
B01	10	data/raw/census_2001/workers/B01/PC01_B01_10.xls	https://censusindia.gov.in/nada/index.php/catalog/25591/download/28722/PC01_B01_10.xls
B01	11	data/raw/census_2001/workers/B01/PC01_B01_11.xls	https://censusindia.gov.in/nada/index.php/catalog/25592/download/28723/PC01_B01_11.xls
B01	12	data/raw/census_2001/workers/B01/PC01_B01_12.xls	https://censusindia.gov.in/nada/index.php/catalog/25593/download/28724/PC01_B01_12.xls
B01	13	data/raw/census_2001/workers/B01/PC01_B01_13.xls	https://censusindia.gov.in/nada/index.php/catalog/25594/download/28725/PC01_B01_13.xls
B01	14	data/raw/census_2001/workers/B01/PC01_B01_14.xls	https://censusindia.gov.in/nada/index.php/catalog/25595/download/28726/PC01_B01_14.xls
B01	15	data/raw/census_2001/workers/B01/PC01_B01_15.xls	https://censusindia.gov.in/nada/index.php/catalog/25596/download/28727/PC01_B01_15.xls
B01	16	data/raw/census_2001/workers/B01/PC01_B01_16.xls	https://censusindia.gov.in/nada/index.php/catalog/25597/download/28728/PC01_B01_16.xls
B01	17	data/raw/census_2001/workers/B01/PC01_B01_17.xls	https://censusindia.gov.in/nada/index.php/catalog/25598/download/28729/PC01_B01_17.xls
B01	18	data/raw/census_2001/workers/B01/PC01_B01_18.xls	https://censusindia.gov.in/nada/index.php/catalog/25599/download/28730/PC01_B01_18.xls
B01	19	data/raw/census_2001/workers/B01/PC01_B01_19.xls	https://censusindia.gov.in/nada/index.php/catalog/25600/download/28731/PC01_B01_19.xls
