source_id,state_code_source,district_code_source,state_name_source,district_name_source,source_unit_kind,source_lineage_eligible,expected_stratum,mapping_basis
nss_2004_05,07,98,Delhi,Delhi all districts combined,aggregate,FALSE,99,official NSS 61 stratum table plus released microdata invariant
nss_2004_05,07,99,Delhi,Delhi Municipal Corporation aggregate,aggregate,FALSE,10,official NSS 61 stratum table plus released microdata invariant
