source_id,source_state_code,state_code_2001,source_state_name,mapping_basis
nss_2000_01,02,28,Andhra Pradesh,NSS 56 State_Codes_56.pdf
nss_2000_01,04,18,Assam,NSS 56 State_Codes_56.pdf
nss_2000_01,05,10,Bihar,NSS 56 State_Codes_56.pdf
nss_2000_01,07,24,Gujarat,NSS 56 State_Codes_56.pdf
nss_2000_01,08,06,Haryana,NSS 56 State_Codes_56.pdf
nss_2000_01,09,02,Himachal Pradesh,NSS 56 State_Codes_56.pdf
nss_2000_01,10,01,Jammu & Kashmir,NSS 56 State_Codes_56.pdf
nss_2000_01,11,29,Karnataka,NSS 56 State_Codes_56.pdf
nss_2000_01,12,32,Kerala,NSS 56 State_Codes_56.pdf
nss_2000_01,13,23,Madhya Pradesh,NSS 56 State_Codes_56.pdf
nss_2000_01,14,27,Maharashtra,NSS 56 State_Codes_56.pdf
nss_2000_01,15,14,Manipur,NSS 56 State_Codes_56.pdf
nss_2000_01,16,17,Meghalaya,NSS 56 State_Codes_56.pdf
nss_2000_01,18,13,Nagaland,NSS 56 State_Codes_56.pdf
nss_2000_01,19,21,Orissa,NSS 56 State_Codes_56.pdf
nss_2000_01,20,03,Punjab,NSS 56 State_Codes_56.pdf
nss_2000_01,21,08,Rajasthan,NSS 56 State_Codes_56.pdf
nss_2000_01,22,11,Sikkim,NSS 56 State_Codes_56.pdf
nss_2000_01,23,33,Tamil Nadu,NSS 56 State_Codes_56.pdf
nss_2000_01,24,16,Tripura,NSS 56 State_Codes_56.pdf
nss_2000_01,25,09,Uttar Pradesh,NSS 56 State_Codes_56.pdf
nss_2000_01,26,19,West Bengal,NSS 56 State_Codes_56.pdf
nss_2000_01,27,35,Andaman & Nicobar Islands,NSS 56 State_Codes_56.pdf
nss_2000_01,03,12,Arunachal Pradesh,NSS 56 State_Codes_56.pdf
nss_2000_01,28,04,Chandigarh,NSS 56 State_Codes_56.pdf
nss_2000_01,29,26,Dadra & Nagar Haveli,NSS 56 State_Codes_56.pdf
nss_2000_01,31,07,Delhi,NSS 56 State_Codes_56.pdf
nss_2000_01,06,30,Goa,NSS 56 State_Codes_56.pdf
nss_2000_01,32,31,Lakshadweep,NSS 56 State_Codes_56.pdf
nss_2000_01,17,15,Mizoram,NSS 56 State_Codes_56.pdf
nss_2000_01,33,34,Pondicherry,NSS 56 State_Codes_56.pdf
nss_2000_01,30,25,Daman & Diu,NSS 56 State_Codes_56.pdf
nss_2000_01,35,22,Chhattisgarh,NSS 56 State_Codes_56.pdf
nss_2000_01,34,20,Jharkhand,NSS 56 State_Codes_56.pdf
nss_2000_01,36,05,Uttaranchal,NSS 56 State_Codes_56.pdf
