academic_year,state_report,district_report,medium_slot,language_label,source_pdf,source_page
2005-06,BIHAR,DARBHANGA,2,Urdu,District report card 2005-06 vol-1.pdf,95
2005-06,BIHAR,DARBHANGA,3,Others,District report card 2005-06 vol-1.pdf,95
2005-06,BIHAR,DARBHANGA,4,Sanskrit,District report card 2005-06 vol-1.pdf,95
2005-06,BIHAR,DARBHANGA,5,Malayalam,District report card 2005-06 vol-1.pdf,95
2005-06,BIHAR,GAYA,1,Hindi,District report card 2005-06 vol-1.pdf,96
2005-06,BIHAR,GAYA,2,Urdu,District report card 2005-06 vol-1.pdf,96
2005-06,BIHAR,GAYA,3,Others,District report card 2005-06 vol-1.pdf,96
2005-06,BIHAR,GOPALGANJ,1,Hindi,District report card 2005-06 vol-1.pdf,97
2005-06,BIHAR,GOPALGANJ,2,Urdu,District report card 2005-06 vol-1.pdf,97
2005-06,BIHAR,GOPALGANJ,3,Others,District report card 2005-06 vol-1.pdf,97
2005-06,BIHAR,GOPALGANJ,4,Sanskrit,District report card 2005-06 vol-1.pdf,97
2005-06,BIHAR,GOPALGANJ,5,Bengali,District report card 2005-06 vol-1.pdf,97
2005-06,BIHAR,JAMUI,1,Hindi,District report card 2005-06 vol-1.pdf,98
2005-06,BIHAR,JAMUI,2,Urdu,District report card 2005-06 vol-1.pdf,98
2005-06,BIHAR,JAMUI,3,Others,District report card 2005-06 vol-1.pdf,98
2005-06,BIHAR,JAMUI,4,Konkani,District report card 2005-06 vol-1.pdf,98
2005-06,BIHAR,JAMUI,5,English,District report card 2005-06 vol-1.pdf,98
2005-06,BIHAR,JEHANABAD,1,Hindi,District report card 2005-06 vol-1.pdf,99
2005-06,BIHAR,JEHANABAD,2,Urdu,District report card 2005-06 vol-1.pdf,99
2005-06,BIHAR,JEHANABAD,3,Others,District report card 2005-06 vol-1.pdf,99
2005-06,BIHAR,JEHANABAD,4,Assamese,District report card 2005-06 vol-1.pdf,99
2005-06,BIHAR,JEHANABAD,5,English,District report card 2005-06 vol-1.pdf,99
2005-06,BIHAR,KAIMUR (BHABUA),1,Hindi,District report card 2005-06 vol-1.pdf,100
2005-06,BIHAR,KAIMUR (BHABUA),2,Urdu,District report card 2005-06 vol-1.pdf,100
2005-06,BIHAR,KAIMUR (BHABUA),3,Others,District report card 2005-06 vol-1.pdf,100
2005-06,BIHAR,KAIMUR (BHABUA),4,Sanskrit,District report card 2005-06 vol-1.pdf,100
2005-06,BIHAR,KATIHAR,1,Hindi,District report card 2005-06 vol-1.pdf,101
