"district_code_0708","state_code_2001","district_code_2001","social_group","reference_group","ling_distance_nonzero_mean","hindi_belt_2001","log_population_2001","urban_share_2001","adult_secondary_plus_share_2001","sc_share_2001","st_share_2001","muslim_share_2001","agricultural_worker_share_2001","dependency_ratio_2001","electricity_access_share_2001","log_population_density_2001","outcome","group_value","reference_value","gap_percentage_points"
"01113","01","13","Scheduled Tribe","Other",1.23149769037605,FALSE,14.2784719487542,44.1358483155544,30.0025108871058,24.8559264639608,3.35504402142032,5.68187254055333,30.681334239331,55.7167785538746,97.4571733574,6.31922479360024,"enrollment_rate_0708",100,87.422745304864,12.577254695136
"01114","01","14","Scheduled Tribe","Other",1.08852360186491,FALSE,13.2178262728198,14.3119959860676,18.8465000789279,23.1535547298231,6.21250572639815,8.14293816944321,56.021750348064,66.2419957512705,84.8753041995133,5.39984649931972,"enrollment_rate_0708",24.0663820751502,86.7405268668557,-62.6741447917055
"01209","01","09","Scheduled Tribe","Other",3.4450773447949,FALSE,13.4472386281799,6.8930482751843,12.5917702627693,9.09948853133775,11.5258935526622,57.9199599958955,68.3326002262159,77.9701437066402,56.0561045922191,4.07086338140416,"enrollment_rate_0708",58.9656226625174,78.0539141500646,-19.0882914875472
"01210","01","10","Scheduled Tribe","Other",1.39358936012059,FALSE,13.5191361497183,15.6860239755,14.6454619548181,19.1068299105996,14.7768218004086,25.5695627087231,64.0411538356576,70.442183444696,62.9276458858189,5.0673836274345,"enrollment_rate_0708",24.7777237226703,81.9127239090016,-57.1350001863313
"02102","02","02","Scheduled Tribe","Other",2.08700724143244,TRUE,14.107456029202,5.39831071745965,28.2641272955152,20.876305982689,0.119265438414375,1.1912354465546,63.6493750360785,58.6442662726883,97.6061342809052,5.45610733517839,"enrollment_rate_0708",99.2358152017754,90.1735429116877,9.06227229008769
"02104","02","04","Scheduled Tribe","Other",3.93093789239834,TRUE,12.8520522198613,7.88660563826916,19.8816125274144,28.2770441149878,2.97480678563098,0.468589069924077,78.6262256769801,60.8111303466622,91.4001684489931,4.23748362164663,"enrollment_rate_0708",100,82.9564497648973,17.0435502351027
"02105","02","05","Scheduled Tribe","Other",1.85632898958811,TRUE,13.7116422617264,6.76567437071751,25.5848834456325,28.9826081939859,1.17202754996982,0.921845599460361,73.9590395604589,60.0602654243156,95.1310761050753,5.42890791492875,"enrollment_rate_0708",100,92.3564179536429,7.6435820463571
"02106","02","06","Scheduled Tribe","Other",1.41739775114296,TRUE,12.9304762157407,7.3191180033923,31.1134499628454,23.8766658589775,0.0375575478555852,0.845408286891204,71.4812200287237,62.0004168518249,98.3412484588337,5.90626164353227,"enrollment_rate_0708",100,96.8529148838473,3.1470851161527
"02201","02","01","Scheduled Tribe","Other",1.9358135365307,TRUE,13.0409081726263,7.49467873904015,15.359256646938,20.0394022829891,25.5092896957389,5.81509133475234,73.4404561470501,66.8405925592178,89.0956567349685,4.26531003711817,"enrollment_rate_0708",71.2668435844894,92.1219012965897,-20.8550577121003
"02203","02","03","Scheduled Tribe","Other",4.44892149348516,TRUE,10.4110277853106,0,21.1840324763194,7.84071755357573,72.9532867806405,0.403322899109078,54.5286418816388,44.6849362890557,86.4991807755325,0.87614718248118,"enrollment_rate_0708",91.14723533404,100,-8.85276466596
"02209","02","09","Scheduled Tribe","Other",1.81884674264331,TRUE,13.1234767573668,18.2187043633392,27.1482966808946,28.0970998307885,0.707611720543315,2.20814013189307,56.914726033897,53.8255852281304,96.009906718501,5.54321518617009,"enrollment_rate_0708",0,79.4246549299315,-79.4246549299315
"02211","02","11","Scheduled Tribe","Other",2.27068993116696,TRUE,13.490475467131,23.1463719131573,31.6510645374349,26.1296162501972,0.569133372641183,1.17549847612879,66.7986591864903,51.7200669213043,94.0029630367392,4.94571897612895,"enrollment_rate_0708",100,92.9792640046199,7.02073599538009
