"district_code_0708","eligible_child_weight_0708","enrolled_child_weight_0708","known_medium_enrolled_weight_0708","emi_enrolled_child_weight_0708","known_management_enrolled_weight_0708","classified_schooling_weight_0708","enrollment_rate_0708","emi_share_enrolled_0708","emi_exposure_all_children_0708","unknown_medium_share_enrolled_0708","private_share_enrolled_0708","unknown_management_share_enrolled_0708","emi_share_enrolled_public_0708","emi_share_enrolled_private_0708","emi_share_enrolled_private_aided_0708","emi_share_enrolled_private_unaided_0708","public_emi_exposure_all_children_0708","public_nonemi_exposure_all_children_0708","private_emi_exposure_all_children_0708","private_nonemi_exposure_all_children_0708","unknown_school_classification_share_all_children_0708","eligible_child_weight_0708_age6_17","enrolled_child_weight_0708_age6_17","known_medium_enrolled_weight_0708_age6_17","emi_enrolled_child_weight_0708_age6_17","known_management_enrolled_weight_0708_age6_17","classified_schooling_weight_0708_age6_17","enrollment_rate_0708_age6_17","emi_share_enrolled_0708_age6_17","emi_exposure_all_children_0708_age6_17","unknown_medium_share_enrolled_0708_age6_17","private_share_enrolled_0708_age6_17","unknown_management_share_enrolled_0708_age6_17","emi_share_enrolled_public_0708_age6_17","emi_share_enrolled_private_0708_age6_17","emi_share_enrolled_private_aided_0708_age6_17","emi_share_enrolled_private_unaided_0708_age6_17","public_emi_exposure_all_children_0708_age6_17","public_nonemi_exposure_all_children_0708_age6_17","private_emi_exposure_all_children_0708_age6_17","private_nonemi_exposure_all_children_0708_age6_17","unknown_school_classification_share_all_children_0708_age6_17","eligible_child_weight_0708_age6_14","enrolled_child_weight_0708_age6_14","known_medium_enrolled_weight_0708_age6_14","emi_enrolled_child_weight_0708_age6_14","known_management_enrolled_weight_0708_age6_14","classified_schooling_weight_0708_age6_14","enrollment_rate_0708_age6_14","emi_share_enrolled_0708_age6_14","emi_exposure_all_children_0708_age6_14","unknown_medium_share_enrolled_0708_age6_14","private_share_enrolled_0708_age6_14","unknown_management_share_enrolled_0708_age6_14","emi_share_enrolled_public_0708_age6_14","emi_share_enrolled_private_0708_age6_14","emi_share_enrolled_private_aided_0708_age6_14","emi_share_enrolled_private_unaided_0708_age6_14","public_emi_exposure_all_children_0708_age6_14","public_nonemi_exposure_all_children_0708_age6_14","private_emi_exposure_all_children_0708_age6_14","private_nonemi_exposure_all_children_0708_age6_14","unknown_school_classification_share_all_children_0708_age6_14","social_group","state_code_2001","district_code_2001","ling_distance_nonzero_mean","log_population_2001","urban_share_2001","adult_secondary_plus_share_2001","sc_share_2001","st_share_2001","muslim_share_2001","agricultural_worker_share_2001","dependency_ratio_2001","electricity_access_share_2001","log_population_density_2001","hindi_belt_2001"
"01113",110811.65,92673.03,92673.03,57185.15,92673.03,92673.03,83.6311254276965,61.7063562074101,51.6057201566803,0,41.3870842466249,0,39.5780322180169,93.0447704340528,100,91.6880684520624,19.4006135636461,29.6180275268891,32.2051065930342,2.40737774412708,0,88129.335,83280.78,83280.78,49855.945,83280.78,83280.78,94.4983642506777,59.8648871924591,56.5713391573873,0,45.3859702082521,0,32.3765214204255,92.9422990074287,100,91.5412996818699,16.7093170509002,34.9000477536793,39.862022106487,3.02697733961115,0,60990.19,58885.59,58885.59,34206.12,58885.59,58885.59,96.5492811220952,58.0891182375858,56.084626068553,0,49.6737402138621,0,25.7233739324037,90.8800224268329,100,88.3966038713292,12.4988953141481,36.0907467250061,43.5857307544049,4.37390832853611,0,"Scheduled Caste","01","13",1.23149769037605,14.2784719487542,44.1358483155544,30.0025108871058,24.8559264639608,3.35504402142032,5.68187254055333,30.681334239331,55.7167785538746,97.4571733574,6.31922479360024,FALSE
"01113",201363.975,176037.915,176037.915,100116.315,171938.175,171938.175,87.422745304864,56.8720181672227,49.7190795920671,0,61.1418726527718,2.32889602220067,36.4774462893654,70.769709022164,47.5525461537254,88.7289013430597,12.10310583112,21.0765902888042,36.9467875274115,15.2602768196248,2.0359848379036,169514.685,154474.43,154474.43,84162.655,150374.69,150374.69,91.1274619069138,54.4832274182853,49.6491823112552,0,64.1521455505577,2.65399263813434,31.6759420547953,68.1464194718717,42.4630469857799,87.7802202666256,10.0730299560773,21.7272238095478,38.7812359737447,18.1274560372159,2.41851613032817,109330.605,104007.175,104007.175,48489.94,101283.555,101283.555,95.1308876412053,46.621725856894,44.3516616413126,0,67.1339636528359,2.61868472054932,2.84469817702474,67.9388899277623,35.1144964433597,86.2272530273476,0.866125272059,29.5808753642221,42.2530361009161,19.9396728848249,2.49117801918319,"Other","01","13",1.23149769037605,14.2784719487542,44.1358483155544,30.0025108871058,24.8559264639608,3.35504402142032,5.68187254055333,30.681334239331,55.7167785538746,97.4571733574,6.31922479360024,FALSE
"01113",50534.905,43942.745,43942.745,16200.71,43942.745,43942.745,86.9552342089097,36.8677696397892,32.05845543788,0,21.4260055897737,0,19.6525124704693,100,100,100,13.4274220956782,54.8967787710296,18.6310333422018,0,0,41410.395,37709.77,37709.77,9967.735,37709.77,37709.77,91.0635361000541,26.4327653019363,24.0706107729714,0,20.2401526182737,0,7.76407288497571,100,100,100,5.63921208672363,66.9929253270827,18.4313986862477,0,0,27707.135,25347.76,25347.76,5815.48,25347.76,25347.76,91.4845941307176,22.9427767976342,20.9891062356321,0,22.2918317042611,0,0.837679111024467,100,100,100,0.59551447668624,70.4954878950855,20.3935917589458,0,0,"Other Backward Class","01","13",1.23149769037605,14.2784719487542,44.1358483155544,30.0025108871058,24.8559264639608,3.35504402142032,5.68187254055333,30.681334239331,55.7167785538746,97.4571733574,6.31922479360024,FALSE
"01113",8583.045,8583.045,8583.045,6189.135,8583.045,8583.045,100,72.1088494817399,72.1088494817399,0,80.1253517836619,0,0,89.9950488534933,,89.9950488534933,0,19.8746482163381,72.1088494817399,8.01650230192199,0,6877.195,6877.195,6877.195,6189.135,6877.195,6877.195,100,89.9950488534933,89.9950488534933,0,100,0,,89.9950488534933,,89.9950488534933,0,0,89.9950488534933,10.0049511465067,0,6877.195,6877.195,6877.195,6189.135,6877.195,6877.195,100,89.9950488534933,89.9950488534933,0,100,0,,89.9950488534933,,89.9950488534933,0,0,89.9950488534933,10.0049511465067,0,"Scheduled Tribe","01","13",1.23149769037605,14.2784719487542,44.1358483155544,30.0025108871058,24.8559264639608,3.35504402142032,5.68187254055333,30.681334239331,55.7167785538746,97.4571733574,6.31922479360024,FALSE
"01114",20834.54,5014.12,5014.12,3760.59,5014.12,5014.12,24.0663820751502,75,18.0497865563627,0,75,0,0,100,,100,0,6.01659551878755,18.0497865563627,0,0,19581.01,5014.12,5014.12,3760.59,5014.12,5014.12,25.6070549986952,75,19.2052912490214,0,75,0,0,100,,100,0,6.40176374967379,19.2052912490214,0,0,17073.95,3760.59,3760.59,2507.06,3760.59,3760.59,22.0253075591764,66.6666666666667,14.6835383727843,0,66.6666666666667,0,0,100,,100,0,7.34176918639213,14.6835383727843,0,0,"Scheduled Tribe","01","14",1.08852360186491,13.2178262728198,14.3119959860676,18.8465000789279,23.1535547298231,6.21250572639815,8.14293816944321,56.021750348064,66.2419957512705,84.8753041995133,5.39984649931972,FALSE
"01114",102805.48,89174.015,89174.015,42907.78,89174.015,89174.015,86.7405268668557,48.1169093933922,41.736860719876,0,49.7626018072641,0,37.5715101586084,58.7629246984415,44.2666529565409,64.053324146586,16.3722303519229,27.2039535246565,25.3646303679531,17.7997126223232,0,76779.83,74237.93,74237.93,31293.77,74237.93,74237.93,96.6893649022145,42.153343984672,40.7578005838252,0,54.9453493652099,0,26.3174322612896,55.1386371609518,32.2724465434121,62.334191517258,11.464677637343,32.098377920347,29.2931229464822,23.8331863980423,0,53336.545,53141.045,53141.045,20111.87,53141.045,53141.045,99.6334595726064,37.8462072019848,37.7074855523544,0,59.8615439346366,0,16.0320712686524,52.4730557463523,30.6775837310427,56.4907828731285,6.41143891116307,33.5798934857892,31.2960466411913,28.3460805344628,0,"Other","01","14",1.08852360186491,13.2178262728198,14.3119959860676,18.8465000789279,23.1535547298231,6.21250572639815,8.14293816944321,56.021750348064,66.2419957512705,84.8753041995133,5.39984649931972,FALSE
"01114",22843.66,17797.73,17797.73,6790.885,17797.73,17797.73,77.9110265167666,38.1559052755604,29.7276574769542,0,37.3857789729364,0,14.5133081656259,77.7528547511054,100,70.5229378990087,7.08008261373177,41.7032997339305,22.6475748632224,6.48006930588181,0,20213.78,17606.48,17606.48,6599.635,17606.48,17606.48,87.1013734195188,37.4841251630082,32.6491878312715,0,36.7056333804372,0,14.5133081656259,77.0944840829577,100,69.3558938179138,8.0012249069694,47.1290377158552,24.6479629243021,7.323147872392,0,11425.415,9413.455,9413.455,2958,9413.455,9413.455,82.3904864724826,31.4231066064479,25.8896503978192,0,47.1483105830962,0,0,66.6473649168541,100,55.8161469845103,0,43.5447640195126,25.8896503978192,12.9560720551507,0,"Other Backward Class","01","14",1.08852360186491,13.2178262728198,14.3119959860676,18.8465000789279,23.1535547298231,6.21250572639815,8.14293816944321,56.021750348064,66.2419957512705,84.8753041995133,5.39984649931972,FALSE
"01114",45031.21,33669.22,33669.22,10874.62,33669.22,33669.22,74.7686326883067,32.2984019231809,24.1490734981361,0,12.2743265213747,0,22.8257870333536,100,,100,14.971727386406,50.6195591901706,9.17734611173007,0,0,37030.85,30414.435,30414.435,10683.37,30414.435,30414.435,82.1326947666608,35.1259854079157,28.8499183788652,0,13.587857213195,0,24.924886133028,100,,100,17.6898450886221,53.2827763877956,11.1600732902431,0,0,28605.66,26806.9,26806.9,8926.59,26806.9,26806.9,93.7118738039954,33.2995982377671,31.2056774778138,0,14.7030055694616,0,21.802166409802,100,,100,17.4272154531656,62.5061963261816,13.7784620246483,0,0,"Scheduled Caste","01","14",1.08852360186491,13.2178262728198,14.3119959860676,18.8465000789279,23.1535547298231,6.21250572639815,8.14293816944321,56.021750348064,66.2419957512705,84.8753041995133,5.39984649931972,FALSE
"01209",36176.74,21331.84,21331.84,21331.84,21331.84,21331.84,58.9656226625174,100,58.9656226625174,0,0,0,100,,,,58.9656226625174,0,0,0,0,27096.85,18016.96,18016.96,18016.96,18016.96,18016.96,66.4909758883413,100,66.4909758883413,0,0,0,100,,,,66.4909758883413,0,0,0,0,18016.96,14702.08,14702.08,14702.08,14702.08,14702.08,81.6013356304282,100,81.6013356304282,0,0,0,100,,,,81.6013356304282,0,0,0,0,"Scheduled Tribe","01","09",3.4450773447949,13.4472386281799,6.8930482751843,12.5917702627693,9.09948853133775,11.5258935526622,57.9199599958955,68.3326002262159,77.9701437066402,56.0561045922191,4.07086338140416,FALSE
"01209",4514.87,3341.19,3341.19,3341.19,3341.19,3341.19,74.004124149754,100,74.004124149754,0,0,0,100,,,,74.004124149754,0,0,0,0,3718.42,3341.19,3341.19,3341.19,3341.19,3341.19,89.8550997466666,100,89.8550997466666,0,0,0,100,,,,89.8550997466666,0,0,0,0,3341.19,3341.19,3341.19,3341.19,3341.19,3341.19,100,100,100,0,0,0,100,,,,100,0,0,0,0,"Other Backward Class","01","09",3.4450773447949,13.4472386281799,6.8930482751843,12.5917702627693,9.09948853133775,11.5258935526622,57.9199599958955,68.3326002262159,77.9701437066402,56.0561045922191,4.07086338140416,FALSE
