"social_group","reference_group","outcome","n_common_districts","mean_district_gap_percentage_points","median_district_gap_percentage_points","share_districts_group_below_other","crosscut","stratum","specification_id","analysis_id"
"Scheduled Caste","Other","enrollment_rate_0708",529,-9.14154322835211,-7.42190422047329,0.676748582230624,"sex","Female","sex__Female__Scheduled Caste__enrollment_rate_0708","nss64_social_group_crosscut__sex__Female__Scheduled Caste__enrollment_rate_0708"
"Other Backward Class","Other","enrollment_rate_0708",538,-5.67421064608989,-4.9485160915501,0.637546468401487,"sex","Female","sex__Female__Other Backward Class__enrollment_rate_0708","nss64_social_group_crosscut__sex__Female__Other Backward Class__enrollment_rate_0708"
"Scheduled Tribe","Other","emi_share_enrolled_0708",342,-13.6190480856113,-8.16983430639985,0.68421052631579,"sex","Female","sex__Female__Scheduled Tribe__emi_share_enrolled_0708","nss64_social_group_crosscut__sex__Female__Scheduled Tribe__emi_share_enrolled_0708"
"Scheduled Caste","Other","emi_share_enrolled_0708",520,-17.7189177930858,-11.0868111640605,0.761538461538461,"sex","Female","sex__Female__Scheduled Caste__emi_share_enrolled_0708","nss64_social_group_crosscut__sex__Female__Scheduled Caste__emi_share_enrolled_0708"
"Other Backward Class","Other","emi_share_enrolled_0708",531,-12.760504136765,-7.09412083764972,0.672316384180791,"sex","Female","sex__Female__Other Backward Class__emi_share_enrolled_0708","nss64_social_group_crosscut__sex__Female__Other Backward Class__emi_share_enrolled_0708"
"Scheduled Tribe","Other","private_share_enrolled_0708",342,-20.0525574964547,-14.730441679091,0.716374269005848,"sex","Female","sex__Female__Scheduled Tribe__private_share_enrolled_0708","nss64_social_group_crosscut__sex__Female__Scheduled Tribe__private_share_enrolled_0708"
"Scheduled Caste","Other","private_share_enrolled_0708",520,-23.65369532472,-19.9779009326282,0.798076923076923,"sex","Female","sex__Female__Scheduled Caste__private_share_enrolled_0708","nss64_social_group_crosscut__sex__Female__Scheduled Caste__private_share_enrolled_0708"
"Other Backward Class","Other","private_share_enrolled_0708",531,-13.6503298333001,-10.9955303286083,0.708097928436911,"sex","Female","sex__Female__Other Backward Class__private_share_enrolled_0708","nss64_social_group_crosscut__sex__Female__Other Backward Class__private_share_enrolled_0708"
"Scheduled Tribe","Other","private_emi_exposure_all_children_0708",364,-11.6573323400127,-6.4503047231876,0.70054945054945,"sex","Female","sex__Female__Scheduled Tribe__private_emi_exposure_all_children_0708","nss64_social_group_crosscut__sex__Female__Scheduled Tribe__private_emi_exposure_all_children_0708"
"Scheduled Caste","Other","private_emi_exposure_all_children_0708",529,-14.5741641730797,-7.9657030407133,0.742911153119093,"sex","Female","sex__Female__Scheduled Caste__private_emi_exposure_all_children_0708","nss64_social_group_crosscut__sex__Female__Scheduled Caste__private_emi_exposure_all_children_0708"
"Other Backward Class","Other","private_emi_exposure_all_children_0708",538,-9.95069192360008,-4.50566410881227,0.661710037174721,"sex","Female","sex__Female__Other Backward Class__private_emi_exposure_all_children_0708","nss64_social_group_crosscut__sex__Female__Other Backward Class__private_emi_exposure_all_children_0708"
"Scheduled Tribe","Other","enrollment_rate_0708",316,-13.2387720872553,-10.8104779333362,0.658227848101266,"sector","Rural","sector__Rural__Scheduled Tribe__enrollment_rate_0708","nss64_social_group_crosscut__sector__Rural__Scheduled Tribe__enrollment_rate_0708"
"Scheduled Caste","Other","enrollment_rate_0708",481,-9.23789575806676,-7.77673261237071,0.688149688149688,"sector","Rural","sector__Rural__Scheduled Caste__enrollment_rate_0708","nss64_social_group_crosscut__sector__Rural__Scheduled Caste__enrollment_rate_0708"
"Other Backward Class","Other","enrollment_rate_0708",481,-5.12442401906021,-5.3485011728677,0.62993762993763,"sector","Rural","sector__Rural__Other Backward Class__enrollment_rate_0708","nss64_social_group_crosscut__sector__Rural__Other Backward Class__enrollment_rate_0708"
"Scheduled Tribe","Other","emi_share_enrolled_0708",295,-5.42299077356557,0,0.416949152542373,"sector","Rural","sector__Rural__Scheduled Tribe__emi_share_enrolled_0708","nss64_social_group_crosscut__sector__Rural__Scheduled Tribe__emi_share_enrolled_0708"
"Scheduled Caste","Other","emi_share_enrolled_0708",471,-8.39827113263204,0,0.467091295116773,"sector","Rural","sector__Rural__Scheduled Caste__emi_share_enrolled_0708","nss64_social_group_crosscut__sector__Rural__Scheduled Caste__emi_share_enrolled_0708"
"Other Backward Class","Other","emi_share_enrolled_0708",478,-5.6340616370882,0,0.430962343096234,"sector","Rural","sector__Rural__Other Backward Class__emi_share_enrolled_0708","nss64_social_group_crosscut__sector__Rural__Other Backward Class__emi_share_enrolled_0708"
"Scheduled Tribe","Other","private_share_enrolled_0708",295,-11.2889461476048,-5.06645380829747,0.572881355932203,"sector","Rural","sector__Rural__Scheduled Tribe__private_share_enrolled_0708","nss64_social_group_crosscut__sector__Rural__Scheduled Tribe__private_share_enrolled_0708"
"Scheduled Caste","Other","private_share_enrolled_0708",471,-17.454226888422,-12.8338218078551,0.683651804670913,"sector","Rural","sector__Rural__Scheduled Caste__private_share_enrolled_0708","nss64_social_group_crosscut__sector__Rural__Scheduled Caste__private_share_enrolled_0708"
"Other Backward Class","Other","private_share_enrolled_0708",478,-9.58941916383591,-3.7398504979217,0.575313807531381,"sector","Rural","sector__Rural__Other Backward Class__private_share_enrolled_0708","nss64_social_group_crosscut__sector__Rural__Other Backward Class__private_share_enrolled_0708"
"Scheduled Tribe","Other","private_emi_exposure_all_children_0708",316,-4.59055639280564,0,0.40506329113924,"sector","Rural","sector__Rural__Scheduled Tribe__private_emi_exposure_all_children_0708","nss64_social_group_crosscut__sector__Rural__Scheduled Tribe__private_emi_exposure_all_children_0708"
"Scheduled Caste","Other","private_emi_exposure_all_children_0708",481,-7.5430430688965,0,0.444906444906445,"sector","Rural","sector__Rural__Scheduled Caste__private_emi_exposure_all_children_0708","nss64_social_group_crosscut__sector__Rural__Scheduled Caste__private_emi_exposure_all_children_0708"
