"comparison_id","comparison_family","left_round","right_round","district_2001","outcome_id","transform","estimate_left","estimate_right","absolute_change","proportional_change","finite_common","preferred_common","preferred_eligible_left","preferred_eligible_right","n_households_left","n_households_right","n_fsu_left","n_fsu_right","kish_effective_n_left","kish_effective_n_right"
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__09__51","bottom40_mean_real_mpce","identity",1732.49140583505,1452.75193448376,-279.73947135129,-0.161466585293944,TRUE,FALSE,FALSE,TRUE,54,144,3,8,43.5778335309197,119.549666321522
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__09__52","bottom40_mean_real_mpce","identity",1488.22148050451,1377.26445887331,-110.9570216312,-0.0745567935181162,TRUE,TRUE,TRUE,TRUE,252,324,14,18,191.803207402942,249.021814569002
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__09__53","bottom40_mean_real_mpce","identity",1432.39811100341,1397.37725069994,-35.0208603034698,-0.0244491109241532,TRUE,TRUE,TRUE,TRUE,594,395,33,22,430.1458452074,291.516677599713
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__09__54","bottom40_mean_real_mpce","identity",993.095707155852,1109.33025222821,116.234545072358,0.117042641746227,TRUE,TRUE,TRUE,TRUE,251,324,14,18,166.752286635073,247.196492653725
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__09__55","bottom40_mean_real_mpce","identity",1076.27359130896,1320.90594686488,244.63235555592,0.227295696495163,TRUE,TRUE,TRUE,TRUE,467,305,26,17,355.950183483069,232.857876059564
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__09__56","bottom40_mean_real_mpce","identity",1187.27966871219,1390.28307941686,203.00341070467,0.17098196495259,TRUE,TRUE,TRUE,TRUE,270,288,15,16,210.353117457879,220.326435454049
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__09__57","bottom40_mean_real_mpce","identity",1111.53430602906,1367.21007531327,255.67576928421,0.230020583168151,TRUE,TRUE,TRUE,TRUE,360,323,20,18,284.179023941634,254.408612872379
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__09__58","bottom40_mean_real_mpce","identity",1257.53344570773,1350.75648765818,93.2230419504501,0.0741316600911437,TRUE,TRUE,TRUE,TRUE,540,519,30,29,344.050767037375,403.112689560076
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__09__59","bottom40_mean_real_mpce","identity",1143.46471734109,1285.41297922678,141.94826188569,0.124138733563869,TRUE,TRUE,TRUE,TRUE,522,486,29,27,417.449008175083,388.171375042133
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__09__60","bottom40_mean_real_mpce","identity",1284.06444949059,1341.49954947834,57.4350999877499,0.0447291411350384,TRUE,TRUE,TRUE,TRUE,397,413,23,23,313.117690912628,312.524211923014
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__09__61","bottom40_mean_real_mpce","identity",1107.82692735601,1340.07712546401,232.250198108,0.20964483925508,TRUE,TRUE,TRUE,TRUE,631,596,36,35,451.66208695675,438.554234758853
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__09__62","bottom40_mean_real_mpce","identity",1079.34755071182,1300.90822040349,221.56066969167,0.205272777564143,TRUE,TRUE,TRUE,TRUE,286,306,16,17,184.394193859913,225.156820380528
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__09__63","bottom40_mean_real_mpce","identity",997.450644708565,1529.00730870988,531.556664001315,0.532915254324814,TRUE,TRUE,TRUE,TRUE,412,288,23,16,316.649525888933,227.336352469514
