"survey_id","questionnaire","n_households","n_summary_present","n_summary_zero_filled","share_summary_zero_filled"
"hces_2022_23","C",261746,261729,17,6.49484614855623e-05
"hces_2022_23","D",261746,261515,231,0.000882534976656759
"hces_2022_23","F",261746,261696,50,0.000191024886722242
"hces_2023_24","C",261953,261950,3,1.14524361240375e-05
"hces_2023_24","D",261953,261740,213,0.000813122964806664
"hces_2023_24","F",261953,261895,58,0.000221413765064725
