"beta","statistic","p.value","accepted","acceptance_component","specification_id"
-0.128200321509927,0.929173199466041,0.335593278761625,TRUE,1,"consumption__early_2009__ancova"
-0.127559319902377,0.926027602302068,0.33641179661338,TRUE,1,"consumption__early_2009__ancova"
-0.126918318294828,0.922858077525412,0.337239253563525,TRUE,1,"consumption__early_2009__ancova"
-0.126277316687278,0.919664375805918,0.338075790740432,TRUE,1,"consumption__early_2009__ancova"
-0.125636315079728,0.916446244871004,0.338921552145881,TRUE,1,"consumption__early_2009__ancova"
-0.124995313472179,0.913203429478207,0.339776684725834,TRUE,1,"consumption__early_2009__ancova"
-0.124354311864629,0.90993567138779,0.340641338443317,TRUE,1,"consumption__early_2009__ancova"
-0.12371331025708,0.90664270933601,0.34151566635333,TRUE,1,"consumption__early_2009__ancova"
-0.12307230864953,0.903324279008536,0.342399824679996,TRUE,1,"consumption__early_2009__ancova"
-0.12243130704198,0.899980113014765,0.343293972895842,TRUE,1,"consumption__early_2009__ancova"
-0.121790305434431,0.896609940862497,0.344198273803432,TRUE,1,"consumption__early_2009__ancova"
-0.121149303826881,0.893213488933142,0.345112893619414,TRUE,1,"consumption__early_2009__ancova"
-0.120508302219331,0.889790480457884,0.346038002060942,TRUE,1,"consumption__early_2009__ancova"
-0.119867300611782,0.886340635494484,0.346973772434672,TRUE,1,"consumption__early_2009__ancova"
-0.119226299004232,0.88286367090477,0.347920381728421,TRUE,1,"consumption__early_2009__ancova"
-0.118585297396682,0.879359300333253,0.348878010705464,TRUE,1,"consumption__early_2009__ancova"
-0.117944295789133,0.875827234186837,0.349846844001606,TRUE,1,"consumption__early_2009__ancova"
-0.117303294181583,0.872267179615062,0.350827070225286,TRUE,1,"consumption__early_2009__ancova"
-0.116662292574034,0.86867884049224,0.351818882060472,TRUE,1,"consumption__early_2009__ancova"
-0.116021290966484,0.865061917400229,0.352822476372806,TRUE,1,"consumption__early_2009__ancova"
-0.115380289358934,0.861416107613096,0.353838054318792,TRUE,1,"consumption__early_2009__ancova"
-0.114739287751385,0.857741105082955,0.35486582145837,TRUE,1,"consumption__early_2009__ancova"
-0.114098286143835,0.854036600427349,0.355905987870893,TRUE,1,"consumption__early_2009__ancova"
-0.113457284536285,0.850302280918541,0.356958768274576,TRUE,1,"consumption__early_2009__ancova"
-0.112816282928736,0.846537830474576,0.358024382149609,TRUE,1,"consumption__early_2009__ancova"
-0.112175281321186,0.842742929652214,0.359103053865044,TRUE,1,"consumption__early_2009__ancova"
-0.111534279713636,0.838917255642417,0.360195012809467,TRUE,1,"consumption__early_2009__ancova"
-0.110893278106087,0.835060482267295,0.361300493525912,TRUE,1,"consumption__early_2009__ancova"
-0.110252276498537,0.831172279980432,0.362419735850669,TRUE,1,"consumption__early_2009__ancova"
-0.109611274890988,0.827252315869193,0.363552985056571,TRUE,1,"consumption__early_2009__ancova"
-0.108970273283438,0.823300253659878,0.364700492000717,TRUE,1,"consumption__early_2009__ancova"
-0.108329271675888,0.819315753726269,0.365862513276674,TRUE,1,"consumption__early_2009__ancova"
-0.107688270068339,0.815298473101047,0.367039311371533,TRUE,1,"consumption__early_2009__ancova"
-0.107047268460789,0.811248065490517,0.368231154827919,TRUE,1,"consumption__early_2009__ancova"
-0.106406266853239,0.807164181293263,0.369438318411004,TRUE,1,"consumption__early_2009__ancova"
-0.10576526524569,0.80304646762255,0.370661083280829,TRUE,1,"consumption__early_2009__ancova"
-0.10512426363814,0.798894568332739,0.371899737170119,TRUE,1,"consumption__early_2009__ancova"
-0.10448326203059,0.79470812405037,0.373154574567658,TRUE,1,"consumption__early_2009__ancova"
-0.103842260423041,0.790486772209791,0.374425896907547,TRUE,1,"consumption__early_2009__ancova"
-0.103201258815491,0.786230147093611,0.375714012764559,TRUE,1,"consumption__early_2009__ancova"
-0.102560257207942,0.781937879878823,0.377019238055641,TRUE,1,"consumption__early_2009__ancova"
-0.101919255600392,0.777609598688291,0.378341896247977,TRUE,1,"consumption__early_2009__ancova"
-0.101278253992842,0.773244928648493,0.37968231857368,TRUE,1,"consumption__early_2009__ancova"
-0.100637252385293,0.768843491953441,0.381040844251491,TRUE,1,"consumption__early_2009__ancova"
