"survey_id","source_state_code","source_district_code","state_std","district_std","source_unit_kind","lineage_status"
"hces_2022_23","09","45","uttar pradesh","bara banki","district","unresolved_no_stable_lineage"
"hces_2022_23","18","32","assam","biswanath","district","unresolved_no_stable_lineage"
"hces_2022_23","22","14","chhattisgarh","uttar bastar kanker","district","unresolved_no_stable_lineage"
"hces_2022_23","23","46","madhya pradesh","singrauli","district","unresolved_no_stable_lineage"
"hces_2022_23","36","11","telangana","warangal rural","district","unresolved_no_stable_lineage"
"hces_2022_23","36","24","telangana","vikarabad","district","unresolved_no_stable_lineage"
"hces_2022_23","01","13","jammu and kashmir","shupiyan","district","unresolved_no_stable_lineage"
"hces_2022_23","06","21","haryana","palwal","district","unresolved_no_stable_lineage"
"hces_2022_23","18","28","assam","hojai","district","unresolved_no_stable_lineage"
"hces_2022_23","22","19","chhattisgarh","balodabazar","district","unresolved_no_stable_lineage"
"hces_2022_23","25","02","dadra and nagar haveli and daman and diu","daman","district","unresolved_no_stable_lineage"
"hces_2022_23","01","20","jammu and kashmir","reasi","district","unresolved_no_stable_lineage"
"hces_2022_23","10","38","bihar","arwal","district","unresolved_no_stable_lineage"
"hces_2022_23","11","01","sikkim","north district","district","unresolved_no_stable_lineage"
"hces_2022_23","18","31","assam","south salmara mankachar","district","unresolved_no_stable_lineage"
"hces_2022_23","18","25","assam","baksa","district","unresolved_no_stable_lineage"
"hces_2022_23","19","21","west bengal","kalimpong","district","unresolved_no_stable_lineage"
"hces_2022_23","22","27","chhattisgarh","balrampur","district","unresolved_no_stable_lineage"
"hces_2022_23","24","31","gujarat","gir somnath","district","unresolved_no_stable_lineage"
"hces_2022_23","36","32","telangana","mulugu","district","unresolved_no_stable_lineage"
"hces_2022_23","01","22","jammu and kashmir","samba","district","unresolved_no_stable_lineage"
"hces_2022_23","09","71","uttar pradesh","kanshiram nagar","district","unresolved_no_stable_lineage"
"hces_2022_23","21","23","odisha","subarnapur","district","unresolved_no_stable_lineage"
"hces_2022_23","22","17","chhattisgarh","dakshin bastar dantewada","district","unresolved_no_stable_lineage"
"hces_2022_23","03","20","punjab","barnala","district","unresolved_no_stable_lineage"
"hces_2022_23","18","29","assam","west karbi anglong","district","unresolved_no_stable_lineage"
"hces_2022_23","18","21","assam","chirang","district","unresolved_no_stable_lineage"
"hces_2022_23","36","31","telangana","khammam","district","unresolved_no_stable_lineage"
"hces_2022_23","01","09","jammu and kashmir","bandipore","district","unresolved_no_stable_lineage"
"hces_2022_23","36","02","telangana","komaram bheem","district","unresolved_no_stable_lineage"
"hces_2023_24","09","13","uttar pradesh","mahamaya nagar","district","unresolved_no_stable_lineage"
"hces_2023_24","09","71","uttar pradesh","kanshiram nagar","district","unresolved_no_stable_lineage"
"hces_2023_24","09","45","uttar pradesh","bara banki","district","unresolved_no_stable_lineage"
"hces_2023_24","23","23","madhya pradesh","khargone west nimar","district","unresolved_no_stable_lineage"
"hces_2023_24","23","49","madhya pradesh","khandwa east nimar","district","unresolved_no_stable_lineage"
"hces_2023_24","23","46","madhya pradesh","singrauli","district","unresolved_no_stable_lineage"
"hces_2023_24","10","38","bihar","arwal","district","unresolved_no_stable_lineage"
"hces_2023_24","19","23","west bengal","paschim barddhaman","district","unresolved_no_stable_lineage"
"hces_2023_24","19","09","west bengal","purba barddhaman","district","unresolved_no_stable_lineage"
"hces_2023_24","19","22","west bengal","jhargram","district","unresolved_no_stable_lineage"
"hces_2023_24","19","18","west bengal","paschim medinipur","district","unresolved_no_stable_lineage"
"hces_2023_24","19","19","west bengal","purba medinipur","district","unresolved_no_stable_lineage"
"hces_2023_24","19","21","west bengal","kalimpong","district","unresolved_no_stable_lineage"
"hces_2023_24","19","20","west bengal","alipurduar","district","unresolved_no_stable_lineage"
"hces_2023_24","21","23","odisha","subarnapur","district","unresolved_no_stable_lineage"
"hces_2023_24","11","02","sikkim","west district","district","unresolved_no_stable_lineage"
"hces_2023_24","11","04","sikkim","east district","district","unresolved_no_stable_lineage"
"hces_2023_24","11","03","sikkim","south district","district","unresolved_no_stable_lineage"
"hces_2023_24","11","01","sikkim","north district","district","unresolved_no_stable_lineage"
"hces_2023_24","12","12","arunachal pradesh","kurung kumey","district","unresolved_no_stable_lineage"
"hces_2023_24","12","16","arunachal pradesh","anjaw","district","unresolved_no_stable_lineage"
"hces_2023_24","13","09","nagaland","kiphire","district","unresolved_no_stable_lineage"
"hces_2023_24","16","08","tripura","gomati","district","unresolved_no_stable_lineage"
"hces_2023_24","16","05","tripura","unakoti","district","unresolved_no_stable_lineage"
"hces_2023_24","16","06","tripura","khowai","district","unresolved_no_stable_lineage"
"hces_2023_24","16","07","tripura","sepahijala","district","unresolved_no_stable_lineage"
"hces_2023_24","17","05","meghalaya","ribhoi","district","unresolved_no_stable_lineage"
"hces_2023_24","18","25","assam","baksa","district","unresolved_no_stable_lineage"
"hces_2023_24","18","21","assam","chirang","district","unresolved_no_stable_lineage"
"hces_2023_24","18","31","assam","south salmara mankachar","district","unresolved_no_stable_lineage"
"hces_2023_24","18","23","assam","kamrup metropolitan","district","unresolved_no_stable_lineage"
"hces_2023_24","18","16","assam","dima hasao","district","unresolved_no_stable_lineage"
"hces_2023_24","18","29","assam","west karbi anglong","district","unresolved_no_stable_lineage"
"hces_2023_24","18","05","assam","morigaon","district","unresolved_no_stable_lineage"
"hces_2023_24","18","32","assam","biswanath","district","unresolved_no_stable_lineage"
"hces_2023_24","18","27","assam","udalguri","district","unresolved_no_stable_lineage"
"hces_2023_24","18","33","assam","majuli","district","unresolved_no_stable_lineage"
"hces_2023_24","18","28","assam","hojai","district","unresolved_no_stable_lineage"
"hces_2023_24","18","30","assam","charaideo","district","unresolved_no_stable_lineage"
"hces_2023_24","18","12","assam","sivasagar","district","unresolved_no_stable_lineage"
"hces_2023_24","01","06","jammu and kashmir","rajouri","district","unresolved_no_stable_lineage"
"hces_2023_24","01","22","jammu and kashmir","samba","district","unresolved_no_stable_lineage"
"hces_2023_24","01","20","jammu and kashmir","reasi","district","unresolved_no_stable_lineage"
"hces_2023_24","01","17","jammu and kashmir","ramban","district","unresolved_no_stable_lineage"
"hces_2023_24","01","11","jammu and kashmir","ganderbal","district","unresolved_no_stable_lineage"
"hces_2023_24","01","09","jammu and kashmir","bandipore","district","unresolved_no_stable_lineage"
"hces_2023_24","03","05","punjab","shahid bhagat singh nagar","district","unresolved_no_stable_lineage"
"hces_2023_24","03","21","punjab","pathankot","district","unresolved_no_stable_lineage"
"hces_2023_24","03","16","punjab","tarn taran","district","unresolved_no_stable_lineage"
"hces_2023_24","03","18","punjab","sahibzada ajit singh nagar","district","unresolved_no_stable_lineage"
"hces_2023_24","03","20","punjab","barnala","district","unresolved_no_stable_lineage"
"hces_2023_24","03","22","punjab","fazilka","district","unresolved_no_stable_lineage"
"hces_2023_24","06","19","haryana","mewat","district","unresolved_no_stable_lineage"
"hces_2023_24","06","21","haryana","palwal","district","unresolved_no_stable_lineage"
"hces_2023_24","08","33","rajasthan","pratapgarh","district","unresolved_no_stable_lineage"
"hces_2023_24","08","01","rajasthan","sri ganganagar","district","unresolved_no_stable_lineage"
"hces_2023_24","37","02","ladakh","kargil","district","unresolved_no_stable_lineage"
"hces_2023_24","37","01","ladakh","leh","district","unresolved_no_stable_lineage"
"hces_2023_24","28","10","andhra pradesh","y s r cuddapah","district","unresolved_no_stable_lineage"
"hces_2023_24","29","28","karnataka","chikkaballapura","district","unresolved_no_stable_lineage"
"hces_2023_24","29","30","karnataka","ramanagara","district","unresolved_no_stable_lineage"
"hces_2023_24","33","32","tamil nadu","tiruppur","district","unresolved_no_stable_lineage"
