"beta","gamma_lower","gamma_upper","closest_gamma","direct_effect_estimate","direct_effect_std.error","statistic","p.value","accepted","analysis_id","specification_id","calibration_id"
-0.116465517304981,0,0,0,0.102839110873195,0.0973180555047757,1.11668268147558,0.291165427344999,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.115796175251504,0,0,0,0.102352931349728,0.0968191146189459,1.11757931968064,0.290972032799291,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.115126833198027,0,0,0,0.101866751826259,0.096320267908233,1.11848342539502,0.290777193846182,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.11445749114455,0,0,0,0.101380572302794,0.0958215168434643,1.11939508125971,0.290580896626337,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.113788149091074,0,0,0,0.100894392779327,0.0953228629259631,1.12031437083855,0.290383127168037,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.113118807037597,0,0,0,0.100408213255859,0.094824307688339,1.12124137861972,0.290183871388618,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.11244946498412,0,0,0,0.0999220337323932,0.0943258526952972,1.12217619001625,0.289983115096166,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.111780122930643,0,0,0,0.0994358542089266,0.0938274995444732,1.12311889136552,0.289780843991425,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.111110780877166,0,0,0,0.0989496746854567,0.0933292498672985,1.12406956992826,0.289577043669866,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.110441438823689,0,0,0,0.0984634951619877,0.0928311053298855,1.12502831388678,0.289371699623923,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.109772096770212,0,0,0,0.0979773156385211,0.0923330676339481,1.12599521234164,0.289164797245588,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.109102754716735,0,0,0,0.0974911361150549,0.0918351385177452,1.12697035530769,0.288956321829162,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.108433412663258,0,0,0,0.0970049565915862,0.0913373197570559,1.12795383370901,0.288746258574264,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.107764070609781,0,0,0,0.0965187770681185,0.0908396131661916,1.12894573937258,0.288534592589115,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.107094728556305,0,0,0,0.0960325975446514,0.0903420205990281,1.12994616502065,0.28832130889414,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.106425386502828,0,0,0,0.0955464180211837,0.0898445439500825,1.13095520426164,0.288106392425865,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.105756044449351,0,0,0,0.0950602384977163,0.0893471851556192,1.13197295157986,0.287889828041117,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.105086702395874,0,0,0,0.0945740589742498,0.0888499461947952,1.13299950232326,0.287671600521604,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.104417360342397,0,0,0,0.0940878794507829,0.0883528290908372,1.13403495268986,0.28745169457884,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.10374801828892,0,0,0,0.0936016999273146,0.0878558359122634,1.13507939971215,0.287230094859464,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.103078676235443,0,0,0,0.0931155204038474,0.087358968774143,1.13613294123973,0.287006785950952,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.102409334181966,0,0,0,0.0926293408803794,0.0868622298393957,1.13719567591969,0.286781752387813,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.101739992128489,0,0,0,0.0921431613569126,0.0863656213201387,1.138267703175,0.286554978658188,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.101070650075012,0,0,0,0.0916569818334449,0.0858691454790736,1.13934912318039,0.286326449210997,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.100401308021535,0,0,0,0.0911708023099772,0.0853728046309267,1.14044003683582,0.286096148463561,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.0997319659680586,0,0,0,0.0906846227865095,0.0848766011439289,1.14154054573732,0.285864060809785,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.0990626239145817,0,0,0,0.0901984432630417,0.0843805374413555,1.14265075214477,0.285630170628947,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.0983932818611048,0,0,0,0.0897122637395762,0.083884616003113,1.14377075894688,0.285394462295076,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.0977239398076279,0,0,0,0.0892260842161077,0.0833888393673789,1.14490066962264,0.285156920187036,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
-0.097054597754151,0,0,0,0.0887399046926425,0.0828932101323066,1.14604058819971,0.284917528699202,TRUE,"consumption_exclusion_sensitivity__consumption__long_2022__ancova","consumption__long_2022__ancova","exact_exclusion"
