"n","n_states","estimate_per_percentage_point","estimate_per_10_percentage_points","std_error_state_clustered","p_value_state_clustered","status","specification_id","welfare_specification_id","outcome_round","estimand","treatment_id","treatment","adjustment_id","p_value_holm_welfare","p_value_holm_family","analysis_id"
524,32,0.00174623812934483,0.0174623812934483,0.0019475850107473,0.370337341499881,"estimated","schooling_consumption__long_2022__ancova__enrollment__unadjusted","long_2022__ancova","hces_2022_23","ancova","enrollment","enrollment_rate_0708","unadjusted",1,1,"schooling_consumption_bridge__schooling_consumption__long_2022__ancova__enrollment__unadjusted"
524,32,-0.000625935630159593,-0.00625935630159593,0.00191142679340963,0.743447591054359,"estimated","schooling_consumption__long_2022__ancova__enrollment__region_main","long_2022__ancova","hces_2022_23","ancova","enrollment","enrollment_rate_0708","region_main",1,1,"schooling_consumption_bridge__schooling_consumption__long_2022__ancova__enrollment__region_main"
524,32,0.000704772551208796,0.00704772551208796,0.00169648001470766,0.678011126106642,"estimated","schooling_consumption__long_2022__ancova__enrollment__state_main","long_2022__ancova","hces_2022_23","ancova","enrollment","enrollment_rate_0708","state_main",1,1,"schooling_consumption_bridge__schooling_consumption__long_2022__ancova__enrollment__state_main"
524,32,0.000936632834374818,0.00936632834374818,0.00137777752626739,0.496924000842649,"estimated","schooling_consumption__long_2022__ancova__emi_among_enrolled__unadjusted","long_2022__ancova","hces_2022_23","ancova","emi_among_enrolled","emi_share_enrolled_0708","unadjusted",1,1,"schooling_consumption_bridge__schooling_consumption__long_2022__ancova__emi_among_enrolled__unadjusted"
524,32,0.00125110096754764,0.0125110096754764,0.00109246953622902,0.252665840946169,"estimated","schooling_consumption__long_2022__ancova__emi_among_enrolled__region_main","long_2022__ancova","hces_2022_23","ancova","emi_among_enrolled","emi_share_enrolled_0708","region_main",1,1,"schooling_consumption_bridge__schooling_consumption__long_2022__ancova__emi_among_enrolled__region_main"
524,32,0.00388217346070438,0.0388217346070438,0.00114632972481009,0.000765742594100185,"estimated","schooling_consumption__long_2022__ancova__emi_among_enrolled__state_main","long_2022__ancova","hces_2022_23","ancova","emi_among_enrolled","emi_share_enrolled_0708","state_main",0.0107203963174026,0.0444130704578107,"schooling_consumption_bridge__schooling_consumption__long_2022__ancova__emi_among_enrolled__state_main"
524,32,0.00131545538844672,0.0131545538844672,0.00175860494104292,0.45479117980702,"estimated","schooling_consumption__long_2022__ancova__emi_all_children__unadjusted","long_2022__ancova","hces_2022_23","ancova","emi_all_children","emi_exposure_all_children_0708","unadjusted",1,1,"schooling_consumption_bridge__schooling_consumption__long_2022__ancova__emi_all_children__unadjusted"
524,32,0.00164393495995653,0.0164393495995653,0.00144139713589984,0.254611364505772,"estimated","schooling_consumption__long_2022__ancova__emi_all_children__region_main","long_2022__ancova","hces_2022_23","ancova","emi_all_children","emi_exposure_all_children_0708","region_main",1,1,"schooling_consumption_bridge__schooling_consumption__long_2022__ancova__emi_all_children__region_main"
524,32,0.00506224523535005,0.0506224523535005,0.00140328829320301,0.000341683498129481,"estimated","schooling_consumption__long_2022__ancova__emi_all_children__state_main","long_2022__ancova","hces_2022_23","ancova","emi_all_children","emi_exposure_all_children_0708","state_main",0.00512525247194221,0.0201593263896394,"schooling_consumption_bridge__schooling_consumption__long_2022__ancova__emi_all_children__state_main"
524,32,-3.82696658219572e-05,-0.000382696658219572,0.00167449015359689,0.981775070371989,"estimated","schooling_consumption__long_2022__ancova__public_emi_all_children__unadjusted","long_2022__ancova","hces_2022_23","ancova","public_emi_all_children","public_emi_exposure_all_children_0708","unadjusted",1,1,"schooling_consumption_bridge__schooling_consumption__long_2022__ancova__public_emi_all_children__unadjusted"
