"predictor","sample_id","period_id","domain","tested_measures","joint_f","joint_p","n","n_states","population_1961","status","reason","predictor_id","predictor_label","period_label","domain_label","cell","minus_log10_p","p_label"
"emie_exposure","historical_ld_support","1961_1971","demography","log_population;urban_share",0.181598562469831,0.834544145544973,59,12,68802676,"estimated",,"eventual_emie","Eventual EMI exposure","1961-1971","Demography","1961-1971
Demography",0.0785506851567048,".835"
"ling_distance_nonzero_mean_2001","historical_ld_support","1961_1971","demography","log_population;urban_share",3.06439986972244,0.0565334659680161,59,12,68802676,"estimated",,"census_2001_ld","2001 linguistic distance","1961-1971","Demography","1961-1971
Demography",1.24769438788782,".057"
"ling_distance_helms_lim_1991","historical_ld_support","1961_1971","demography","log_population;urban_share",1.9386424000803,0.155730054015941,59,12,68802676,"estimated",,"helms_lim_ld_1991","1991 Helms-Lim distance","1961-1971","Demography","1961-1971
Demography",0.807627565763711,".156"
"emie_exposure","historical_ld_support","1971_1981","demography","log_population;urban_share",0.128668194173821,0.879587975624799,59,12,68802676,"estimated",,"eventual_emie","Eventual EMI exposure","1971-1981","Demography","1971-1981
Demography",0.0557207162774732,".880"
"ling_distance_nonzero_mean_2001","historical_ld_support","1971_1981","demography","log_population;urban_share",0.243175117400391,0.785157913574926,59,12,68802676,"estimated",,"census_2001_ld","2001 linguistic distance","1971-1981","Demography","1971-1981
Demography",0.105042987717007,".785"
"ling_distance_helms_lim_1991","historical_ld_support","1971_1981","demography","log_population;urban_share",1.12143238977078,0.334746847070668,59,12,68802676,"estimated",,"helms_lim_ld_1991","1991 Helms-Lim distance","1971-1981","Demography","1971-1981
Demography",0.475283504849962,".335"
"emie_exposure","historical_ld_support","1981_1991","demography","log_population;urban_share",7.40130751797473,0.00166370997043719,59,12,68802676,"estimated",,"eventual_emie","Eventual EMI exposure","1981-1991","Demography","1981-1991
Demography",2.77892238069977,".002"
"ling_distance_nonzero_mean_2001","historical_ld_support","1981_1991","demography","log_population;urban_share",21.6773306606722,2.55339829369438e-07,59,12,68802676,"estimated",,"census_2001_ld","2001 linguistic distance","1981-1991","Demography","1981-1991
Demography",6.59288143617029,"<.001"
"ling_distance_helms_lim_1991","historical_ld_support","1981_1991","demography","log_population;urban_share",13.19541695572,3.09261831497694e-05,59,12,68802676,"estimated",,"helms_lim_ld_1991","1991 Helms-Lim distance","1981-1991","Demography","1981-1991
Demography",4.5096736764818,"<.001"
"emie_exposure","historical_ld_support","1961_1971","labor","main_worker_share;nonfarm_worker_share_main_workers",0.558165898845908,0.576168575937786,59,12,68802676,"estimated",,"eventual_emie","Eventual EMI exposure","1961-1971","Labor","1961-1971
Labor",0.239450431701166,".576"
"ling_distance_nonzero_mean_2001","historical_ld_support","1961_1971","labor","main_worker_share;nonfarm_worker_share_main_workers",1.38280195094264,0.261329188214747,59,12,68802676,"estimated",,"census_2001_ld","2001 linguistic distance","1961-1971","Labor","1961-1971
Labor",0.58281208061841,".261"
"ling_distance_helms_lim_1991","historical_ld_support","1961_1971","labor","main_worker_share;nonfarm_worker_share_main_workers",0.396319818096612,0.675116614681474,59,12,68802676,"estimated",,"helms_lim_ld_1991","1991 Helms-Lim distance","1961-1971","Labor","1961-1971
Labor",0.170621203852843,".675"
"emie_exposure","historical_ld_support","1971_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",0.297392664328699,0.744200771698633,59,12,68802676,"estimated",,"eventual_emie","Eventual EMI exposure","1971-1981","Labor","1971-1981
Labor",0.128309883972797,".744"
"ling_distance_nonzero_mean_2001","historical_ld_support","1971_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",1.28358740956261,0.28698949945577,59,12,68802676,"estimated",,"census_2001_ld","2001 linguistic distance","1971-1981","Labor","1971-1981
Labor",0.542133993202743,".287"
"ling_distance_helms_lim_1991","historical_ld_support","1971_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",1.13482671597318,0.330504327791195,59,12,68802676,"estimated",,"helms_lim_ld_1991","1991 Helms-Lim distance","1971-1981","Labor","1971-1981
Labor",0.480822849269025,".331"
