"variable","n","mean","sd"
"W_consY",482,161.843773030988,47.7404831600338
"W_giniY",482,-0.014194877603828,0.049318937005492
"W_EMIE",482,17.8351813834986,21.6742592637232
"W_wLing",482,1.90998897649678,1.89020865409921
"W_npeople_0708",482,1706039.01215202,1002850.64893213
"W_nhouses_0708",482,371813.935577719,237972.578723557
"W_consumption_0708",482,815.12793424064,247.740815256285
"W_gini_cons_0708",482,0.260538467967371,0.057603560566772
"W2_wLing",482,1.91045374876353,1.8570065753214
