"specification_id","adjustment_id","construction_id","fixed_effect","instrument","tested_covariates","n_tested_covariates","joint_f","joint_p","n","status","reason"
"region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean","migrant_stock_share_population;recent_0_9_migrant_share_population;interdistrict_migrant_share_population;interstate_migrant_share_population",4,5.55167147672114,0.000218488458067677,573,"estimated",
"region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean","migrant_stock_share_population;recent_0_9_migrant_share_population;interdistrict_migrant_share_population;interstate_migrant_share_population",4,2.08120485206198,0.0819196183836491,573,"estimated",
"region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct","migrant_stock_share_population;recent_0_9_migrant_share_population;interdistrict_migrant_share_population;interstate_migrant_share_population",4,1.59398324544329,0.174430733692259,573,"estimated",
"state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean","migrant_stock_share_population;recent_0_9_migrant_share_population;interdistrict_migrant_share_population;interstate_migrant_share_population",4,2.09326425554034,0.080448009435946,573,"estimated",
"state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean","migrant_stock_share_population;recent_0_9_migrant_share_population;interdistrict_migrant_share_population;interstate_migrant_share_population",4,0.576131291884348,0.680067294693637,573,"estimated",
"state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct","migrant_stock_share_population;recent_0_9_migrant_share_population;interdistrict_migrant_share_population;interstate_migrant_share_population",4,1.33777586906418,0.254700966350288,573,"estimated",
