"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","work_employment","business","education","marriage","moved_after_birth","moved_with_household","other_reason","working_age_migrants_15_64","work_migrants_age_20_49","education_migrants_age_15_24","census_year","working_age_15_64_share_among_migrants","age_20_49_share_among_work_migrants","age_15_24_share_among_education_migrants"
"pc2001__20__01",1,"Garhwa",TRUE,347021,10090,892,1866,276728,3826,20866,32753,299597,6248,811,2011,0.863339682612868,0.619226957383548,0.434619506966774
"pc2001__20__02",2,"Latehar;Palamu",TRUE,715123,28601,2056,6695,546261,8535,39767,83208,619249,17909,3171,2011,0.865933552689537,0.626166917240656,0.473637042569081
"pc2001__20__03",1,"Chatra",TRUE,268520,5979,484,2173,217346,1045,11432,30061,239860,4101,1094,2011,0.893266795769403,0.68590065228299,0.503451449608836
"pc2001__20__04",2,"Hazaribagh;Ramgarh",TRUE,800509,65505,3076,7120,546495,11326,105248,61739,693891,39080,3492,2011,0.866812240711847,0.596595679719105,0.490449438202247
"pc2001__20__05",1,"Kodarma",TRUE,200807,6410,696,1281,153588,1083,15570,22179,176584,4003,494,2011,0.879371735049077,0.624492979719189,0.385636221701795
"pc2001__20__06",1,"Giridih",TRUE,647405,15127,1567,3329,557241,2366,24815,42960,582976,9450,1567,2011,0.900481151674763,0.624710782045349,0.470711925503154
"pc2001__20__07",1,"Deoghar",TRUE,417110,19036,1523,3330,323724,3064,34723,31710,369117,11600,1761,2011,0.884939224664956,0.609371716747216,0.528828828828829
"pc2001__20__08",1,"Godda",TRUE,343740,11120,684,3320,280478,1680,20481,25977,303839,7106,1391,2011,0.883920986792343,0.639028776978417,0.418975903614458
"pc2001__20__09",1,"Sahibganj",TRUE,273226,12169,648,1053,202950,4846,23642,27918,240615,7262,504,2011,0.880644594584703,0.59676226477114,0.478632478632479
"pc2001__20__10",1,"Pakur",TRUE,222685,10518,545,1574,166362,2958,20858,19870,196575,7103,560,2011,0.882749174843389,0.675318501616277,0.355781448538755
"pc2001__20__11",2,"Dumka;Jamtara",TRUE,604789,23360,2150,4207,464289,6954,35870,67959,529016,14377,2042,2011,0.874711676303636,0.615453767123288,0.485381507012123
"pc2001__20__12",1,"Dhanbad",TRUE,908132,134921,7746,5985,454541,23253,169788,111898,769085,72735,2942,2011,0.846886796192624,0.539093247159449,0.49156223893066
"pc2001__20__13",1,"Bokaro",TRUE,729514,107041,5111,5806,394337,15732,130626,70861,635616,57999,2774,2011,0.871286911560299,0.541839108379032,0.477781605235963
"pc2001__20__14",2,"Khunti;Ranchi",TRUE,1153364,149252,7359,26134,559720,24874,205107,180918,941993,92450,13695,2011,0.816735219757163,0.61942218529735,0.524029999234713
"pc2001__20__15",1,"Lohardaga",TRUE,122325,6761,294,2941,87592,2199,10824,11714,103861,4678,1460,2011,0.849057837727366,0.691909480846029,0.496429785787147
"pc2001__20__16",2,"Gumla;Simdega",TRUE,426189,23581,1228,11711,299353,3378,37869,49069,354843,15619,5659,2011,0.832595397816462,0.662355286035367,0.483220903424131
"pc2001__20__17",2,"Pashchimi Singhbhum;Saraikela-Kharsawan",TRUE,712624,66263,2792,6465,472650,7999,94017,62438,617491,44710,3501,2011,0.866503233121534,0.67473552359537,0.5415313225058
"pc2001__20__18",1,"Purbi Singhbhum",TRUE,766619,128525,4975,6011,368136,22034,166777,70161,641116,77821,3323,2011,0.83629025630724,0.605493094728652,0.552819830311096
"pc2001__21__02",1,"Jharsuguda",TRUE,266325,30117,5853,3919,106840,10264,45941,63391,205991,21053,1460,2011,0.77345724209143,0.699040409071289,0.372544016330697
"pc2001__21__03",1,"Sambalpur",TRUE,463438,34446,9243,8847,191600,16176,67696,135430,355908,21626,3905,2011,0.767973277978931,0.627823259594728,0.441392562450548
"pc2001__21__07",1,"Mayurbhanj",TRUE,876743,26091,7806,30665,530260,20417,75880,185624,688271,15680,9812,2011,0.785031645533526,0.600973515771722,0.319973911625632
"pc2001__21__09",1,"Bhadrak",TRUE,471862,9020,2916,1847,331275,4306,33672,88826,391121,5553,815,2011,0.8288885309688,0.615631929046563,0.441256090958311
"pc2001__21__14",1,"Dhenkanal",TRUE,417229,15701,3197,4570,252372,7916,40556,92917,339101,10338,2932,2011,0.812745518648033,0.658429399401312,0.641575492341357
"pc2001__21__17",1,"Khordha",TRUE,1155564,167470,35052,42889,373149,24195,269112,243697,916208,110080,31092,2011,0.792866513667785,0.657311757329671,0.724941127095526
"pc2001__21__18",1,"Puri",TRUE,571191,19537,8056,5789,372264,15688,47968,101889,461364,12114,3609,2011,0.807722810758573,0.620054256027026,0.6234237346692
"pc2001__21__19",1,"Ganjam",TRUE,1337233,51001,17971,21331,635035,100629,151166,360100,1011453,31410,13726,2011,0.756377534805079,0.615870277053391,0.643476630256434
"pc2001__21__20",1,"Gajapati",TRUE,213758,6296,2230,6333,80973,6914,18239,92773,149704,4174,2205,2011,0.700343378961255,0.662960609911055,0.348176219801042
"pc2001__21__22",1,"Baudh",TRUE,165957,3892,1340,1568,92872,4475,14144,47666,128968,2525,322,2011,0.777116964032852,0.648766700924974,0.205357142857143
"pc2001__21__24",1,"Balangir",TRUE,605269,18898,5223,4877,341359,17611,47424,169877,469727,11481,1491,2011,0.776063204955152,0.607524605778389,0.305720729956941
"pc2001__21__25",1,"Nuapada",TRUE,223761,5881,1558,2885,134960,5688,17176,55613,171636,3972,784,2011,0.767050558408302,0.675395340928414,0.271750433275563
"pc2001__21__26",1,"Kalahandi",TRUE,556514,16423,4348,7241,334930,9962,47845,135765,442245,10601,2464,2011,0.794670035255178,0.645497168605005,0.340284491092391
"pc2001__21__28",1,"Nabarangapur",TRUE,432446,12687,4980,9685,222731,4472,45050,132841,335979,8242,2558,2011,0.776927061413448,0.649641365176953,0.264119772844605
"pc2001__21__30",1,"Malkangiri",TRUE,223089,11626,2423,8061,93776,2565,40861,63777,166498,7453,2139,2011,0.746329940068762,0.641063134354034,0.265351693338296
"pc2001__22__03",1,"Jashpur",TRUE,263268,20622,863,13422,176739,5769,27490,18363,215648,14541,7211,2011,0.819119680325752,0.705120744835612,0.537252272388616
"pc2001__22__05",1,"Korba",TRUE,460499,82532,2156,4796,210166,15452,111392,34005,389415,54717,2447,2011,0.845637015498405,0.662979208064751,0.510216847372811
"pc2001__22__10",1,"Durg",TRUE,1336789,193043,4186,12042,681948,73946,249796,121828,1101685,112349,6436,2011,0.824127816730987,0.581989504928954,0.534462713834911
"pc2001__22__11",1,"Raipur",TRUE,1560026,231775,8575,15573,744620,65258,305873,188352,1266512,164328,8394,2011,0.81185313578107,0.708997950598641,0.53900982469659
"pc2001__22__12",1,"Mahasamund",TRUE,366427,30108,1444,3900,237629,14118,49813,29415,302358,17678,1858,2011,0.825152076675572,0.58715291616846,0.476410256410256
"pc2001__22__13",1,"Dhamtari",TRUE,283181,21403,582,2943,181984,17024,35302,23943,234914,13147,1622,2011,0.829554242692836,0.614259683221978,0.55113829425756
"pc2001__23__01",1,"Sheopur",TRUE,199335,13085,443,1217,138064,5796,19956,20774,168096,8441,613,2011,0.843283919030777,0.645089797478028,0.503697617091208
"pc2001__23__02",1,"Morena",TRUE,618833,40190,1673,5132,405264,13197,86319,67058,521819,25699,1702,2011,0.843230726221776,0.639437671062453,0.331644583008574
"pc2001__23__03",1,"Bhind",TRUE,528592,31523,1927,5070,362179,4375,66090,57428,449268,19395,2079,2011,0.849933407997094,0.615265044570631,0.410059171597633
"pc2001__23__04",1,"Gwalior",TRUE,677657,91520,4940,15537,285463,9034,155636,115527,555474,58197,7716,2011,0.819697870751723,0.635893793706294,0.496620969299092
"pc2001__23__07",2,"Ashoknagar;Guna",TRUE,650176,56942,2631,6380,423665,12396,73441,74721,545270,37680,3516,2011,0.838649842504184,0.661725966773208,0.551097178683386
"pc2001__23__09",1,"Chhatarpur",TRUE,537861,37989,2281,6846,361756,11606,60847,56536,445647,24443,3104,2011,0.828554217539476,0.643423096159415,0.453403447268478
"pc2001__23__10",1,"Panna",TRUE,298851,15989,779,2733,209409,7460,22366,40115,245982,9903,1221,2011,0.823092444060753,0.61936331227719,0.446761800219539
"pc2001__23__11",1,"Sagar",TRUE,753370,69335,2578,8669,468862,15009,101331,87586,625981,43295,3367,2011,0.830907787674051,0.624432104997476,0.388395431999077
"pc2001__23__12",1,"Damoh",TRUE,410298,30936,1235,3960,274034,8749,42218,49166,342691,19321,1547,2011,0.835224641601958,0.624547452805793,0.390656565656566
"pc2001__23__15",1,"Umaria",TRUE,211972,16212,618,2251,131766,3572,24234,33319,178702,11119,1184,2011,0.843045307870851,0.685849987663459,0.525988449577965
"pc2001__23__16",2,"Anuppur;Shahdol",TRUE,604831,61297,3522,8160,352060,11161,86873,81758,513332,36716,3913,2011,0.848719725014095,0.598985268447069,0.47953431372549
"pc2001__23__18",1,"Neemuch",TRUE,317344,25982,1098,2741,186616,30782,33410,36715,248037,16580,1369,2011,0.7816029293133,0.6381340928335,0.499452754469172
"pc2001__23__19",1,"Mandsaur",TRUE,506307,29451,1582,1952,319525,49452,39328,65017,395639,17975,746,2011,0.781421153568882,0.610335812026756,0.382172131147541
"pc2001__23__20",1,"Ratlam",TRUE,523922,33619,1523,5130,311853,57604,41421,72772,407311,20428,2060,2011,0.77742679253782,0.607632588714715,0.401559454191033
"pc2001__23__21",1,"Ujjain",TRUE,800500,66628,2460,4550,414269,107172,87906,117515,603363,37850,1949,2011,0.753732667083073,0.568079486101939,0.428351648351648
"pc2001__23__23",1,"Dewas",TRUE,626496,62980,1615,4878,327632,72730,85951,70710,478602,40690,2161,2011,0.76393464603126,0.646078120038107,0.443009430094301
"pc2001__23__24",2,"Alirajpur;Jhabua",TRUE,499280,21580,1536,11481,347338,44716,30027,42602,395266,15143,4418,2011,0.791672007691075,0.701714550509731,0.384809685567459
"pc2001__23__25",1,"Dhar",TRUE,796594,80761,2703,10645,434553,62711,93490,111731,625022,62269,4976,2011,0.78461801118261,0.771028095243992,0.467449506810709
"pc2001__23__26",1,"Indore",TRUE,1417889,270807,15261,28379,431082,101581,332343,238436,1096094,189752,15852,2011,0.773046409133578,0.70069089794577,0.558582050107474
"pc2001__23__28",1,"Barwani",TRUE,419251,35699,1617,6247,263831,32959,44715,34183,337493,23861,3245,2011,0.804990327989677,0.6683940726631,0.519449335681127
"pc2001__23__30",1,"Rajgarh",TRUE,487030,26871,1410,2923,355499,17174,31937,51216,396577,18183,1213,2011,0.814276327946944,0.676677458970637,0.414984604858023
"pc2001__23__31",1,"Vidisha",TRUE,467440,46998,1625,6351,285524,17117,64769,45056,379064,30283,2287,2011,0.810936162930002,0.644346567939061,0.360100771532042
"pc2001__23__32",1,"Bhopal",TRUE,1069428,222677,10731,28073,253013,40679,266471,247784,833834,144797,17316,2011,0.779700924232393,0.650255751604342,0.616820432443985
"pc2001__23__33",1,"Sehore",TRUE,456474,43332,1377,6627,271619,32804,56323,44392,352664,27419,3168,2011,0.772582885334104,0.632765623557648,0.478044363965595
"pc2001__23__34",1,"Raisen",TRUE,462577,63420,1713,5212,245280,15560,83982,47410,372566,42997,2066,2011,0.805414017558158,0.67797224850205,0.396392939370683
"pc2001__23__35",1,"Betul",TRUE,524159,58610,1980,9946,283577,28915,79746,61385,422817,34437,4774,2011,0.806657903422435,0.587561849513735,0.479991956565453
"pc2001__23__36",1,"Harda",TRUE,233150,27588,906,2991,105312,16414,43664,36275,177037,17743,1371,2011,0.75932661376796,0.643141945773525,0.458375125376128
"pc2001__23__38",1,"Katni",TRUE,431926,34424,2679,3730,266740,11181,53906,59266,357598,21538,1767,2011,0.827914966915629,0.625668138508018,0.47372654155496
"pc2001__23__39",1,"Jabalpur",TRUE,812736,110350,7538,14892,359069,27080,152168,141639,657709,63167,7711,2011,0.80925294314513,0.572424105120072,0.517794789148536
"pc2001__23__41",1,"Dindori",TRUE,204077,10259,732,3759,131928,4663,15396,37340,170048,6879,1710,2011,0.833254114868408,0.670533190369432,0.454908220271349
"pc2001__23__42",1,"Mandla",TRUE,333784,23882,1154,5434,200171,10587,36147,56409,276807,15257,2751,2011,0.829299786688397,0.638849342601122,0.506256900993743
"pc2001__23__44",1,"Seoni",TRUE,471388,40474,1465,5036,278822,23090,63275,59226,381766,25158,2513,2011,0.809876365117483,0.621584226911103,0.49900714853058
"pc2001__23__45",1,"Balaghat",TRUE,567509,47206,1916,6783,363806,20336,67576,59886,473415,27948,3373,2011,0.834198224169132,0.592043384315553,0.497272593247825
"pc2001__24__01",1,"Kachchh",TRUE,998173,172890,18322,8125,281688,87936,267945,161267,735955,134940,3546,2011,0.737302050846897,0.780496269304182,0.436430769230769
"pc2001__24__03",1,"Patan",TRUE,494942,22723,5538,3633,280035,47791,48864,86358,382772,15118,1714,2011,0.77336738446121,0.665317079610967,0.471786402422241
"pc2001__24__04",1,"Mahesana",TRUE,904561,59349,15459,8288,450766,84429,136693,149577,701039,39915,4553,2011,0.775004670774,0.672547136430268,0.549348455598456
"pc2001__24__07",1,"Ahmadabad",TRUE,3246537,490619,99908,29507,786295,230991,671159,938058,2505373,311097,12714,2011,0.771706282725255,0.634090811811202,0.430880807943878
"pc2001__24__08",1,"Surendranagar",TRUE,682657,42071,7988,7243,371528,66050,90978,96799,533582,26255,3026,2011,0.781625325749242,0.624064082146847,0.417782686732017
"pc2001__24__09",1,"Rajkot",TRUE,1828255,214864,71694,19817,594694,146690,428211,352285,1416319,144604,10110,2011,0.774683509685465,0.673002457368382,0.510168037543523
"pc2001__24__11",1,"Porbandar",TRUE,255749,20497,3873,870,96609,35525,51969,46406,187024,12674,323,2011,0.731279496694024,0.618334390398595,0.371264367816092
"pc2001__24__13",1,"Amreli",TRUE,649912,35181,7678,9485,322199,96531,77868,100970,479171,22925,5579,2011,0.737285971023769,0.651630141269435,0.588191881918819
"pc2001__24__14",1,"Bhavnagar",TRUE,1121025,104509,20190,6940,507411,112735,174618,194622,857188,73965,3844,2011,0.764646640351464,0.707738089542527,0.553890489913545
"pc2001__24__15",1,"Anand",TRUE,1048550,43026,14679,6481,457299,196042,113262,217761,768220,26070,3255,2011,0.732649849792571,0.605912703946451,0.502237309057244
"pc2001__24__17",1,"Panch Mahals",TRUE,742287,32714,7520,2892,512674,30543,56131,99813,625518,22805,1235,2011,0.842690226287137,0.697102158097451,0.427040110650069
"pc2001__24__18",1,"Dohad",TRUE,560837,16466,3876,5984,436807,10799,17017,69888,479435,11735,2717,2011,0.854856223822608,0.712680675330985,0.454044117647059
"pc2001__24__20",1,"Narmada",TRUE,208822,10041,2060,8150,113969,14909,19957,39736,160075,6505,3578,2011,0.766561952284721,0.647843840254955,0.439018404907975
"pc2001__24__21",1,"Bharuch",TRUE,818847,89890,14837,8254,248545,117177,164166,175978,592634,66283,4264,2011,0.723742042164165,0.737379018800757,0.516598013084565
"pc2001__24__23",1,"The Dangs",TRUE,72420,2774,730,6875,40368,854,4391,16428,54832,1903,2901,2011,0.757138911902789,0.686012977649603,0.421963636363636
"pc2001__24__24",1,"Navsari",TRUE,688321,53993,14865,7820,249697,127402,120595,113949,504876,35859,3547,2011,0.73348917147668,0.664141647991406,0.453580562659847
"pc2001__24__25",1,"Valsad",TRUE,820773,106203,23887,5071,270764,67221,156072,191555,617331,82961,2212,2011,0.75213365936745,0.781154957957873,0.436205876552948
"pc2001__25__01",1,"Diu",TRUE,5066,701,259,51,1776,286,1351,642,4219,536,18,2011,0.832806948282669,0.764621968616263,0.352941176470588
"pc2001__25__02",1,"Daman",TRUE,143526,73081,1686,628,15233,12213,29318,11367,115765,59808,421,2011,0.806578598999484,0.818379606190392,0.670382165605096
"pc2001__26__01",1,"Dadra & Nagar Haveli",TRUE,188057,63779,4099,2430,39216,4676,47763,26094,148585,54101,1222,2011,0.790106191207985,0.848257263362549,0.502880658436214
"pc2001__27__01",1,"Nandurbar",TRUE,658747,36038,2719,22865,252633,69465,63621,211406,466571,23783,13365,2011,0.708270398195362,0.659942283145569,0.584517821998688
"pc2001__27__02",1,"Dhule",TRUE,1055137,69985,4900,20062,365188,212162,110932,271908,720772,42794,10216,2011,0.683107501679877,0.611473887261556,0.509221413617785
"pc2001__27__04",1,"Buldana",TRUE,1187626,66534,3156,9351,545694,220795,127832,214264,842249,40528,4444,2011,0.709187067309069,0.609132173024318,0.475243289487755
"pc2001__27__05",1,"Akola",TRUE,793721,67059,3693,7855,335153,125193,108723,146045,582606,37264,3594,2011,0.734018628712104,0.555689765728687,0.457542966263526
"pc2001__27__06",1,"Washim",TRUE,493898,23361,1672,5114,247543,62479,40972,112757,361083,14642,2038,2011,0.731088200397653,0.626771114250246,0.398513883457176
"pc2001__27__07",1,"Amravati",TRUE,1263301,105083,4149,18391,525266,185743,150146,274523,916256,59600,8240,2011,0.725287164341673,0.567170712674743,0.44804523951933
"pc2001__27__08",1,"Wardha",TRUE,781501,84446,1612,12745,265572,137917,127329,151880,545172,50829,6906,2011,0.697596036345443,0.601911280581674,0.54185955276579
"pc2001__27__09",1,"Nagpur",TRUE,2114895,392188,15999,43758,632083,148145,448393,434329,1619878,260106,19408,2011,0.765937788873679,0.663217640519343,0.443530325883267
"pc2001__27__10",1,"Bhandara",TRUE,521793,45477,1743,6875,263345,33410,75726,95217,400815,27731,3219,2011,0.768149438570468,0.60978076830046,0.468218181818182
"pc2001__27__11",1,"Gondiya",TRUE,526833,36224,2235,9862,297519,15562,66279,99152,419652,22350,5288,2011,0.796556024394827,0.61699425795053,0.536199553843034
"pc2001__27__12",1,"Gadchiroli",TRUE,520849,42312,1675,16490,181035,39002,68594,171741,378423,28844,8324,2011,0.726550305366815,0.681697863490263,0.504790782292298
"pc2001__27__13",1,"Chandrapur",TRUE,1173917,160035,5019,15791,419204,157134,188702,228032,866965,100795,7623,2011,0.738523251643856,0.629830974474334,0.482743334810968
"pc2001__27__14",1,"Yavatmal",TRUE,1240500,114775,3859,21489,527525,145516,172391,254945,916849,70126,9982,2011,0.739096332124143,0.610986713134393,0.464516729489506
"pc2001__27__15",1,"Nanded",TRUE,1180040,92548,7261,19661,637875,46401,135495,240799,921885,58837,7678,2011,0.78123199213586,0.63574577516532,0.390519302171812
"pc2001__27__16",1,"Hingoli",TRUE,405335,21623,1223,4160,253512,20027,34230,70560,317397,14475,1779,2011,0.783048589438366,0.669426074087777,0.427644230769231
"pc2001__27__17",1,"Parbhani",TRUE,669619,47362,4076,6889,365771,32358,65817,147346,515111,27698,2887,2011,0.769259832830311,0.584814830454795,0.419073885905066
"pc2001__27__20",1,"Nashik",TRUE,3434553,376417,14476,51719,1023039,735156,540030,693716,2403178,264590,27595,2011,0.699706191751882,0.702917243376362,0.533556333262437
"pc2001__27__22",1,"Mumbai Suburban",TRUE,4271562,1280211,48031,62108,833001,386228,730959,931024,3437041,858144,19875,2011,0.804633293394782,0.670314502843672,0.320007084433567
"pc2001__27__23",1,"Mumbai",TRUE,1233320,391332,18204,19306,235793,110835,178466,279384,989460,271426,7458,2011,0.802273538092304,0.693595208160846,0.386304775717394
"pc2001__27__24",1,"Raigarh",TRUE,1479878,229331,12163,16333,373184,139896,352732,356239,1077170,175700,9209,2011,0.727877568286034,0.766141515974726,0.563827833221086
"pc2001__27__25",1,"Pune",TRUE,6094325,1205275,48283,123162,1329531,809804,1281117,1297153,4443994,904657,72693,2011,0.729202003503259,0.750581402584472,0.590222633604521
"pc2001__27__27",1,"Bid",TRUE,896928,52980,3143,7726,530683,66279,88742,147375,683480,33237,3026,2011,0.762023261621892,0.627349943374858,0.391664509448615
"pc2001__27__31",1,"Satara",TRUE,1924434,129588,7902,17433,666509,448981,224435,429586,1315006,84786,7924,2011,0.68332091409734,0.654273543846652,0.454540239775139
"pc2001__27__32",1,"Ratnagiri",TRUE,831042,68135,2625,9595,344801,132411,109857,163618,576829,48580,5512,2011,0.694103306451419,0.712996257430102,0.574465867639396
"pc2001__27__33",1,"Sindhudurg",TRUE,524613,35119,2057,4134,193929,110033,64166,115175,354509,24245,2317,2011,0.675753364861336,0.690367037785814,0.560474117077891
"pc2001__27__34",1,"Kolhapur",TRUE,2291809,173131,12138,16987,792477,561679,276160,459237,1600688,110274,8986,2011,0.698438656973596,0.63693965840895,0.528992759168776
"pc2001__27__35",1,"Sangli",TRUE,1665083,115859,8567,11167,580794,410731,166924,371041,1147559,71877,4984,2011,0.689190268593217,0.62038339706022,0.446315035372078
"pc2001__28__01",1,"Adilabad",TRUE,1227496,104352,9044,12164,396843,30899,135410,538784,905788,67346,3559,2011,0.737915235568996,0.645373351732597,0.29258467609339
"pc2001__28__02",1,"Nizamabad",TRUE,1077145,64846,8790,15948,434235,67111,88788,397427,803801,41789,6348,2011,0.746232865584485,0.644434506368936,0.398043641835967
"pc2001__28__03",1,"Karimnagar",TRUE,1615095,140737,13133,16901,649953,91321,184694,518356,1224854,92985,6104,2011,0.758378918887124,0.660700455459474,0.361162061416484
"pc2001__28__04",1,"Medak",TRUE,1373113,115885,9033,18874,607335,97528,160699,363759,1036541,88005,7520,2011,0.754883975317399,0.759416663071148,0.398431704990993
"pc2001__28__05",1,"Hyderabad",TRUE,2110198,282769,51024,48633,153496,81573,311447,1181256,1493212,191528,21018,2011,0.707617010346896,0.67733025897464,0.432175683178089
"pc2001__28__06",1,"Rangareddy",TRUE,3546914,670249,68327,83138,588175,205182,779074,1152769,2548135,490767,39789,2011,0.71840901696517,0.732215937658989,0.478589814525247
"pc2001__28__07",1,"Mahbubnagar",TRUE,1666317,59340,10150,29391,740983,52955,82004,691494,1260899,42327,10090,2011,0.756698155272976,0.71329625884732,0.343302371474261
"pc2001__28__08",1,"Nalgonda",TRUE,1540904,124869,12044,33656,676463,116881,170553,406438,1159982,86805,14590,2011,0.75279316557034,0.695168536626384,0.433503684335631
"pc2001__28__09",1,"Warangal",TRUE,1478737,114553,11880,40975,622204,88124,167617,433384,1115555,78589,17589,2011,0.754397164607364,0.686049252311157,0.429261744966443
"pc2001__28__10",1,"Khammam",TRUE,1277314,144043,11871,30758,453755,97141,213432,326314,960175,95635,11334,2011,0.751714143898838,0.663933686468624,0.368489498667013
"pc2001__28__11",1,"Srikakulam",TRUE,851656,48666,6875,28697,427319,81246,99694,159159,649214,32784,10682,2011,0.762296044412298,0.673653063740599,0.372234031431857
"pc2001__28__12",1,"Vizianagaram",TRUE,941835,57840,6972,28972,367286,106886,101925,271954,688991,37777,10645,2011,0.731541087345448,0.653129322268326,0.367423719453265
"pc2001__28__13",1,"Visakhapatnam",TRUE,2033960,246022,25901,59845,503691,184724,333378,680399,1481923,166570,24305,2011,0.728590041102087,0.677053271658632,0.406132508981536
"pc2001__28__14",1,"East Godavari",TRUE,2501379,181043,17381,38037,862150,431802,328665,642301,1808657,118083,16308,2011,0.723063957920811,0.652237313787332,0.428740436942977
"pc2001__28__15",1,"West Godavari",TRUE,1944000,158174,12767,35384,721402,397738,271696,346839,1396999,98940,18574,2011,0.718620884773663,0.625513674813813,0.524926520461225
"pc2001__28__16",1,"Krishna",TRUE,2318200,259982,24916,72332,670537,295969,371366,623098,1688659,168174,47132,2011,0.72843542403589,0.646867860082621,0.65160648122546
"pc2001__28__17",1,"Guntur",TRUE,2253509,222499,19360,70303,731853,241020,320266,648208,1671745,144912,43703,2011,0.741840835780998,0.651292814799168,0.621637767947314
"pc2001__28__18",1,"Prakasam",TRUE,1251646,108319,10891,31090,542829,89729,171672,297116,958074,73890,13915,2011,0.765451253789011,0.682151792390993,0.447571566420071
"pc2001__28__19",1,"Sri Potti Sriramulu Nellore",TRUE,1310523,120718,11802,75341,450783,131343,216814,303722,991722,79751,52745,2011,0.756737577287846,0.660638844248579,0.700083619808604
"pc2001__28__20",1,"Y.S.R.",TRUE,1198150,106205,10980,25556,438759,63852,201347,351451,916602,71437,11232,2011,0.765014397195677,0.672633115201733,0.439505399906089
"pc2001__28__21",1,"Kurnool",TRUE,1593260,103243,14782,42746,636209,78792,147727,569761,1209808,69445,19314,2011,0.75932867203093,0.672636401499375,0.451831750339213
"pc2001__28__22",1,"Anantapur",TRUE,1622352,135407,17054,39922,689337,104919,190795,444918,1238894,90409,17874,2011,0.763640689566752,0.667683354627161,0.447723059966936
"pc2001__28__23",1,"Chittoor",TRUE,1626941,167555,20167,54691,672947,97755,282048,331778,1258216,112874,32625,2011,0.773363016851871,0.673653427232849,0.5965332504434
"pc2001__29__02",1,"Bagalkot",TRUE,834572,45350,3952,9935,304119,136173,89170,245873,576152,30118,4379,2011,0.690356254463366,0.66412348401323,0.440764972320081
"pc2001__29__05",1,"Bidar",TRUE,560462,28260,2620,8704,307929,11262,43517,158170,434860,19576,4056,2011,0.775895600415372,0.692710544939844,0.465992647058824
"pc2001__29__06",1,"Raichur",TRUE,662263,52935,5128,11657,269102,35732,66407,221302,504252,34134,5251,2011,0.761407477089917,0.644828563332389,0.45045895170284
"pc2001__29__07",1,"Koppal",TRUE,533941,43497,4281,7633,224669,49880,58535,145446,394378,28301,3172,2011,0.738617188041375,0.650642573051015,0.415563998427879
"pc2001__29__08",1,"Gadag",TRUE,495567,23510,2138,6909,182841,98964,39263,141942,346608,14576,3649,2011,0.699417031400396,0.61999149298171,0.528151686206397
"pc2001__29__09",1,"Dharwad",TRUE,866022,77223,5972,13686,264391,170412,104945,229393,610048,44412,5899,2011,0.704425522677253,0.575113631949031,0.43102440450095
"pc2001__29__11",1,"Haveri",TRUE,690579,31554,2771,11125,287782,139454,55805,162088,489436,20416,5265,2011,0.708732816955048,0.647017810737149,0.473258426966292
"pc2001__29__13",1,"Chitradurga",TRUE,609033,35617,5888,11017,280893,33427,55950,186241,469269,23101,4862,2011,0.770514898207486,0.648594772159362,0.441317963147862
"pc2001__29__16",1,"Udupi",TRUE,557952,36628,2551,10405,159642,143301,103533,101892,373871,23779,6695,2011,0.670077354324386,0.64920279567544,0.643440653531956
"pc2001__29__20",1,"Bangalore",TRUE,5140755,1434948,88232,137351,762122,210657,1090409,1417036,4027159,1119811,74385,2011,0.783378900570052,0.780384376297956,0.541568681698714
"pc2001__29__22",1,"Mandya",TRUE,717189,30579,5409,13689,366349,31054,58336,211773,555268,19433,5969,2011,0.774228271766578,0.635501487949246,0.436043538607641
"pc2001__29__23",1,"Hassan",TRUE,764073,51963,8582,11386,376125,27228,89023,199766,594769,34606,4849,2011,0.778419077758277,0.665973866020053,0.425873880203759
"pc2001__29__24",1,"Dakshina Kannada",TRUE,1062515,80080,5940,32662,315215,210992,223581,194045,761292,53471,24463,2011,0.716500002352908,0.66771978021978,0.748974343273529
"pc2001__29__25",1,"Kodagu",TRUE,268606,41305,2380,6078,85176,33532,57353,42782,195166,27025,2756,2011,0.726588385963084,0.654279142960901,0.453438631128661
"pc2001__30__01",1,"North Goa",TRUE,660094,61123,8838,4160,141775,165858,127847,150493,468371,43787,1917,2011,0.709551972900829,0.716375177919932,0.460817307692308
"pc2001__31__01",1,"Lakshadweep",TRUE,20401,6135,57,1026,338,1113,7738,3994,15199,4120,524,2011,0.745012499387285,0.671556642216789,0.510721247563353
"pc2001__32__01",1,"Kasaragod",TRUE,690774,26221,1315,2842,169026,183081,131245,177044,453386,16563,1140,2011,0.65634491164983,0.631669272720339,0.401125967628431
"pc2001__32__02",1,"Kannur",TRUE,1335216,44607,2866,4863,315964,432668,323143,211105,862953,25759,2754,2011,0.646302171334076,0.577465420225525,0.56631708821715
"pc2001__32__03",1,"Wayanad",TRUE,494943,27061,1123,3552,117778,134419,123575,87435,324863,14093,1745,2011,0.65636447025213,0.520786371530986,0.491272522522523
"pc2001__32__04",1,"Kozhikode",TRUE,1799910,51214,3763,12100,481753,535839,316107,399134,1196318,28885,7310,2011,0.664654343828303,0.564005935876909,0.604132231404959
"pc2001__32__05",1,"Malappuram",TRUE,1862730,54694,2854,4278,678510,515387,202576,404431,1212731,35471,2134,2011,0.65105034009223,0.648535488353384,0.498831229546517
