"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","work_employment","business","education","marriage","moved_after_birth","moved_with_household","other_reason","working_age_migrants_15_64","work_migrants_age_20_49","education_migrants_age_15_24","census_year","working_age_15_64_share_among_migrants","age_20_49_share_among_work_migrants","age_15_24_share_among_education_migrants"
"pc2001__03__08",1,"Fatehgarh Sahib",TRUE,353009,33843,1539,714,134741,49171,49118,83883,259517,23221,360,2011,0.735156894016866,0.686138935673551,0.504201680672269
"pc2001__03__10",1,"Moga",TRUE,557354,29393,1515,1307,212202,75153,49915,187869,399038,17778,531,2011,0.715950724315247,0.604837886571633,0.406273909716909
"pc2001__03__12",1,"Muktsar",TRUE,390879,28227,858,732,209061,33809,38485,79707,305327,17306,323,2011,0.781129198549935,0.61310093173203,0.441256830601093
"pc2001__03__13",1,"Faridkot",TRUE,304868,18734,973,1299,138791,35288,31574,78209,229199,10914,451,2011,0.751797499245575,0.582577132486388,0.347190146266359
"pc2001__03__14",1,"Bathinda",TRUE,746639,75104,2494,2097,306948,110426,94473,155097,562662,50472,734,2011,0.753593101887257,0.672028121005539,0.350023843586075
"pc2001__03__15",1,"Mansa",TRUE,401427,18291,1270,812,184768,76191,30778,89317,287026,10948,494,2011,0.715014186888276,0.598545732874091,0.608374384236453
"pc2001__04__01",1,"Chandigarh",TRUE,678188,206642,8540,23114,110477,37108,198558,93749,552913,143555,14791,2011,0.815279833910361,0.694703884011963,0.639915202907329
"pc2001__05__08",1,"Bageshwar",TRUE,93524,6106,274,1175,66375,392,8837,10365,77111,4366,515,2011,0.824504939908473,0.715034392400917,0.438297872340426
"pc2001__05__09",1,"Almora",TRUE,236692,16724,725,4751,161050,1387,28001,24054,192040,11373,2982,2011,0.811349771010427,0.680040660129156,0.627657335297832
"pc2001__05__13",1,"Hardwar",TRUE,673506,90435,2731,10300,320420,10651,145810,93159,549300,58328,6578,2011,0.815582934673188,0.644971526510754,0.638640776699029
"pc2001__06__01",1,"Panchkula",TRUE,345592,61575,3159,2371,85448,20813,118315,53911,260680,40589,1177,2011,0.754299868052501,0.659179861956963,0.496415014761704
"pc2001__06__02",1,"Ambala",TRUE,499726,47953,2576,2128,229781,26585,101034,89669,389900,28381,843,2011,0.780227564705459,0.591850353471107,0.396146616541353
"pc2001__06__03",1,"Yamunanagar",TRUE,498307,62252,2367,2664,255474,21308,98718,55524,405115,37937,1585,2011,0.812982759624087,0.609410139433271,0.59496996996997
"pc2001__06__04",1,"Kurukshetra",TRUE,420787,46185,1202,11351,214675,27567,84652,35155,334687,27393,8645,2011,0.795383412510367,0.593114647612861,0.761606906880451
"pc2001__06__05",1,"Kaithal",TRUE,398147,31639,1147,2154,249261,12491,49179,52276,324035,19633,1394,2011,0.813857695775681,0.620531622364803,0.647168059424327
"pc2001__06__06",1,"Karnal",TRUE,604177,67116,2550,2589,315502,23901,101980,90539,483342,42990,1006,2011,0.800000662057642,0.640532808868228,0.388567014291232
"pc2001__06__07",1,"Panipat",TRUE,554577,97877,2764,2009,212481,15510,142870,81066,440382,69454,1202,2011,0.794086303615188,0.709604912287871,0.598307615729219
"pc2001__06__08",1,"Sonipat",TRUE,588030,72524,1799,7231,310687,8974,114885,71930,481722,47650,3954,2011,0.8192133054436,0.65702388174949,0.546812335776518
"pc2001__06__09",1,"Jind",TRUE,490182,39843,1477,2178,314792,12168,72263,47461,406711,24142,928,2011,0.829714269393817,0.605928268453681,0.426078971533517
"pc2001__06__10",1,"Fatehabad",TRUE,377867,39578,1135,1001,211488,24871,67773,32021,304123,21681,582,2011,0.804841385990309,0.547804335742079,0.581418581418581
"pc2001__06__11",1,"Sirsa",TRUE,570094,55845,1895,3935,284199,59725,94030,70465,442571,31667,2192,2011,0.776312327440738,0.567051660846987,0.55705209656925
"pc2001__06__14",1,"Rohtak",TRUE,395123,44671,1137,4655,229104,4532,76938,34086,329815,26042,2613,2011,0.834714759707737,0.582973293635692,0.561331901181525
"pc2001__06__15",1,"Jhajjar",TRUE,366378,34088,1010,3444,228937,6545,51500,40854,304905,23599,1818,2011,0.832214270507509,0.692296409293593,0.52787456445993
"pc2001__06__16",1,"Mahendragarh",TRUE,335147,13891,556,1488,246500,14962,29571,28179,269712,8646,656,2011,0.804757315446655,0.622417392556331,0.440860215053763
"pc2001__06__17",1,"Rewari",TRUE,359654,44581,725,2078,204214,8020,57654,42382,293748,33375,775,2011,0.816751655758034,0.748637311859312,0.372954764196343
"pc2001__08__02",1,"Hanumangarh",TRUE,725683,80695,2156,1883,364479,59192,128702,88576,571614,47110,852,2011,0.787691044161156,0.583803209616457,0.45246946362188
"pc2001__08__05",1,"Jhunjhunun",TRUE,715173,30945,1846,9729,524999,16584,60340,70730,595528,19104,6473,2011,0.83270481407995,0.617353368880271,0.665330455339706
"pc2001__08__17",1,"Barmer",TRUE,663717,22249,1745,1122,502931,18941,42861,73868,554997,14791,448,2011,0.836195245865331,0.664793923322397,0.399286987522282
"pc2001__08__18",1,"Jalor",TRUE,520975,19461,1334,1961,388782,34723,33244,41470,423878,13283,845,2011,0.813624454148472,0.682544576332151,0.430902600713921
"pc2001__08__19",1,"Sirohi",TRUE,321506,24855,1028,1642,206061,27273,37711,22936,260789,17570,788,2011,0.811148158976815,0.706900020116677,0.479902557856273
"pc2001__08__20",1,"Pali",TRUE,676970,47218,2402,3714,434942,49493,64522,74679,531615,30979,1807,2011,0.785285906317858,0.656084544029819,0.486537425955843
"pc2001__08__23",1,"Bundi",TRUE,400307,35173,707,2759,238916,31215,48605,42932,317141,23217,1275,2011,0.792244452382796,0.660080175134336,0.462123957955781
"pc2001__08__27",1,"Dungarpur",TRUE,453175,10847,1239,2872,307953,45395,16506,68363,350493,7593,1234,2011,0.773416450598555,0.700009219138932,0.42966573816156
"pc2001__08__32",1,"Jhalawar",TRUE,485497,29949,836,2503,334418,26407,40252,51132,393407,20090,1262,2011,0.81031808641454,0.670807038632342,0.504194966040751
"pc2001__09__01",1,"Saharanpur",TRUE,930988,55699,3376,10802,612761,10311,100791,137248,782294,34481,7223,2011,0.840283655643252,0.619059588143414,0.66867246806147
"pc2001__09__03",1,"Bijnor",TRUE,865866,37704,4177,3395,637321,4411,71229,107629,744052,23179,1423,2011,0.859315413701427,0.61476235943136,0.419145802650957
"pc2001__09__05",1,"Rampur",TRUE,490595,23001,1502,1658,344527,2168,48247,69492,423937,13985,910,2011,0.864128252428174,0.608017042737272,0.548854041013269
"pc2001__09__08",1,"Baghpat",TRUE,352917,23098,1038,1689,259131,1798,34080,32083,295840,14925,762,2011,0.838270754880043,0.646159840678847,0.451154529307282
"pc2001__09__10",1,"Gautam Buddha Nagar",TRUE,848470,183627,9157,8555,223463,23130,272107,128431,639739,145420,5200,2011,0.753991301990642,0.791931469772964,0.607831677381648
"pc2001__09__11",1,"Bulandshahr",TRUE,961176,52511,4016,4653,713102,4836,88226,93832,817294,34304,1962,2011,0.850306291459629,0.653272647635733,0.421663442940039
"pc2001__09__12",1,"Aligarh",TRUE,1119225,90809,10129,17678,636417,18602,150273,195317,909610,59096,10978,2011,0.81271415488396,0.650772500523076,0.62099785043557
"pc2001__09__14",1,"Mathura",TRUE,823035,52451,5418,7387,459394,10902,96883,190600,650568,33549,3359,2011,0.790449980863511,0.639625555280166,0.454717747394071
"pc2001__09__15",1,"Agra",TRUE,1324168,84986,12271,8167,669320,29289,155174,364961,1086347,54392,3650,2011,0.820399677382326,0.640011295978161,0.446920533855761
"pc2001__09__16",1,"Firozabad",TRUE,746651,53711,5203,5533,441824,17148,84509,138723,617624,34274,2213,2011,0.82719235626819,0.638118821098099,0.399963853244171
"pc2001__09__18",1,"Mainpuri",TRUE,501121,18529,2084,3001,378800,3645,36344,58718,429751,11664,1244,2011,0.857579307193273,0.629499703168007,0.414528490503166
"pc2001__09__20",1,"Bareilly",TRUE,1154125,67520,7256,6987,646352,13425,142611,269974,944433,42465,3071,2011,0.818310841546626,0.628924763033175,0.439530556748247
"pc2001__09__21",1,"Pilibhit",TRUE,507796,26149,1740,1797,361899,3880,49475,62856,443260,13494,697,2011,0.872909593616334,0.51604267849631,0.387868670005565
"pc2001__09__22",1,"Shahjahanpur",TRUE,748473,35203,4040,2494,509203,4252,58077,135204,640008,21591,829,2011,0.855084952964235,0.613328409510553,0.332397754611067
"pc2001__09__24",1,"Sitapur",TRUE,1182024,38558,3917,4167,854036,6077,59383,215886,999319,25172,1682,2011,0.845430380432208,0.652834690595985,0.403647708183345
"pc2001__09__25",1,"Hardoi",TRUE,925804,23251,3216,3315,723826,5779,43489,122928,794984,14460,1218,2011,0.85869579306203,0.621908735108167,0.367420814479638
"pc2001__09__26",1,"Unnao",TRUE,906396,41865,4789,2720,603389,7606,71313,174714,744200,25932,1101,2011,0.821053932276841,0.619419562880688,0.404779411764706
"pc2001__09__27",1,"Lucknow",TRUE,1851848,279808,16586,34381,558600,66001,469651,426821,1434080,168476,16426,2011,0.774404810762006,0.602112877401647,0.477763881213461
"pc2001__09__28",1,"Rae Bareli",TRUE,946486,33488,2791,3605,663937,12262,52079,178324,793452,20317,1760,2011,0.838313509127446,0.606694935499283,0.488210818307906
"pc2001__09__29",1,"Farrukhabad",TRUE,489438,17954,1892,2868,354975,2705,33606,75438,420477,11693,1073,2011,0.859101663540632,0.651275481786789,0.374128312412831
"pc2001__09__30",1,"Kannauj",TRUE,412480,14130,1282,1930,327114,1791,23281,42952,357000,8935,819,2011,0.865496508921645,0.632342533616419,0.424352331606218
"pc2001__09__31",1,"Etawah",TRUE,492784,26454,1809,4451,317309,5403,55565,81793,407871,16236,1928,2011,0.827687181401994,0.613744613290996,0.433161087396091
"pc2001__09__32",1,"Auraiya",TRUE,405514,19357,1501,3435,285785,2134,39057,54245,344621,12503,1305,2011,0.849837490197626,0.645916206023661,0.379912663755459
"pc2001__09__33",1,"Kanpur Dehat",TRUE,495926,17105,2016,3541,369206,3574,31713,68771,421167,10638,2243,2011,0.849253719304896,0.621923414206372,0.633436882236656
"pc2001__09__34",1,"Kanpur Nagar",TRUE,1338424,195270,14992,16055,545904,44247,233753,288203,1092295,117439,8243,2011,0.816105359736526,0.601418548676192,0.513422609778885
"pc2001__09__35",1,"Jalaun",TRUE,537240,28358,1818,3945,365446,3778,49403,84492,450268,16974,1588,2011,0.838113319931502,0.598561252556598,0.402534854245881
"pc2001__09__36",1,"Jhansi",TRUE,661711,42323,3158,4668,399835,12495,67098,132134,548095,26209,1981,2011,0.82829966556397,0.619261394513621,0.424378748928877
"pc2001__09__37",1,"Lalitpur",TRUE,357670,14703,999,1343,271854,2896,21762,44113,309580,9299,623,2011,0.86554645343473,0.632455961368428,0.463886820551005
"pc2001__09__38",1,"Hamirpur",TRUE,315374,14023,1292,1585,232457,1745,19497,44775,265469,8740,640,2011,0.84175930799622,0.623261784211652,0.40378548895899
"pc2001__09__39",1,"Mahoba",TRUE,260698,10991,1112,1634,185182,1964,17443,42372,214582,6963,651,2011,0.823105662490698,0.633518333181694,0.398408812729498
"pc2001__09__40",1,"Banda",TRUE,477181,18970,1462,3442,370243,3958,29753,49353,407273,11234,1779,2011,0.853497938937217,0.592198207696363,0.516850668216153
"pc2001__09__41",1,"Chitrakoot",TRUE,251141,9049,790,657,200540,868,15461,23776,218122,5648,311,2011,0.868524056207469,0.624157365454746,0.473363774733638
"pc2001__09__42",1,"Fatehpur",TRUE,687436,21673,2496,2666,519206,4109,39425,97861,585868,13271,1023,2011,0.852250973181503,0.612328703917317,0.383720930232558
"pc2001__09__43",1,"Pratapgarh",TRUE,859280,18008,3262,2592,645178,4658,24378,161204,725498,11473,1196,2011,0.844309189088539,0.637105730786317,0.46141975308642
"pc2001__09__48",1,"Ambedkar Nagar",TRUE,614103,13174,2191,1986,473366,3220,19105,101061,517347,8530,948,2011,0.842443368620573,0.647487475330196,0.477341389728097
"pc2001__09__50",1,"Bahraich",TRUE,841353,21533,2563,2081,634545,1975,41892,136764,724661,12003,814,2011,0.861304351443449,0.557423489527702,0.391158097068717
"pc2001__09__52",1,"Balrampur",TRUE,505036,8897,1321,1571,411511,1311,16012,64413,440843,5748,587,2011,0.872894209521697,0.646060469821288,0.373647358370465
"pc2001__09__53",1,"Gonda",TRUE,914351,20916,2563,3638,675101,6017,35451,170665,777326,13531,2034,2011,0.850139607218672,0.646921017402945,0.559098405717427
"pc2001__09__55",1,"Basti",TRUE,640186,16656,2624,2986,500475,3422,26066,87957,551491,10517,1590,2011,0.861454327336118,0.631424111431316,0.532484929671802
"pc2001__09__60",1,"Deoria",TRUE,862517,18134,3658,4623,671384,6987,37215,120516,728597,11153,2074,2011,0.844733495107923,0.615032535568545,0.448626433052131
"pc2001__09__61",1,"Azamgarh",TRUE,1219687,19873,2872,4819,964336,6667,38155,182965,1032521,12346,2672,2011,0.846545876114118,0.621244905147688,0.554471882133223
"pc2001__09__62",1,"Mau",TRUE,545733,12543,2312,3815,406396,2480,21708,96479,458850,8001,2395,2011,0.840795773757497,0.637885673283903,0.62778505897772
"pc2001__09__63",1,"Ballia",TRUE,927433,16508,4221,3796,647690,6604,35503,213111,760611,9765,1723,2011,0.820125011725914,0.591531378725466,0.453898840885142
"pc2001__09__64",1,"Jaunpur",TRUE,1258743,20903,5453,3727,944642,8372,33067,242579,1042419,13193,1734,2011,0.828142837735741,0.631153422953643,0.465253555138181
"pc2001__09__65",1,"Ghazipur",TRUE,968892,17266,2748,3111,735617,5375,33079,171696,806699,10285,1412,2011,0.832599505414432,0.59567936985984,0.453873352619736
"pc2001__09__66",1,"Chandauli",TRUE,561809,15516,1458,1458,415158,4552,35749,87918,475859,8953,693,2011,0.847012062818502,0.577017272492911,0.475308641975309
"pc2001__09__67",1,"Varanasi",TRUE,1200983,68744,9277,17234,639312,30175,154055,282186,967252,39619,10639,2011,0.805383589942572,0.57632666123589,0.617326215620285
"pc2001__09__69",1,"Mirzapur",TRUE,676304,17297,2450,1322,510155,6059,30315,108706,574476,10166,627,2011,0.849434573801131,0.587731976643349,0.47428139183056
"pc2001__09__70",1,"Sonbhadra",TRUE,592083,60311,2966,2579,342103,9902,90888,83334,501465,37184,1346,2011,0.846950512005918,0.616537613370695,0.521907716169058
"pc2001__10__01",1,"Pashchim Champaran",TRUE,992018,18795,2265,3093,763048,7786,45701,151330,866900,10896,966,2011,0.873875272424492,0.579728651237031,0.312318137730359
"pc2001__10__02",1,"Purba Champaran",TRUE,1249887,18735,3689,3547,1034951,8101,28829,152035,1110703,11886,1107,2011,0.888642733303091,0.634427542033627,0.312094727939103
"pc2001__10__03",1,"Sheohar",TRUE,84994,920,220,406,69678,356,1538,11876,73956,666,87,2011,0.870132009318305,0.723913043478261,0.214285714285714
"pc2001__10__04",1,"Sitamarhi",TRUE,852953,13650,1874,2748,691377,7827,20531,114946,745194,8581,861,2011,0.87366361335267,0.628644688644689,0.313318777292576
"pc2001__10__05",1,"Madhubani",TRUE,1143850,12556,2894,2660,919944,6211,23057,176528,997241,8287,866,2011,0.871828474013201,0.660003185727939,0.325563909774436
"pc2001__10__06",1,"Supaul",TRUE,575469,10631,1194,1607,453533,3238,19125,86141,505667,6371,548,2011,0.878704152612912,0.599285109585175,0.341008089607965
"pc2001__10__08",1,"Kishanganj",TRUE,352376,17048,1007,2170,257099,4016,22800,48236,308812,9752,856,2011,0.876370694939496,0.572031909901455,0.394470046082949
"pc2001__10__09",1,"Purnia",TRUE,763104,30165,2809,3209,529926,8862,45339,142794,658429,17568,1041,2011,0.862829968130163,0.58239681750373,0.324400124649423
"pc2001__10__11",1,"Madhepura",TRUE,490529,6065,1033,983,418895,3012,9165,51376,443534,3941,242,2011,0.904195266742639,0.649793899422918,0.24618514750763
