"outcome_id","outcome_variable","mechanism_family","tier","denominator","specification_id","adjustment_id","construction_id","fixed_effect","term","estimate","std.error","statistic","p.value","p_holm_within_spec","n","status","reason"
"skilled_migrant_composition","graduate_or_technical_degree_share_among_migrants","migrant_skill","core","all_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",0.00277981772147683,0.0012811458546786,2.16979020095585,0.0307820566836336,0.215474396785435,355,"estimated",
"skilled_migrant_composition","graduate_or_technical_degree_share_among_migrants","migrant_skill","core","all_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",0.000726100493007587,0.000608220771137878,1.19381074679376,0.233464745799804,1,355,"estimated",
"skilled_migrant_composition","graduate_or_technical_degree_share_among_migrants","migrant_skill","core","all_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",5.41644033923595e-05,0.000101235365518069,0.535034403394256,0.593009637231466,1,355,"estimated",
"technical_migrant_composition","technical_credential_share_among_migrants","migrant_skill","secondary","all_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",-6.97290147197848e-05,0.000640919696452749,-0.108795243937281,0.913429454325022,1,355,"estimated",
"technical_migrant_composition","technical_credential_share_among_migrants","migrant_skill","secondary","all_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",0.00047555282681287,0.000322079166640776,1.47650911970742,0.140738307664761,0.966702816121042,355,"estimated",
"technical_migrant_composition","technical_credential_share_among_migrants","migrant_skill","secondary","all_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",-1.89083091709572e-05,4.31709015890097e-05,-0.4379873589615,0.661675213267668,1,355,"estimated",
"technical_migrant_composition","technical_credential_share_among_migrants","migrant_skill","secondary","all_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",0.000572857652668079,0.000471099461089194,1.21600150283258,0.224909485235453,1,355,"estimated",
"technical_migrant_composition","technical_credential_share_among_migrants","migrant_skill","secondary","all_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",0.000216888663373346,0.00022662134739546,0.957053101422391,0.339286219417335,1,355,"estimated",
"technical_migrant_composition","technical_credential_share_among_migrants","migrant_skill","secondary","all_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",2.72137417490079e-05,2.57581989760352e-05,1.05650794041644,0.291558846874717,1,355,"estimated",
"outside_state_recent_work_migration","outside_state_share_among_recent_work_migrants","work_migrant_sorting","core","recent_work_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",-0.000921584523929708,0.0185309489759764,-0.0497321818285968,0.960365185604526,1,355,"estimated",
"outside_state_recent_work_migration","outside_state_share_among_recent_work_migrants","work_migrant_sorting","core","recent_work_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",-0.00615988774162079,0.00501120415444905,-1.22922306730448,0.219843222437112,1,355,"estimated",
"outside_state_recent_work_migration","outside_state_share_among_recent_work_migrants","work_migrant_sorting","core","recent_work_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",-0.0012722444043911,0.00105858763458838,-1.20183191530081,0.230270025340893,1,355,"estimated",
"outside_state_recent_work_migration","outside_state_share_among_recent_work_migrants","work_migrant_sorting","core","recent_work_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",0.00501014012338872,0.026607603404325,0.18829730912835,0.850766795740223,1,355,"estimated",
"outside_state_recent_work_migration","outside_state_share_among_recent_work_migrants","work_migrant_sorting","core","recent_work_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",-0.00653799344246993,0.00321181586987393,-2.03560655633928,0.0426399894184675,0.34111991534774,355,"estimated",
"outside_state_recent_work_migration","outside_state_share_among_recent_work_migrants","work_migrant_sorting","core","recent_work_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",0.00010090275528692,0.000900544661378758,0.112046364399557,0.910859160049314,1,355,"estimated",
"skilled_recent_work_migration","graduate_or_technical_degree_share_among_recent_work_migrants","work_migrant_skill","core","recent_work_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",0.0111160485182926,0.00442371390127129,2.51283169897087,0.0124415498316415,0.099532398653132,355,"estimated",
"skilled_recent_work_migration","graduate_or_technical_degree_share_among_recent_work_migrants","work_migrant_skill","core","recent_work_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",-0.000530059456368235,0.00133577452858737,-0.396818059503496,0.691752062215722,1,355,"estimated",
"skilled_recent_work_migration","graduate_or_technical_degree_share_among_recent_work_migrants","work_migrant_skill","core","recent_work_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",0.00018640161856111,0.000286084614322323,0.65156114390373,0.515127085564241,1,355,"estimated",
"skilled_recent_work_migration","graduate_or_technical_degree_share_among_recent_work_migrants","work_migrant_skill","core","recent_work_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",0.0129414139557311,0.00437414751611717,2.95861397176174,0.00332818402046229,0.0266254721636983,355,"estimated",
"skilled_recent_work_migration","graduate_or_technical_degree_share_among_recent_work_migrants","work_migrant_skill","core","recent_work_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",-0.00122558023482958,0.00194979909303903,-0.628567445335789,0.530095121752704,1,355,"estimated",
"skilled_recent_work_migration","graduate_or_technical_degree_share_among_recent_work_migrants","work_migrant_skill","core","recent_work_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",0.000201357036302154,0.000330705711457903,0.608870755253908,0.543056022892441,1,355,"estimated",
"technical_recent_work_migration","technical_credential_share_among_recent_work_migrants","work_migrant_skill","secondary","recent_work_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",-1.24472136261657e-05,0.00300664635676501,-0.0041398994591297,0.996699289854712,1,355,"estimated",
"technical_recent_work_migration","technical_credential_share_among_recent_work_migrants","work_migrant_skill","secondary","recent_work_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",0.00073205615959283,0.000937042932443888,0.781240788704916,0.435207735734213,1,355,"estimated",
"technical_recent_work_migration","technical_credential_share_among_recent_work_migrants","work_migrant_skill","secondary","recent_work_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",-4.60541118696728e-06,0.000142849094245583,-0.0322396947022273,0.974299929932764,1,355,"estimated",
"technical_recent_work_migration","technical_credential_share_among_recent_work_migrants","work_migrant_skill","secondary","recent_work_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",0.00393201168659852,0.00188944563860044,2.08103985966543,0.038250854144004,0.229505124864024,355,"estimated",
"technical_recent_work_migration","technical_credential_share_among_recent_work_migrants","work_migrant_skill","secondary","recent_work_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",-4.77188627151503e-05,0.000822739588788798,-0.0579999593618681,0.953786028725219,1,355,"estimated",
"technical_recent_work_migration","technical_credential_share_among_recent_work_migrants","work_migrant_skill","secondary","recent_work_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",6.39576426980404e-05,0.000153713888479863,0.41608239392382,0.677637615317793,1,355,"estimated",
