"outcome_id","source_id","variable","construct_id","label","unit","mechanism_family","tier","denominator"
"interstate_migrant_composition","d02","interstate_share_among_migrants","interstate_share_among_migrants","Interstate share among migrants","share","geographic_sorting","core","all_migrants"
"work_migration_reason","d03","work_employment_share_among_migrants","work_employment_share_among_migrants","Work/employment share among migrants","share","migration_reason","core","all_migrants"
"education_migration_reason","d03","education_share_among_migrants","education_share_among_migrants","Education share among migrants","share","migration_reason","core","all_migrants"
"skilled_migrant_composition","d04","graduate_or_technical_degree_share_among_migrants","graduate_or_technical_degree_share_among_migrants","Graduate or technical-degree share among migrants","share","migrant_skill","core","all_migrants"
"technical_migrant_composition","d04","technical_credential_share_among_migrants","technical_credential_share_among_migrants","Technical-credential share among migrants","share","migrant_skill","secondary","all_migrants"
"outside_state_recent_work_migration","d07","outside_state_share_among_recent_work_migrants","outside_state_share_among_recent_work_migrants","Outside-state share among recent work migrants","share","work_migrant_sorting","core","recent_work_migrants"
"skilled_recent_work_migration","d07","graduate_or_technical_degree_share_among_recent_work_migrants","graduate_or_technical_degree_share_among_recent_work_migrants","Graduate or technical-degree share among recent work migrants","share","work_migrant_skill","core","recent_work_migrants"
"technical_recent_work_migration","d07","technical_credential_share_among_recent_work_migrants","technical_credential_share_among_recent_work_migrants","Technical-credential share among recent work migrants","share","work_migrant_skill","secondary","recent_work_migrants"
