"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","population_total_2011","census_year"
"pc2001__09__69",1,"09/199",TRUE,2496970,2011
"pc2001__09__70",1,"09/200",TRUE,1862559,2011
"pc2001__10__01",1,"10/203",TRUE,3935042,2011
"pc2001__10__02",1,"10/204",TRUE,5099371,2011
"pc2001__10__03",1,"10/205",TRUE,656246,2011
"pc2001__10__04",1,"10/206",TRUE,3423574,2011
"pc2001__10__05",1,"10/207",TRUE,4487379,2011
"pc2001__10__06",1,"10/208",TRUE,2229076,2011
"pc2001__10__08",1,"10/210",TRUE,1690400,2011
"pc2001__10__09",1,"10/211",TRUE,3264619,2011
"pc2001__10__11",1,"10/213",TRUE,2001762,2011
"pc2001__10__12",1,"10/214",TRUE,1900661,2011
"pc2001__10__14",1,"10/216",TRUE,4801062,2011
"pc2001__10__15",1,"10/217",TRUE,2562012,2011
"pc2001__10__16",1,"10/218",TRUE,3330464,2011
"pc2001__10__17",1,"10/219",TRUE,3951862,2011
"pc2001__10__19",1,"10/221",TRUE,4261566,2011
"pc2001__10__20",1,"10/222",TRUE,2970541,2011
"pc2001__10__21",1,"10/223",TRUE,1666886,2011
"pc2001__10__23",1,"10/225",TRUE,2034763,2011
"pc2001__10__24",1,"10/226",TRUE,1367765,2011
"pc2001__10__25",1,"10/227",TRUE,1000912,2011
"pc2001__10__26",1,"10/228",TRUE,636342,2011
"pc2001__10__27",1,"10/229",TRUE,2877653,2011
"pc2001__10__28",1,"10/230",TRUE,5838465,2011
"pc2001__10__30",1,"10/232",TRUE,1706352,2011
"pc2001__10__31",1,"10/233",TRUE,1626384,2011
"pc2001__10__32",1,"10/234",TRUE,2959918,2011
"pc2001__10__35",1,"10/236",TRUE,4391418,2011
"pc2001__10__36",1,"10/237",TRUE,2219146,2011
"pc2001__10__37",1,"10/238",TRUE,1760405,2011
"pc2001__11__03",1,"11/243",TRUE,146850,2011
"pc2001__11__04",1,"11/244",TRUE,283583,2011
"pc2001__12__01",1,"12/245",TRUE,49977,2011
"pc2001__12__09",1,"12/252",TRUE,35320,2011
"pc2001__12__10",2,"12/257;12/258",TRUE,62084,2011
"pc2001__12__12",1,"12/253",TRUE,148226,2011
"pc2001__12__13",1,"12/254",TRUE,111975,2011
"pc2001__13__01",1,"13/261",TRUE,250260,2011
"pc2001__13__03",1,"13/262",TRUE,194622,2011
"pc2001__13__04",1,"13/263",TRUE,140757,2011
"pc2001__13__05",1,"13/264",TRUE,166343,2011
"pc2001__14__04",1,"14/275",TRUE,237399,2011
"pc2001__14__05",1,"14/276",TRUE,422168,2011
"pc2001__14__06",1,"14/277",TRUE,517992,2011
"pc2001__14__08",1,"14/279",TRUE,183998,2011
"pc2001__15__01",1,"15/281",TRUE,86364,2011
"pc2001__15__02",1,"15/282",TRUE,83955,2011
"pc2001__15__07",1,"15/287",TRUE,117894,2011
"pc2001__16__01",1,"16/289",TRUE,1725739,2011
"pc2001__16__02",1,"16/290",TRUE,876001,2011
"pc2001__16__03",1,"16/291",TRUE,378230,2011
"pc2001__16__04",1,"16/292",TRUE,693947,2011
"pc2001__17__03",1,"17/295",TRUE,142334,2011
"pc2001__17__05",1,"17/297",TRUE,258840,2011
"pc2001__17__06",1,"17/298",TRUE,825922,2011
"pc2001__18__03",1,"18/302",TRUE,1008183,2011
"pc2001__18__13",1,"18/308",TRUE,686133,2011
"pc2001__18__14",1,"18/309",TRUE,1327929,2011
"pc2001__18__15",1,"18/310",TRUE,1326335,2011
"pc2001__19__07",1,"19/333",TRUE,7103807,2011
"pc2001__19__08",1,"19/334",TRUE,3498925,2011
"pc2001__19__13",1,"19/339",TRUE,3596674,2011
"pc2001__19__14",1,"19/340",TRUE,2930115,2011
"pc2001__19__16",1,"19/341",TRUE,4850029,2011
"pc2001__19__17",1,"19/342",TRUE,4496694,2011
"pc2001__20__01",1,"20/346",TRUE,1322784,2011
"pc2001__20__02",2,"20/358;20/359",TRUE,2666847,2011
"pc2001__20__03",1,"20/347",TRUE,1042886,2011
"pc2001__20__04",2,"20/360;20/361",TRUE,2683938,2011
"pc2001__20__05",1,"20/348",TRUE,716259,2011
"pc2001__20__06",1,"20/349",TRUE,2445474,2011
"pc2001__20__07",1,"20/350",TRUE,1492073,2011
"pc2001__20__08",1,"20/351",TRUE,1313551,2011
"pc2001__20__09",1,"20/352",TRUE,1150567,2011
"pc2001__20__10",1,"20/353",TRUE,900422,2011
"pc2001__20__11",2,"20/362;20/363",TRUE,2112484,2011
"pc2001__20__12",1,"20/354",TRUE,2684487,2011
"pc2001__20__13",1,"20/355",TRUE,2062330,2011
"pc2001__20__14",2,"20/364;20/365",TRUE,3446138,2011
"pc2001__20__15",1,"20/356",TRUE,461790,2011
"pc2001__20__16",2,"20/366;20/367",TRUE,1624791,2011
"pc2001__20__17",2,"20/368;20/369",TRUE,2567394,2011
"pc2001__20__18",1,"20/357",TRUE,2293919,2011
"pc2001__21__02",1,"21/371",TRUE,579505,2011
"pc2001__21__03",1,"21/372",TRUE,1041099,2011
"pc2001__21__07",1,"21/376",TRUE,2519738,2011
"pc2001__21__09",1,"21/378",TRUE,1506337,2011
"pc2001__21__14",1,"21/383",TRUE,1192811,2011
"pc2001__21__17",1,"21/386",TRUE,2251673,2011
"pc2001__21__18",1,"21/387",TRUE,1698730,2011
"pc2001__21__19",1,"21/388",TRUE,3529031,2011
"pc2001__21__20",1,"21/389",TRUE,577817,2011
"pc2001__21__22",1,"21/391",TRUE,441162,2011
"pc2001__21__24",1,"21/393",TRUE,1648997,2011
"pc2001__21__25",1,"21/394",TRUE,610382,2011
"pc2001__21__26",1,"21/395",TRUE,1576869,2011
"pc2001__21__28",1,"21/397",TRUE,1220946,2011
"pc2001__21__30",1,"21/399",TRUE,613192,2011
"pc2001__22__03",1,"22/402",TRUE,851669,2011
"pc2001__22__05",1,"22/404",TRUE,1206640,2011
"pc2001__22__10",1,"22/409",TRUE,3343872,2011
"pc2001__22__11",1,"22/410",TRUE,4063872,2011
"pc2001__22__12",1,"22/411",TRUE,1032754,2011
"pc2001__22__13",1,"22/412",TRUE,799781,2011
"pc2001__23__01",1,"23/418",TRUE,687861,2011
"pc2001__23__02",1,"23/419",TRUE,1965970,2011
"pc2001__23__03",1,"23/420",TRUE,1703005,2011
"pc2001__23__04",1,"23/421",TRUE,2032036,2011
"pc2001__23__07",2,"23/458;23/459",TRUE,2086590,2011
"pc2001__23__09",1,"23/425",TRUE,1762375,2011
"pc2001__23__10",1,"23/426",TRUE,1016520,2011
"pc2001__23__11",1,"23/427",TRUE,2378458,2011
"pc2001__23__12",1,"23/428",TRUE,1264219,2011
"pc2001__23__15",1,"23/431",TRUE,644758,2011
"pc2001__23__16",2,"23/460;23/461",TRUE,1815300,2011
"pc2001__23__18",1,"23/432",TRUE,826067,2011
"pc2001__23__19",1,"23/433",TRUE,1340411,2011
"pc2001__23__20",1,"23/434",TRUE,1455069,2011
"pc2001__23__21",1,"23/435",TRUE,1986864,2011
"pc2001__23__23",1,"23/437",TRUE,1563715,2011
"pc2001__23__24",2,"23/464;23/465",TRUE,1754047,2011
"pc2001__23__25",1,"23/438",TRUE,2185793,2011
"pc2001__23__26",1,"23/439",TRUE,3276697,2011
"pc2001__23__28",1,"23/441",TRUE,1385881,2011
"pc2001__23__30",1,"23/442",TRUE,1545814,2011
"pc2001__23__31",1,"23/443",TRUE,1458875,2011
"pc2001__23__32",1,"23/444",TRUE,2371061,2011
"pc2001__23__33",1,"23/445",TRUE,1311332,2011
"pc2001__23__34",1,"23/446",TRUE,1331597,2011
"pc2001__23__35",1,"23/447",TRUE,1575362,2011
"pc2001__23__36",1,"23/448",TRUE,570465,2011
"pc2001__23__38",1,"23/450",TRUE,1292042,2011
"pc2001__23__39",1,"23/451",TRUE,2463289,2011
"pc2001__23__41",1,"23/453",TRUE,704524,2011
"pc2001__23__42",1,"23/454",TRUE,1054905,2011
"pc2001__23__44",1,"23/456",TRUE,1379131,2011
"pc2001__23__45",1,"23/457",TRUE,1701698,2011
"pc2001__24__01",1,"24/468",TRUE,2092371,2011
"pc2001__24__03",1,"24/470",TRUE,1343734,2011
"pc2001__24__04",1,"24/471",TRUE,2035064,2011
"pc2001__24__07",1,"24/474",TRUE,7214225,2011
"pc2001__24__08",1,"24/475",TRUE,1756268,2011
"pc2001__24__09",1,"24/476",TRUE,3804558,2011
"pc2001__24__11",1,"24/478",TRUE,585449,2011
"pc2001__24__13",1,"24/480",TRUE,1514190,2011
"pc2001__24__14",1,"24/481",TRUE,2880365,2011
"pc2001__24__15",1,"24/482",TRUE,2092745,2011
"pc2001__24__17",1,"24/484",TRUE,2390776,2011
"pc2001__24__18",1,"24/485",TRUE,2127086,2011
"pc2001__24__20",1,"24/487",TRUE,590297,2011
"pc2001__24__21",1,"24/488",TRUE,1551019,2011
"pc2001__24__23",1,"24/489",TRUE,228291,2011
"pc2001__24__24",1,"24/490",TRUE,1329672,2011
"pc2001__24__25",1,"24/491",TRUE,1705678,2011
"pc2001__25__01",1,"25/494",TRUE,52074,2011
"pc2001__25__02",1,"25/495",TRUE,191173,2011
"pc2001__26__01",1,"26/496",TRUE,343709,2011
"pc2001__27__01",1,"27/497",TRUE,1648295,2011
"pc2001__27__02",1,"27/498",TRUE,2050862,2011
"pc2001__27__04",1,"27/500",TRUE,2586258,2011
"pc2001__27__05",1,"27/501",TRUE,1813906,2011
"pc2001__27__06",1,"27/502",TRUE,1197160,2011
"pc2001__27__07",1,"27/503",TRUE,2888445,2011
"pc2001__27__08",1,"27/504",TRUE,1300774,2011
"pc2001__27__09",1,"27/505",TRUE,4653570,2011
"pc2001__27__10",1,"27/506",TRUE,1200334,2011
"pc2001__27__11",1,"27/507",TRUE,1322507,2011
"pc2001__27__12",1,"27/508",TRUE,1072942,2011
"pc2001__27__13",1,"27/509",TRUE,2204307,2011
"pc2001__27__14",1,"27/510",TRUE,2772348,2011
"pc2001__27__15",1,"27/511",TRUE,3361292,2011
"pc2001__27__16",1,"27/512",TRUE,1177345,2011
"pc2001__27__17",1,"27/513",TRUE,1836086,2011
"pc2001__27__20",1,"27/516",TRUE,6107187,2011
"pc2001__27__22",1,"27/518",TRUE,9356962,2011
"pc2001__27__23",1,"27/519",TRUE,3085411,2011
"pc2001__27__24",1,"27/520",TRUE,2634200,2011
"pc2001__27__25",1,"27/521",TRUE,9429408,2011
"pc2001__27__27",1,"27/523",TRUE,2585049,2011
"pc2001__27__31",1,"27/527",TRUE,3003741,2011
"pc2001__27__32",1,"27/528",TRUE,1615069,2011
"pc2001__27__33",1,"27/529",TRUE,849651,2011
"pc2001__27__34",1,"27/530",TRUE,3876001,2011
"pc2001__27__35",1,"27/531",TRUE,2822143,2011
"pc2001__28__01",1,"28/532",TRUE,2741239,2011
"pc2001__28__02",1,"28/533",TRUE,2551335,2011
"pc2001__28__03",1,"28/534",TRUE,3776269,2011
"pc2001__28__04",1,"28/535",TRUE,3033288,2011
"pc2001__28__05",1,"28/536",TRUE,3943323,2011
"pc2001__28__06",1,"28/537",TRUE,5296741,2011
"pc2001__28__07",1,"28/538",TRUE,4053028,2011
"pc2001__28__08",1,"28/539",TRUE,3488809,2011
"pc2001__28__09",1,"28/540",TRUE,3512576,2011
"pc2001__28__10",1,"28/541",TRUE,2797370,2011
"pc2001__28__11",1,"28/542",TRUE,2703114,2011
"pc2001__28__12",1,"28/543",TRUE,2344474,2011
"pc2001__28__13",1,"28/544",TRUE,4290589,2011
"pc2001__28__14",1,"28/545",TRUE,5154296,2011
"pc2001__28__15",1,"28/546",TRUE,3936966,2011
"pc2001__28__16",1,"28/547",TRUE,4517398,2011
"pc2001__28__17",1,"28/548",TRUE,4887813,2011
"pc2001__28__18",1,"28/549",TRUE,3397448,2011
"pc2001__28__19",1,"28/550",TRUE,2963557,2011
"pc2001__28__20",1,"28/551",TRUE,2882469,2011
"pc2001__28__21",1,"28/552",TRUE,4053463,2011
"pc2001__28__22",1,"28/553",TRUE,4081148,2011
"pc2001__28__23",1,"28/554",TRUE,4174064,2011
"pc2001__29__02",1,"29/556",TRUE,1889752,2011
"pc2001__29__05",1,"29/558",TRUE,1703300,2011
"pc2001__29__06",1,"29/559",TRUE,1928812,2011
"pc2001__29__07",1,"29/560",TRUE,1389920,2011
"pc2001__29__08",1,"29/561",TRUE,1064570,2011
"pc2001__29__09",1,"29/562",TRUE,1847023,2011
"pc2001__29__11",1,"29/564",TRUE,1597668,2011
"pc2001__29__13",1,"29/566",TRUE,1659456,2011
"pc2001__29__16",1,"29/569",TRUE,1177361,2011
"pc2001__29__20",1,"29/572",TRUE,9621551,2011
"pc2001__29__22",1,"29/573",TRUE,1805769,2011
"pc2001__29__23",1,"29/574",TRUE,1776421,2011
"pc2001__29__24",1,"29/575",TRUE,2089649,2011
"pc2001__29__25",1,"29/576",TRUE,554519,2011
"pc2001__30__01",1,"30/585",TRUE,818008,2011
"pc2001__31__01",1,"31/587",TRUE,64473,2011
"pc2001__32__01",1,"32/588",TRUE,1307375,2011
"pc2001__32__02",1,"32/589",TRUE,2523003,2011
