"target_unit_2001","state_code_2001","district_code_2001","in_iv_panel","in_iv_design_support","all_mechanism_outcomes_complete","in_common_analysis","exclusion_reason"
"pc2001__09__43","09","43",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__48","09","48",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__50","09","50",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__52","09","52",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__53","09","53",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__55","09","55",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__60","09","60",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__61","09","61",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__62","09","62",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__63","09","63",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__64","09","64",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__65","09","65",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__66","09","66",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__67","09","67",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__69","09","69",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__09__70","09","70",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__01","10","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__02","10","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__03","10","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__04","10","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__05","10","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__06","10","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__08","10","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__09","10","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__11","10","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__12","10","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__14","10","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__15","10","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__16","10","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__17","10","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__19","10","19",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__20","10","20",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__21","10","21",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__23","10","23",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__24","10","24",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__25","10","25",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__26","10","26",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__27","10","27",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__28","10","28",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__30","10","30",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__31","10","31",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__32","10","32",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__35","10","35",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__36","10","36",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__10__37","10","37",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__11__03","11","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__11__04","11","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__01","12","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__09","12","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__10","12","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__12","12","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__12__13","12","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__13__01","13","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__13__03","13","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__13__04","13","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__13__05","13","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__14__04","14","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__14__05","14","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__14__06","14","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__14__08","14","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__15__01","15","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__15__02","15","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__15__07","15","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__16__01","16","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__16__02","16","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__16__03","16","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__16__04","16","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__17__03","17","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__17__05","17","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__17__06","17","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__03","18","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__13","18","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__14","18","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__15","18","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__07","19","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__08","19","08",TRUE,TRUE,TRUE,TRUE,"included"
