"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","migrants_recent_0_9","migrants_within_state_outside_place","migrants_within_district","migrants_other_district_same_state","migrants_interstate","migrants_outside_india","population_total_2011","census_year","migrant_stock_share_population","recent_0_9_migrant_share_population","interdistrict_migrant_share_population","interstate_migrant_share_population","recent_0_9_share_among_migrants","within_district_share_among_migrants","other_district_same_state_share_among_migrants","interstate_share_among_migrants","outside_india_share_among_migrants"
"pc2001__01__01",1,"Kupwara",TRUE,116221,31196,114164,103741,10423,1266,791,870354,2011,0.133533022195566,0.0358428869172773,0.0134301674950652,0.00145458054998311,0.268419648772597,0.892618373615784,0.0896825874841896,0.0108930399841681,0.00680599891585858
"pc2001__01__06",2,"Anantnag;Kulgam",TRUE,253522,86009,249044,202684,46360,3031,1430,1503175,2011,0.168657674588787,0.0572182214313037,0.0328577843564455,0.00201639862291483,0.339256553671871,0.799473024037362,0.182863814580194,0.0119555699308147,0.00564053612704223
"pc2001__01__07",1,"Leh(Ladakh)",TRUE,33924,10423,30245,27686,2559,2108,1562,133487,2011,0.254137106984201,0.0780825099073318,0.0349622060575187,0.015791799950557,0.307245607829265,0.816118382266242,0.075433321542271,0.0621388987147742,0.0460440985732815
"pc2001__01__08",1,"Kargil",TRUE,20802,6165,20375,19345,1030,181,245,140802,2011,0.147739378702007,0.0437848894191844,0.00860073010326558,0.00128549310379114,0.296365734064032,0.929958657821363,0.0495144697625228,0.00870108643399673,0.0117777136813768
"pc2001__01__11",1,"Punch",TRUE,65531,17827,63464,59252,4212,1106,945,476835,2011,0.137429089727054,0.0373860979164701,0.0111527048140342,0.00231946061006428,0.272039187560086,0.904182753200775,0.0642749233187346,0.0168775083548244,0.014420655872793
"pc2001__02__01",1,"Chamba",TRUE,160035,52521,146083,134899,11184,12243,1533,519080,2011,0.308305078215304,0.101180935501271,0.0451317715959004,0.0235859597749865,0.328184459649452,0.842934358109164,0.0698847127190927,0.0765020151841785,0.00957915455994001
"pc2001__02__02",1,"Kangra",TRUE,589935,181737,497009,449511,47498,84536,4042,1510075,2011,0.390666026521861,0.120349651507375,0.0874353922818403,0.0559813254308561,0.308062752676142,0.761966996364006,0.0805139549272377,0.143297142905574,0.00685160229516811
"pc2001__02__04",1,"Kullu",TRUE,151504,55575,131089,98851,32238,12733,7188,437903,2011,0.34597616367095,0.126911667652425,0.102696259217224,0.0290772157304243,0.36682199809906,0.652464621396135,0.212786461083536,0.0840439856373429,0.0474442918998838
"pc2001__02__06",1,"Hamirpur",TRUE,195857,58052,179310,139183,40127,15456,1042,454768,2011,0.430674541744362,0.127651901628962,0.122222759736833,0.0339865601801358,0.296399924434664,0.710635821032692,0.204879069933676,0.0789147183914795,0.00532020811101977
"pc2001__02__09",1,"Solan",TRUE,258650,116447,166431,126054,40377,84684,7207,580320,2011,0.445702371105597,0.200659980700303,0.215503515301902,0.145926385442514,0.450210709452929,0.487353566595786,0.156106707906437,0.327407693794703,0.0278639087570075
"pc2001__02__10",1,"Sirmaur",TRUE,177191,64211,132004,118328,13676,41477,3216,529855,2011,0.334414132168235,0.12118598484491,0.104090741806721,0.0782799067669457,0.36238296527476,0.667799154584601,0.0771822496627933,0.234080737734987,0.0181499060336022
"pc2001__02__12",1,"Kinnaur",TRUE,33858,19636,23220,17016,6204,6789,3836,84121,2011,0.402491648934273,0.233425660655484,0.154456081121242,0.0807051746888411,0.579951562407703,0.502569555201134,0.183235867446394,0.200513911040227,0.113296709787938
"pc2001__03__03",1,"Kapurthala",TRUE,411079,104088,334288,156674,177614,64296,12458,815168,2011,0.504287459762895,0.127689016251865,0.296760913087854,0.0788745387453875,0.253206804531489,0.381128688159697,0.432067802052647,0.156407892400244,0.0303056103571333
"pc2001__03__04",1,"Jalandhar",TRUE,1079124,311712,836105,509565,326540,203905,38904,2193590,2011,0.491944255763383,0.142101304254669,0.241815927315497,0.0929549277668115,0.288856516952639,0.472202453100848,0.302597291877486,0.188954188767927,0.0360514639652162
"pc2001__03__08",1,"Fatehgarh Sahib",TRUE,353009,97443,282491,124985,157506,64176,6305,600163,2011,0.588188542112726,0.162360891957685,0.369369654577173,0.106930950425135,0.276035455186695,0.354056128880567,0.446181258834761,0.181797064664074,0.0178607344288673
"pc2001__03__10",1,"Moga",TRUE,557354,118189,517341,300586,216755,32324,7653,995746,2011,0.559735113171431,0.118693923952494,0.25014310878477,0.0324620937467989,0.212053739634057,0.53930894907007,0.38890005274924,0.0579954571062556,0.0137309501681158
"pc2001__03__12",1,"Muktsar",TRUE,390879,100304,319924,162254,157670,64461,6460,901896,2011,0.433396977035046,0.111214596804953,0.246293364201637,0.0714727640437478,0.256611381015608,0.415100325164565,0.403372910798482,0.164912927018336,0.016526853578729
"pc2001__03__13",1,"Faridkot",TRUE,304868,73939,271085,118289,152796,30149,3600,617508,2011,0.493706964120303,0.11973771999715,0.296263368247861,0.0488236589647422,0.242527913720036,0.388000708503352,0.501187399136676,0.0988919794796436,0.0118083892045082
