"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","migrants_illiterate","migrants_literate","migrants_literate_below_matric","migrants_matric_below_graduate","migrants_technical_diploma_below_degree","migrants_graduate_nontechnical","migrants_technical_degree","migrants_literate_education_not_classified","census_year","literate_share_among_migrants","graduate_or_technical_degree_share_among_migrants","technical_credential_share_among_migrants"
"pc2001__06__16",1,"Mahendragarh",TRUE,335147,154185,180962,101461,54027,1363,15549,3610,4952,2011,0.539948142158515,0.057165960011577,0.0148382650001343
"pc2001__06__17",1,"Rewari",TRUE,359654,134333,225321,111778,74569,2720,24218,5392,6644,2011,0.626493796815829,0.0823291274391498,0.0225550112052139
"pc2001__08__02",1,"Hanumangarh",TRUE,725683,370503,355180,220747,71069,1486,23812,5155,32911,2011,0.489442359818268,0.0399168783063679,0.00915137877006902
"pc2001__08__05",1,"Jhunjhunun",TRUE,715173,360682,354491,199909,84257,2267,34503,9684,23871,2011,0.495671676643274,0.0617850506101321,0.0167106420404573
"pc2001__08__17",1,"Barmer",TRUE,663717,479562,184155,127446,27160,792,9238,2260,17259,2011,0.277460122311166,0.0173236484827118,0.00459834537912996
"pc2001__08__18",1,"Jalor",TRUE,520975,384144,136831,97467,16938,516,5621,1432,14857,2011,0.26264408081002,0.0135380776428811,0.00373914295311675
"pc2001__08__19",1,"Sirohi",TRUE,321506,204192,117314,73623,22618,912,9827,1986,8348,2011,0.364888991185234,0.0367427046462585,0.00901382866882733
"pc2001__08__20",1,"Pali",TRUE,676970,404381,272589,182125,48173,959,19035,3543,18754,2011,0.402660383768852,0.0333515517674343,0.00665022083696471
"pc2001__08__23",1,"Bundi",TRUE,400307,246934,153373,103541,26167,836,12254,2461,8114,2011,0.383138441246343,0.0367592872470379,0.00823617873282256
"pc2001__08__27",1,"Dungarpur",TRUE,453175,294155,159020,105275,28557,1245,9409,3065,11469,2011,0.350901969437855,0.0275257902576267,0.00951067468417278
"pc2001__08__32",1,"Jhalawar",TRUE,485497,297863,187634,131714,28439,805,13729,2950,9997,2011,0.386478186270976,0.0343544862275153,0.00773434233373224
"pc2001__09__01",1,"Saharanpur",TRUE,930988,462437,468551,262092,109222,935,58290,7196,30816,2011,0.503283608381633,0.0703403266207513,0.00873373233596996
"pc2001__09__03",1,"Bijnor",TRUE,865866,481830,384036,212924,80366,704,46661,4993,38388,2011,0.443528213372508,0.0596558820879905,0.0065795400212042
"pc2001__09__05",1,"Rampur",TRUE,490595,351716,138879,76066,31415,333,17958,2023,11084,2011,0.283082787227754,0.0407280954759017,0.00480233186233044
"pc2001__09__08",1,"Baghpat",TRUE,352917,185394,167523,84968,48151,220,18184,2024,13976,2011,0.474681015649572,0.0572599223046779,0.00635843555283537
"pc2001__09__10",1,"Gautam Buddha Nagar",TRUE,848470,250217,598253,224341,157307,5765,129011,38921,42908,2011,0.705096232041204,0.197923320800971,0.052666564522022
"pc2001__09__11",1,"Bulandshahr",TRUE,961176,540092,421084,227006,116029,1066,50000,5894,21089,2011,0.438092503350063,0.0581516808576161,0.00724112961622013
"pc2001__09__12",1,"Aligarh",TRUE,1119225,585711,533514,264327,150334,2269,70692,11211,34681,2011,0.476681632379548,0.073178315352141,0.0120440483370189
"pc2001__09__14",1,"Mathura",TRUE,823035,412755,410280,199632,114536,1431,49851,6674,38156,2011,0.498496418742824,0.0686787317671788,0.00984769785003068
"pc2001__09__15",1,"Agra",TRUE,1324168,604799,719369,339573,193588,1528,104407,14641,65632,2011,0.543261126986908,0.0899040000966645,0.0122106862573329
"pc2001__09__16",1,"Firozabad",TRUE,746651,349165,397486,214020,110701,360,42010,4255,26140,2011,0.53235849145049,0.0619633536953677,0.00618093326065324
"pc2001__09__18",1,"Mainpuri",TRUE,501121,225699,275422,157902,71622,219,26082,2187,17410,2011,0.549611770410739,0.0564115253601426,0.00480123562971817
"pc2001__09__20",1,"Bareilly",TRUE,1154125,695688,458437,227582,102352,1429,65797,8427,52850,2011,0.397216072782411,0.0643119246182173,0.00853980288097043
"pc2001__09__21",1,"Pilibhit",TRUE,507796,324779,183017,118056,35248,172,17849,1628,10064,2011,0.360414418388487,0.0383559539657658,0.00354473056109146
"pc2001__09__22",1,"Shahjahanpur",TRUE,748473,468326,280147,173566,57326,351,27361,2334,19209,2011,0.374291390604604,0.0396741098209287,0.00358730375043589
"pc2001__09__24",1,"Sitapur",TRUE,1182024,745917,436107,285180,76346,277,39339,2681,32284,2011,0.368949361434286,0.0355491935865938,0.00250248725914195
"pc2001__09__25",1,"Hardoi",TRUE,925804,573650,352154,227993,68708,195,29595,1716,23947,2011,0.380376407965401,0.0338203334615102,0.00206415180751001
"pc2001__09__26",1,"Unnao",TRUE,906396,493100,413296,240162,95628,195,40773,2309,34229,2011,0.455977299105468,0.0475311011963866,0.00276258942007688
"pc2001__09__27",1,"Lucknow",TRUE,1851848,563986,1287862,469507,356442,10098,343034,51702,57079,2011,0.695446926529607,0.213157883368397,0.0333720694139044
"pc2001__09__28",1,"Rae Bareli",TRUE,946486,537523,408963,232344,100395,1012,46851,4065,24296,2011,0.432085630426652,0.0537947735095923,0.00536405187187132
"pc2001__09__29",1,"Farrukhabad",TRUE,489438,255696,233742,130423,56792,162,24822,2198,19345,2011,0.477572235911392,0.0552061752458943,0.00482185690526686
"pc2001__09__30",1,"Kannauj",TRUE,412480,203641,208839,124309,54134,97,19778,1661,8860,2011,0.506300911559348,0.0519758533747091,0.00426202482544608
"pc2001__09__31",1,"Etawah",TRUE,492784,190027,302757,165821,79009,451,37024,4043,16409,2011,0.614380742881262,0.0833367154777753,0.00911961427319069
"pc2001__09__32",1,"Auraiya",TRUE,405514,156552,248962,140432,67795,309,28758,2971,8697,2011,0.613941812119927,0.0782439077319155,0.00808850002712607
"pc2001__09__33",1,"Kanpur Dehat",TRUE,495926,221959,273967,153983,76758,139,26363,1801,14923,2011,0.552435242354706,0.0567907308751709,0.00391187394893593
"pc2001__09__34",1,"Kanpur Nagar",TRUE,1338424,407049,931375,386831,292559,3464,184887,21271,42363,2011,0.69587440153494,0.154030411887414,0.0184806907228203
"pc2001__09__35",1,"Jalaun",TRUE,537240,243017,294223,169203,74634,334,32465,3705,13882,2011,0.547656540838359,0.0673255900528628,0.00751805524532797
"pc2001__09__36",1,"Jhansi",TRUE,661711,285096,376615,206971,87448,2520,50523,7941,21212,2011,0.569153301063455,0.08835277031816,0.0158090163228358
