"specification_id","adjustment_id","construction_id","fixed_effect","tested_variable","n_excluded_instruments","excluded_instruments","estimate","std.error","p.value","standardized_effect","joint_f","joint_p","n","status","reason","p_holm_within_spec"
"region_main__nonzero_mean","region_main","nonzero_mean","region","migrant_stock_share_population",1,"ling_distance_nonzero_mean",-0.0109372179569523,0.00601738573048918,0.0696629275928697,-0.110547956482193,3.3036804246013,0.0696629275928697,573,"estimated",,0.276617412829576
"region_main__nonzero_mean","region_main","nonzero_mean","region","recent_0_9_migrant_share_population",1,"ling_distance_nonzero_mean",-0.00418645289013414,0.00393967501897581,0.288406948196633,-0.0719429317475889,1.12920195053988,0.288406948196633,573,"estimated",,0.576813896393266
"region_main__nonzero_mean","region_main","nonzero_mean","region","interdistrict_migrant_share_population",1,"ling_distance_nonzero_mean",-0.00900874519030398,0.00494732350858483,0.069154353207394,-0.104024264691036,3.31579739671865,0.069154353207394,573,"estimated",,0.276617412829576
"region_main__nonzero_mean","region_main","nonzero_mean","region","interstate_migrant_share_population",1,"ling_distance_nonzero_mean",0.00113777512007673,0.00606481996995924,0.851256743070503,0.0140249791207379,0.0351946814053324,0.851256743070503,573,"estimated",,0.851256743070503
"region_main__glottolog_mean","region_main","glottolog_mean","region","migrant_stock_share_population",1,"ling_distance_glottolog_nonhindi_mean",-0.00396726492229703,0.0018242681146427,0.0300722338488216,-0.151066777597575,4.72938935901158,0.0300722338488216,573,"estimated",,0.083905840613613
"region_main__glottolog_mean","region_main","glottolog_mean","region","recent_0_9_migrant_share_population",1,"ling_distance_glottolog_nonhindi_mean",-0.00251033862118849,0.00113924949228976,0.027968613537871,-0.162520497067943,4.85542139834079,0.027968613537871,573,"estimated",,0.083905840613613
"region_main__glottolog_mean","region_main","glottolog_mean","region","interdistrict_migrant_share_population",1,"ling_distance_glottolog_nonhindi_mean",-0.00382549650150387,0.00144767552597524,0.00846129866052047,-0.166414847551998,6.98285708257725,0.00846129866052047,573,"estimated",,0.0338451946420819
"region_main__glottolog_mean","region_main","glottolog_mean","region","interstate_migrant_share_population",1,"ling_distance_glottolog_nonhindi_mean",-0.00278540500051663,0.00129211759530216,0.0315362635367891,-0.129350482342517,4.64699944783764,0.0315362635367891,573,"estimated",,0.083905840613613
"region_main__dyen_noncognate","region_main","dyen_noncognate","region","migrant_stock_share_population",1,"ling_distance_dyen_noncognate_pct",-0.000867935742754288,0.000383663634144463,0.0240683007535067,-0.177004860018597,5.11768881457036,0.0240683007535067,573,"estimated",,0.0962732030140268
"region_main__dyen_noncognate","region_main","dyen_noncognate","region","recent_0_9_migrant_share_population",1,"ling_distance_dyen_noncognate_pct",-0.000462278383360665,0.000243494460827427,0.0581455060427061,-0.160287359438312,3.60436695638156,0.0581455060427061,573,"estimated",,0.117779382027861
"region_main__dyen_noncognate","region_main","dyen_noncognate","region","interdistrict_migrant_share_population",1,"ling_distance_dyen_noncognate_pct",-0.000716232925695475,0.000346620675747965,0.0392597940092871,-0.166870050986233,4.269722348855,0.0392597940092872,573,"estimated",,0.117779382027861
"region_main__dyen_noncognate","region_main","dyen_noncognate","region","interstate_migrant_share_population",1,"ling_distance_dyen_noncognate_pct",-0.000557245086120604,0.000294238196968691,0.0587627909868623,-0.138594438537186,3.58669455688631,0.0587627909868623,573,"estimated",,0.117779382027861
