"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","work_employment","business","education","marriage","moved_after_birth","moved_with_household","other_reason","recent_0_9_work_employment_within_india_classified_origin","census_year","work_employment_share_among_migrants","business_share_among_migrants","education_share_among_migrants","marriage_share_among_migrants","moved_after_birth_share_among_migrants","moved_with_household_share_among_migrants","other_reason_share_among_migrants"
"pc2001__01__01",1,"Kupwara",TRUE,116221,3404,494,3523,59246,4260,4358,40936,2361,2011,0.0292890269400539,0.00425052271104189,0.0303129382813777,0.509770179227506,0.0366543051599969,0.0374975262646165,0.352225501415407
"pc2001__01__06",2,"Anantnag;Kulgam",TRUE,253522,7642,1240,4237,165127,5074,22728,47474,5160,2011,0.0301433406173823,0.00489109426400865,0.0167125535456489,0.651332034300771,0.0200140421738547,0.0896490245422488,0.187257910556086
"pc2001__01__07",1,"Leh(Ladakh)",TRUE,33924,3140,664,1557,12122,184,5679,10578,1119,2011,0.0925598396415517,0.0195731635420351,0.0458967102935975,0.357328145265888,0.00542388869237118,0.167403608065087,0.311814644499469
"pc2001__01__08",1,"Kargil",TRUE,20802,1075,202,805,9941,62,2357,6360,551,2011,0.0516777232958369,0.00971060474954331,0.0386982020959523,0.477886741659456,0.00298048264589943,0.113306412844919,0.305739832708393
"pc2001__01__11",1,"Punch",TRUE,65531,2188,303,1432,29504,554,9866,21684,1086,2011,0.0333887778303398,0.0046237658512765,0.0218522531321054,0.450229662297233,0.00845401413071676,0.15055469930262,0.330896827455708
"pc2001__02__01",1,"Chamba",TRUE,160035,10108,365,1929,110805,2267,15085,19476,5428,2011,0.0631611834911113,0.0022807510857,0.0120536132720967,0.692379791920517,0.014165651263786,0.094260630487081,0.121698378479708
"pc2001__02__02",1,"Kangra",TRUE,589935,41636,1405,6035,367052,26379,72145,75283,19585,2011,0.070577266987041,0.00238161831388204,0.0102299405866748,0.622190580318171,0.0447150957308856,0.122293133989338,0.127612364074008
"pc2001__02__04",1,"Kullu",TRUE,151504,21159,1075,1539,82779,2433,24802,17717,8497,2011,0.139659678952371,0.00709552223043616,0.0101581476396663,0.546381613686767,0.0160589819410709,0.163705248706305,0.116940806843384
"pc2001__02__06",1,"Hamirpur",TRUE,195857,11417,530,3441,136528,4910,17549,21482,6045,2011,0.058292529753851,0.00270605594898319,0.0175689406046248,0.697080012458069,0.0250693107726556,0.0896010865069923,0.109682063954824
"pc2001__02__09",1,"Solan",TRUE,258650,52737,1317,4570,108547,9874,52996,28609,33952,2011,0.203893292093563,0.00509182292673497,0.0176686642180553,0.419667504349507,0.0381751401507829,0.204894645273536,0.110608930987821
"pc2001__02__10",1,"Sirmaur",TRUE,177191,20710,718,4394,102327,4766,24485,19791,11405,2011,0.1168795254838,0.00405212454357163,0.0247980992262587,0.577495470988933,0.0268975286555186,0.13818421928879,0.111693031813128
"pc2001__02__12",1,"Kinnaur",TRUE,33858,12394,199,956,11498,491,4593,3727,8219,2011,0.366058243251226,0.00587748833362868,0.0282355720952212,0.339594778191269,0.014501742571918,0.13565479354953,0.110077382007207
