"state_code","district_code","census_year","district_name","migrants_total","migrants_recent_0_9","migrants_within_state_outside_place","migrants_within_district","migrants_other_district_same_state","migrants_interstate","migrants_outside_india","population_total","target_unit_2001","migrant_stock_share_population","recent_0_9_migrant_share_population","interdistrict_migrant_share_population","interstate_migrant_share_population","recent_0_9_share_among_migrants","within_district_share_among_migrants","other_district_same_state_share_among_migrants","interstate_share_among_migrants","outside_india_share_among_migrants"
"01","01",2001,"Kupwara",67275,9255,66563,61567,4996,678,34,650393,"pc2001__01__01",0.103437460120266,0.0142298579474256,0.00872395613113917,0.00104244664379844,0.137569676700111,0.915154217762913,0.0742623560014864,0.0100780379041249,0.000505388331475288
"01","02",2001,"Baramula",97842,8970,95491,89002,6489,2327,24,1169780,"pc2001__01__02",0.0836413684624459,0.00766810853322847,0.00753645984715075,0.00198926293833028,0.0916784203102962,0.909650252447824,0.0663212117495554,0.0237832423703522,0.000245293432268351
"01","03",2001,"Srinagar",153534,25750,144923,114714,30209,8384,227,1241249,"pc2001__01__03",0.123693151011602,0.0207452332287881,0.0310920693591697,0.00675448681126833,0.1677152943322,0.747156981515495,0.196757721416755,0.0546067971915016,0.00147849987624891
"01","04",2001,"Badgam",83088,11525,79908,67490,12418,3144,36,590507,"pc2001__01__04",0.140706206700344,0.0195171268079803,0.0263536249358602,0.00532423832401648,0.138708357404198,0.812271326786058,0.149455998459465,0.0378393991912189,0.000433275563258232
"01","05",2001,"Pulwama",122325,13376,121159,109628,11531,1158,8,652607,"pc2001__01__05",0.187440526994041,0.0204962557864074,0.0194435548500093,0.00177442166571918,0.109348048232168,0.896202738606172,0.0942652769262211,0.00946658491722869,6.53995503780912e-05
"01","06",2001,"Anantnag",184940,27272,181207,160815,20392,3699,34,1172434,"pc2001__01__06",0.157740222477342,0.0232610108543423,0.0205478517340848,0.00315497503484205,0.147464042392127,0.86955228722829,0.110262787931221,0.0200010814318157,0.000183843408673083
"01","07",2001,"Leh (Ladakh)",23588,8780,12834,9806,3028,7819,2935,117232,"pc2001__01__07",0.201207861334789,0.0748942268322642,0.0925259314862836,0.0666968063327419,0.372223164320841,0.415719857554689,0.128370357809055,0.331482109547227,0.124427675089028
"01","08",2001,"Kargil",16586,7706,14377,12413,1964,1664,545,119307,"pc2001__01__08",0.139019504304022,0.0645896720225972,0.0304089449906544,0.0139472118148977,0.464608706137706,0.748402266972145,0.118413119498372,0.100325575786808,0.0328590377426745
"01","09",2001,"Doda",91213,33837,89160,82573,6587,1970,83,691929,"pc2001__01__09",0.131824218958882,0.0489024162883764,0.0123668757921694,0.00284711292632626,0.370966857794393,0.905276660125201,0.0722155833050113,0.0215977985594159,0.000909958010371329
"01","10",2001,"Udhampur",170754,60942,154978,127566,27412,15333,443,743509,"pc2001__01__10",0.229659627523002,0.0819653830686649,0.0574908978909469,0.020622480696266,0.356899399135599,0.747074739098352,0.16053503871066,0.0897958466565937,0.00259437553439451
"01","11",2001,"Punch",25614,10601,24870,22754,2116,597,147,372613,"pc2001__01__11",0.0687415629621081,0.0284504298025029,0.00728101273975948,0.00160219852769495,0.413875224486609,0.888342312797689,0.0826110720699617,0.0233075661747482,0.00573904895760131
"01","12",2001,"Rajauri",45922,14080,40172,31321,8851,2106,3644,483284,"pc2001__01__12",0.095020733150694,0.029134008160833,0.0226719692768641,0.00435768616382914,0.30660685510213,0.68204782021689,0.192739863246374,0.0458603719350203,0.079351944601716
"01","13",2001,"Jammu",567264,181099,466589,328179,138410,87246,13427,1588772,"pc2001__01__13",0.357045567268305,0.113986777209065,0.142031707507433,0.0549141097652778,0.319249943588876,0.5785295735319,0.243995740960117,0.153801404636994,0.0236697551757207
"01","14",2001,"Kathua",155812,51036,132777,109583,23194,21878,1157,550084,"pc2001__01__14",0.283251285258251,0.0927785574566793,0.0819365769591553,0.0397721075326677,0.327548584191205,0.703302698123379,0.148858881215824,0.140412805175468,0.00742561548532847
"02","01",2001,"Chamba",128739,50141,113986,102138,11848,13290,1463,460887,"pc2001__02__01",0.279328772562472,0.108792393797178,0.0545426536222545,0.0288357015927982,0.389477935978996,0.793372637662247,0.0920311638275891,0.103232120802554,0.01136407770761
"02","02",2001,"Kangra",503932,165699,433148,383800,49348,63624,7160,1339030,"pc2001__02__02",0.376341082724061,0.123745547149802,0.0843685354323652,0.0475149921958433,0.328812220696443,0.761610693506267,0.097925910638737,0.126255129660351,0.0142082661946453
"02","03",2001,"Lahul & Spiti",12711,7295,9665,7190,2475,801,2245,33224,"pc2001__02__03",0.382584878401156,0.219570190223935,0.0986034192150253,0.0241090777751023,0.573912359373771,0.565651797655574,0.194713240500354,0.0630162851073873,0.176618676736685
"02","04",2001,"Kullu",103664,44998,89856,63031,26825,9081,4727,381571,"pc2001__02__04",0.271676830786407,0.117928249264226,0.094100442643702,0.0237989784338957,0.434075474610279,0.608031717857694,0.258768714307764,0.0876003241240932,0.0455992437104491
"02","05",2001,"Mandi",286565,97185,268184,239806,28378,16091,2290,901344,"pc2001__02__05",0.317930778925693,0.107822318670785,0.0493363244221962,0.0178522295594135,0.339137717446304,0.83682934063825,0.0990281437021269,0.0561513094760351,0.00799120618358837
"02","06",2001,"Hamirpur",162807,53041,147626,121715,25911,14444,737,412700,"pc2001__02__06",0.394492367337049,0.128521928761812,0.0977828931427187,0.0349987884661982,0.325790660106752,0.747602990043426,0.159151633529271,0.0887185440429466,0.00452683238435694
"02","07",2001,"Una",174877,64076,126725,103998,22727,47184,968,448273,"pc2001__02__07",0.390112721488914,0.142939681845661,0.155956303413322,0.105257287411912,0.366406102574953,0.594692269423652,0.129959914682891,0.269812496783454,0.00553531911000303
"02","08",2001,"Bilaspur",114976,35431,73401,49076,24325,41057,518,340885,"pc2001__02__08",0.337286768264957,0.103938278305,0.191800753919944,0.12044237792804,0.308159963818536,0.426836905093237,0.211565892012246,0.3570919148344,0.00450528806011689
"02","09",2001,"Solan",228362,110467,150262,111758,38504,71395,6705,500557,"pc2001__02__09",0.456215775625953,0.220688153397116,0.219553417492913,0.142631108944636,0.483736348429248,0.489389653269808,0.168609488443787,0.312639581016106,0.0293612772702989
"02","10",2001,"Sirmaur",146747,55030,112015,101028,10987,31674,3058,458593,"pc2001__02__10",0.31999398159152,0.119997470523972,0.093025842086556,0.0690677790546301,0.37499914819383,0.688450189782415,0.0748703551009561,0.215840868978582,0.0208385861380471
"02","11",2001,"Shimla",299241,127098,247302,185738,61564,38340,13599,722502,"pc2001__02__11",0.414173247963327,0.175913699892872,0.138275049757648,0.0530655970502504,0.424734578483563,0.620697030152954,0.205733839948403,0.128124154109898,0.0454449757887455
"02","12",2001,"Kinnaur",29696,17920,22497,15878,6619,3853,3346,78334,"pc2001__02__12",0.379094646003013,0.228764010519059,0.133683968647075,0.049186815431358,0.603448275862069,0.534684806034483,0.222891971982759,0.129748114224138,0.112675107758621
"03","01",2001,"Gurdaspur",729824,177841,592839,493691,99148,91400,45585,2104011,"pc2001__03__01",0.346872711216814,0.0845247482071149,0.0905641653014172,0.0434408375241384,0.243676557635814,0.676452130924716,0.135851931424563,0.12523567325821,0.0624602643925111
"03","02",2001,"Amritsar",907849,205777,783519,663252,120267,98283,26047,3096077,"pc2001__03__02",0.293225588381684,0.0664637862688816,0.0705893296581448,0.0317443655309606,0.226664346163294,0.730575238833771,0.132474673651676,0.108259192883398,0.0286908946311556
"03","03",2001,"Kapurthala",309440,77755,248333,114921,133412,47024,14083,754521,"pc2001__03__03",0.410114496481874,0.103052135063173,0.239139798627209,0.0623229837207977,0.251276499482937,0.371383790072389,0.43114012409514,0.151964839710445,0.0455112461220269
"03","04",2001,"Jalandhar",756875,191817,588194,376563,211631,128745,39936,1962700,"pc2001__03__04",0.385629489988281,0.0977311866306618,0.17342232638712,0.0655958628420034,0.253432865400495,0.497523369116433,0.279611560693642,0.170100743187448,0.0527643270024773
"03","05",2001,"Hoshiarpur",547712,160043,433577,304811,128766,93356,20776,1480736,"pc2001__03__05",0.369891729518294,0.108083412573207,0.15000783394204,0.0630470252631124,0.292202836527226,0.556516928604814,0.235098007712082,0.170447242346343,0.0379323440056088
"03","06",2001,"Nawanshahr",212901,60720,183844,100105,83739,23450,5607,587468,"pc2001__03__06",0.362404420325873,0.103358821246434,0.182459299910804,0.0399170678232687,0.285202981667536,0.470195067190854,0.393323657474601,0.110145090910799,0.0263361844237462
"03","07",2001,"Rupnagar",528242,190697,342081,224561,117520,177779,8382,1116108,"pc2001__03__07",0.473289323255456,0.170858913295129,0.264579234267652,0.159284764556835,0.361003100851504,0.425110082121452,0.222473790421814,0.336548400165076,0.015867727291658
"03","08",2001,"Fatehgarh Sahib",224294,66875,176850,67209,109641,39983,7461,538041,"pc2001__03__08",0.416871576701404,0.124293501796332,0.278090331405971,0.0743121806702463,0.298157775063087,0.299646892025645,0.488827164346795,0.178261567407064,0.0332643762204963
"03","09",2001,"Ludhiana",1498228,447603,1015689,671449,344240,434158,48380,3032831,"pc2001__03__09",0.49400312777072,0.147585869440137,0.256657228839985,0.143152717708306,0.29875492915631,0.448162095488804,0.229764762105634,0.289780994614972,0.0322914803354363
"03","10",2001,"Moga",320052,72186,292742,159516,133226,20654,6656,894854,"pc2001__03__10",0.357658344266216,0.0806679078374796,0.171961012634463,0.0230808601179634,0.225544599002662,0.498406508942297,0.416263607163836,0.0645332633447065,0.0207966205491608
"03","11",2001,"Firozpur",571995,154189,425515,294757,130758,105627,40853,1746107,"pc2001__03__11",0.327583017535581,0.0883044395332016,0.135378301558839,0.060492856394253,0.269563545135884,0.515313945051967,0.228599900348779,0.184664201610154,0.0714219529890995
"03","12",2001,"Muktsar",273822,70278,222390,113575,108815,42916,8516,777493,"pc2001__03__12",0.352185807460646,0.090390524416297,0.195154168590585,0.0551979246115399,0.256655783684291,0.414776752781004,0.397393197040413,0.156729554235964,0.0311004959426197
