"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","main_workers","marginal_workers","marginal_workers_seeking_work","non_workers","non_workers_seeking_work","working_age_migrants_15_64","working_age_main_workers","working_age_marginal_workers","working_age_marginal_workers_seeking_work","working_age_non_workers","working_age_non_workers_seeking_work","census_year","main_worker_share_among_working_age_migrants","marginal_worker_share_among_working_age_migrants","non_worker_share_among_working_age_migrants","seeking_work_share_among_working_age_migrants","seeking_work_share_among_working_age_non_main"
"pc2001__24__18",1,"Dohad",TRUE,560837,138896,264627,66973,157314,9946,479435,132690,252836,65310,93909,9269,2011,0.276763273436441,0.527362416177375,0.195874310386184,0.155556019064107,0.215083130254221
"pc2001__24__20",1,"Narmada",TRUE,208822,60378,51454,14119,96990,5839,160075,56424,48104,13569,55547,5460,2011,0.352484772762767,0.30050913634234,0.347006090894893,0.118875527096673,0.183587230224503
"pc2001__24__21",1,"Bharuch",TRUE,818847,249349,59727,14795,509771,17797,592634,236294,54224,13619,302116,16269,2011,0.398718264561264,0.0914966066746086,0.509785128764128,0.0504324760307374,0.0838749508895998
"pc2001__24__23",1,"The Dangs",TRUE,72420,30655,16283,4129,25482,1191,54832,29267,15477,4002,10088,1098,2011,0.533757659760724,0.282262182667056,0.183980157572221,0.0930113802159323,0.199491492274594
"pc2001__24__24",1,"Navsari",TRUE,688321,229692,42448,8035,416181,17197,504876,219003,39435,7730,246438,16212,2011,0.433775818220712,0.0781082879756614,0.488115893803627,0.0474215450922603,0.083750476610243
"pc2001__24__25",1,"Valsad",TRUE,820773,277037,82519,18983,461217,21271,617331,265465,76914,18191,274952,19807,2011,0.430020523835673,0.124591183659981,0.445388292504345,0.0615520685013388,0.107989973455804
"pc2001__25__01",1,"Diu",TRUE,5066,1675,101,33,3290,221,4219,1643,97,32,2479,217,2011,0.389428774591135,0.0229912301493245,0.58757999525954,0.0590187248163072,0.0966614906832298
"pc2001__25__02",1,"Daman",TRUE,143526,84057,2915,602,56554,2550,115765,82820,2805,585,30140,2407,2011,0.71541484904764,0.0242301213665616,0.260355029585799,0.025845462790999,0.0908180300500835
"pc2001__26__01",1,"Dadra & Nagar Haveli",TRUE,188057,85904,15345,2158,86808,3850,148585,84640,14580,2048,49365,3700,2011,0.569640273244271,0.098125651983713,0.332234074772016,0.0386849278190934,0.0898897490030495
"pc2001__27__01",1,"Nandurbar",TRUE,658747,274583,62387,20100,321777,16000,466571,254484,56471,18768,155616,14696,2011,0.545434671250464,0.121034097704315,0.333531231045221,0.0717232746998849,0.157784305497272
"pc2001__27__02",1,"Dhule",TRUE,1055137,417827,67715,15980,569595,21308,720772,385059,59074,14715,276639,19104,2011,0.53423135193931,0.0819593435927034,0.383809304467987,0.04692052410471,0.100737832612976
"pc2001__27__04",1,"Buldana",TRUE,1187626,525238,62512,18982,599876,20649,842249,488940,56195,17890,297114,19224,2011,0.580517162976744,0.0667201742002662,0.352762662822989,0.0440653535949583,0.105046857000529
"pc2001__27__05",1,"Akola",TRUE,793721,299316,40524,14551,453881,19508,582606,278191,36697,13687,267718,18497,2011,0.477494224227008,0.0629876794952335,0.459518096277759,0.0552414496246177,0.105724093753593
"pc2001__27__06",1,"Washim",TRUE,493898,222714,36865,15816,234319,10368,361083,206896,33275,14837,120912,9605,2011,0.572987374094045,0.0921533276282738,0.334859298277681,0.0676908079305866,0.158521794963259
"pc2001__27__07",1,"Amravati",TRUE,1263301,442503,89921,35544,730877,42722,916256,410063,80692,33549,425501,40530,2011,0.447541953340551,0.0880670904201446,0.464390956239304,0.0808496751999441,0.146345366293094
"pc2001__27__08",1,"Wardha",TRUE,781501,297350,52364,20371,431787,28747,545172,276834,46948,19214,221390,27506,2011,0.50779203627479,0.0861159413909739,0.406092022334236,0.0856977247547563,0.174108773263571
"pc2001__27__09",1,"Nagpur",TRUE,2114895,816888,120130,48356,1177877,72300,1619878,776826,109565,46182,733487,68862,2011,0.479558337109338,0.067637809760982,0.45280385312968,0.0710201632468618,0.136461333345986
"pc2001__27__10",1,"Bhandara",TRUE,521793,190829,98791,51615,232173,21197,400815,180975,91941,49360,127899,19918,2011,0.451517533026459,0.229385127802103,0.319097339171438,0.172842832728316,0.315129184861718
"pc2001__27__11",1,"Gondiya",TRUE,526833,183882,121812,52675,221139,16407,419652,175009,114852,51109,129791,15585,2011,0.417033637394794,0.273683909525035,0.309282453080171,0.158926920400713,0.272617651026189
"pc2001__27__12",1,"Gadchiroli",TRUE,520849,196553,104575,55151,219721,19184,378423,182421,96266,52575,99736,17906,2011,0.482055794705924,0.254387286185036,0.263556919109039,0.186249250177711,0.359593269456434
"pc2001__27__13",1,"Chandrapur",TRUE,1173917,437584,149702,80608,586631,42196,866965,414014,137634,76659,315317,39511,2011,0.477544076173779,0.158753813591091,0.363702110235131,0.133996182083475,0.25647365829858
"pc2001__27__14",1,"Yavatmal",TRUE,1240500,557359,90527,35415,592614,31823,916849,517229,81788,33376,317832,29966,2011,0.564137606083445,0.0892055289366079,0.346656864979948,0.0690866216792514,0.158505580301286
"pc2001__27__15",1,"Nanded",TRUE,1180040,518073,94455,33498,567512,30911,921885,488581,86494,31464,346810,28570,2011,0.52998042055137,0.0938229822591755,0.376196597189454,0.0651209207222159,0.138549378727175
"pc2001__27__16",1,"Hingoli",TRUE,405335,208482,29328,8836,167525,6778,317397,194640,26859,8352,95898,6200,2011,0.613238310381006,0.0846227280031002,0.302138961615894,0.0458479443725051,0.118543138069519
"pc2001__27__17",1,"Parbhani",TRUE,669619,314553,37194,10186,317872,13788,515111,293522,33093,9357,188496,12542,2011,0.569822814888442,0.0642444055747208,0.365932779536838,0.0425131670649627,0.0988271078438009
"pc2001__27__20",1,"Nashik",TRUE,3434553,1473710,151563,38471,1809280,65808,2403178,1392679,136634,36621,873865,61725,2011,0.579515541503792,0.0568555471130312,0.363628911383177,0.0409233107160602,0.0973241932946
