"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","main_workers","marginal_workers","marginal_workers_seeking_work","non_workers","non_workers_seeking_work","working_age_migrants_15_64","working_age_main_workers","working_age_marginal_workers","working_age_marginal_workers_seeking_work","working_age_non_workers","working_age_non_workers_seeking_work","census_year","main_worker_share_among_working_age_migrants","marginal_worker_share_among_working_age_migrants","non_worker_share_among_working_age_migrants","seeking_work_share_among_working_age_migrants","seeking_work_share_among_working_age_non_main"
"pc2001__29__25",1,"Kodagu",TRUE,268606,123604,10449,1684,134553,6190,195166,116324,9447,1619,69395,5768,2011,0.596025947142433,0.0484049475830831,0.355569105274484,0.037849830400787,0.0936937165470181
"pc2001__30__01",1,"North Goa",TRUE,660094,203963,43626,19903,412505,57609,468371,195220,40378,19028,232773,54615,2011,0.416806335148846,0.0862094365364209,0.496984228314733,0.157232194136699,0.269605456322693
"pc2001__31__01",1,"Lakshadweep",TRUE,20401,6368,2202,1534,11831,3184,15199,6311,2167,1514,6721,3023,2011,0.415224685834594,0.142575169419041,0.442200144746365,0.298506480689519,0.510463546354635
"pc2001__32__01",1,"Kasaragod",TRUE,690774,170175,45932,19645,474667,74329,453386,162779,43853,19234,246754,70808,2011,0.359029612736167,0.0967233218493734,0.544247065414459,0.198598986294239,0.309841125643911
"pc2001__32__02",1,"Kannur",TRUE,1335216,317646,64285,29730,953285,173314,862953,303833,59786,28817,499334,165390,2011,0.352085223644857,0.0692807140133935,0.57863406234175,0.225049336406502,0.347344040635284
"pc2001__32__03",1,"Wayanad",TRUE,494943,137499,42045,19591,315399,55623,324863,129956,39746,19218,155161,52800,2011,0.400033244783186,0.122346958564072,0.477619796652743,0.221687295875492,0.369499299665995
"pc2001__32__04",1,"Kozhikode",TRUE,1799910,349214,108515,58470,1342181,274802,1196318,337448,103249,57173,755621,264973,2011,0.282072158071683,0.0863056478294233,0.631622194098893,0.269281244618906,0.375081211359111
"pc2001__32__05",1,"Malappuram",TRUE,1862730,257180,75990,41212,1529560,228696,1212731,249364,72201,40162,891166,218477,2011,0.205621856784398,0.0595358739901924,0.734842269225409,0.213269884252979,0.268474008347805
"pc2001__32__06",1,"Palakkad",TRUE,1389287,342174,75282,33175,971831,152774,938702,327659,70660,32282,540383,147707,2011,0.349055397772669,0.0752741551631934,0.575670447064138,0.191742427309199,0.294560284628087
"pc2001__32__07",1,"Thrissur",TRUE,1821649,449172,94134,42760,1278343,214148,1256415,432205,88459,41927,735751,208288,2011,0.343998599188962,0.0704058770390357,0.585595523772002,0.199149962392999,0.30358161148251
"pc2001__32__08",1,"Ernakulam",TRUE,1837383,513662,104353,49145,1219368,216604,1293701,496312,97882,48067,699507,210316,2011,0.38363733196465,0.075660450134923,0.540702217900427,0.199723892924254,0.32403632355099
"pc2001__32__09",1,"Idukki",TRUE,677458,242921,66507,27380,368030,65342,475641,226551,60483,26446,188607,62333,2011,0.47630671031303,0.127161031113802,0.396532258573168,0.186651276908425,0.35641334457425
"pc2001__32__10",1,"Kottayam",TRUE,1299170,331616,84363,41913,883191,169300,879222,316553,78646,40842,484023,163223,2011,0.36003762417228,0.0894495360671139,0.550512839760606,0.23209724051491,0.36267325905639
"pc2001__32__11",1,"Alappuzha",TRUE,1154093,265741,113799,54215,774553,170216,793389,255205,107254,52943,430930,165341,2011,0.321664404220376,0.135184632002712,0.543150963776911,0.27512859391799,0.405593625971787
"pc2001__32__12",1,"Pathanamthitta",TRUE,719060,146868,56031,26719,516161,102079,492291,138646,51850,25967,301795,98769,2011,0.281634236660837,0.10532388363793,0.613041879701234,0.253378591117855,0.352715293585375
"pc2001__32__13",1,"Kollam",TRUE,1230997,274976,95939,48177,860082,205299,848925,263466,90064,46837,495395,197730,2011,0.310352504638219,0.106091822010189,0.583555673351592,0.288090231763701,0.417735486174096
"pc2001__32__14",1,"Thiruvananthapuram",TRUE,1550749,402894,143514,82626,1004341,246833,1082605,385322,133281,79469,564002,235663,2011,0.35592113467054,0.123111384115167,0.520967481214293,0.29108677680225,0.451942754950286
"pc2001__33__02",1,"Chennai",TRUE,1370604,564718,55171,17065,750715,70059,1083728,538346,48186,15946,497196,67775,2011,0.496753798000974,0.0444631863345784,0.458783015664447,0.0772527792951737,0.153508916685919
"pc2001__33__05",2,"Dharmapuri;Krishnagiri",TRUE,1229175,502706,93276,27373,633193,48172,927491,480738,87239,26369,359514,46553,2011,0.518320932494224,0.0940591337274432,0.387619933778333,0.0786228653431677,0.163226659921702
"pc2001__33__06",1,"Tiruvannamalai",TRUE,825047,318647,106157,31478,400243,37089,625731,302023,99114,30293,224594,35633,2011,0.482672266517082,0.158397138706569,0.35893059477635,0.105358372847118,0.203658853040394
"pc2001__33__08",1,"Salem",TRUE,1111989,489581,53565,13493,568843,38877,842614,461707,48936,12987,331971,37537,2011,0.547946034601846,0.0580764145860382,0.393977550812116,0.0599610260451405,0.132641300894969
"pc2001__33__09",1,"Namakkal",TRUE,828782,387646,28805,6544,412331,27551,624219,363780,25736,6222,234703,26843,2011,0.582776237185988,0.0412291199082373,0.375994642905775,0.0529701915513626,0.126958712020857
"pc2001__33__11",1,"The Nilgiris",TRUE,368187,169835,18157,7147,180195,21452,279030,161661,16613,6882,100756,20789,2011,0.579367809912913,0.0595384008887933,0.361093789198294,0.099168548184783,0.235760720462814
"pc2001__33__13",1,"Dindigul",TRUE,761754,339115,57552,19289,365087,31145,578091,319545,52319,18107,206227,30072,2011,0.552758994691147,0.0905030522876156,0.356737953021237,0.0833415500327803,0.186345950043706
"pc2001__33__14",1,"Karur",TRUE,535716,238568,17743,4606,279405,14680,385737,223735,16101,4403,145901,14156,2011,0.580019546997047,0.041740875259568,0.378239577743385,0.0481130925993617,0.114560314070197
"pc2001__33__15",1,"Tiruchirappalli",TRUE,1249669,470233,67565,19877,711871,58717,923418,445449,61842,19018,416127,57136,2011,0.482391506338408,0.0669707543062838,0.450637739355308,0.0824696941146913,0.159328324640301
"pc2001__33__16",1,"Perambalur",TRUE,228531,99889,19109,5828,109533,6747,163756,94032,17564,5613,52160,6538,2011,0.574220181245267,0.107257138669728,0.318522680085005,0.0742018613058453,0.174272847226206
"pc2001__33__17",1,"Ariyalur",TRUE,324838,99759,43624,16378,181455,16664,225600,94153,40482,15738,90965,15953,2011,0.417344858156028,0.179441489361702,0.40321365248227,0.140474290780142,0.241093368429861
"pc2001__33__18",1,"Cuddalore",TRUE,1150284,360811,165431,53833,624042,67371,865569,341620,153318,51413,370631,64914,2011,0.394676796419465,0.177129726226332,0.428193477354203,0.134393676298481,0.222019700390687
"pc2001__33__20",1,"Thiruvarur",TRUE,602538,165125,62772,20153,374641,36074,437696,155795,58479,19454,223422,34905,2011,0.35594339450212,0.133606430033631,0.510450175464249,0.124193504167276,0.192830107023388
"pc2001__33__21",1,"Thanjavur",TRUE,1157271,330473,66722,22857,760076,63513,817639,313879,62069,22067,441691,61062,2011,0.383884574977466,0.075912474820795,0.540202950201739,0.101669563217997,0.165017071621407
"pc2001__33__22",1,"Pudukkottai",TRUE,702796,246371,59380,20439,397045,30084,492213,234182,55592,19670,202439,29063,2011,0.475773699597532,0.112942973875131,0.411283326527337,0.0990079498103463,0.188864903829385
"pc2001__33__23",1,"Sivaganga",TRUE,600537,198972,76138,24849,325427,35571,442435,187547,70334,23733,184554,34395,2011,0.423897295647948,0.158970244216665,0.417132460135387,0.131382010916858,0.228053105677788
"pc2001__33__24",1,"Madurai",TRUE,1207276,480033,77822,25024,649421,58375,913670,455611,70945,23979,387114,56773,2011,0.49866034782799,0.0776483850843302,0.423691267087679,0.0883820197664365,0.176291700414139
"pc2001__33__25",1,"Theni",TRUE,400674,162909,19596,6373,218169,17366,299961,154115,18017,6087,127829,16875,2011,0.513783458516274,0.060064475048423,0.426152066435303,0.0765499514936942,0.157440039493713
"pc2001__33__26",1,"Virudhunagar",TRUE,739970,335321,40433,11035,364216,29597,555581,318379,36909,10527,200293,28629,2011,0.573055954037305,0.0664331573613929,0.360510888601302,0.0704775721271966,0.165074493469701
"pc2001__33__27",1,"Ramanathapuram",TRUE,416291,151139,44268,15662,220884,24775,312103,142628,40899,14987,128576,23901,2011,0.456990160299645,0.131043277379583,0.411966562320772,0.124599891702419,0.229461572503319
"pc2001__33__30",1,"Kanniyakumari",TRUE,734919,191404,55286,20578,488229,67939,556577,180989,50110,19626,325478,66192,2011,0.32518231978684,0.0900324663074471,0.584785213905713,0.154188908273249,0.228489728106329
"pc2001__34__01",1,"Yanam",TRUE,29980,9305,945,301,19730,1042,23237,9042,903,289,13292,1006,2011,0.389120798726169,0.0388604380944184,0.572018763179412,0.0557300856392822,0.091229306093695
"pc2001__34__03",1,"Mahe",TRUE,19964,4251,634,390,15079,2570,13239,4116,602,382,8521,2467,2011,0.31089961477453,0.0454717123649823,0.643628672860488,0.215197522471486,0.312287624684862
"pc2001__34__04",1,"Karaikal",TRUE,101877,28164,4740,1802,68973,6367,73480,27245,4460,1758,41775,6199,2011,0.370781164942842,0.0606967882416984,0.56852204681546,0.108287969515514,0.17209905915432
"pc2001__35__01",2,"North  & Middle Andaman;South Andaman",TRUE,197763,76310,11736,5863,109717,19000,157264,73749,11055,5704,72460,18043,2011,0.468950300132262,0.0702958083223115,0.460753891545427,0.151000864787873,0.284344129797042
"pc2001__35__02",1,"Nicobars",TRUE,18578,6679,2696,1164,9203,1532,14232,6542,2529,1134,5161,1439,2011,0.459668353007307,0.177698145025295,0.362633501967397,0.180789769533446,0.334590377113134
