"dataset","n_districts","n_positive_migrant_denominators"
"d02_2001",593,593
"d02_2011_harmonized",359,359
"d03_2011_harmonized",359,359
"d04_2011_harmonized",359,359
"d05_2011_harmonized",359,359
"d06_2011_harmonized",359,359
"d07_2011_harmonized",359,359
