"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","recent_work_migrants_total","recent_work_migrants_within_state","recent_work_migrants_outside_state","recent_work_migrants_rural_origin","recent_work_migrants_urban_origin","recent_work_migrants_illiterate","recent_work_migrants_literate","recent_work_migrants_literate_below_matric","recent_work_migrants_matric_below_graduate","recent_work_migrants_technical_diploma_below_degree","recent_work_migrants_graduate_nontechnical","recent_work_migrants_technical_degree","recent_work_migrants_literate_education_not_classified","census_year","outside_state_share_among_recent_work_migrants","rural_origin_share_among_recent_work_migrants","literate_share_among_recent_work_migrants","graduate_or_technical_degree_share_among_recent_work_migrants","technical_credential_share_among_recent_work_migrants"
"pc2001__10__23",1,"Banka",TRUE,2553,2205,348,2068,485,597,1956,502,695,5,520,82,152,2011,0.136310223266745,0.810027418723071,0.766157461809636,0.235801018409714,0.0340775558166862
"pc2001__10__24",1,"Munger",TRUE,3468,3046,422,2242,1226,540,2928,573,1211,18,779,146,201,2011,0.121683967704729,0.646482122260669,0.844290657439446,0.266724336793541,0.0472895040369089
"pc2001__10__25",1,"Lakhisarai",TRUE,2493,2353,140,1974,519,948,1545,450,603,9,298,43,142,2011,0.0561572402727637,0.791817087845969,0.619735258724428,0.13678299237866,0.0208584035298837
"pc2001__10__26",1,"Sheikhpura",TRUE,1608,1528,80,1289,319,657,951,260,391,2,205,22,71,2011,0.0497512437810945,0.801616915422886,0.591417910447761,0.141169154228856,0.0149253731343284
"pc2001__10__27",1,"Nalanda",TRUE,7001,6600,401,5547,1454,1557,5444,1099,2200,12,1662,212,259,2011,0.0572775317811741,0.79231538351664,0.777603199542922,0.267676046279103,0.0319954292243965
"pc2001__10__28",1,"Patna",TRUE,50855,46253,4602,30113,20742,7352,43503,8672,12570,164,16060,3351,2686,2011,0.0904925769344214,0.592134500049159,0.855432110903549,0.381693048864418,0.069118080818012
"pc2001__10__30",1,"Buxar",TRUE,3951,3361,590,3088,863,513,3438,779,1281,6,1115,101,156,2011,0.149329283725639,0.781574284991141,0.870159453302961,0.307770184763351,0.0270817514553278
"pc2001__10__31",1,"Kaimur (Bhabua)",TRUE,2359,1968,391,1922,437,515,1844,513,515,7,458,52,299,2011,0.165748198389148,0.81475201356507,0.781687155574396,0.216193302246715,0.0250105977108944
"pc2001__10__32",1,"Rohtas",TRUE,8018,6861,1157,5927,2091,1312,6706,1712,2418,22,2061,295,198,2011,0.144300324270392,0.739211773509603,0.836368171613869,0.293838862559242,0.0395360439012222
"pc2001__10__35",1,"Gaya",TRUE,8317,7598,719,5959,2358,2022,6295,1744,2115,43,1507,164,722,2011,0.0864494409041722,0.716484309246122,0.756883491643621,0.20091379103042,0.024888782012745
"pc2001__10__36",1,"Nawada",TRUE,4254,3964,290,3474,780,1266,2988,850,1051,15,783,83,206,2011,0.0681711330512459,0.816643159379408,0.702397743300423,0.203573107663376,0.0230371415138693
"pc2001__10__37",1,"Jamui",TRUE,2783,2511,272,2276,507,648,2135,511,767,15,572,78,192,2011,0.0977362558390226,0.817822493711822,0.767157743442328,0.233560905497664,0.0334171757096658
"pc2001__11__03",1,"South District",TRUE,5097,2204,2893,3679,1418,732,4365,2595,848,67,541,184,130,2011,0.56758877771238,0.721797135569943,0.856386109476162,0.142240533647243,0.0492446537178733
"pc2001__11__04",1,"East District",TRUE,14564,6632,7932,9790,4774,1940,12624,6222,3083,211,1895,776,437,2011,0.544630595990113,0.672205438066465,0.866794836583356,0.183397418291678,0.0677698434496018
"pc2001__12__01",1,"Tawang",TRUE,5610,2216,3394,4329,1281,2567,3043,1675,684,41,387,112,144,2011,0.604991087344029,0.771657754010695,0.542424242424242,0.0889483065953654,0.0272727272727273
"pc2001__12__09",1,"Upper Siang",TRUE,1472,928,544,1026,446,420,1052,367,298,28,253,81,25,2011,0.369565217391304,0.697010869565217,0.714673913043478,0.226902173913043,0.0740489130434783
"pc2001__12__10",2,"Dibang Valley;Lower Dibang Valley",TRUE,4758,2682,2076,3543,1215,1873,2885,1418,656,55,517,169,70,2011,0.436317780580076,0.744640605296343,0.60634720470786,0.144178226145439,0.0470786044556536
"pc2001__12__12",1,"Changlang",TRUE,5619,2860,2759,3816,1803,1888,3731,1597,1102,104,679,167,82,2011,0.491012635700303,0.679124399359317,0.663997152518242,0.150560597971169,0.0482292222815448
"pc2001__12__13",1,"Tirap",TRUE,2413,1588,825,1551,862,459,1954,603,649,45,466,106,85,2011,0.341898052217157,0.642768338168255,0.809780356402818,0.237049316203896,0.0625777041027766
"pc2001__13__01",1,"Mon",TRUE,2546,1694,852,1790,756,655,1891,993,357,14,248,35,244,2011,0.334642576590731,0.70306362922231,0.742733699921445,0.111154752553024,0.0192458758837392
"pc2001__13__03",1,"Mokokchung",TRUE,6129,3949,2180,3197,2932,1072,5057,2295,1139,88,983,199,353,2011,0.355686082558329,0.521618534834394,0.825093816283244,0.19285364659814,0.0468265622450645
"pc2001__13__04",1,"Zunheboto",TRUE,2248,1924,324,1090,1158,117,2131,859,585,41,469,69,108,2011,0.144128113879004,0.484875444839858,0.947953736654804,0.23932384341637,0.048932384341637
"pc2001__13__05",1,"Wokha",TRUE,3029,2372,657,1840,1189,366,2663,1191,801,35,460,67,109,2011,0.216903268405414,0.607461208319577,0.879168042258171,0.173984813469792,0.0336744800264114
"pc2001__14__04",1,"Bishnupur",TRUE,437,416,21,327,110,243,194,76,71,1,28,9,9,2011,0.0480549199084668,0.748283752860412,0.443935926773455,0.0846681922196796,0.022883295194508
"pc2001__14__05",1,"Thoubal",TRUE,292,265,27,214,78,63,229,104,71,0,31,1,22,2011,0.0924657534246575,0.732876712328767,0.784246575342466,0.10958904109589,0.00342465753424658
"pc2001__14__06",1,"Imphal West",TRUE,2263,1998,265,1306,957,211,2052,611,585,23,629,97,107,2011,0.117101193106496,0.577110030932391,0.906760936809545,0.320813079982324,0.0530269553689792
"pc2001__14__08",1,"Ukhrul",TRUE,1634,1308,326,1104,530,187,1447,366,532,20,430,50,49,2011,0.199510403916769,0.675642594859241,0.885556915544676,0.2937576499388,0.0428396572827417
"pc2001__15__01",1,"Mamit",TRUE,1883,1325,558,1089,794,244,1639,800,428,25,287,50,49,2011,0.296335634625597,0.578332448220924,0.870419543281997,0.178969729155603,0.039830058417419
"pc2001__15__02",1,"Kolasib",TRUE,1986,1312,674,1252,734,265,1721,973,366,12,246,75,49,2011,0.339375629405841,0.630412890231621,0.866565961732125,0.161631419939577,0.0438066465256798
"pc2001__15__07",1,"Lawngtlai",TRUE,1683,1412,271,1158,525,192,1491,662,449,26,280,52,22,2011,0.161021984551396,0.688057040998218,0.885918003565062,0.19726678550208,0.0463458110516934
"pc2001__16__01",1,"West Tripura",TRUE,19977,11333,8644,16753,3224,4777,15200,8901,2713,188,1977,497,924,2011,0.432697602242579,0.838614406567553,0.760875006257196,0.123842418781599,0.0342894328477749
"pc2001__16__02",1,"South Tripura",TRUE,8480,3397,5083,7705,775,3816,4664,2961,772,49,526,90,266,2011,0.599410377358491,0.908608490566038,0.55,0.0726415094339623,0.0163915094339623
"pc2001__16__03",1,"Dhalai",TRUE,4401,3362,1039,4092,309,1075,3326,1885,701,13,264,46,417,2011,0.236082708475347,0.929788684389911,0.755737332424449,0.0704385366962054,0.0134060440808907
"pc2001__16__04",1,"North Tripura",TRUE,6928,3770,3158,5999,929,2105,4823,2808,939,41,552,96,387,2011,0.455831408775982,0.865906466512702,0.696160508083141,0.0935334872979215,0.0197748267898383
"pc2001__17__03",1,"South Garo Hills",TRUE,640,533,107,327,313,71,569,186,209,7,108,51,8,2011,0.1671875,0.5109375,0.8890625,0.2484375,0.090625
"pc2001__17__05",1,"Ribhoi",TRUE,1729,1181,548,1279,450,420,1309,778,279,17,137,56,42,2011,0.316946211683054,0.739733950260266,0.757085020242915,0.111625216888375,0.0422209369577791
"pc2001__17__06",1,"East Khasi Hills",TRUE,11347,5252,6095,7846,3501,1644,9703,4750,2305,185,1637,501,325,2011,0.537146382303693,0.691460297876091,0.855115889662466,0.188419846655504,0.0604565083281925
"pc2001__18__03",1,"Goalpara",TRUE,2733,2532,201,2248,485,748,1985,770,526,36,457,91,105,2011,0.0735455543358946,0.82253933406513,0.726308086351994,0.200512257592389,0.0464690815953165
"pc2001__18__13",1,"Dhemaji",TRUE,3232,2710,522,2797,435,468,2764,901,890,35,711,138,89,2011,0.161509900990099,0.865408415841584,0.85519801980198,0.262685643564356,0.0535272277227723
"pc2001__18__14",1,"Tinsukia",TRUE,12957,10702,2255,9418,3539,3338,9619,4173,2911,156,1672,368,339,2011,0.174037199969129,0.726865786833372,0.742378637030177,0.157443852743691,0.0404414602145558
"pc2001__18__15",1,"Dibrugarh",TRUE,11993,10046,1947,8613,3380,1799,10194,3403,3363,246,2162,616,404,2011,0.162344701075627,0.718168931876928,0.849995830901359,0.231635120486951,0.071875260568665
"pc2001__19__07",1,"Murshidabad",TRUE,14870,13605,1265,9423,5447,2725,12145,4257,3222,144,3526,736,260,2011,0.0850706119704102,0.63369199731002,0.816745124411567,0.286617350369872,0.0591795561533289
"pc2001__19__08",1,"Birbhum",TRUE,10563,9280,1283,7806,2757,1889,8674,3140,1988,142,2657,466,281,2011,0.121461705954748,0.738994603805737,0.821168228722901,0.295654643567168,0.0575594054719303
"pc2001__19__13",1,"Bankura",TRUE,9269,8058,1211,6651,2618,1371,7898,2481,2005,206,2212,679,315,2011,0.130650555615492,0.717553134102924,0.85208760384076,0.311899881324846,0.095479555507606
"pc2001__19__14",1,"Puruliya",TRUE,5408,4221,1187,3686,1722,729,4679,1253,1343,169,1453,318,143,2011,0.219489644970414,0.681582840236686,0.865199704142012,0.327477810650888,0.090051775147929
"pc2001__19__16",1,"Haora",TRUE,34458,19387,15071,22608,11850,5742,28716,14210,7359,271,4842,567,1467,2011,0.437373033838296,0.656103082012885,0.833362354170294,0.156973707121713,0.024319461373266
"pc2001__19__17",1,"Kolkata",TRUE,45470,20067,25403,30147,15323,8825,36645,15059,7328,665,8897,2654,2042,2011,0.558676050142951,0.663008577083791,0.805915988563888,0.254035627886519,0.0729931823180119
"pc2001__20__01",1,"Garhwa",TRUE,4291,3128,1163,3482,809,1252,3039,810,899,33,868,182,247,2011,0.271032393381496,0.811465858774179,0.708226520624563,0.244698205546493,0.0501048706595199
"pc2001__20__02",2,"Latehar;Palamu",TRUE,11433,7974,3459,8273,3160,2590,8843,2685,3136,117,2419,277,209,2011,0.302545263710312,0.723607102247879,0.773462783171521,0.235808624158139,0.0344616461121315
"pc2001__20__03",1,"Chatra",TRUE,2165,1575,590,1724,441,408,1757,425,578,11,519,72,152,2011,0.272517321016166,0.796304849884527,0.811547344110854,0.2729792147806,0.038337182448037
"pc2001__20__04",2,"Hazaribagh;Ramgarh",TRUE,20013,13526,6487,14191,5822,3624,16389,4905,5459,333,4213,742,737,2011,0.324139309448858,0.709089092090141,0.81891770349273,0.247589067106381,0.0537150851946235
"pc2001__20__05",1,"Kodarma",TRUE,2432,1264,1168,1769,663,497,1935,506,533,40,510,105,241,2011,0.480263157894737,0.727384868421053,0.795641447368421,0.252878289473684,0.0596217105263158
"pc2001__20__06",1,"Giridih",TRUE,5550,3838,1712,4034,1516,1103,4447,1491,1385,49,1244,187,91,2011,0.308468468468468,0.726846846846847,0.801261261261261,0.257837837837838,0.0425225225225225
"pc2001__20__07",1,"Deoghar",TRUE,6607,3045,3562,4827,1780,715,5892,1463,1926,95,2028,266,114,2011,0.539125170273952,0.730588769486908,0.891781443923112,0.347207507189345,0.0546390192220372
"pc2001__20__08",1,"Godda",TRUE,3673,2638,1035,3130,543,733,2940,817,1024,47,865,133,54,2011,0.281786005989654,0.852164443234413,0.800435611216989,0.271712496596787,0.0490062619112442
"pc2001__20__09",1,"Sahibganj",TRUE,3695,2280,1415,2919,776,1334,2361,731,745,47,651,99,88,2011,0.382949932341001,0.789986468200271,0.638971583220568,0.20297699594046,0.0395128552097429
"pc2001__20__10",1,"Pakur",TRUE,4151,2773,1378,3274,877,1501,2650,1103,766,31,622,77,51,2011,0.33196820043363,0.78872560828716,0.638400385449289,0.168393158275114,0.0260178270296314
"pc2001__20__11",2,"Dumka;Jamtara",TRUE,8221,5612,2609,6362,1859,1361,6860,2143,2206,97,1750,270,394,2011,0.317357985646515,0.773871791752828,0.834448363945992,0.245712200462231,0.0446417710740786
"pc2001__20__12",1,"Dhanbad",TRUE,27996,13619,14377,18080,9916,4052,23944,7052,8087,588,6260,1291,666,2011,0.513537648235462,0.64580654379197,0.855265037862552,0.269717102443206,0.0671167309615659
"pc2001__20__13",1,"Bokaro",TRUE,21309,10418,10891,15139,6170,2543,18766,4854,6468,561,5116,1381,386,2011,0.511098596837017,0.710450983152659,0.880660753672157,0.304894645454972,0.0911352010887418
"pc2001__20__14",2,"Khunti;Ranchi",TRUE,56589,33045,23544,35665,20924,7054,49535,12399,16105,1028,15594,2968,1441,2011,0.416052589725918,0.630246160914665,0.875346798847833,0.328014278393327,0.0706144303663256
"pc2001__20__15",1,"Lohardaga",TRUE,3310,2556,754,2409,901,666,2644,951,900,30,599,95,69,2011,0.227794561933535,0.727794561933535,0.798791540785499,0.209667673716012,0.0377643504531722
"pc2001__20__16",2,"Gumla;Simdega",TRUE,10900,8889,2011,8843,2057,1898,9002,2787,2992,116,2198,337,572,2011,0.184495412844037,0.811284403669725,0.825871559633027,0.23256880733945,0.0415596330275229
"pc2001__20__17",2,"Pashchimi Singhbhum;Saraikela-Kharsawan",TRUE,27061,15998,11063,18565,8496,4616,22445,7565,8032,723,4493,788,844,2011,0.408817116884077,0.686042644395994,0.829422416023059,0.195151694320239,0.0558368131259007
"pc2001__20__18",1,"Purbi Singhbhum",TRUE,42239,17924,24315,27328,14911,6718,35521,10895,11572,1342,8280,2553,879,2011,0.575652832690168,0.64698501384976,0.840952674068988,0.25646913989441,0.0922133573238003
"pc2001__21__02",1,"Jharsuguda",TRUE,14294,8836,5458,10278,4016,1565,12729,4134,4059,863,2247,685,741,2011,0.381838533650483,0.71904295508605,0.890513502168742,0.205121029802714,0.108297187631174
"pc2001__21__03",1,"Sambalpur",TRUE,14251,11851,2400,9498,4753,1454,12797,3544,4003,663,3250,963,374,2011,0.168409234439688,0.666479545295067,0.897972072135289,0.295628376956003,0.114097256332889
"pc2001__21__07",1,"Mayurbhanj",TRUE,11184,10116,1068,8570,2614,1332,9852,2350,2860,463,2957,794,428,2011,0.0954935622317597,0.766273247496423,0.880901287553648,0.335389842632332,0.112392703862661
"pc2001__21__09",1,"Bhadrak",TRUE,3644,3210,434,2702,942,418,3226,789,934,124,1058,259,62,2011,0.119099890230516,0.741492864983535,0.885290889132821,0.361416026344676,0.105104281009879
"pc2001__21__14",1,"Dhenkanal",TRUE,8553,7331,1222,6596,1957,1142,7411,2269,2323,323,1834,506,156,2011,0.142873845434351,0.771191394832223,0.866479597801941,0.273588214661522,0.0969250555360692
"pc2001__21__17",1,"Khordha",TRUE,71534,62696,8838,45140,26394,6222,65312,16450,15847,1625,22870,6842,1678,2011,0.123549640730282,0.631028601783767,0.913020381916292,0.415354936114295,0.118363295775435
"pc2001__21__18",1,"Puri",TRUE,8301,7591,710,5916,2385,825,7476,2589,2202,159,1927,445,154,2011,0.0855318636308878,0.712685218648356,0.90061438380918,0.285748704975304,0.072762317793037
"pc2001__21__19",1,"Ganjam",TRUE,26267,20349,5918,13522,12745,2826,23441,9031,6062,737,5391,1566,654,2011,0.22530170936917,0.514790421441352,0.892412532835878,0.264857044961358,0.0876765523280161
"pc2001__21__20",1,"Gajapati",TRUE,2924,2462,462,1883,1041,375,2549,656,856,75,674,200,88,2011,0.158002735978112,0.643980848153215,0.871751025991792,0.29890560875513,0.0940492476060192
"pc2001__21__22",1,"Baudh",TRUE,1741,1649,92,1343,398,258,1483,528,426,43,332,103,51,2011,0.0528431935669156,0.771395749569213,0.851809304997128,0.249856404365307,0.0838598506605399
"pc2001__21__24",1,"Balangir",TRUE,6487,5656,831,4442,2045,989,5498,1459,1644,225,1537,465,168,2011,0.12810235856328,0.684754123631879,0.847541236318791,0.308617234468938,0.106366579312471
"pc2001__21__25",1,"Nuapada",TRUE,2837,2325,512,1870,967,385,2452,598,857,98,644,188,67,2011,0.180472329925978,0.659146986253084,0.86429326753613,0.293267536129715,0.100810715544589
"pc2001__21__26",1,"Kalahandi",TRUE,6828,5893,935,4469,2359,879,5949,1492,1731,230,1731,616,149,2011,0.136936145284124,0.654510837727006,0.871265377855888,0.343731693028705,0.12390158172232
"pc2001__21__28",1,"Nabarangapur",TRUE,4501,4170,331,3203,1298,853,3648,923,1245,158,929,257,136,2011,0.0735392135081093,0.711619640079982,0.810486558542546,0.263497000666519,0.0922017329482337
"pc2001__21__30",1,"Malkangiri",TRUE,4198,3927,271,3157,1041,602,3596,880,1313,189,822,295,97,2011,0.0645545497856122,0.752024773701763,0.856598380181039,0.266079085278704,0.115292996665079
"pc2001__22__03",1,"Jashpur",TRUE,11053,8904,2149,8671,2382,1404,9649,2840,3075,74,3015,363,282,2011,0.194426852438252,0.784492897855786,0.872975662716005,0.3056183841491,0.0395367773455171
"pc2001__22__05",1,"Korba",TRUE,28707,18748,9959,21315,7392,3648,25059,8709,8365,790,5024,1574,597,2011,0.34691886996203,0.742501828822238,0.872922980457728,0.229839411990107,0.0823492527954854
"pc2001__22__10",1,"Durg",TRUE,60441,41014,19427,41802,18639,11589,48852,20478,14356,1199,9545,2213,1061,2011,0.321420889793352,0.691616617858738,0.80825929418772,0.194536821032081,0.0564517463311328
"pc2001__22__11",1,"Raipur",TRUE,101285,64397,36888,67173,34112,14401,86884,32416,27542,1566,19888,3804,1668,2011,0.364200029619391,0.663207780026657,0.857817050895987,0.233914202497902,0.0530187095818729
"pc2001__22__12",1,"Mahasamund",TRUE,11110,8946,2164,8088,3022,2353,8757,3762,2332,85,2086,265,227,2011,0.194779477947795,0.727992799279928,0.788208820882088,0.211611161116112,0.0315031503150315
"pc2001__22__13",1,"Dhamtari",TRUE,8324,7352,972,6063,2261,1343,6981,2850,1835,123,1783,227,163,2011,0.116770783277271,0.72837578087458,0.838659298414224,0.241470446900529,0.0420470927438731
"pc2001__23__01",1,"Sheopur",TRUE,4824,3955,869,3804,1020,1823,3001,1203,801,13,722,83,179,2011,0.18014096185738,0.788557213930348,0.62209784411277,0.166873963515755,0.0199004975124378
"pc2001__23__02",1,"Morena",TRUE,12333,10806,1527,10037,2296,3029,9304,4016,3245,51,1463,183,346,2011,0.123814157139382,0.813832806292062,0.754398767534258,0.133463066569367,0.0189734857698857
"pc2001__23__03",1,"Bhind",TRUE,9251,7614,1637,7710,1541,2196,7055,3070,2567,22,1014,125,257,2011,0.176953842827802,0.833423413685007,0.762620257269484,0.123121824667604,0.0158901740352394
"pc2001__23__04",1,"Gwalior",TRUE,30764,23379,7385,19758,11006,6115,24649,8378,7629,385,6218,1266,773,2011,0.240053309062541,0.642244181510857,0.80122870888051,0.243271356130542,0.0536666233259654
"pc2001__23__07",2,"Ashoknagar;Guna",TRUE,19498,16917,2581,14683,4815,6090,13408,6543,2980,156,2628,540,561,2011,0.132372551030875,0.753051595035388,0.687660272848497,0.162478202892604,0.0356959688173146
"pc2001__23__09",1,"Chhatarpur",TRUE,13267,10004,3263,9068,4199,3238,10029,4008,2730,151,2446,389,305,2011,0.245948594256426,0.683500414562448,0.755935780508027,0.213688098288988,0.0407024949121881
"pc2001__23__10",1,"Panna",TRUE,5063,4368,695,3786,1277,1452,3611,1325,1008,55,953,145,125,2011,0.1372703930476,0.747777997234841,0.713213509776812,0.216867469879518,0.0395022713806044
"pc2001__23__11",1,"Sagar",TRUE,27037,23971,3066,19977,7060,7137,19900,9702,4406,247,3955,838,752,2011,0.113400155342679,0.738876354625143,0.736028405518364,0.177275585309021,0.0401301919591671
"pc2001__23__12",1,"Damoh",TRUE,10499,8848,1651,7822,2677,3048,7451,3756,1804,102,1350,254,185,2011,0.157253071721116,0.745023335555767,0.709686636822555,0.152776454900467,0.0339079912372607
"pc2001__23__15",1,"Umaria",TRUE,6120,4954,1166,3720,2400,986,5134,1481,1572,127,1536,295,123,2011,0.190522875816993,0.607843137254902,0.838888888888889,0.299183006535948,0.0689542483660131
"pc2001__23__16",2,"Anuppur;Shahdol",TRUE,17392,12991,4401,11576,5816,2956,14436,4504,4088,383,4151,775,535,2011,0.253047378104876,0.665593376264949,0.830036798528059,0.283233670653174,0.0665823367065317
"pc2001__23__18",1,"Neemuch",TRUE,11129,7590,3539,7879,3250,4278,6851,3183,1535,108,1442,328,255,2011,0.317998023182676,0.707970168029473,0.615598885793872,0.159043939257795,0.0391769251505077
"pc2001__23__19",1,"Mandsaur",TRUE,10207,7856,2351,7229,2978,2872,7335,3628,1688,81,1507,244,187,2011,0.230332125012247,0.708239443519154,0.718624473400607,0.171548937004017,0.0318408935044577
"pc2001__23__20",1,"Ratlam",TRUE,11467,8787,2680,7343,4124,2920,8547,3467,2104,134,2156,411,275,2011,0.23371413621697,0.64035929188105,0.745356239644196,0.22385977151827,0.0475276881486003
"pc2001__23__21",1,"Ujjain",TRUE,21714,18787,2927,14281,7433,6255,15459,7121,3367,236,3368,759,608,2011,0.134797826287188,0.65768628534586,0.711936999171042,0.190061711338307,0.0458229713548862
"pc2001__23__23",1,"Dewas",TRUE,21959,19848,2111,16734,5225,7579,14380,6921,3929,193,2345,464,528,2011,0.0961337037205702,0.762056559952639,0.654856778541828,0.127920214946036,0.0299193952365773
"pc2001__23__24",2,"Alirajpur;Jhabua",TRUE,11412,8113,3299,7079,4333,3310,8102,2365,2263,110,2654,326,384,2011,0.289081668419208,0.62031195233088,0.709954433929197,0.261128636522958,0.0382053978268489
"pc2001__23__25",1,"Dhar",TRUE,42374,34703,7671,33169,9205,9092,33282,13077,12730,557,5310,723,885,2011,0.181030820786331,0.782767734931798,0.785434464530136,0.14237504129891,0.0302072025298532
"pc2001__23__26",1,"Indore",TRUE,112211,83584,28627,68555,43656,23425,88786,34357,25476,1728,19065,4882,3278,2011,0.255117590967017,0.610947233337195,0.791241500387662,0.213410449955887,0.0589068807870886
"pc2001__23__28",1,"Barwani",TRUE,15603,13143,2460,11962,3641,6195,9408,3722,2463,134,2469,361,259,2011,0.157661988079216,0.76664743959495,0.602960969044415,0.181375376530154,0.0317246683330129
"pc2001__23__30",1,"Rajgarh",TRUE,10585,9474,1111,7822,2763,3155,7430,3141,1930,50,1743,230,336,2011,0.104959848842702,0.738970240906944,0.701936702881436,0.186395843174303,0.026452527161077
"pc2001__23__31",1,"Vidisha",TRUE,16382,15512,870,12998,3384,5396,10986,6259,2155,53,1791,256,472,2011,0.0531070687339763,0.793431815407154,0.670614088633866,0.124954218044195,0.0188621657917226
"pc2001__23__32",1,"Bhopal",TRUE,72627,53736,18891,37602,35025,12454,60173,18899,14982,1836,16874,5477,2105,2011,0.260109876492214,0.517741335866826,0.828521073429992,0.307750561086097,0.10069257989453
"pc2001__23__33",1,"Sehore",TRUE,17392,15056,2336,14309,3083,6443,10949,5797,2696,85,1701,247,423,2011,0.134314627414903,0.822734590616375,0.629542318307268,0.112005519779209,0.0190892364305428
"pc2001__23__34",1,"Raisen",TRUE,24915,22412,2503,19903,5012,7077,17838,9394,5119,123,2254,237,711,2011,0.100461569335742,0.798836042544652,0.715954244431066,0.0999799317680112,0.0144491270319085
"pc2001__23__35",1,"Betul",TRUE,19465,16940,2525,14015,5450,4848,14617,5689,3668,313,3539,623,785,2011,0.129720010274852,0.720010274852299,0.750937580272284,0.213819676342153,0.0480863087593116
"pc2001__23__36",1,"Harda",TRUE,11035,10430,605,9201,1834,4198,6837,3812,1243,58,1198,171,355,2011,0.0548255550521069,0.833801540552787,0.619574082464884,0.12405980969642,0.0207521522428636
"pc2001__23__38",1,"Katni",TRUE,11702,9248,2454,7859,3843,2143,9559,3331,2829,208,2277,353,561,2011,0.209707742266279,0.67159459921381,0.816868911297214,0.224747906340796,0.0479405229875235
"pc2001__23__39",1,"Jabalpur",TRUE,34374,26830,7544,19526,14848,5307,29067,10083,8118,560,7095,1799,1412,2011,0.219468202711352,0.568045615872462,0.845610054110665,0.258742072496654,0.0686274509803922
"pc2001__23__41",1,"Dindori",TRUE,4091,3813,278,2910,1181,664,3427,958,1007,32,1132,152,146,2011,0.0679540454656563,0.711317526277194,0.837692495722317,0.313859692006844,0.0449767782938157
"pc2001__23__42",1,"Mandla",TRUE,8584,7879,705,6431,2153,1635,6949,2352,1859,94,2102,259,283,2011,0.0821295433364399,0.749184529356943,0.80952935694315,0.27504659832246,0.0411230195712954
"pc2001__23__44",1,"Seoni",TRUE,14636,13504,1132,11244,3392,3218,11418,5017,2756,144,2816,337,348,2011,0.0773435364853785,0.76824268925936,0.780131183383438,0.215427712489751,0.0328641705383985
"pc2001__23__45",1,"Balaghat",TRUE,16218,13572,2646,12500,3718,2774,13444,5233,3395,228,3552,428,608,2011,0.16315205327414,0.770748550992724,0.828955481563695,0.245406338636083,0.0404488839560982
"pc2001__24__01",1,"Kachchh",TRUE,113495,58726,54769,80115,33380,18608,94887,40833,29691,6032,10790,4114,3427,2011,0.4825675139874,0.705890127318384,0.836045640777127,0.131318560289,0.0893960086347416
"pc2001__24__03",1,"Patan",TRUE,11006,10183,823,7998,3008,2815,8191,3042,1889,1134,1134,551,441,2011,0.0747773941486462,0.726694530256224,0.744230419771034,0.15309831001272,0.15309831001272
"pc2001__24__04",1,"Mahesana",TRUE,26370,21863,4507,18365,8005,3109,23261,8143,6956,2085,3520,1392,1165,2011,0.1709139173303,0.696435343193022,0.882100872203261,0.186272279105044,0.131854379977247
"pc2001__24__07",1,"Ahmadabad",TRUE,164750,91217,73533,105716,59034,18638,146112,57218,45830,5015,24930,8657,4462,2011,0.446330804248862,0.64167526555387,0.886871016691958,0.203866464339909,0.0829863429438543
"pc2001__24__08",1,"Surendranagar",TRUE,16840,15154,1686,10620,6220,3335,13505,5759,3084,1439,1984,820,419,2011,0.100118764845606,0.630641330166271,0.801959619952494,0.166508313539192,0.134144893111639
"pc2001__24__09",1,"Rajkot",TRUE,90104,72496,17608,61274,28830,15967,74137,34295,22840,1761,8005,2359,4877,2011,0.195418627363935,0.680036402379473,0.822793660658794,0.115022640504306,0.0457249400692533
"pc2001__24__11",1,"Porbandar",TRUE,9074,7824,1250,5550,3524,2300,6774,3219,1575,320,819,318,523,2011,0.137756226581441,0.6116376460216,0.746528543090148,0.125303063698479,0.0703107780471677
"pc2001__24__13",1,"Amreli",TRUE,16532,13922,2610,10958,5574,4123,12409,5648,2860,931,1708,680,582,2011,0.157875635131865,0.662835712557464,0.750604887490927,0.144447132833293,0.0974473747882894
"pc2001__24__14",1,"Bhavnagar",TRUE,49545,33355,16190,36255,13290,9727,39818,22864,7725,1567,2985,1321,3356,2011,0.326773640125139,0.731759006963367,0.803673428196589,0.0869108890907256,0.0582904430315874
"pc2001__24__15",1,"Anand",TRUE,17376,14455,2921,10865,6511,2522,14854,4716,3667,1214,2714,1304,1239,2011,0.168105432780847,0.625287753222836,0.854857274401473,0.231238489871087,0.144912523020258
"pc2001__24__17",1,"Panch Mahals",TRUE,12900,10973,1927,9094,3806,1754,11146,3043,3323,1690,1738,803,549,2011,0.14937984496124,0.704961240310078,0.864031007751938,0.196976744186047,0.193255813953488
"pc2001__24__18",1,"Dohad",TRUE,9316,8600,716,3774,5542,4362,4954,2240,1018,463,557,250,426,2011,0.0768570201803349,0.405109489051095,0.531773293258909,0.0866251610133104,0.0765349935594676
"pc2001__24__20",1,"Narmada",TRUE,4807,2989,1818,3989,818,1680,3127,1038,851,261,513,214,250,2011,0.378198460578323,0.829831495735386,0.650509673392969,0.151237778240067,0.0988142292490119
