"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","recent_work_migrants_total","recent_work_migrants_within_state","recent_work_migrants_outside_state","recent_work_migrants_rural_origin","recent_work_migrants_urban_origin","recent_work_migrants_illiterate","recent_work_migrants_literate","recent_work_migrants_literate_below_matric","recent_work_migrants_matric_below_graduate","recent_work_migrants_technical_diploma_below_degree","recent_work_migrants_graduate_nontechnical","recent_work_migrants_technical_degree","recent_work_migrants_literate_education_not_classified","census_year","outside_state_share_among_recent_work_migrants","rural_origin_share_among_recent_work_migrants","literate_share_among_recent_work_migrants","graduate_or_technical_degree_share_among_recent_work_migrants","technical_credential_share_among_recent_work_migrants"
"pc2001__08__18",1,"Jalor",TRUE,9405,7902,1503,7554,1851,3655,5750,2624,1131,115,1056,319,505,2011,0.159808612440191,0.803189792663477,0.611376927166401,0.146198830409357,0.0461456671982988
"pc2001__08__19",1,"Sirohi",TRUE,13061,10012,3049,9594,3467,4517,8544,3468,2132,265,1697,464,518,2011,0.233443074802848,0.734553250133987,0.654161243396371,0.165454406247607,0.0558150218206875
"pc2001__08__20",1,"Pali",TRUE,18312,15541,2771,13663,4649,4903,13409,6425,3255,178,2324,583,644,2011,0.151321537789428,0.746122761031018,0.732252075141983,0.158748361730013,0.0415574486675404
"pc2001__08__23",1,"Bundi",TRUE,14723,12641,2082,12257,2466,6550,8173,4458,1594,88,1291,339,403,2011,0.141411397133736,0.832506961896353,0.555117842830945,0.11071113224207,0.0290022413910209
"pc2001__08__27",1,"Dungarpur",TRUE,5185,3125,2060,3449,1736,1173,4012,1792,946,96,749,265,164,2011,0.397299903567985,0.665188042430087,0.773770491803279,0.19556412729026,0.0696239151398264
"pc2001__08__32",1,"Jhalawar",TRUE,12751,9603,3148,10074,2677,4111,8640,4078,1900,119,1611,558,374,2011,0.246882597443338,0.790055681907301,0.677593914202808,0.170104305544663,0.0530938749901968
"pc2001__09__01",1,"Saharanpur",TRUE,19881,16781,3100,13351,6530,5100,14781,5128,4434,129,3384,668,1038,2011,0.155927770232886,0.671545696896534,0.743473668326543,0.203812685478598,0.0400885267340677
"pc2001__09__03",1,"Bijnor",TRUE,13068,11343,1725,9028,4040,3080,9988,2967,2645,137,2886,557,796,2011,0.132001836547291,0.690847872666055,0.764309764309764,0.263468013468013,0.0531068258340986
"pc2001__09__05",1,"Rampur",TRUE,8713,7110,1603,6096,2617,3296,5417,1712,1565,63,1435,384,258,2011,0.183977963961896,0.699644209801446,0.621714679214966,0.208768506828876,0.0513026512108344
"pc2001__09__08",1,"Baghpat",TRUE,12274,11443,831,10686,1588,5536,6738,3443,1840,27,961,181,286,2011,0.0677040899462278,0.870620824507088,0.548965292488186,0.0930422030307968,0.0169463907446635
